en,gu,translated
This Privacy Policy is required to be read in conjunction with the Terms of Service available at ,આ પ્રાઇવસી પોલિસી ,This Privacy Policy
". Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service. By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy."," પર ઉપલબ્ધ સેવાની શરતો સાથે વાંચવી જરૂરી છે. સિસ્ટમની તમારી ઍક્સેસ અને ઉપયોગ આ પ્રાઇવસી પોલિસી અને સેવાની શરતોની તમારી સ્વીકૃતિ પર શરતી છે. સિસ્ટમને ઍક્સેસ કરીને અને/અથવા તેનો ઉપયોગ કરીને, તમે પ્રતિનિધિત્વ કરો છો કે તમે સેવાની શરતો અને આ પ્રાઇવસી પોલિસી વાંચી, સમજ્યા અને તેના દ્વારા બંધાયેલા છો, અને તમે તમારી માહિતી અને ડેટાને એકત્રિત, સંગ્રહિત અને નિર્ધારિત રીતે ઉપયોગમાં લેવા માટે સંમતિ આપો છો. આ પ્રાઇવસી પોલિસીમાં.","It is necessary to read the Terms of Service available on. Your access and use of the system is conditional on your acceptance of this Privacy Policy and the Terms of Service. By accessing the system and / or using it, you represent that you have read, understood and bound to this Privacy Policy, and you allow your information and data to be collected, stored, and used in a manner that is specified in this Privacy Policy."
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,તમે આથી સ્વીકારો છો કે આ પ્રાઇવસી પોલિસી ના ક્લોઝ 1 માં વર્ણવ્યા મુજબ તમારી માહિતીનો સંગ્રહ આ પ્રાઇવસી પોલિસી ના ક્લોઝ 2 અને 3 માં ઉલ્લેખિત હેતુઓને પૂર્ણ કરવા માટે જરૂરી છે.,You accept that data storage as described in Clause 1 of this Privacy Policy is essential for the purposes mentioned in Clause 2 and 3 of this Privacy Policy.
1. INFORMATION WE COLLECT,1. અમે એકત્રિત કરીએ છીએ તે માહિતી,Information we collect
1.1. Information you provide to us.,1.1. તમે અમને પ્રદાન કરો છો તે માહિતી.,1.1.The information you provide to us.
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account. This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) Address","જ્યારે તમે અમારી સેવાઓનો ઉપયોગ કરો છો ત્યારે અમે સામગ્રી અને અન્ય માહિતી એકત્રિત કરીએ છીએ, જેમાં તમે એકાઉન્ટ માટે સાઇન અપ કરો ત્યારે પણ સમાવેશ થાય છે. આમાં શામેલ હોઈ શકે છે- (i) નામ (ii) મોબાઈલ નંબર (iii) જન્મ તારીખ (iv) લિંગ (v) બાળકનું નામ (vi) આધાર નંબર (vii) સરનામું","When you use our services, we collect material and other information, including (i) name (ii) mobile number (iii) date of birth (iv) gender (v) name of the child (vi) Aadhaar number (vii) address"
"If you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature. You may, however, choose not to share personal data where providing the data is optional.","જો તમે ઉત્પાદન અથવા સુવિધા પ્રદાન કરવા માટે જરૂરી ડેટા પ્રદાન ન કરવાનું પસંદ કરો છો, તો તમે તે ઉત્પાદન અથવા સુવિધાનો ઉપયોગ કરી શકતા નથી. જો કે, તમે વ્યક્તિગત ડેટા શેર ન કરવાનું પસંદ કરી શકો છો જ્યાં ડેટા આપવો વૈકલ્પિક હોય.","If you choose not to provide the data required to provide the product or facility, you cannot use that product or facility. however, you may choose not to share the personal data where the data is optional."
1.2. Information from use of services.,1.2. સેવાઓના ઉપયોગની માહિતી.,1.2 Data on use of services.
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","જ્યારે તમે અમારી સાઇટ્સ, એપ્લિકેશન અને પ્લેટફોર્મ ટેકનોલોજી સહિત અમારી સેવાઓની મુલાકાત લો છો અથવા અન્યથા ઉપયોગ કરો છો ત્યારે અમે વપરાશ ડેટાને લૉગ કરીએ છીએ.","We log in to the usage data when you visit our services including our sites, apps and platform technology or otherwise."
"We may use various technologies to collect and store information, including cookies, local storage, such as browser web storage or application data caches, databases, and server logs to collect and use your information in certain cases.","અમે માહિતી એકત્રિત કરવા અને સંગ્રહિત કરવા માટે વિવિધ તકનીકોનો ઉપયોગ કરી શકીએ છીએ, જેમાં કૂકીઝ, સ્થાનિક સ્ટોરેજ, જેમ કે બ્રાઉઝર વેબ સ્ટોરેજ અથવા એપ્લિકેશન ડેટા કેશ, ડેટાબેસેસ અને અમુક કિસ્સાઓમાં તમારી માહિતીનો ઉપયોગ કરવા માટે સર્વર લોગનો સમાવેશ થાય છે.","We can use various techniques to collect and store information, including cookies, local storage, such as browser web storage or application data cache, databases and, in some cases, server logs to access your information."
1.3. Information from third parties.,1.3. તૃતીય પક્ષો પાસેથી માહિતી.,1.3 Information from third parties.
"Our System provides API to Third – Party Sites that may collect your personal information. Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites. Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites. These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to. This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites. We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information. You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.","અમારી સિસ્ટમ ત્રીજા પક્ષની સાઇટ્સને API પ્રદાન કરે છે જે તમારી વ્યક્તિગત માહિતી એકત્રિત કરી શકે છે. પોશન ટ્રેકર કોઈપણ રીતે આવી માહિતી અથવા તેમની પ્રાઇવસી પ્રથાઓ અથવા તે તૃતીય-પક્ષ સાઇટ્સની સામગ્રીની સુરક્ષા માટે જવાબદાર નથી. વધુમાં, તમે તૃતીય-પક્ષ સાઇટ્સના અમુક પૃષ્ઠો પર ""કૂકીઝ"" અથવા અન્ય સમાન ઉપકરણોનો સામનો પણ કરી શકો છો અને તે આથી પોશન ટ્રેકર દ્વારા સ્પષ્ટ કરવામાં આવે છે કે સિસ્ટમ આ તૃતીય-પક્ષ સાઇટ્સ દ્વારા કૂકીઝના ઉપયોગને નિયંત્રિત કરતી નથી. આ તૃતીય-પક્ષ સેવા પ્રદાતાઓ અને તૃતીય-પક્ષ સાઇટ્સની તમારી માહિતીના સંગ્રહ અને જાળવણીને સંચાલિત કરતી તેમની પોતાની પ્રાઇવસી પોલિસીઓ હોઈ શકે છે જેને તમે આધીન હોઈ શકો છો. આ પ્રાઇવસી પોલિસી આ તૃતીય-પક્ષ પ્રદાતાઓ અને તૃતીય-પક્ષ સાઇટ્સને પ્રદાન કરેલી, સંગ્રહિત અથવા ઉપયોગમાં લેવાતી કોઈપણ માહિતીને સંચાલિત કરતી નથી. અમે ભલામણ કરીએ છીએ કે જ્યારે તમે તૃતીય-પક્ષ સાઇટ દાખલ કરો, ત્યારે તમે થર્ડ પાર્ટી સાઇટની પ્રાઇવસી પોલિસી ની સમીક્ષા કરો કારણ કે તે તમારી માહિતીની સુરક્ષા સાથે સંબંધિત છે. તમે સંમત થાઓ છો અને સ્વીકારો છો કે શોધ પરિણામોમાં અથવા કોઈપણ તૃતીય-પક્ષ સાઇટ્સ દ્વારા પ્રકાશિત માહિતી માટે પોશન ટ્રેકર જવાબદાર રહેશે નહીં.","Our system provides APIs to third-party sites that can collect your personal information. Poshan Tracker is in no way responsible for the security of such information or their privacy practices or the content of those third-party sites. In addition, you may also encounter cookies or other similar devices on certain pages of third-party sites, and hence it is clarified by Poshan Tracker that the system does not control the use of cookies through these third-party sites. These could be their own privacy policies governing the storage and maintenance of your information of third-party service providers and third-party sites to which you may be subjected. This Privacy Policy provides these third-party and third-party providers, or any other useful tools in the collection, use, or storage of your information on third-party sites."
2. HOW WE USE PERSONAL INFORMATION,2. અમે વ્યક્તિગત માહિતીનો ઉપયોગ કેવી રીતે કરીએ છીએ,How do we use personal information?
We use the information we collect from all our services for the following purposes:,અમે અમારી બધી સેવાઓમાંથી અમે જે માહિતી એકત્રિત કરીએ છીએ તેનો ઉપયોગ અમે નીચેના હેતુઓ માટે કરીએ છીએ:,The information we collect from all our services is used for the following purposes:
2.1. Deliver our services.,2.1. અમારી સેવાઓ પહોંચાડો.,2.1. Provide our services.
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",કલમ 1 હેઠળ એકત્રિત કરવામાં આવેલી માહિતીનો ઉપયોગ લાભાર્થીઓના સ્વાસ્થ્યની સુવિધાના હેતુ માટે કરવામાં આવશે.,The data collected under Article 19 will be used for the purpose of facilitating the health of the beneficiaries.
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","અમે અમારા ઉત્પાદનો પ્રદાન કરીએ છીએ, જેમાં સિસ્ટમની માહિતી/ડેટા/ સામગ્રીઓ અને સામગ્રીઓને અપડેટ કરવા, સુરક્ષિત કરવા અને મુશ્કેલીનિવારણ તેમજ સપોર્ટ પ્રદાન કરવાનો સમાવેશ થાય છે.","We provide our products that include updating, securing and troubleshooting and support system information / data / materials and materials."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database. These can also be used to assess the health status as recorded in the Poshan Tracker system.","જ્યારે તમે પોશન ટ્રેકર પર નોંધણી કરાવો છો, ત્યારે તમે જે મોબાઈલ નંબર સાથે નોંધણી કરી હતી તેનો ઉપયોગ ડેટાબેઝમાંથી તમારો રેકોર્ડ શોધવા માટે કરવામાં આવશે. આનો ઉપયોગ પોશન ટ્રેકર સિસ્ટમમાં નોંધાયેલા સ્વાસ્થ્યની સ્થિતિનું મૂલ્યાંકન કરવા માટે પણ થઈ શકે છે.","When you register on a Poshan Tracker, the mobile number you registered with will be used to track your record from the database, which can also be used to assess the health status recorded in the Poshan Tracker System."
2.2. Communicate with you.,2.2. તમારી સાથે વાતચીત.,2.2. Interact with you.
"We also send SMSs on your registered mobile number to alert you about registration, we also use your information to respond to you when you contact us and to investigate, respond to and resolve complaints and for Service issues (e.g. bugs).","અમે તમને નોંધણી વિશે ચેતવણી આપવા માટે તમારા રજિસ્ટર્ડ મોબાઇલ નંબર પર SMS પણ મોકલીએ છીએ, જ્યારે તમે અમારો સંપર્ક કરો છો ત્યારે અમે તમારી માહિતીનો ઉપયોગ તમને પ્રતિસાદ આપવા અને ફરિયાદોની તપાસ કરવા, જવાબ આપવા અને ઉકેલવા માટે અને સેવા સમસ્યાઓ (દા.ત. ભૂલો) માટે પણ કરીએ છીએ.","We also send SMS to your registered mobile number to warn you about registration, when you approach us, we also use your information to respond and investigate, respond and resolve complaints and service issues (e.g. errors)."
2.3. Verification.,2.3. ચકાસણી.,2.3. Check.
"We use the information we have, to help verify accounts. The records may be used for verification of health status for the purposes of Poshan Tracker control and response.",અમે અમારી પાસેની માહિતીનો ઉપયોગ એકાઉન્ટ ચકાસવામાં મદદ કરવા માટે કરીએ છીએ. પોશન ટ્રેકર નિયંત્રણ અને પ્રતિભાવના હેતુઓ માટે આરોગ્યની સ્થિતિની ચકાસણી માટે રેકોર્ડનો ઉપયોગ કરી શકાય છે.,We use the information we have to help us check the account. the record can be used to check the health status for nutrition tracker control and response purposes.
2.4. Security and Audit.,2.4. સુરક્ષા અને ઓડિટ.,2.4 Security and Audit.
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.","અમે તમારા ડેટાનો ઉપયોગ (તમારા સંદેશાવ્યવહાર સહિત) સુરક્ષા હેતુઓ માટે અથવા સંભવિત છેતરપિંડી અથવા અમારી સેવાની શરતોના અન્ય ઉલ્લંઘનો અને/અથવા અમારા સભ્યો, મુલાકાતીઓ અથવા અન્ય લોકોને નુકસાન પહોંચાડવાના પ્રયાસોને રોકવા અથવા તપાસ કરવા માટે કરીએ છીએ.","We use your data for security purposes (including your communications) or to prevent or investigate possible fraud or other violations of our Terms of Service and / or attempts to cause harm to our members, visitors or others."
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system. The records may be used for such audits.",સિસ્ટમની સુરક્ષા અને માપનીયતા માટે MWCD દ્વારા રોકાયેલા ઓડિટર્સ દ્વારા પોશન ટ્રેકર સિસ્ટમનું નિયમિતપણે ઓડિટ કરવામાં આવે છે. આવા ઓડિટ માટે રેકોર્ડનો ઉપયોગ થઈ શકે છે.,The POSHAN tracker system is regularly audited by auditors engaged by MWCD for safety and scalability of the system and records can be used for such audits.
2.5. Research and operational activities.,2.5. સંશોધન અને ઓપરેશનલ પ્રવૃત્તિઓ.,2.5 Research and operational activities.
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research. We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.","અમે અમારી સેવાઓનું સંચાલન કરવા માટે પણ ડેટાનો ઉપયોગ કરીએ છીએ, જેમાં અમારી કામગીરીનું પૃથ્થકરણ, અમારી કાનૂની જવાબદારીઓ પૂરી કરવી, અમારા કાર્યબળને વિકસાવવા અને સંશોધન કરવાનો સમાવેશ થાય છે. અમે માહિતીનો ઉપયોગ સિસ્ટમની સુધારણા માટે અને સિસ્ટમની જોગવાઈને લગતા આનુષંગિક અથવા આનુષંગિક કાર્યો માટે અને નવી તકનીકો અને સેવાઓ વિકસાવવા અને પ્રદાન કરવા માટે ચોક્કસ જરૂરી કામગીરી કરવા માટે પણ કરી શકીએ છીએ.","We also use the data to manage our services, including analysis of our performance, meeting our legal obligations, developing and researching our workforce We can also use the data to perform specific necessary tasks to improve the system and to develop and deliver new technologies and services."
2.6. Surveys and Feedbacks.,2.6. સર્વેક્ષણો અને પ્રતિભાવો.,2.6.Surveys and responses.
"The System also takes feedback about system performance and experience. Information on name, mobile number, date of registration and health status may be used for these purposes","સિસ્ટમ સિસ્ટમની કામગીરી અને અનુભવ વિશે પ્રતિસાદ પણ લે છે. આ હેતુઓ માટે નામ, મોબાઇલ નંબર, નોંધણીની તારીખ અને આરોગ્યની સ્થિતિ વિશેની માહિતીનો ઉપયોગ કરી શકાય છે","The system also takes feedback about the working and experience of the system. information about name, mobile number, date of registration and health status can be used for these purposes"
3. SHARING OF INFORMATION,3. માહિતીની વહેંચણી,Sharing of information
3.1. Tracking health progress.,3.1. આરોગ્ય પ્રગતિ ટ્રેકિંગ.,3.1 Health progress tracking.
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,. Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.","ઉપરોક્ત કલમ 1 હેઠળ નોંધણી સમયે તમારી પાસેથી એકત્રિત કરવામાં આવેલી વ્યક્તિગત માહિતી, સુરક્ષિત રીતે સંગ્રહિત કરવામાં આવશે અને તેનો ઉપયોગ માત્ર ભારત સરકાર અથવા રાજ્ય સરકારો દ્વારા આરોગ્યની પ્રગતિ અને સ્થિતિને ટ્રેક કરવા, અહેવાલો બનાવવા, ગરમીના નકશા અને અન્ય આંકડાકીય હેતુઓ માટે કરવામાં આવશે. દેશમાં પોશન ટ્રેકરના સંચાલનના હેતુ માટે વિઝ્યુલાઇઝેશન. ઉપરની કલમ 1 મુજબ SMS દ્વારા તમારી સાથે વાતચીત કરવા માટે તમારો સંદર્ભ ID (મોબાઇલ નંબર) ફક્ત તમારી વ્યક્તિગત માહિતી સાથે સહ-સંબંધિત રહેશે.","The personal information collected from you at the time of registration under section 1 above will be securely stored and used only by the Government of India or State Governments for tracking health progress and status, generation of reports, heat maps and other statistical purposes Visualization for the purpose of managing Poshan Tracker in the country Your Reference ID (Mobile Number) for communicating with you through SMS as per section 1 above will be correlated with your personal information only."
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:","અમે તમારી સંમતિ વિના કોઈપણ અન્ય તૃતીય પક્ષોને તમારી માહિતી જાહેર અથવા સ્થાનાંતરિત કરતા નથી, સિવાય કે આવી જાહેરાત અથવા સ્થાનાંતરણ:","We do not disclose or transfer your information to any other third party without your consent, except in the case of such advertisement or transfer:"
1. Required in order to comply with any applicable law or court order or direction; or,1. કોઈપણ લાગુ કાયદા અથવા કોર્ટના આદેશ અથવા નિર્દેશનું પાલન કરવા માટે જરૂરી; અથવા,"(i) necessary for complying with any applicable law or order or direction of the Court, or"
"2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","2. અન્ય બાબતોની સાથે, ઓળખની ચકાસણી, નિવારણ, શોધ, તપાસ, કાર્યવાહી અથવા કોઈપણ ગુના અથવા ઘટનાઓની સજાના હેતુ માટે લાગુ કાયદા અનુસાર કોઈપણ યોગ્ય સરકારી એજન્સી દ્વારા વિનંતી કરવામાં આવી છે.","Among other things, requests have been made by any appropriate Government agency for verification of identity, prevention, detection, investigation, prosecution or for the purpose of punishment of any crime or incident, as per law in force."
3.2. Legal Disclosures.,3.2. કાનૂની જાહેરાતો.,3.2. Legal Announcements.
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","અમે કાનૂની વિનંતી, સબપોના અથવા અન્ય કાનૂની પ્રક્રિયાના જવાબમાં તમારી માહિતીને ઍક્સેસ, સાચવી અને શેર કરી શકીએ છીએ અથવા જો અમને સદ્ભાવનાથી વિશ્વાસ હોય કે (1) છેતરપિંડી અથવા ગેરકાયદેસર પ્રવૃત્તિઓ અંગે તપાસ, અટકાવવા અથવા પગલાં લેવા માટે જાહેરાત વ્યાજબી રીતે જરૂરી છે. અથવા સરકારી અમલીકરણ એજન્સીઓને મદદ કરવા; (2) તમારી સાથેના અમારા કરારો લાગુ કરો; (3) કોઈપણ તૃતીય-પક્ષના દાવાઓ અથવા આરોપો સામે તપાસ કરો અને પોતાનો બચાવ કરો; (4) અમારી સેવાઓની સુરક્ષા અથવા અખંડિતતાનું રક્ષણ કરો (જેમ કે સમાન જોખમોનો સામનો કરતી કંપનીઓ સાથે શેર કરીને); અથવા (5) કોઈપણ વ્યક્તિના અધિકારો અને સલામતીનો ઉપયોગ કરવો અથવા તેનું રક્ષણ કરવું.","We can access, save and share your information in response to legal requests, subpoenas or other legal proceedings, or if we are satisfied that (1) advertisement is reasonably necessary to investigate, prevent or take action regarding fraud or unlawful activities, or (2) enforce our agreements with you to help government enforcement agencies (3) investigate and defend ourselves against any third party claims or allegations (4) protect the safety or integrity of our services (such as by sharing with companies facing similar risks) or (5) exercise or protect the rights and safety of any person."
4. RETENTION,4. રીટેન્શન,RETIREMENT 4
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.","નોંધણી સમયે કલમ 1 હેઠળ તમારી પાસેથી એકત્રિત કરવામાં આવેલી તમામ અંગત માહિતી જ્યાં સુધી તમારો રેકોર્ડ અસ્તિત્વમાં રહેશે ત્યાં સુધી જાળવી રાખવામાં આવશે અને જો કલમ 2 હેઠળ કોઈપણ તબીબી અથવા વહીવટી હસ્તક્ષેપ શરૂ કરવામાં આવ્યા હોય, તો નીચેની કલમ 4(b) ને આધીન હોય, જેમ કે તે પછીનો સમયગાળો જેમ કે આવા હસ્તક્ષેપો પૂર્ણ કરવા માટે જરૂરી છે.","All personal information collected from you at the time of registration under Section 1 shall be maintained till the time your record is in existence and if any medical or administrative intervention is initiated under Section 2, shall be subject to the following Section 4 (b), as required for completion of such further period as may be prescribed."
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.","કલમ 1 હેઠળ એકત્રિત કરવામાં આવેલી તમામ વ્યક્તિગત માહિતી એપ્લિકેશન સર્વર પર જાળવી રાખવામાં આવશે, તે હદ સુધી કે આવી માહિતી ઇવેન્ટ માટે નોંધાયેલા લોકો સાથે સંબંધિત છે.","All personal information collected under Section 1 shall be maintained on the application server, to the extent that such information relates to people registered for the event."
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","અહીં દર્શાવેલ કંઈપણ પોશન ટ્રેકરના નોંધાયેલા વપરાશકર્તાઓના વ્યક્તિગત ડેટા અથવા આવા ડેટાસેટ્સનો ઉપયોગ કરીને બનાવેલા કોઈપણ અહેવાલો, હીટ મેપ્સ અથવા અન્ય વિઝ્યુલાઇઝેશન દ્વારા જનરેટ કરાયેલા અનામી, એકીકૃત ડેટાસેટ્સ પર લાગુ થશે નહીં.","Nothing contained in the Potion Tracker shall apply to anonymous, integrated datasets generated by using registered user data or any reports generated using such datasets, heat maps or other visualizations."
5. RIGHTS,5. અધિકારો,Rights 5.
"As a registered user, you have the right to access your profile at any time. Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","નોંધાયેલ વપરાશકર્તા તરીકે, તમને કોઈપણ સમયે તમારી પ્રોફાઇલને ઍક્સેસ કરવાનો અધિકાર છે. તેમ છતાં, ફેરફારો ફક્ત પોશન ટ્રેકર સિસ્ટમ દ્વારા સમયાંતરે સૂચવ્યા મુજબ જ કરી શકાય છે.","As a registered user, you have the right to access your profile at any time. However, the changes can only be made as suggested from time to time by the Potion Tracker System."
You cannot manage the communications that you receive from us or how you receive them.,તમે અમારી પાસેથી મેળવેલા સંદેશાવ્યવહારને અથવા તમે તેને કેવી રીતે પ્રાપ્ત કરો છો તેનું સંચાલન કરી શકતા નથી.,You cannot manage the communication you receive from us or how you receive it.
6. DATA SECURITY,6. ડેટા સુરક્ષા,Data security
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws. Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server. It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.","પોશાન ટ્રેકર પ્લેટફોર્મ તમારી પ્રાઇવસી અને વ્યક્તિગત માહિતીને નુકસાન, દુરુપયોગ, અનધિકૃત ઍક્સેસ, જાહેરાત, વિનાશ અને લાગુ કાયદાઓના પાલનમાં માહિતીના ફેરફારથી સુરક્ષિત કરવા માટે વાજબી સુરક્ષા પગલાં અને સલામતી ધરાવે છે. વધુમાં, જ્યારે પણ તમે સિસ્ટમ પર તમારું એકાઉન્ટ અથવા તેને લગતી કોઈપણ માહિતી બદલો છો અથવા ઍક્સેસ કરો છો, ત્યારે અમે સુરક્ષિત સર્વરનો ઉપયોગ ઓફર કરીએ છીએ. તે વધુ સ્પષ્ટ કરવામાં આવે છે કે જ્યાં સુધી તમે સિસ્ટમને ઍક્સેસ કરો છો અને/અથવા તેનો ઉપયોગ કરો છો (પ્રત્યક્ષ અથવા પરોક્ષ રીતે), તે સુનિશ્ચિત કરવાની જવાબદારી તમારી છે કે તમે, દરેક સમયે, તમારા અંતે, પૂરતા ભૌતિક, સંચાલકીય અને તકનીકી સુરક્ષાઓ લેશો., તમારા ડેટાની અખંડિતતા અને સુરક્ષાને જાળવવા માટે જેમાં તમારી વ્યક્તિગત માહિતીનો સમાવેશ થાય છે અને તે તેના સુધી મર્યાદિત રહેશે નહીં.","The Poshan Tracker platform has reasonable security measures and safeguards to protect your privacy and personal information from harm, misuse, unauthorized access, advertising, destruction and information manipulation in compliance with applicable laws."
7. CHANGES TO PRIVACY POLICY,7. પ્રાઇવસી પોલિસી માં ફેરફારો,Changes in privacy policy
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes. Any changes or updates will be effective immediately. You should review this Privacy Policy regularly for changes.","Poshan Tracker આ પ્રાઇવસી પોલિસી ના કોઈપણ ભાગને કોઈપણ સમયે બદલવા, સંશોધિત કરવા, ઉમેરવા અથવા દૂર કરવાનો બિનશરતી અધિકાર અનામત રાખે છે, તમને આવા ફેરફારો વિશે ખાસ જાણ કર્યા વિના. કોઈપણ ફેરફારો અથવા અપડેટ તરત જ અસરકારક રહેશે. ફેરફારો માટે તમારે આ પ્રાઇવસી પોલિસી ની નિયમિત સમીક્ષા કરવી જોઈએ.","Poshan Tracker reserves the unconditional right to change, modify, add or remove any part of this Privacy Policy at any time, without giving you any specific information about such changes. Any changes or updates will come into effect immediately."
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System. However, as a user of the System, you should regularly check the Privacy Policy for any changes. We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy. Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy. If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System. You hereby acknowledge that any collection, storage, processing or other use of your information shall be governed by the Privacy Policy as applicable at the time of such collection, storage, processing or other use.","અમે સામાન્ય રીતે તમામ વપરાશકર્તાઓને આ પ્રાઇવસી પોલિસી માં કોઈપણ ભૌતિક ફેરફારોની સૂચના આપવા માટે વ્યાવસાયિક રીતે વાજબી પ્રયાસોનો ઉપયોગ કરીશું, જેમ કે સિસ્ટમ પરની સૂચના દ્વારા. જો કે, સિસ્ટમના વપરાશકર્તા તરીકે, તમારે કોઈપણ ફેરફારો માટે નિયમિતપણે પ્રાઇવસી પોલિસી તપાસવી જોઈએ. અમે આ પ્રાઇવસી પોલિસી ની ટોચ પર ""છેલ્લી અપડેટ કરેલ"" તારીખને પણ અપડેટ કરીશું, જે આ પ્રાઇવસી પોલિસી ની અસરકારક તારીખને પ્રતિબિંબિત કરે છે. નવી પ્રાઇવસી પોલિસી ની તારીખ પછી સિસ્ટમની તમારી સતત ઍક્સેસ અથવા ઉપયોગ નવી પ્રાઇવસી પોલિસી ની તમારી સ્વીકૃતિની રચના કરે છે. જો તમે નવી પ્રાઇવસી પોલિસી સાથે સંમત ન હોવ, તો તમારે સિસ્ટમને ઍક્સેસ કરવાનું અને/અથવા ઉપયોગ કરવાનું બંધ કરવું પડશે. તમે આથી સ્વીકારો છો કે તમારી માહિતીનો કોઈપણ સંગ્રહ, સંગ્રહ, પ્રક્રિયા અથવા અન્ય ઉપયોગ આવા સંગ્રહ, સંગ્રહ, પ્રક્રિયા અથવા અન્ય ઉપયોગના સમયે લાગુ પડતી પ્રાઇવસી પોલિસી દ્વારા સંચાલિત થશે.","We will generally use commercially reasonable efforts to notify all users of any physical changes to this Privacy Policy, such as through a notification on the system. However, as a user of the system, you should regularly check for any changes. We will also update the last updated date at the top of this Privacy Policy, reflecting the effective date of this Privacy Policy. Your continued access or use of the system after the new Privacy Policy date creates your acceptance of the new Privacy Policy. If you do not agree with the new Privacy Policy, you will have to allow me to access and / or use any of your information, storage, or other storage processes."
Careers At Poshan Tracker,પોષણ ટ્રેકર ખાતેની કારકિર્દી,Career as a nutrition tracker
