en,mr,translated
This Privacy Policy is required to be read in conjunction with the Terms of Service available at ,हे गोपनीयता धोरण ,This Privacy Policy
". Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service. By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy."," वर उपलब्ध सेवा अटींसह वाचणे आवश्यक आहे. तुमचा प्रणालीचा प्रवेश आणि वापर हे गोपनीयता धोरण आणि सेवा अटी तुमच्या स्वीकृतीवर सशर्त आहे. सिस्टीममध्ये प्रवेश करून आणि/किंवा वापरून, तुम्ही प्रतिनिधित्व करता की तुम्ही सेवा अटी आणि गोपनीयता धोरण वाचले आहे, समजले आहे आणि त्यांना बांधील आहात आणि तुम्ही तुमची माहिती आणि डेटा संकलित, संग्रहित आणि मांडलेल्या पद्धतीने वापरण्यास संमती देता. या गोपनीयता धोरणामध्ये.","You must read the Terms of Service as above. Access and use of your system is conditional on your acceptance of the Privacy Policy and / or the Privacy Policy. By logging into the system, and / or using it, you represent that you have read, understood and committed to the Terms of Service and Privacy Policy and that you allow your information and data to be used in a way that is stored, stored, and stored. In this Privacy Policy."
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,तुम्ही याद्वारे कबूल करता की या गोपनीयता धोरणाच्या कलम 1 मध्ये वर्णन केल्यानुसार तुमची माहिती संग्रहित करणे या गोपनीयता धोरणाच्या कलम 2 आणि 3 मध्ये निर्दिष्ट केलेल्या उद्देशांची पूर्तता करण्यासाठी आवश्यक आहे.,You agree that it is necessary to collect your data as defined in Section 1 of this Privacy Policy for the purposes specified in Section 2 and 3 of this Privacy Policy.
1. INFORMATION WE COLLECT,1. आम्ही गोळा करत असलेली माहिती,Information we are collecting
1.1. Information you provide to us.,1.1. तुम्ही आम्हाला प्रदान केलेली माहिती.,1.1.The information you have provided to us.
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account. This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) Address","तुम्ही आमच्या सेवा वापरता तेव्हा तुम्ही दिलेली सामग्री आणि इतर माहिती आम्ही गोळा करतो, ज्यामध्ये तुम्ही खात्यासाठी साइन अप करता तेव्हा. यात समाविष्ट असू शकते- (i) नाव (ii) मोबाईल नंबर (iii) जन्मतारीख (iv) लिंग (v) मुलाचे नाव (vi) आधार क्रमांक (vii) पत्ता","When you use our services, we collect your content and other information, which may include (i) name (ii) mobile number (iii) date of birth (iv) gender (vi) name of the child (vii) Aadhaar number (vii) address"
"If you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature. You may, however, choose not to share personal data where providing the data is optional.","तुम्हाला उत्पादन किंवा वैशिष्ट्य प्रदान करण्यासाठी आवश्यक असलेला डेटा न देणे तुम्ही निवडल्यास, तुम्ही ते उत्पादन किंवा वैशिष्ट्य वापरू शकत नाही. तथापि, तुम्ही वैयक्तिक डेटा शेअर न करणे निवडू शकता जेथे डेटा प्रदान करणे पर्यायी आहे.","If you do not choose to provide the data you need to provide a product or feature, you may not be able to use that product or feature. However, you can choose not to share personal data where providing data is optional."
1.2. Information from use of services.,1.2. सेवांच्या वापरावरून माहिती.,1.2 Information on use of services.
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","तुम्ही आमच्या साइट्स, ॲप आणि प्लॅटफॉर्म तंत्रज्ञानासह आमच्या सेवांना भेट देता किंवा अन्यथा वापरता तेव्हा आम्ही वापर डेटा लॉग करतो.","We log in to usage data when you visit our services or otherwise use them with our sites, apps and platform technology."
"We may use various technologies to collect and store information, including cookies, local storage, such as browser web storage or application data caches, databases, and server logs to collect and use your information in certain cases.","आम्ही कुकीज, स्थानिक स्टोरेज, जसे की ब्राउझर वेब स्टोरेज किंवा ऍप्लिकेशन डेटा कॅशे, डेटाबेस आणि काही विशिष्ट प्रकरणांमध्ये तुमची माहिती गोळा करण्यासाठी आणि वापरण्यासाठी सर्व्हर लॉगसह माहिती गोळा आणि संग्रहित करण्यासाठी विविध तंत्रज्ञानाचा वापर करू शकतो.","We can use various technologies such as cookies, local storage, such as browser web storage or application data caches, databases and server logs to collect and store data for use in specific cases."
1.3. Information from third parties.,1.3. तृतीय पक्षांकडून माहिती.,1.3 Inputs from third parties.
"Our System provides API to Third – Party Sites that may collect your personal information. Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites. Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites. These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to. This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites. We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information. You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.","आमची सिस्टीम तृतीय-पक्ष साइट्सना एपीआय प्रदान करते जी तुमची वैयक्तिक माहिती संकलित करू शकते. पोषण ट्रॅकर अशा माहितीच्या सुरक्षिततेसाठी किंवा त्यांच्या गोपनीयता पद्धती किंवा त्या तृतीय पक्षाच्या साइट्सच्या सामग्रीसाठी कोणत्याही प्रकारे जबाबदार नाही. याव्यतिरिक्त, तृतीय पक्ष साइट्सच्या काही पृष्ठांवर तुम्हाला कुकीज किंवा इतर तत्सम उपकरणे देखील आढळू शकतात आणि पोषण ट्रॅकरद्वारे हे स्पष्ट केले आहे की प्रणाली या तृतीय-पक्ष साइट्सद्वारे कुकीजच्या वापरावर नियंत्रण ठेवत नाही. या तृतीय-पक्ष सेवा प्रदाते आणि तृतीय-पक्ष साइट्सची त्यांची स्वतःची गोपनीयता धोरणे असू शकतात जी तुमची माहिती साठवून ठेवण्यासाठी आणि ठेवण्यावर नियंत्रण ठेवू शकतात ज्यांच्या तुम्ही अधीन असाल. हे गोपनीयता धोरण या तृतीय-पत्नींना प्रदान केलेली, संग्रहित केलेली किंवा वापरली जाणारी कोणतीही माहिती नियंत्रित करत नाही. आम्ही शिफारस करतो की तुम्ही तृतीय-पक्षाच्या साइटमध्ये प्रवेश करता तेव्हा, तुम्ही तृतीय पक्षाच्या साइटच्या गोपनीयता धोरणाचे पुनरावलोकन करा कारण ते तुमच्या माहितीच्या सुरक्षेशी संबंधित आहे. तुम्ही सहमत आहात आणि कबूल करता की शोध परिणामांमध्ये किंवा कोणत्याही तृतीय-पक्ष साइटद्वारे प्रकाशित केलेल्या माहितीसाठी पोषण ट्रॅकर जबाबदार राहणार नाही.","Our system provides APIs to third-party sites that can collect your personal information. Poshan trackers are in no way responsible for the security of such information or for their privacy practices or content on those third-party sites. In addition, you may find cookies or other similar devices on some pages of third-party sites, and through POSHAN trackers have made it clear that the system does not control the use of cookies through these third-party sites. These third-party service providers and third-party sites may have their own privacy policies that control the storage and storage of your information that you will be subject to."
2. HOW WE USE PERSONAL INFORMATION,2. आम्ही वैयक्तिक माहिती कशी वापरतो,How do we use personal information?
We use the information we collect from all our services for the following purposes:,आम्ही आमच्या सर्व सेवांमधून संकलित केलेली माहिती खालील उद्देशांसाठी वापरतो:,We use the data collected from all our services for the following purposes:
2.1. Deliver our services.,2.1. आमच्या सेवा वितरीत करा.,Distribute our services.
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.","कलम 1 अंतर्गत संकलित केलेली माहिती, लाभार्थींच्या आरोग्याच्या सुविधेसाठी वापरली जाईल.",The data collected under Section 1 will be used for the health facility of the beneficiary.
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","आम्ही आमची उत्पादने प्रदान करतो, ज्यामध्ये सिस्टमची माहिती/डेटा/ सामग्री आणि सामग्री अद्यतनित करणे, सुरक्षित करणे आणि समस्यानिवारण करणे तसेच समर्थन प्रदान करणे समाविष्ट आहे.","We provide our products, which include updating, securing and troubleshooting and providing support for system information / data / content and content."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database. These can also be used to assess the health status as recorded in the Poshan Tracker system.","जेव्हा तुम्ही पोषण ट्रॅकर वर नोंदणी करता, तेव्हा तुम्ही ज्या मोबाईल नंबरने नोंदणी केली होती, तो मोबाईल नंबर डेटाबेसमधून तुमचा रेकॉर्ड शोधण्यासाठी वापरला जाईल. पोषण ट्रॅकर प्रणालीमध्ये नोंदवल्याप्रमाणे आरोग्य स्थितीचे मूल्यांकन करण्यासाठी देखील याचा वापर केला जाऊ शकतो.","When you register on POSHAN tracker, the mobile number that you have registered will be used to track your record from the database, which can also be used to assess the health status as recorded in the POSHAN tracker system."
2.2. Communicate with you.,2.2. तुमच्याशी संवाद साधणे.,2.2. Interact with you.
"We also send SMSs on your registered mobile number to alert you about registration, we also use your information to respond to you when you contact us and to investigate, respond to and resolve complaints and for Service issues (e.g. bugs).","आम्ही तुमच्या नोंदणीकृत मोबाइल नंबरवर तुम्हाला नोंदणीबद्दल सूचना देण्यासाठी एसएमएस देखील पाठवतो, तुम्ही आमच्याशी संपर्क साधता तेव्हा तुम्हाला प्रतिसाद देण्यासाठी आणि तक्रारींची तपासणी करण्यासाठी, प्रतिसाद देण्यासाठी आणि सेवा समस्यांसाठी (उदा. बग) आम्ही तुमची माहिती वापरतो.","We also send SMS to your registered mobile number to inform you about the registration, when you contact us, we use your information to respond to you and examine your complaints, to respond to feedback and to address service issues (e.g. bugs)."
2.3. Verification.,2.3. पडताळणी.,2.3. Verification.
"We use the information we have, to help verify accounts. The records may be used for verification of health status for the purposes of Poshan Tracker control and response.",खाती पडताळण्यात मदत करण्यासाठी आम्ही आमच्याकडे असलेली माहिती वापरतो. पोषण ट्रॅकर नियंत्रण आणि प्रतिसादाच्या उद्देशाने आरोग्य स्थितीच्या पडताळणीसाठी रेकॉर्डचा वापर केला जाऊ शकतो.,We use the information we have to help us validate the accounts.The records can be used to verify the health status for the purpose of nutrition tracker control and response.
2.4. Security and Audit.,2.4. सुरक्षा आणि ऑडिट.,2.4 Security and Audit.
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.","आम्‍ही तुमचा डेटा (तुमच्‍या संप्रेषणांसह) सुरक्षिततेच्‍या उद्देशांसाठी वापरतो किंवा संभाव्य फसवणूक किंवा आमच्या सेवा अटींचे इतर उल्लंघन आणि/किंवा आमचे सदस्य, अभ्यागत किंवा इतरांना हानी पोहोचवण्‍याचा प्रयत्‍न रोखण्‍यासाठी किंवा तपासण्‍यासाठी करतो.","We use your data (including your communications) for security purposes or to prevent or investigate potential fraud or other violations of our Terms of Service and / or attempts to harm our members, guests or others."
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system. The records may be used for such audits.",प्रणालीच्या सुरक्षितता आणि मापनक्षमतेसाठी पोषण ट्रॅकर प्रणालीचे नियमितपणे एमडब्ल्यूसीडीद्वारे गुंतलेल्या ऑडिटर्सद्वारे ऑडिट केले जाते. अशा ऑडिटसाठी नोंदी वापरल्या जाऊ शकतात.,The POSHAN tracker system is regularly audited by auditors engaged by MWCD for safety and scalability of the system and records can be used for such audits.
2.5. Research and operational activities.,2.5. संशोधन आणि ऑपरेशनल क्रियाकलाप.,2.5 Research and operational activities.
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research. We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.","आम्ही आमच्या सेवा ऑपरेट करण्यासाठी देखील डेटा वापरतो, ज्यामध्ये आमच्या कार्यप्रदर्शनाचे विश्लेषण करणे, आमच्या कायदेशीर दायित्वांची पूर्तता करणे, आमचे कार्यबल विकसित करणे आणि संशोधन करणे समाविष्ट आहे. प्रणालीच्या सुधारणेसाठी आणि प्रणालीच्या तरतुदीशी संबंधित सर्व आनुषंगिक किंवा सहायक कृतींसाठी आणि नवीन तंत्रज्ञान आणि सेवा विकसित आणि प्रदान करण्यासाठी आम्ही काही आवश्यक ऑपरेशन करण्यासाठी देखील माहिती वापरू शकतो.","We also use data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research. We can also use data to perform some necessary operations to improve the system and for all ancillary or auxiliary actions related to the provision of the system and to develop and deliver new technologies and services."
2.6. Surveys and Feedbacks.,2.6. सर्वेक्षण आणि अभिप्राय.,2.6 Survey and Opinion
"The System also takes feedback about system performance and experience. Information on name, mobile number, date of registration and health status may be used for these purposes","ही यंत्रणा व्यवस्थेचे कार्यप्रदर्शन आणि अनुभवाबद्दल फीडबॅक देखील घेते. या उद्देशांसाठी नाव, मोबाईल नंबर, नोंदणीची तारीख आणि आरोग्य स्थिती यावरील माहिती वापरली जाऊ शकते","The system also takes feedback about the performance and experience of the system. Information on name, mobile number, date of registration and health status can be used for these purposes"
3. SHARING OF INFORMATION,3. माहितीची देवाणघेवाण,Exchange of information
3.1. Tracking health progress.,3.1. आरोग्य प्रगतीचा पाठपुरावा करणे.,3.1 Tracking health progress.
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,. Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.","उपरोक्त कलम 1 अंतर्गत नोंदणीच्या वेळी तुमच्याकडून गोळा केलेली वैयक्तिक माहिती सुरक्षितपणे संग्रहित केली जाईल आणि ती केवळ भारत सरकार किंवा राज्य सरकारे आरोग्य प्रगती आणि स्थितीचा मागोवा घेण्यासाठी, अहवाल तयार करण्यासाठी, उष्णतेचे नकाशे आणि इतर सांख्यिकी यासाठी वापरली जाईल. देशातील पोषण ट्रॅकरच्या व्यवस्थापनाच्या उद्देशाने व्हिज्युअलायझेशन,. तुमचा संदर्भ आयडी (मोबाइल नंबर) वरील कलम 1 नुसार तुमच्याशी एसएमएसद्वारे संवाद साधण्यासाठी केवळ तुमच्या वैयक्तिक माहितीशी सह-संबंधित असेल.","The personal information collected from you at the time of registration under section 1 above will be securely stored and used only by the Government of India or State Governments for tracking health progress and status, preparation of reports, heat maps and other statistics. Visualization for the purpose of managing nutrition tracker in the country, your reference ID (mobile number) will be correlated with your personal information only for communicating with you through SMS as per section 1 above."
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:","तुमच्या संमतीशिवाय आम्ही तुमची माहिती इतर कोणत्याही तृतीय पक्षाकडे उघड किंवा हस्तांतरित करत नाही, जोपर्यंत असे प्रकटीकरण किंवा हस्तांतरण होत नाही:",We do not disclose or transfer your information to any third party without your consent unless such disclosure or transfer is made:
1. Required in order to comply with any applicable law or court order or direction; or,1. कोणत्याही लागू कायद्याचे किंवा न्यायालयाच्या आदेशाचे किंवा निर्देशांचे पालन करण्यासाठी आवश्यक; किंवा,"(i) necessary for complying with any applicable law or order or directions of any court, or"
"2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","2. इतर गोष्टींबरोबरच, ओळखीची पडताळणी, प्रतिबंध, शोध, तपास, खटला चालवणे किंवा कोणताही गुन्हा किंवा घटनांची शिक्षा या उद्देशाने लागू कायद्यानुसार कोणत्याही योग्य सरकारी एजन्सीने विनंती केली आहे.","Any appropriate Government agency has been requested, inter alia, by any law for the time being in force, for the purpose of verification of identity, prevention, search, investigation, prosecution or punishment of any offence or incident."
3.2. Legal Disclosures.,3.2. कायदेशीर खुलासे.,3.2. Legal clarification.
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","कायदेशीर विनंती, सबपोना किंवा इतर कायदेशीर प्रक्रियेला प्रतिसाद म्हणून आम्ही तुमची माहिती ऍक्सेस करू शकतो, जतन करू शकतो आणि शेअर करू शकतो किंवा (1) फसवणूक किंवा बेकायदेशीर क्रियाकलापांबद्दल चौकशी, प्रतिबंध किंवा कारवाई करण्यासाठी खुलासा करणे वाजवीपणे आवश्यक आहे असा सद्भावनापूर्ण विश्वास असल्यास किंवा सरकारी अंमलबजावणी संस्थांना मदत करण्यासाठी; (2) तुमच्यासोबतचे आमचे करार लागू करा; (3) कोणत्याही तृतीय-पक्षाच्या दाव्यांविरुद्ध किंवा आरोपांविरुद्ध तपास करा आणि स्वतःचा बचाव करा; (4) आमच्या सेवांच्या सुरक्षिततेचे किंवा अखंडतेचे रक्षण करा (जसे की अशाच प्रकारच्या धोक्यांचा सामना करणाऱ्या कंपन्यांशी शेअर करून); किंवा (5) कोणत्याही व्यक्तीचे अधिकार आणि सुरक्षितता वापरणे किंवा त्यांचे संरक्षण करणे.","We can access, store and share your information in response to legal requests, subpoenas, or other legal proceedings, or (1) if there is a bona fide belief that it is reasonably necessary to disclose, investigate, prevent or take action against fraud or unlawful activities, or (2) enforce our agreement with you to help government enforcement agencies (3) investigate and defend ourselves against third party claims or allegations (4) protect the safety or integrity of our services (such as by sharing with companies facing similar threats), or (5) exercise or protect the right and security of any person."
4. RETENTION,4. धारणा,Concept 4
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.","नोंदणीच्या वेळी कलम 1 अंतर्गत तुमच्याकडून गोळा केलेली सर्व वैयक्तिक माहिती जोपर्यंत तुमचा रेकॉर्ड अस्तित्वात आहे तोपर्यंत राखून ठेवली जाईल आणि कलम 2 अंतर्गत, खालील कलम 4(b) च्या अधीन राहून कोणतेही वैद्यकीय किंवा प्रशासकीय हस्तक्षेप सुरू केले गेले असतील तर त्यानंतरचा कालावधी अशा हस्तक्षेप पूर्ण करण्यासाठी आवश्यक आहे.","At the time of registration, all personal information collected from you under section 1 shall be maintained till the time your record is maintained and under section 2, if any medical or administrative intervention is initiated under section 4 (b) of the Act, the period thereafter is required to complete such intervention."
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.","कलम 1 अंतर्गत गोळा केलेली सर्व वैयक्तिक माहिती ऍप्लिकेशन सर्व्हरवर ठेवली जाईल, ज्या प्रमाणात अशी माहिती कार्यक्रमासाठी नोंदणीकृत लोकांशी संबंधित असेल.","All personal information collected under Section 1 shall be put on the application server, the extent to which such information relates to people registered for the event."
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","येथे नमूद केलेली कोणतीही गोष्ट पोषण ट्रॅकरच्या नोंदणीकृत वापरकर्त्यांच्या वैयक्तिक डेटाद्वारे व्युत्पन्न केलेल्या अनामित, एकत्रित डेटासेटवर किंवा अशा डेटासेटचा वापर करून तयार केलेले कोणतेही अहवाल, उष्णता नकाशे किंवा इतर व्हिज्युअलायझेशनवर लागू होणार नाही.","Nothing mentioned here shall apply to anonymous, aggregated datasets generated by the personal data of registered users of POSHAN tracker or any reports generated using such datasets, heat maps or other visualizations."
5. RIGHTS,5. अधिकार,Rights 5.
"As a registered user, you have the right to access your profile at any time. Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","नोंदणीकृत वापरकर्ता म्हणून, तुम्हाला तुमच्या प्रोफाइलमध्ये प्रवेश करण्याचा अधिकार आहे. तथापि, बदल केवळ पोषण ट्रॅकर प्रणालीद्वारे वेळोवेळी निर्धारित केल्यानुसारच केले जाऊ शकतात.","As a registered user, you have the right to access your profile. However, changes can only be made as scheduled by the POSHAN tracker system from time to time."
You cannot manage the communications that you receive from us or how you receive them.,तुम्ही आमच्याकडून प्राप्त झालेले संप्रेषण किंवा ते कसे प्राप्त करता ते तुम्ही व्यवस्थापित करू शकत नाही.,You cannot manage the communications you receive from us or how you receive them.
6. DATA SECURITY,6. डेटा सुरक्षा,Data security
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws. Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server. It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.","पोषण ट्रॅकर प्लॅटफॉर्ममध्ये तुमची गोपनीयता आणि वैयक्तिक माहितीचे नुकसान, गैरवापर, अनधिकृत प्रवेश, प्रकटीकरण, नाश आणि लागू कायद्यांचे पालन करून माहितीमध्ये फेरफार यापासून संरक्षण करण्यासाठी वाजवी सुरक्षा उपाय आणि सुरक्षा उपाय आहेत. पुढे, जेव्हाही तुम्ही सिस्टीमवरील तुमचे खाते किंवा त्यासंबंधी कोणतीही माहिती बदलता किंवा ऍक्सेस करता तेव्हा आम्ही सुरक्षित सर्व्हर वापरण्याची ऑफर देतो. हे पुढे स्पष्ट करण्यात आले आहे की, जोपर्यंत तुम्ही प्रणालीमध्ये प्रवेश करता आणि/किंवा वापरता (प्रत्यक्ष किंवा अप्रत्यक्षपणे), तुम्ही हे सुनिश्चित करण्याचे बंधन तुमच्याकडे आहे की, तुम्ही, तुमच्या शेवटी, पुरेशा भौतिक, व्यवस्थापकीय आणि तांत्रिक सुरक्षेचे पालन कराल., तुमच्या डेटाची अखंडता आणि सुरक्षितता जपण्यासाठी ज्यामध्ये तुमची वैयक्तिक माहिती समाविष्ट असेल आणि ती मर्यादित नसेल.","The POSHAN tracker platform has appropriate security measures and security measures to protect your privacy and personal information from being compromised, misused, unauthorized access, disclosure, destruction and change of information by complying with applicable laws."
7. CHANGES TO PRIVACY POLICY,7. गोपनीयता धोरणातील बदल,Changes in privacy policy
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes. Any changes or updates will be effective immediately. You should review this Privacy Policy regularly for changes.","पोषण ट्रॅकर या गोपनीयता धोरणाचा कोणताही भाग कोणत्याही वेळी बदलण्याचा, सुधारण्याचा, जोडण्याचा किंवा काढून टाकण्याचा बिनशर्त अधिकार राखून ठेवतो, विशेषत: अशा बदलांबद्दल तुम्हाला सूचित न करता. कोणतेही बदल किंवा अद्यतने त्वरित प्रभावी होतील. बदलांसाठी तुम्ही या गोपनीयता धोरणाचे नियमितपणे पुनरावलोकन करावे.","Poshan Tracker retains the unconditionally right to change, modify, add or remove any part of this privacy policy at any time, especially without informing you of such changes. Any changes or updates will take effect immediately. For changes, you must regularly review this privacy policy."
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System. However, as a user of the System, you should regularly check the Privacy Policy for any changes. We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy. Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy. If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System. You hereby acknowledge that any collection, storage, processing or other use of your information shall be governed by the Privacy Policy as applicable at the time of such collection, storage, processing or other use.","आम्ही या गोपनीयता धोरणातील कोणत्याही भौतिक बदलांबद्दल सर्व वापरकर्त्यांना सूचित करण्यासाठी व्यावसायिकदृष्ट्या वाजवी प्रयत्न करू, जसे की सिस्टमवरील सूचना. तथापि, सिस्टमचा वापरकर्ता म्हणून, कोणत्याही बदलांसाठी तुम्ही नियमितपणे गोपनीयता धोरण तपासले पाहिजे. आम्ही या गोपनीयता धोरणाच्या शीर्षस्थानी \""अंतिम अद्यतनित\"" तारीख देखील अद्यतनित करू, जी या गोपनीयता धोरणाची प्रभावी तारीख दर्शवते. नवीन गोपनीयता धोरणाच्या तारखेनंतर तुमचा सतत प्रवेश किंवा सिस्टमचा वापर नवीन गोपनीयता धोरणाची तुमची स्वीकृती बनवते. तुम्ही नवीन गोपनीयता धोरणाशी सहमत नसल्यास, तुम्ही सिस्टममध्ये प्रवेश करणे आणि/किंवा वापरणे थांबवणे आवश्यक आहे. तुम्ही याद्वारे कबूल करता की तुमच्या माहितीचे कोणतेही संकलन, स्टोरेज, प्रक्रिया किंवा इतर वापर हे अशा संकलन, स्टोरेज, प्रक्रिया किंवा इतर वापराच्या वेळी लागू असलेल्या गोपनीयता धोरणाद्वारे नियंत्रित केले जातील.","We will make a professional effort to inform all users about any physical changes to this Privacy Policy, such as notifications on the system. However, as a user of the system, you should regularly check the Privacy Policy for any changes. We will also update the 'Last Update' date at the top of this Privacy Policy, which indicates an effective date for this Privacy Policy. Your continued access to or use of the system after the new Privacy Policy date makes you an acceptance of the New Privacy Policy. If you do not agree with the new Privacy Policy, you need to stop accessing and / or using the system. You agree that any collection, storage, process or other use of your information will be governed by the Privacy Policy applicable at the time of its collection, storage, process or other usage."
Careers At Poshan Tracker,पोषण ट्रॅकरमध्ये करिअर,Career in Nutrition Tracker
We believe in building doers. Poshan Tracker is a project of Ministry of Women and Child Development. Digital India Corporation is the technical partner of MoWCD. Poshan Tracker focuses on eradication of malnutrition from India. It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan.,दरवाजे बांधण्यावर आमचा विश्वास आहे. पोषण ट्रॅकर हा महिला आणि बाल विकास मंत्रालयाचा प्रकल्प आहे. डिजिटल इंडिया कॉर्पोरेशन हे मोडब्ल्यूसीडी  चे तांत्रिक भागीदार आहे. पोषण ट्रॅकर भारतातून कुपोषण निर्मूलनावर लक्ष केंद्रित करते. पोषण अभियानांतर्गत सेवा वितरणावर देखरेख आणि सुधारणा करण्यासाठी हे एक यंत्रणा म्हणून काम करते.,POSHAN tracker is a project of the Ministry of Women and Child Development. Digital India Corporation is a technology partner of MoWCD. POSHAN tracker focuses on eradicating malnutrition from India. It acts as a mechanism for monitoring and improving service delivery under POSHAN Abhiyaan.
