en,ta,translated_helsinki
This Privacy Policy is required to be read in conjunction with the Terms of Service available at ,இந்த தனியுரிமைக் கொள்கையானது ,This is a fundamental principle of self - determination.
". Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service. By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy."," இல் கிடைக்கும் சேவை விதிமுறைகளுடன் இணைந்து படிக்கப்பட வேண்டும். இந்த தனியுரிமைக் கொள்கை மற்றும் சேவை விதிமுறைகளை நீங்கள் ஏற்றுக்கொள்வதன் மூலம் உங்கள் கணினிக்கான அணுகல் மற்றும் பயன்பாடு நிபந்தனைக்குட்பட்டது. சிஸ்டத்தை அணுகுதல் மற்றும்/அல்லது பயன்படுத்துவதன் மூலம், சேவை விதிமுறைகள் மற்றும் இந்த தனியுரிமைக் கொள்கையை நீங்கள் படித்து, புரிந்து கொண்டு, அதற்குக் கட்டுப்பட்டிருப்பதைக் குறிப்பிடுகிறீர்கள், மேலும் இந்த தனியுரிமைக் கொள்கையில் உங்கள் தகவல் மற்றும் தரவு சேகரிக்கப்பட்டு, சேமித்து வைக்கப்பட்டுள்ள முறையில் பயன்படுத்தப்படுவதை ஒப்புக்கொள்கிறீர்கள்.","The service you are receiving must be connected to the service's policies. This privacy policy and the service's policies have been compromised by your computer's access and usage. By accessing the system and/or using it, you will be able to read, understand and control the service's rules and this privacy policy and will allow you to make use of your data and data in a secure way."
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,இந்த தனியுரிமைக் கொள்கையின் பிரிவு 1ல் விவரிக்கப்பட்டுள்ளபடி உங்கள் தகவலைச் சேகரிப்பது இந்தத் தனியுரிமைக் கொள்கையின் 2 மற்றும் 3வது பிரிவில் குறிப்பிடப்பட்டுள்ள நோக்கங்களை நிறைவேற்றுவது அவசியம் என்பதை நீங்கள் ஒப்புக்கொள்கிறீர்கள்.,You agree that it is necessary to collect your information as described in section 1 of this Privacy Policy to meet the objectives set out in sections 2 and 3 of this Privacy Policy.
1. INFORMATION WE COLLECT,1. நாங்கள் சேகரிக்கும் தகவல்,1. The information we collect.
1.1. Information you provide to us.,1.1. நீங்கள் எங்களுக்கு வழங்கும் தகவல்.,( b) How can we show that we are grateful for Jehovah’s undeserved kindness?
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account. This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) Address","நீங்கள் எங்கள் சேவைகளைப் பயன்படுத்தும் போது நீங்கள் வழங்கும் உள்ளடக்கம் மற்றும் பிற தகவல்களை நாங்கள் சேகரிக்கிறோம், நீங்கள் கணக்கில் பதிவு செய்வது உட்பட. இதில் அடங்கும்- (i) பெயர் (ii) மொபைல் எண் (iii) பிறந்த தேதி (iv) பாலினம் (v) குழந்தையின் பெயர் (vi) ஆதார் எண் (vii) முகவரி","When you use our services, we collect the content and other information you provide, including your recording in the account. This includes (i) the name (ii) the mobile phone number (iii) the date of birth, (iv) the name of the child (vi) and (vii) the address of the child."
"If you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature. You may, however, choose not to share personal data where providing the data is optional.","ஒரு தயாரிப்பு அல்லது அம்சத்தை உங்களுக்கு வழங்கத் தேவையான தரவை வழங்க வேண்டாம் என நீங்கள் தேர்வுசெய்தால், அந்த தயாரிப்பு அல்லது அம்சத்தை நீங்கள் பயன்படுத்த முடியாது. இருப்பினும், தரவை வழங்குவது விருப்பமானதாக இருந்தால், தனிப்பட்ட தரவைப் பகிர வேண்டாம் என்று நீங்கள் தேர்வு செய்யலாம்.","If you choose not to provide the required data for a preparation or part, you will not be able to use that preparation or part. However, you can choose not to share the particular data if you would like to provide it."
1.2. Information from use of services.,1.2. சேவைகளின் பயன்பாட்டிலிருந்து தகவல்.,The information provided by this brochure may not apply fully to your situation because of tax laws or other laws in your country.
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","எங்கள் தளங்கள், பயன்பாடு மற்றும் இயங்குதளத் தொழில்நுட்பம் உட்பட, எங்கள் சேவைகளைப் பார்வையிடும்போது அல்லது பயன்படுத்தும்போது பயன்பாட்டுத் தரவை நாங்கள் பதிவு செய்கிறோம்.","We record our user data when viewing or using our services, including our desktop, application, and machine tools."
"We may use various technologies to collect and store information, including cookies, local storage, such as browser web storage or application data caches, databases, and server logs to collect and use your information in certain cases.","குக்கீகள், லோக்கல் ஸ்டோரேஜ், உலாவி வலைச் சேமிப்பகம் அல்லது பயன்பாட்டுத் தரவுத் தேக்ககங்கள், தரவுத்தளங்கள் மற்றும் சேவையகப் பதிவுகள் உள்ளிட்ட தகவல்களைச் சேகரித்துச் சேமிப்பதற்கும், குறிப்பிட்ட சந்தர்ப்பங்களில் உங்கள் தகவலைச் சேகரித்துப் பயன்படுத்துவதற்கும் பல்வேறு தொழில்நுட்பங்களை நாங்கள் பயன்படுத்தலாம்.","We can use various tools to store and store information on cookies, local stores, web sites, or application databases, databases and service reports, and to collect and use your information in specific situations."
1.3. Information from third parties.,1.3. மூன்றாம் தரப்பினரிடமிருந்து தகவல்.,( b) What questions will we consider in the next article?
"Our System provides API to Third – Party Sites that may collect your personal information. Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites. Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites. These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to. This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites. We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information. You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.","உங்கள் தனிப்பட்ட தகவல்களைச் சேகரிக்கக்கூடிய மூன்றாம் தரப்பு தளங்களுக்கு எங்கள் அமைப்பு API ஐ வழங்குகிறது. அத்தகைய தகவல் அல்லது அவர்களின் தனியுரிமை நடைமுறைகள் அல்லது அந்த மூன்றாம் தரப்பு தளங்களின் உள்ளடக்கத்திற்கு போஷன் டிராக்கர் எந்த வகையிலும் பொறுப்பாக இல்லை. கூடுதலாக, மூன்றாம் தரப்பு தளங்களின் சில பக்கங்களில் ""குக்கீகள்"" அல்லது பிற ஒத்த சாதனங்களையும் நீங்கள் சந்திக்கலாம், மேலும் இந்த மூன்றாம் தரப்பு தளங்கள் குக்கீகளைப் பயன்படுத்துவதை கணினி கட்டுப்படுத்தாது என்பதை போஷன் டிராக்கர் மூலம் தெளிவுபடுத்துகிறது. இந்த மூன்றாம் தரப்பு சேவை வழங்குநர்கள் மற்றும் மூன்றாம் தரப்பு தளங்கள் நீங்கள் உட்பட்ட உங்கள் தகவலைச் சேமித்து வைத்திருத்தல் ஆகியவற்றை நிர்வகிக்கும் தங்கள் தனியுரிமைக் கொள்கைகளைக் கொண்டிருக்கலாம். இந்தத் தனியுரிமைக் கொள்கையானது, இந்த மூன்றாம் தரப்பு வழங்குநர்கள் மற்றும் மூன்றாம் தரப்பு தளங்களுக்கு வழங்கப்படும், சேமித்து வைத்திருக்கும் அல்லது பயன்படுத்தப்படும் எந்தத் தகவலையும் நிர்வகிக்காது. நீங்கள் மூன்றாம் தரப்பு தளத்தை உள்ளிடும்போது, உங்கள் தகவலைப் பாதுகாப்பது தொடர்பான மூன்றாம் தரப்பு தளத்தின் தனியுரிமைக் கொள்கையை மதிப்பாய்வு செய்யுமாறு பரிந்துரைக்கிறோம். தேடல் முடிவுகளிலோ அல்லது எந்த மூன்றாம் தரப்பு தளங்களிலோ வெளியிடப்படும் தகவல்களுக்கு போஷன் டிராக்கர் பொறுப்பேற்காது என்பதை நீங்கள் ஒப்புக்கொள்கிறீர்கள்.","This sets the API for your personal information. For information on this subject or for their privacy or for the content of those third parties, this does not apply to any of the following:"
2. HOW WE USE PERSONAL INFORMATION,2. தனிப்பட்ட தகவலை நாங்கள் எவ்வாறு பயன்படுத்துகிறோம்,2. How We Use Personal Information
We use the information we collect from all our services for the following purposes:,எங்கள் எல்லா சேவைகளிலிருந்தும் நாங்கள் சேகரிக்கும் தகவலை பின்வரும் நோக்கங்களுக்காகப் பயன்படுத்துகிறோம்:,We use the information we collect from all our services for the following purposes:
2.1. Deliver our services.,2.1. எங்கள் சேவைகளை வழங்கவும்.,2.1. Provide our services.
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.","பிரிவு 1-ன் கீழ் சேகரிக்கப்பட்ட தகவல்கள், பயனாளிகளின் ஆரோக்கியத்தை எளிதாக்கும் நோக்கத்திற்காகப் பயன்படுத்தப்படும்.",The information collected under section 1 will be used for the purpose of facilitating user health.
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","கணினியின் தகவல்/தரவு/ பொருட்கள் மற்றும் உள்ளடக்கங்களை புதுப்பித்தல், பாதுகாத்தல் மற்றும் சரிசெய்தல் மற்றும் ஆதரவை வழங்குதல் உள்ளிட்ட எங்கள் தயாரிப்புகளை நாங்கள் வழங்குகிறோம்.","We provide our preparations to update, protect, repair and support the computer's information/data/ objects and content."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database. These can also be used to assess the health status as recorded in the Poshan Tracker system.","நீங்கள் போஷன் டிராக்கர் இல் பதிவு செய்யும் போது, நீங்கள் பதிவு செய்த மொபைல் எண், தரவுத்தளத்திலிருந்து உங்கள் பதிவைக் கண்டறிய பயன்படுத்தப்படும். போஷன் டிராக்கர் அமைப்பில் பதிவு செய்யப்பட்டுள்ள சுகாதார நிலையை மதிப்பிடவும் இவை பயன்படுத்தப்படலாம்.","When you log in to the mailbox drive, the mobile number you entered will be used to detect your log from the database. This can also be used to evaluate the security status of the mailbox drive."
2.2. Communicate with you.,2.2. உங்களுடன் தொடர்பு கொள்ளுங்கள்.,2.2. Contact you.
"We also send SMSs on your registered mobile number to alert you about registration, we also use your information to respond to you when you contact us and to investigate, respond to and resolve complaints and for Service issues (e.g. bugs).","பதிவுசெய்தல் குறித்து உங்களை எச்சரிக்க உங்கள் பதிவு செய்யப்பட்ட மொபைல் எண்ணுக்கு SMS அனுப்புகிறோம், நீங்கள் எங்களைத் தொடர்புகொள்ளும்போது உங்களுக்குப் பதிலளிக்கவும், புகார்களை விசாரிக்கவும், பிரச்னைகளைத் தீர்க்கவும், சேவைச் சிக்கல்களுக்கு (எ.கா. பிழைகள்) உங்கள் தகவலைப் பயன்படுத்துகிறோம்.","We send you a text message on your mobile phone to warn you about logging, and we use your information to respond to us when you contact us, investigate our magazines, resolve problems, and use your information for service problems (e.g. errors)."
2.3. Verification.,2.3. சரிபார்ப்பு.,( b) What questions will be considered in the next article?
"We use the information we have, to help verify accounts. The records may be used for verification of health status for the purposes of Poshan Tracker control and response.","கணக்குகளைச் சரிபார்க்க எங்களிடம் உள்ள தகவலைப் பயன்படுத்துகிறோம். போஷன் டிராக்கர் கட்டுப்பாடு, பதிலளிப்பு நோக்கங்களுக்காக மற்றும் சுகாதார நிலையை சரிபார்ப்பதற்காக பதிவுகள் பயன்படுத்தப்படலாம்.","We use the information we have to check our accounts. Logs can be used to check for mailboxes, answers, and the health status."
2.4. Security and Audit.,2.4. பாதுகாப்பு மற்றும் தணிக்கை.,2.4. Security and security.
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.","பாதுகாப்பு நோக்கங்களுக்காக அல்லது சாத்தியமான மோசடி அல்லது எங்கள் சேவை விதிமுறைகளின் பிற மீறல்கள் மற்றும் எங்கள் உறுப்பினர்கள், பார்வையாளர்கள் அல்லது பிறருக்கு தீங்கு விளைவிக்கும் முயற்சிகளைத் தடுக்க அல்லது விசாரிக்க உங்கள் தரவை (உங்கள் தகவல்தொடர்புகள் உட்பட) பயன்படுத்துகிறோம்.","We use your data (including your information) to prevent or investigate any attempts to harm our health or our services, as well as our bodies, observers, or others."
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system. The records may be used for such audits.","போஷன் டிராக்கர் அமைப்பு, அமைப்பின் பாதுகாப்பு மற்றும் அளவிடுதல் ஆகியவற்றிற்காக, MWCD ஆல் ஈடுபட்டுள்ள தணிக்கையாளர்களால் தொடர்ந்து தணிக்கை செய்யப்படுகிறது. அத்தகைய தணிக்கைகளுக்கு பதிவுகள் பயன்படுத்தப்படலாம்.","For the Posson Tractor system, the system's security and control system is continuously updated by the developers involved in MWCD. Records can be used for such updates."
2.5. Research and operational activities.,2.5. ஆராய்ச்சி மற்றும் செயல்பாட்டு நடவடிக்கைகள்.,2.5. Research and operational activities.
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research. We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.","எங்கள் சேவைகளை இயக்கவும் தரவைப் பயன்படுத்துகிறோம், இதில் எங்கள் செயல்திறனைப் பகுப்பாய்வு செய்தல், எங்கள் சட்டப்பூர்வ கடமைகளை நிறைவேற்றுதல், எங்கள் பணியாளர்களை மேம்படுத்துதல் மற்றும் ஆராய்ச்சி செய்தல் ஆகியவை அடங்கும். சிஸ்டத்தை மேம்படுத்துவதற்கும், தற்செயலான அல்லது துணைச் செயல்களுக்கும், புதிய தொழில்நுட்பங்கள் மற்றும் சேவைகளை உருவாக்குவதற்கும், வழங்குவதற்கும் தேவையான சில செயல்பாடுகளைச் செய்வதற்கும் நாங்கள் தகவலைப் பயன்படுத்தலாம்.","We use data to run our services and to share our capabilities, to perform our legal duties, to improve and investigate our employees. We can use information to improve the system, to improve the system, to create new tools or services, and to provide some of the necessary activities."
2.6. Surveys and Feedbacks.,2.6. ஆய்வுகள் மற்றும் கருத்துகள்.,2.6. Studies and ideas.
"The System also takes feedback about system performance and experience. Information on name, mobile number, date of registration and health status may be used for these purposes","கணினி செயல்திறன் மற்றும் அனுபவம் பற்றிய கருத்துக்களையும் கணினி எடுத்துக்கொள்கிறது. இந்த நோக்கங்களுக்காக பெயர், மொபைல் எண், பதிவு செய்யப்பட்ட தேதி மற்றும் சுகாதார நிலை பற்றிய தகவல்கள் பயன்படுத்தப்படலாம்","System policy and system experience too. For these purposes, it is useful to provide information about name, mobile phone number, registered date and health status."
3. SHARING OF INFORMATION,3. தகவல் பகிர்வு,3. Information Sharing
3.1. Tracking health progress.,3.1. சுகாதார முன்னேற்றத்தைக் கண்காணித்தல்.,3.1. Watching health progress.
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,. Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.","மேலே உள்ள பிரிவு 1 இன் கீழ் பதிவு செய்யும் போது உங்களிடமிருந்து சேகரிக்கப்பட்ட தனிப்பட்ட தகவல்கள் பாதுகாப்பாக சேமிக்கப்படும், மேலும் அவை இந்திய அரசு அல்லது மாநில அரசுகளால் சுகாதார முன்னேற்றம் மற்றும் நிலையை கண்காணிக்கும் நோக்கத்திற்காக மட்டுமே பயன்படுத்தப்படும், அறிக்கைகள் உருவாக்குதல், வெப்ப வரைபடங்கள், காட்சிப்படுத்தல்கள் மற்றும் பிற புள்ளிவிவரங்கள் நாட்டில் போஷன் டிராக்கரின் நிர்வாகத்தின் நோக்கத்திற்காக பயன்படுத்தப்படும். மேலே உள்ள பிரிவு 1 இன் படி SMS மூலம் உங்களுடன் தொடர்புகொள்வதற்காக உங்கள் குறிப்பு ஐடி (மொபைல் எண்) உங்கள் தனிப்பட்ட தகவலுடன் மட்டுமே தொடர்புடையதாக இருக்கும்.","The above section 1 will store the personal information collected from you for security reasons and will only be used for health and safety purposes only by the Indian government or state governments, for the purpose of creating reports, heat charts, displays and other points for the purpose of managing the mailbox traffic in the country. The above section 1 will only be used to communicate with you via SMS."
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:","அத்தகைய வெளிப்படுத்தல் அல்லது பரிமாற்றம் இல்லாதவரை, உங்கள் அனுமதியின்றி வேறு எந்த மூன்றாம் தரப்பினருக்கும் உங்கள் தகவலை வெளியிடவோ அல்லது மாற்றவோ மாட்டோம்:","Before such a revelation or change occurs, we will not disclose or change your information to any third party without your permission:"
1. Required in order to comply with any applicable law or court order or direction; or,1. பொருந்தக்கூடிய சட்டம் அல்லது நீதிமன்ற உத்தரவு அல்லது வழிகாட்டுதலுக்கு இணங்குவதற்குத் தேவை; அல்லது,1. An appropriate law or a judicial order or guidance is needed; or
"2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","2. ஏதேனும் குற்றங்கள் அல்லது சம்பவங்களின் அடையாளச் சரிபார்ப்பு, தடுத்தல், கண்டறிதல், விசாரணை, வழக்குத் தொடுத்தல் அல்லது தண்டனை போன்றவற்றின் நோக்கத்திற்காக, பொருந்தக்கூடிய சட்டத்தின்படி ஏதேனும் பொருத்தமான அரசு நிறுவனத்தால் கோரப்பட்டது.","2. Any appropriate government agency was required to check, prevent, detect, investigate, prosecute or punish for any crime or event."
3.2. Legal Disclosures.,3.2. சட்ட வெளிப்பாடுகள்.,3.2. Law issues.
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","சட்டக் கோரிக்கை, சப்போனா அல்லது பிற சட்டச் செயல்முறைகளுக்குப் பதிலளிக்கும் வகையில் உங்கள் தகவலை நாங்கள் அணுகலாம், பாதுகாத்துப் பகிரலாம் அல்லது (1) மோசடி அல்லது சட்டவிரோத நடவடிக்கைகள் குறித்து விசாரணை, தடுக்க அல்லது நடவடிக்கை எடுப்பதற்கு வெளிப்படுத்துதல் நியாயமானதே அவசியம் என்று எங்களுக்கு நல்ல நம்பிக்கை இருந்தால் அல்லது அரசாங்க அமலாக்க நிறுவனங்களுக்கு உதவுதல்; (2) உங்களுடன் எங்கள் ஒப்பந்தங்களைச் செயல்படுத்துதல்; (3) எந்த மூன்றாம் தரப்பு உரிமைகோரல்கள் அல்லது குற்றச்சாட்டுகளுக்கு எதிராக நம்மை நாமே விசாரித்து பாதுகாத்துக்கொள்ளவும்; (4) எங்கள் சேவைகளின் பாதுகாப்பு அல்லது ஒருமைப்பாட்டைப் பாதுகாத்தல் (அத்தகைய அச்சுறுத்தல்களை எதிர்கொள்ளும் நிறுவனங்களுடன் பகிர்ந்து கொள்வது போன்றவை); அல்லது (5) எந்தவொரு நபரின் உரிமைகள் மற்றும் பாதுகாப்பைப் பயன்படுத்துதல் அல்லது பாதுகாத்தல்.","We can access your information in a way that meets the legal requirements, facts, or other legal requirements, or (1) we can defend it or (1) we can defend it or (1) we have the right to disclose information about fraud or illegal activities, to prevent or to take action, or to help government agencies; (2) to implement our agreements with you; and (3) to protect ourselves against any third source of rights or charges; (4) to protect our services or to protect our organization; and (5) to protect ourselves against any third party or entity (such as a security unit); and (with such systems) to protect ourselves."
4. RETENTION,4. தக்கவைத்தல்,4. Salvation
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.","பதிவு செய்யும் போது பிரிவு 1ன் கீழ் உங்களிடமிருந்து சேகரிக்கப்பட்ட அனைத்து தனிப்பட்ட தகவல்களும் உங்கள் பதிவு இருக்கும் வரையில் சேமிக்கப்படும் மற்றும் ஏதேனும் மருத்துவ அல்லது நிர்வாகத் தலையீடுகள் கீழே உள்ள உட்பிரிவு 4(b) க்கு உட்பட்டு பிரிவு 2ன் கீழ் தொடங்கப்பட்டிருந்தால், அத்தகைய தலையீடுகள் முடிக்கப்படுவதற்கு தேவையான கால அவகாசம் எடுக்கப்படும்.","When you log in under section 1, all the personal information collected from you under section 1 will be stored until you have your log, and any medical or administrative headers will be stored below section 2 including section 4(b), which will take time to complete such headers."
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.","உட்பிரிவு 1ன் கீழ் சேகரிக்கப்பட்ட அனைத்து தனிப்பட்ட தகவல்களும், நிகழ்வுக்காகப் பதிவுசெய்யப்பட்ட நபர்களுடன் தொடர்புடைய தகவல்களின் அளவிற்கு, பயன்பாட்டு சேவையகத்தில் சேமிக்கப்படும்.",All private information collected under entry 1 will be stored on the application server for the size of the information related to the persons recorded for the event.
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","போஷன் டிராக்கர் இன் பதிவுசெய்யப்பட்ட பயனர்களின் தனிப்பட்ட தரவு அல்லது அத்தகைய தரவுத்தொகுப்புகளைப் பயன்படுத்தி உருவாக்கப்பட்ட அறிக்கைகள், வெப்ப வரைபடங்கள் அல்லது பிற காட்சிப்படுத்தல் மூலம் உருவாக்கப்பட்ட அநாமதேய, ஒருங்கிணைந்த தரவுத்தொகுப்புகளுக்கு இங்கு குறிப்பிடப்பட்டுள்ள எதுவும் பொருந்தாது.","The data generated using private data or such data files by users registered in the Posoon Tracker does not apply to any of the single, combined data files created here by heat charts or other display."
5. RIGHTS,5. உரிமைகள்,5. Rights
"As a registered user, you have the right to access your profile at any time. Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","பதிவுசெய்யப்பட்ட பயனராக, எந்த நேரத்திலும் உங்கள் சுயவிவரத்தை அணுக உங்களுக்கு உரிமை உள்ளது. இருப்பினும், போஷன் டிராக்கர் அமைப்பால் அவ்வப்போது பரிந்துரைக்கப்பட்ட மாற்றங்களை மட்டுமே செய்ய முடியும்.","As a registered user, you have the right to access your identity at any time. However, you can only make the selected changes by setting up the mailbox drive."
You cannot manage the communications that you receive from us or how you receive them.,எங்களிடமிருந்து நீங்கள் பெறும் தகவல்தொடர்புகளையோ அல்லது அவற்றை எவ்வாறு பெறுகிறீர்கள் என்பதையோ உங்களால் நிர்வகிக்க முடியாது.,You cannot control the information you receive from us or how you receive it.
6. DATA SECURITY,6. தரவு பாதுகாப்பு,6. Data protection
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws. Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server. It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.","போஷன் டிராக்கர் பிளாட்ஃபார்ம் உங்கள் தனியுரிமை மற்றும் தனிப்பட்ட தகவல்களை இழப்பு, தவறாகப் பயன்படுத்துதல், அங்கீகரிக்கப்படாத அணுகல், வெளிப்படுத்துதல், அழித்தல் மற்றும் பொருந்தக்கூடிய சட்டங்களுக்கு இணங்க தகவல்களை மாற்றுதல் ஆகியவற்றிலிருந்து பாதுகாக்க நியாயமான பாதுகாப்பு நடவடிக்கைகள் மற்றும் பாதுகாப்புகளைக் கொண்டுள்ளது. மேலும், சிஸ்டத்தில் உங்கள் கணக்கை மாற்றும்போதோ அல்லது அணுகும்போதோ அல்லது அது தொடர்பான எந்தத் தகவலுக்கும், நாங்கள் பாதுகாப்பான சர்வரைப் பயன்படுத்துகிறோம். நீங்கள் கணினியை (நேரடியாகவோ அல்லது மறைமுகமாகவோ) அணுகும் மற்றும்/அல்லது பயன்படுத்தும் வரை, உங்கள் முடிவில் போதுமான உடல், மேலாண்மை மற்றும் தொழில்நுட்ப பாதுகாப்புகளை நீங்கள் எப்போதும் எடுத்துக்கொள்வதை உறுதிசெய்யும் கடமை உங்களுக்கு உள்ளது என்பது மேலும் தெளிவுபடுத்தப்படுகிறது., உங்கள் தரவின் ஒருமைப்பாடு மற்றும் பாதுகாப்பைப் பாதுகாக்க, அதில் உங்கள் தனிப்பட்ட தகவல்கள் அடங்கும் மற்றும் மட்டுப்படுத்தப்படவில்லை.","The Boston Tractor platform has legal protection actions and safeguards to prevent the loss of your privacy and personal information from being used, misused, unauthorised access, disclosure, destruction and related laws. Also, we use any information that might affect your privacy or privacy. We use a security server (which is either true or secret) to access and/or access your system's privacy. You can access your system through access to and/or access your system's privacy."
7. CHANGES TO PRIVACY POLICY,7. தனியுரிமைக் கொள்கையில் மாற்றங்கள்,7. Changes in Self - Control
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes. Any changes or updates will be effective immediately. You should review this Privacy Policy regularly for changes.","போஷன் டிராக்கர் இந்த தனியுரிமைக் கொள்கையின் எந்தப் பகுதியையும், எந்த நேரத்திலும், அத்தகைய மாற்றங்களைப் பற்றி உங்களுக்குத் தெரிவிக்காமல், எந்த நேரத்திலும் மாற்ற, மாற்ற, சேர்க்க அல்லது அகற்ற நிபந்தனையற்ற உரிமையைப் பெற்றுள்ளார். ஏதேனும் மாற்றங்கள் அல்லது புதுப்பிப்புகள் செய்யப்பட்டால் அவை உடனடியாக நடைமுறைக்கு வரும். மாற்றங்களுக்கு இந்த தனியுரிமைக் கொள்கையை நீங்கள் தொடர்ந்து மதிப்பாய்வு செய்ய வேண்டும்.","The Boston Tractor has the absolute right to change, change, add or remove any changes or changes without informing you of any part of this privacy policy at any time. If any changes or changes are made, they will be applied immediately. You need to continue to evaluate this privacy policy for these changes."
