en,pa,translated_helsinki
Any claim that your User Content caused damage to a third party. This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,ਕੋਈ ਵੀ ਦਾਅਵਾ ਕਿ ਤੁਹਾਡੀ ਵਰਤੋਂਕਾਰ ਸਮੱਗਰੀ ਨੇ ਕਿਸੇ ਤੀਜੀ ਧਿਰ ਨੂੰ ਨੁਕਸਾਨ ਪਹੁੰਚਾਇਆ ਹੈ। ਇਹ ਬਚਾਅ ਅਤੇ ਮੁਆਵਜ਼ੇ ਦੀ ਜ਼ਿੰਮੇਵਾਰੀ ਇਸ ਸਮਝੌਤੇ ਅਤੇ ਤੁਹਾਡੀ ਸੇਵਾ ਅਤੇ ਵੈੱਬਸਾਈਟ/ਐਪ ਦੀ ਵਰਤੋਂ ਤੋਂ ਬਚੇਗੀ।,Any claim that your user's content has caused some third-party damage. This will protect you from using this protocol and your server and web site/app.
XVI. JURISDICTION,XVI. ਅਧਿਕਾਰ ਖੇਤਰ,XVI. Authority area
Your use of the Site and any dispute arising out of such use of the Site is subject to the laws of India and place of jurisdiction shall be New Delhi.,ਸਾਈਟ ਦੀ ਤੁਹਾਡੀ ਵਰਤੋਂ ਅਤੇ ਸਾਈਟ ਦੀ ਅਜਿਹੀ ਵਰਤੋਂ ਤੋਂ ਪੈਦਾ ਹੋਣ ਵਾਲਾ ਕੋਈ ਵੀ ਵਿਵਾਦ ਭਾਰਤ ਦੇ ਕਾਨੂੰਨਾਂ ਦੇ ਅਧੀਨ ਹੈ ਅਤੇ ਅਧਿਕਾਰ ਖੇਤਰ ਨਵੀਂ ਦਿੱਲੀ ਹੋਵੇਗਾ।,"Any dispute arising from your use of the site and from such use of the site is under the law of India, and the authorization area will be renewed."
20 December 2021,20 ਦਸੰਬਰ 2021,"December 20, 2021"
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","ਪੋਸ਼ਣ ਅਭਿਆਨ ਭਾਰਤ ਦਾ ਪ੍ਰਮੁੱਖ ਪ੍ਰੋਗਰਾਮ ਹੈ ਜੋ ਬੱਚਿਆਂ, ਕਿਸ਼ੋਰਾਂ, ਗਰਭਵਤੀ ਔਰਤਾਂ ਅਤੇ ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਲਈ ਤਕਨਾਲੋਜੀ, ਇੱਕ ਟੀਚਾ ਪਹੁੰਚ ਅਤੇ ਕਨਵਰਜੈਂਸ ਦੁਆਰਾ ਪੋਸ਼ਣ ਸੰਬੰਧੀ ਨਤੀਜਿਆਂ ਨੂੰ ਬਿਹਤਰ ਬਣਾਉਣ ਲਈ ਹੈ।","The main programme of research research in India is to improve education for children, adolescents, pregnant women and pregnant women, and pregnant women, with a view to achieving a goal and meeting results."
"Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign. References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”","ਪੋਸ਼ਣ ਟਰੈਕਰ ਪੋਰਟਲ ਜਾਂ ਐਪ ਭਾਰਤ ਸਰਕਾਰ ਦੇ ਮਹਿਲਾ ਅਤੇ ਬਾਲ ਵਿਕਾਸ ਮੰਤਰਾਲੇ ਦੁਆਰਾ ਨਿਯੰਤਰਿਤ ਕੀਤਾ ਜਾਂਦਾ ਹੈ, ਜਿਸਨੂੰ ਬਾਅਦ ਵਿੱਚ ""MWCD"", ""ਸਾਡੇ"", ""ਆਪਾਂ"", ""ਅਸੀਂ"" ਕਿਹਾ ਗਿਆ, ਜਿਸ ਵਿੱਚ ਪ੍ਰੋਗਰਾਮ/ਮੁਹਿੰਮ ਦੇ ਹੋਰ ਵਿਭਾਗਾਂ ਅਤੇ ਖੰਡਾ ਦਾ ਹਵਾਲਾ ਸ਼ਾਮਲ ਹੋਵੇਗਾ। ਇਸ ਨੀਤੀ ਵਿੱਚ ਪੋਸ਼ਣ ਟਰੈਕਰ ਪੋਰਟਲ ਜਾਂ ਐਪ ਦੇ ਸੰਦਰਭਾਂ ਵਿੱਚ ਪੋਸ਼ਣ ਟਰੈਕਰ ਜਾਂ ਕੋਈ ਹੋਰ ਐਪਸ ਜਾਂ ਪੋਰਟਲ ਸ਼ਾਮਲ ਹਨ ਜੋ ਪੋਸ਼ਣ ਟਰੈਕਰ ਨਾਲ ਏਪੀਆਈਜ਼/ਸਬੰਧਤ ਸਾਈਟਾਂ, ਐਪਸ, ਸੰਚਾਰ ਅਤੇ ਸੇਵਾਵਾਂ (""ਸੇਵਾਵਾਂ"") ਦੁਆਰਾ ਏਕੀਕ੍ਰਿਤ ਹਨ, ਜਿਸਨੂੰ ਬਾਅਦ ਵਿੱਚ ਸਮੂਹਿਕ ਤੌਰ 'ਤੇ ""ਪੋਸ਼ਣ ਟਰੈਕਰ ਜਾਂ ਸਿਸਟਮ"" ਕਿਹਾ ਜਾਂਦਾ ਹੈ।","The search tractor port or IP is controlled by the head and child development system of the search engine, followed by ""MWCD"", ""we"", ""we"", ""we"", which will include the reference to other categories of the program/mythom and the block. In this term, search trucker port or app content includes a search truck or any other episode or portal that includes search sites with search engines, feeds, services and services (""services"") in the search engine."
"Our Privacy Policy applies when you use our Services (described below). This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared. The collecting and retaining agency in respect of your information is MWCD.","ਸਾਡੀ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਉਦੋਂ ਲਾਗੂ ਹੁੰਦੀ ਹੈ ਜਦੋਂ ਤੁਸੀਂ ਸਾਡੀਆਂ ਸੇਵਾਵਾਂ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹੋ (ਹੇਠਾਂ ਵਰਣਨ ਕੀਤਾ ਗਿਆ ਹੈ)। ਇਹ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਤੁਹਾਨੂੰ ਇਹ ਸਮਝਣ ਵਿੱਚ ਮਦਦ ਕਰਨ ਲਈ ਹੈ ਕਿ ਅਸੀਂ ਕਿਹੜੀ ਜਾਣਕਾਰੀ ਇਕੱਠੀ ਕਰਦੇ ਹਾਂ, ਅਸੀਂ ਇਸਨੂੰ ਕਿਉਂ ਇਕੱਠਾ ਕਰਦੇ ਹਾਂ, ਅਤੇ ਇਸਨੂੰ ਕਿਵੇਂ ਵਰਤਿਆ ਅਤੇ ਸਾਂਝਾ ਕੀਤਾ ਜਾਂਦਾ ਹੈ। ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਨੂੰ ਇਕੱਠਾ ਕਰਨ ਅਤੇ ਰੱਖਣ ਵਾਲੀ ਏਜੰਸੀ ਐਮਡਬਲਿਊਸੀਡੀ(MWCD) ਹੈ।","Our Privacy Policy applies when you use our services (as described above). This Privacy Policy helps you to understand what information we collect, why we collect it, and how it is used and shared. It is an AMS that collects and stores your information."
"We are committed to protecting the security of your personal information and safeguarding your privacy. Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.","ਅਸੀਂ ਤੁਹਾਡੀ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਦੀ ਸੁਰੱਖਿਆ ਅਤੇ ਤੁਹਾਡੀ ਗੋਪਨੀਅਤਾ ਦੀ ਸੁਰੱਖਿਆ ਲਈ ਵਚਨਬੱਧ ਹਾਂ। ਸਿਸਟਮ 'ਤੇ ਇਕੱਠੀ ਕੀਤੀ ਗਈ ਕੋਈ ਵੀ ਜਾਣਕਾਰੀ ਜਾਂ ਅੰਕੜੇ, ਸੂਚਨਾ ਤਕਨਾਲੋਜੀ ਐਕਟ, 2000 ਦੇ ਨਿਯਮਾਂ ਅਤੇ ਨਿੱਜੀ ਅੰਕੜਿਆਂ ਦੇ ਸੰਗ੍ਰਹਿ ਅਤੇ ਪ੍ਰੋਸੈਸਿੰਗ ਨਾਲ ਸਬੰਧਤ ਹੋਰ ਰਾਸ਼ਟਰੀ ਅਤੇ ਰਾਜ ਕਾਨੂੰਨਾਂ ਦੇ ਨਾਲ ਪੜ੍ਹੇ ਗਏ ਉਪਬੰਧਾਂ ਦੇ ਅਨੁਸਾਰ ਹੁੰਦੀ ਹੈ।","We are responsible for the protection of your personal information and the protection of your privacy. Any information or data collected in the system, the notification technology act, the 2000 rules and other procedures related to the collection and processing of personal data are in accordance with other national and national laws."
This Privacy Policy is required to be read in conjunction with the Terms of Service available at ,ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਨੂੰ ,To this Privacy Rule
". Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service. By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy."," 'ਤੇ ਉਪਲਬਧ ਸੇਵਾ ਦੀਆਂ ਸ਼ਰਤਾਂ ਦੇ ਨਾਲ ਜੋੜ ਕੇ ਪੜ੍ਹਨ ਦੀ ਲੋੜ ਹੈ। ਸਿਸਟਮ ਤੱਕ ਤੁਹਾਡੀ ਪਹੁੰਚ ਅਤੇ ਵਰਤੋਂ ਤੁਹਾਡੀ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਅਤੇ ਸੇਵਾ ਦੀਆਂ ਸ਼ਰਤਾਂ ਨੂੰ ਸਵੀਕਾਰ ਕਰਨ 'ਤੇ ਸ਼ਰਤ ਹੈ। ਸਿਸਟਮ ਨੂੰ ਐਕਸੈਸ ਕਰਨ ਅਤੇ/ਜਾਂ ਵਰਤ ਕੇ, ਤੁਸੀਂ ਇਹ ਦਰਸਾਉਂਦੇ ਹੋ ਕਿ ਤੁਸੀਂ ਸੇਵਾ ਦੀਆਂ ਸ਼ਰਤਾਂ ਅਤੇ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਨੂੰ ਪੜ੍ਹਿਆ, ਸਮਝਿਆ ਅਤੇ ਉਸ ਨਾਲ ਸਹਿਮਤ ਹੋ, ਅਤੇ ਇਹ ਕਿ ਤੁਸੀਂ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਵਿੱਚ ਆਪਣੀ ਜਾਣਕਾਰੀ ਅਤੇ ਅੰਕੜਿਆਂ ਨੂੰ ਇਕੱਤਰ ਕਰਨ, ਸਟੋਰ ਕਰਨ ਅਤੇ ਦੱਸੇ ਗਏ ਤਰੀਕੇ ਨਾਲ ਵਰਤਣ ਲਈ ਸਹਿਮਤੀ ਦਿੰਦੇ ਹੋ।","There is a need to read and access the terms of the service available. Your access and use of the system is required to accept this privacy policy and the terms of the service. Accessing and/or using the system will show you that you have read, understand and agree to the terms and conditions of the service, and that you agree to use your information and data in this Privacy Policy."
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,ਤੁਸੀਂ ਇਥੇ ਸਵੀਕਾਰ ਕਰਦੇ ਹੋ ਕਿ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਡੀ ਦਫ਼ਾ 1 ਵਿੱਚ ਵਰਣਨ ਕੀਤੇ ਅਨੁਸਾਰ ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਦਾ ਸੰਗ੍ਰਹਿ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਡੀ ਦਫ਼ਾ 2 ਅਤੇ 3 ਵਿੱਚ ਦਰਸਾਏ ਉਦੇਸ਼ਾਂ ਨੂੰ ਪੂਰਾ ਕਰਨ ਲਈ ਜ਼ਰੂਰੀ ਹੈ।,You are here to accept that the collection of information described in this Privacy Policy is required to meet the goals set out in this Privacy Policy on pages 2 and 3.
1. INFORMATION WE COLLECT,1. ਜਾਣਕਾਰੀ ਜੋ ਅਸੀਂ ਇਕੱਠੀ ਕਰਦੇ ਹਾਂ,1. The information we collect
1.1. Information you provide to us.,1.1. ਜਾਣਕਾਰੀ ਜੋ ਤੁਸੀਂ ਸਾਨੂੰ ਪ੍ਰਦਾਨ ਕਰਦੇ ਹੋ।,1.1. The information you give us.
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account. This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) Address",ਅਸੀਂ ਉਹ ਸਮੱਗਰੀ ਅਤੇ ਹੋਰ ਜਾਣਕਾਰੀ ਇਕੱਠੀ ਕਰਦੇ ਹਾਂ ਜੋ ਤੁਸੀਂ ਸਾਡੀਆਂ ਸੇਵਾਵਾਂ ਦੀ ਵਰਤੋਂ ਕਰਨ ਲਈ ਪ੍ਰਦਾਨ ਕਰਦੇ ਹੋ ਇਸ ਵਿੱਚ ਤੁਹਾਡੇ ਦੁਆਰਾ ਖਾਤੇ ਲਈ ਸਾਈਨ ਅੱਪ ਕਰਨਾ ਵੀ ਸ਼ਾਮਲ ਹੈ। ਇਸ ਵਿੱਚ ਸ਼ਾਮਲ ਹੋ ਸਕਦੇ ਹਨ- (i) ਨਾਮ (ii) ਮੋਬਾਈਲ ਨੰਬਰ (iii) ਜਨਮ ਮਿਤੀ (iv) ਲਿੰਗ (v) ਬੱਚੇ ਦਾ ਨਾਮ (vi) ਆਧਾਰ ਨੰਬਰ (vii) ਪਤਾ,"We collect the content and other information that you provide to use our services, including signing a signature for your account. It can include: (i) name (ii) Mobile number (iii) Birth date (iv) Link (v) Child name (vi) Basic number (vii)"
"If you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature. You may, however, choose not to share personal data where providing the data is optional.","ਜੇਕਰ ਤੁਸੀਂ ਕੋਈ ਉਤਪਾਦ ਜਾਂ ਵਿਸ਼ੇਸ਼ਤਾ ਪ੍ਰਦਾਨ ਕਰਨ ਲਈ ਲੋੜੀਂਦੇ ਅੰਕੜੇ ਪ੍ਰਦਾਨਾ ਕਰਨਾ ਚੁਣਦੇ ਹੋ, ਤਾਂ ਤੁਸੀਂ ਉਸ ਉਤਪਾਦ ਜਾਂ ਵਿਸ਼ੇਸ਼ਤਾ ਦੀ ਵਰਤੋਂ ਨਹੀਂ ਕਰ ਸਕਦੇ ਹੋ। ਹਾਲਾਂਕਿ, ਜਿੱਥੇ ਅੰਕੜੇ ਪ੍ਰਦਾਨ ਕਰਨਾ ਵਿਕਲਪਿਕ ਹੈ ਤੁਸੀਂ ਨਿੱਜੀ ਅੰਕੜਿਆਂ ਨੂੰ ਸਾਂਝਾ ਨਾ ਕਰਨ ਦੀ ਚੋਣ ਕਰ ਸਕਦੇ ਹੋ।","If you choose to provide the required data for any product or property, you cannot use the product or property. However, where the data is provided, you can choose not to share your own data."
1.2. Information from use of services.,1.2. ਸੇਵਾਵਾਂ ਦੀ ਵਰਤੋਂ ਤੋਂ ਜਾਣਕਾਰੀ।,1.2. Information from the use of services.
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","ਜਦੋਂ ਤੁਸੀਂ ਸਾਡੀਆਂ ਸਾਈਟਾਂ, ਐਪ ਅਤੇ ਪਲੇਟਫਾਰਮ ਤਕਨਾਲੋਜੀ ਸਮੇਤ ਸਾਡੀਆਂ ਸੇਵਾਵਾਂ 'ਤੇ ਜਾਂਦੇ ਹੋ ਜਾਂ ਸਾਡੀਆਂ ਸੇਵਾਵਾਂ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹੋ ਤਾਂ ਅਸੀਂ ਵਰਤੇ ਗਏ ਅੰਕੜਿਆਂ ਨੂੰ ਲੌਗ ਕਰਦੇ ਹਾਂ।","When you go to our services or use our services with our site, IP and platform technology, we log in the data we use."
"We may use various technologies to collect and store information, including cookies, local storage, such as browser web storage or application data caches, databases, and server logs to collect and use your information in certain cases.","ਅਸੀਂ ਜਾਣਕਾਰੀ ਇਕੱਠੀ ਕਰਨ ਅਤੇ ਸਟੋਰ ਕਰਨ ਲਈ ਵੱਖ-ਵੱਖ ਤਕਨੀਕਾਂ ਦੀ ਵਰਤੋਂ ਕਰ ਸਕਦੇ ਹਾਂ, ਜਿਸ ਵਿੱਚ ਕੂਕੀਜ਼, ਸਥਾਨਕ ਸਟੋਰੇਜ, ਜਿਵੇਂ ਕਿ ਬ੍ਰਾਊਜ਼ਰ ਵੈੱਬ ਸਟੋਰੇਜ ਜਾਂ ਐਪਲੀਕੇਸ਼ਨ ਡਾਟਾ ਕੈਚ, ਡਾਟਾਬੇਸ, ਅਤੇ ਕੁਝ ਮਾਮਲਿਆਂ ਵਿੱਚ ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਨੂੰ ਇਕੱਠਾ ਕਰਨ ਅਤੇ ਵਰਤਣ ਲਈ ਸਰਵਰ ਲੌਗ ਸ਼ਾਮਲ ਹਨ।","We can use various techniques to collect and store information, including cookies, local storage, such as web browser storage or application data caches, databases, and some of the issues related to collecting and using your information."
1.3. Information from third parties.,1.3. ਤੀਜੀ ਧਿਰ ਤੋਂ ਜਾਣਕਾਰੀ।,1.3 Third time information.
"Our System provides API to Third – Party Sites that may collect your personal information. Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites. Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites. These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to. This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites. We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information. You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.","ਸਾਡਾ ਸਿਸਟਮ ਤੀਜੀ-ਪਾਰਟੀ ਸਾਈਟਾਂ ਨੂੰ API ਪ੍ਰਦਾਨ ਕਰਦਾ ਹੈ ਜੋ ਤੁਹਾਡੀ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਇਕੱਠੀ ਕਰ ਸਕਦੀ ਹੈ। ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਅਜਿਹੀ ਜਾਣਕਾਰੀ ਜਾਂ ਉਹਨਾਂ ਦੇ ਗੋਪਨੀਅਤਾ ਸ਼ਰਤਾਂ ਜਾਂ ਉਹਨਾਂ ਤੀਜੀ-ਧਿਰ ਸਾਈਟਾਂ ਦੀ ਸਮੱਗਰੀ ਦੀ ਸੁਰੱਖਿਆ ਲਈ ਕਿਸੇ ਵੀ ਤਰੀਕੇ ਨਾਲ ਜ਼ਿੰਮੇਵਾਰ ਨਹੀਂ ਹੈ। ਇਸ ਤੋਂ ਇਲਾਵਾ, ਤੁਸੀਂ ਤੀਜੀ-ਧਿਰ ਸਾਈਟਾਂ ਦੇ ਕੁਝ ਪੰਨਿਆਂ 'ਤੇ ""ਕੂਕੀਜ਼"" ਜਾਂ ਹੋਰ ਅਜਿਹੀਆਂ ਡਿਵਾਈਸਾਂ ਦਾ ਸਾਹਮਣਾ ਕਰ ਸਕਦੇ ਹੋ ਅਤੇ ਪੋਸ਼ਣ ਟਰੈਕਰ ਦੁਆਰਾ ਇਹ ਸਪੱਸ਼ਟ ਕੀਤਾ ਗਿਆ ਹੈ ਕਿ ਸਿਸਟਮ ਇਹਨਾਂ ਤੀਜੀ-ਪਾਰਟੀ ਸਾਈਟਾਂ ਦੁਆਰਾ ਕੂਕੀਜ਼ ਦੀ ਵਰਤੋਂ ਨੂੰ ਨਿਯੰਤਰਿਤ ਨਹੀਂ ਕਰਦਾ ਹੈ। ਇਹ ਤੀਜੀ-ਧਿਰ ਸੇਵਾ ਪ੍ਰਦਾਤਾਵਾਂ ਅਤੇ ਤੀਜੀ-ਧਿਰ ਦੀਆਂ ਸਾਈਟਾਂ ਕੋਲ ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਦੇ ਸਟੋਰੇਜ ਅਤੇ ਧਾਰਨ ਨੂੰ ਨਿਯੰਤਰਿਤ ਕਰਨ ਵਾਲੀਆਂ ਆਪਣੀਆਂ ਗੋਪਨੀਅਤਾ ਨੀਤੀਆਂ ਹੋ ਸਕਦੀਆਂ ਹਨ ਜਿਨ੍ਹਾਂ ਦੇ ਤੁਸੀਂ ਅਧੀਨ ਹੋ ਸਕਦੇ ਹੋ। ਇਹ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਇਹਨਾਂ ਤੀਜੀ-ਧਿਰ ਪ੍ਰਦਾਤਾਵਾਂ ਅਤੇ ਤੀਜੀ-ਧਿਰ ਸਾਈਟਾਂ ਦੁਆਰਾ ਪ੍ਰਦਾਨ ਕੀਤੀ ਗਈ, ਸਟੋਰ ਕੀਤੀ ਜਾਂ ਵਰਤੀ ਗਈ ਕਿਸੇ ਵੀ ਜਾਣਕਾਰੀ ਨੂੰ ਨਿਯੰਤਰਿਤ ਨਹੀਂ ਕਰਦੀ ਹੈ। ਅਸੀਂ ਸਿਫ਼ਾਰਿਸ਼ ਕਰਦੇ ਹਾਂ ਕਿ ਜਦੋਂ ਤੁਸੀਂ ਕਿਸੇ ਤੀਜੀ-ਧਿਰ ਦੀ ਸਾਈਟ ਵਿੱਚ ਦਾਖਲ ਹੁੰਦੇ ਹੋ, ਤਾਂ ਤੁਸੀਂ ਤੀਜੀ ਧਿਰ ਦੀ ਸਾਈਟ ਦੀ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਦੀ ਸਮੀਖਿਆ ਕਰੋ ਕਿਉਂਕਿ ਇਹ ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਦੀ ਸੁਰੱਖਿਆ ਨਾਲ ਸਬੰਧਤ ਹੈ। ਤੁਸੀਂ ਸਹਿਮਤੀ ਦਿੰਦੇ ਹੋ ਅਤੇ ਸਵੀਕਾਰ ਕਰਦੇ ਹੋ ਕਿ ਪੋਸ਼ਣ ਟਰੈਕਰ ਖੋਜ ਨਤੀਜਿਆਂ ਜਾਂ ਕਿਸੇ ਵੀ ਤੀਜੀ-ਧਿਰ ਸਾਈਟ ਦੁਆਰਾ ਪ੍ਰਕਾਸ਼ਿਤ ਜਾਣਕਾਰੀ ਲਈ ਜਵਾਬਦੇਹ ਨਹੀਂ ਹੋਵੇਗਾ।","Our system provides third-party websites with an API that can gather your personal information. The distribution tractor is not responsible for either their privacy or their privacy or for any of their third-party content. In addition, you can also provide third-party websites with information about the properties of the property and properties of the property. You can also provide information about the properties of the property or properties of the property. You can also provide information about the property of the property of the property or of the property of the property. You can support the property of the property of the property or of any of the property components of the property, including the property of the property of the property owner, the property of the property of the property of the property, and the property of the property of the property of the property of the property owner. You can support the property of the property of the property of the property or of the property of the property of the property of the property of the property of the property of the property of the owner or of the property of the property of the property of the property of the property of the property of the property of the property of the property of the owner. The owner of the owner of the owner of the owner of the owner of the owner or any of the owner of the owner of the owner of the owner of the owner of the owner. The owner of the owner of the owner of the owner of the owner of the owner of the owner of the owner of the owner of the owner or of the owner of the owner of the owner of the owner or of the owner of the owner of the owner of the owner of the owner of the owner of the owner of the owner of the owner of the owner of the owner of the owner of the owner of the company of the company of the company of the company of the owner or of the owner of the owner or of the owner of the owner or of the owner or of the company of the owner or of the company of the owner or of the company of the owner or of the company of the company of the company of the company of the company of the company of the company of the company of the company of the company of the company of the owner of the owner of the company of the company of the owner of the owner of the owner of the owner of the owner."
2. HOW WE USE PERSONAL INFORMATION,2. ਅਸੀਂ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਕਿਵੇਂ ਕਰਦੇ ਹਾਂ,2. How We Use Personal Information
We use the information we collect from all our services for the following purposes:,ਅਸੀਂ ਆਪਣੀਆਂ ਸਾਰੀਆਂ ਸੇਵਾਵਾਂ ਤੋਂ ਇਕੱਤਰ ਕੀਤੀ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਹੇਠਾਂ ਦਿੱਤੇ ਉਦੇਸ਼ਾਂ ਲਈ ਕਰਦੇ ਹਾਂ:,We use the information collected from all our services for the following purposes:
2.1. Deliver our services.,2.1. ਸਾਡੀਆਂ ਸੇਵਾਵਾਂ ਪ੍ਰਦਾਨ ਕਰਨ ਲਈ।,2.1. To provide our services.
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",ਧਾਰਾ 1 ਦੇ ਤਹਿਤ ਇਕੱਤਰ ਕੀਤੀ ਗਈ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਲਾਭਪਾਤਰੀਆਂ ਦੀ ਸਿਹਤ ਦੀ ਸਹੂਲਤ ਦੇ ਉਦੇਸ਼ ਲਈ ਕੀਤੀ ਜਾਵੇਗੀ।,The information collected in accordance with paragraph 1 will be used for the purpose of facilitating the health of users.
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","ਅਸੀਂ ਆਪਣੇ ਉਤਪਾਦ ਪ੍ਰਦਾਨ ਕਰਦੇ ਹਾਂ, ਜਿਸ ਵਿੱਚ ਸਿਸਟਮ ਦੀ ਜਾਣਕਾਰੀ/ਅੰਕੜੇ/ ਸਮੱਗਰੀ ਅਤੇ ਸਮੱਗਰੀ ਨੂੰ ਅੱਪਡੇਟ ਕਰਨਾ, ਸੁਰੱਖਿਅਤ ਕਰਨਾ ਅਤੇ ਸਮੱਸਿਆ ਦਾ ਨਿਪਟਾਰਾ ਕਰਨਾ ਸ਼ਾਮਲ ਹੈ, ਨਾਲ ਹੀ ਸਹਾਇਤਾ ਪ੍ਰਦਾਨ ਕਰਨਾ ਵੀ ਸ਼ਾਮਲ ਹੈ।","We provide our product, which includes updating system information/data/ content and content, security and problem solving, as well as providing assistance."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database. These can also be used to assess the health status as recorded in the Poshan Tracker system.","ਜਦੋਂ ਤੁਸੀਂ ਪੋਸ਼ਣ ਟਰੈਕਰ 'ਤੇ ਰਜਿਸਟਰ ਕਰਦੇ ਹੋ, ਤਾਂ ਉਹ ਮੋਬਾਈਲ ਨੰਬਰ ਜਿਸ ਨਾਲ ਤੁਸੀਂ ਰਜਿਸਟਰ ਕੀਤਾ ਸੀ, ਡੇਟਾਬੇਸ ਤੋਂ ਤੁਹਾਡੇ ਰਿਕਾਰਡ ਨੂੰ ਲੱਭਣ ਲਈ ਵਰਤਿਆ ਜਾਵੇਗਾ। ਇਹਨਾਂ ਦੀ ਵਰਤੋਂ ਸਿਹਤ ਸਥਿਤੀ ਦਾ ਮੁਲਾਂਕਣ ਕਰਨ ਲਈ ਵੀ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ ਜਿਵੇਂ ਕਿ ਪੋਸ਼ਣ ਟਰੈਕਰ ਪ੍ਰਣਾਲੀ ਵਿੱਚ ਦਰਜ ਕੀਤਾ ਗਿਆ ਹੈ।","When you register the search tracker, the phone number you registered will be used to track your records from the database. It can also be used to estimate the health status of the search tracker."
2.2. Communicate with you.,2.2. ਤੁਹਾਡੇ ਨਾਲ ਸੰਚਾਰ ਕਰਣ ਲਈ।,2.2. To communicate with you.
