en,te,translated_helsinki
This Privacy Policy is required to be read in conjunction with the Terms of Service available at,ఈ గోప్యతా విధానాన్ని,This Privacy Policy
". Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service. By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.","వద్ద లభ్యం అయ్యే సేవా నిబంధనలకు అనుబంధంగా చదవాల్సి ఉంటుంది. ఈ గోప్యతా విధానం మరియు సేవా నిబంధనలను మీరు ఆమోదించిన తరువాత సిస్టమ్ యొక్క మీ ప్రాప్యత మరియు ఉపయోగం షరతులతో కూడినది. సిస్టమ్ ని యాక్సెస్ చేసుకోవడం మరియు/లేదా ఉపయోగించడం ద్వారా, మీరు సేవా నిబంధనలు మరియు ఈ గోప్యతా విధానాన్ని చదివారని, అర్థం చేసుకున్నారని మరియు దానికి కట్టుబడి ఉన్నారని మరియు ఈ గోప్యతా విధానంలో పేర్కొనబడ్డ రీతిలో మీ సమాచారం మరియు డేటా సేకరించడానికి, నిల్వ చేయడానికి మరియు ఉపయోగించడానికి మీరు సమ్మతిస్తున్నారని మీరు ప్రాతినిధ్యం వహిస్తున్నారు.","You are required to read about service contracts that are available to you. After you have approved this Privacy and Service Agreements, your system's privacy and usage are linked to conditions. By accessing and/or using the system, you are able to read and understand service contracts and this Privacy Policy, and are bound to them, and you agree to collect your information and data in this Privacy Policy mode, to continue and use it."
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,ఈ గోప్యతా విధానం యొక్క క్లాజ్ 2 మరియు 3లో పేర్కొనబడ్డ ఉద్దేశ్యాలను నెరవేర్చడం కొరకు ఈ గోప్యతా విధానం యొక్క క్లాజ్ 1లో వివరించిన విధంగా మీ సమాచారాన్ని సేకరించడం అవసరమని మీరు ఇందుమూలంగా ధృవీకరిస్తున్నారు.,You are here to confirm that you need to collect your information as described in Class 1 of this Privacy System for the purposes of Class 2 and 3.
1. INFORMATION WE COLLECT,1. మేము సేకరించే సమాచారం,1. The information we collect.
1.1. Information you provide to us.,1.1. మీరు మాకు అందించే సమాచారం.,1.1. The information you're giving us.
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account. This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) Address","మీరు ఖాతాకు సైన్ అప్ చేసినప్పుడు సహా, మీరు మా సేవలను ఉపయోగించినప్పుడు మీరు అందించే కంటెంట్ మరియు ఇతర సమాచారాన్ని మేము సేకరిస్తాము. దీనిలో ఇవి ఉండవచ్చు- (i) పేరు (ii) మొబైల్ నెంబరు (iii) పుట్టిన తేదీ (iv) లింగం (v) బిడ్డ పేరు (vi) ఆధార్ నెంబరు (vii) చిరునామా","Even when you sign up for the account, we collect the amount and other information you provide when you use our services. This may include: (i) the name (ii) the mobile number (iii) the date (iv) the child's name (v) the name (vi) the base number (vii) of the address"
"If you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature. You may, however, choose not to share personal data where providing the data is optional.","మీకు ఒక ప్రొడక్ట్ లేదా ఫీచర్ ని అందించడానికి అవసరమైన డేటాను అందించరాదని మీరు ఎంచుకున్నట్లయితే, మీరు ఆ ప్రొడక్ట్ లేదా ఫీచర్ ని ఉపయోగించలేరు. అయితే, డేటాను అందించడం ఐచ్ఛికంగా ఉన్న చోట వ్యక్తిగత డేటాను భాగస్వామ్యం చేయరాదని మీరు ఎంచుకోవచ్చు.","If you choose to do not provide the required data for a project or the filter, you will not be able to use that project or the filter. However, you can choose not to share the personal data with the given projector."
1.2. Information from use of services.,1.2. సేవల యొక్క ఉపయోగం నుండి సమాచారం.,1.2. Information from the use of services.
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","మీరు మా సైట్ లు, అనువర్తనం మరియు ప్లాట్ ఫారమ్ టెక్నాలజీతో సహా మా సేవలను సందర్శించినప్పుడు లేదా ఇతరత్రా ఉపయోగించినప్పుడు మేము వినియోగ డేటాను లాగ్ చేస్తాము.","We log the data we use when you visit our sites, application and platform technology, or when you visit our services."
"We may use various technologies to collect and store information, including cookies, local storage, such as browser web storage or application data caches, databases, and server logs to collect and use your information in certain cases.","నిర్దిష్ట సందర్భాల్లో మీ సమాచారాన్ని సేకరించడానికి మరియు ఉపయోగించడానికి బ్రౌజర్ వెబ్ నిల్వ లేదా అప్లికేషన్ డేటా కాష్ లు, డేటాబేస్ లు మరియు సర్వర్ లాగ్ లు వంటి కుకీలు, స్థానిక నిల్వతో సహా సమాచారాన్ని సేకరించడానికి మరియు నిల్వ చేయడానికి మేము వివిధ సాంకేతికతలను ఉపయోగించవచ్చు.","In certain cases, we can use various symbols to collect and store information, such as browser web sites or application data caches, databases and server logs."
1.3. Information from third parties.,1.3. తృతీయపక్షాల నుంచి సమాచారం.,"Jehovah’s Witnesses — Proclaimers of God’s Kingdom, 12 / 15"
"Our System provides API to Third – Party Sites that may collect your personal information. Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites. Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites. These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to. This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites. We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information. You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.","మీ వ్యక్తిగత సమాచారాన్ని సేకరించే తృతీయపక్ష సైట్ లకు మా సిస్టమ్ APIని అందిస్తుంది. అటువంటి సమాచారం లేదా వారి గోప్యతా విధానాలు లేదా ఆ తృతీయపక్ష సైట్ ల యొక్క కంటెంట్ యొక్క భద్రతకు పోషణ్ ట్రాకర్ ఏవిధంగానూ బాధ్యత వహించదు. అదనంగా, మీరు మూడవ - పక్ష సైట్ ల యొక్క నిర్దిష్ట పేజీల్లో ""కుకీలు"" లేదా ఇతర సారూప్య పరికరాలను కూడా ఎదుర్కొనవచ్చు మరియు ఈ మూడవ - పక్ష సైట్ ల ద్వారా కుకీల వినియోగాన్ని సిస్టమ్ నియంత్రించదని పోషణ్ ట్రాకర్ ద్వారా ఇందుమూలంగా స్పష్టం చేయబడింది. ఈ తృతీయపక్ష సేవా ప్రదాతలు మరియు తృతీయపక్ష సైట్ లు మీరు లోబడి ఉండగల మీ సమాచారాన్ని నిల్వ చేయడం మరియు నిలుపుకోవడాన్ని నియంత్రించే వారి స్వంత గోప్యతా విధానాలను కలిగి ఉండవచ్చు. ఈ తృతీయపక్ష ప్రదాతలు మరియు తృతీయపక్ష సైట్ ల ద్వారా అందించబడ్డ, నిల్వ చేయబడ్డ లేదా ఉపయోగించే ఏదైనా సమాచారాన్ని ఈ గోప్యతా విధానం నియంత్రించదు. మీరు తృతీయపక్ష సైట్ లోనికి ప్రవేశించినప్పుడు, తృతీయపక్ష సైట్ యొక్క గోప్యతా విధానాన్ని మీరు సమీక్షించాలని మేము సిఫార్సు చేస్తున్నాము, ఎందుకంటే ఇది మీ సమాచారాన్ని సంరక్షించడానికి సంబంధించినది. శోధన ఫలితాల్లో లేదా ఏదైనా తృతీయపక్ష సైట్ ల ద్వారా పబ్లిష్ చేయబడ్డ సమాచారానికి పోషణ్ ట్రాకర్ బాధ్యత వహించదని మీరు అంగీకరిస్తున్నారు మరియు ధృవీకరిస్తున్నారు.","Your personal information will be provided by our system API to gather information about your personal information sites. Such information or their privacy methods or the site's website's website's websites contain no security information, nor does it concern you with any privacy policy. In addition, you can refer to the ""kids"" or other features of your identity in the pages of the site. You can also refer to the identity of the identity of the ethnic group and other characteristics of the ethnic group and the identity of the ethnic group through this third party - the system’s control of the identity of the ethnic group, the identity of the ethnic group, and the identity of the ethnic group. You can also specify the identity of the identity of the ethnic group as well as the identity of the ethnic group."
2. HOW WE USE PERSONAL INFORMATION,2. మేము వ్యక్తిగత సమాచారాన్ని ఎలా ఉపయోగిస్తాము,2. How do we use personal information?
We use the information we collect from all our services for the following purposes:,మేము మా అన్ని సేవల నుండి సేకరించిన సమాచారాన్ని ఈ క్రింది ప్రయోజనాల కోసం ఉపయోగిస్తాము:,We use the information we collect from all our services for the following benefits:
2.1. Deliver our services.,2.1. మా సేవలను అందించండి.,"Two years later, I was invited to serve as a member of the Governing Body of Jehovah’s Witnesses."
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.","క్లాజ్ 1 కింద సేకరించబడ్డ సమాచారం, లబ్ధిదారుల యొక్క ఆరోగ్యాన్ని సులభతరం చేసే ఉద్దేశ్యం కొరకు ఉపయోగించబడుతుంది.",The information collected under Class 1 is used for the purpose of facilitating the health of refugees.
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","మేము మా ఉత్పత్తులను అందిస్తాము, దీనిలో సిస్టమ్ యొక్క సమాచారం/డేటా/మెటీరియల్స్ మరియు కంటెంట్ లను అప్ డేట్ చేయడం, సెక్యూర్ చేయడం మరియు ట్రబుల్ షూటింగ్ చేయడం, అదేవిధంగా మద్దతును అందించడం వంటివి ఉంటాయి.","We provide our products, in which it is like to update system information/data/metalls and containers, secure and track shooting, as well as support."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database. These can also be used to assess the health status as recorded in the Poshan Tracker system.","మీరు పోషణ్ ట్రాకర్ పై రిజిస్టర్ చేసుకున్నప్పుడు, డేటాబేస్ నుంచి మీ రికార్డ్ ని లొకేట్ చేయడం కొరకు మీరు రిజిస్టర్ చేసుకున్న మొబైల్ నెంబరు ఉపయోగించబడుతుంది. పోషణ్ ట్రాకర్ సిస్టమ్ లో రికార్డ్ చేయబడ్డ ఆరోగ్య స్థితిని మదింపు చేయడానికి కూడా వీటిని ఉపయోగించవచ్చు.","When you register on the mailbox tracker, the mobile number you have registered will be used to record your records from the database. These can also be used to track the health status recorded in the mailbox tracker system."
2.2. Communicate with you.,2.2. మిమల్ని సంప్రదించడానికి.,2.2. To get to know the monkeys.
"We also send SMSs on your registered mobile number to alert you about registration, we also use your information to respond to you when you contact us and to investigate, respond to and resolve complaints and for Service issues (e.g. bugs).","రిజిస్ట్రేషన్ గురించి మిమ్మల్ని అలర్ట్ చేయడం కొరకు మేం మీ రిజిస్టర్డ్ మొబైల్ నెంబరుకు SMSలను కూడా పంపుతాం, మీరు మమ్మల్ని సంప్రదించినప్పుడు మీకు ప్రతిస్పందించడానికి మరియు పరిశోధించడానికి, ప్రతిస్పందించడానికి మరియు ఫిర్యాదులను పరిష్కరించడానికి మరియు సర్వీస్ సమస్యలు (ఉదా. బగ్ లు) కొరకు కూడా మేం మీ సమాచారాన్ని ఉపయోగిస్తాం.","We also send text messages to your registered mobile number to alert you about registration, and we use your information for service problems (e.g. bugs) to respond and investigate when you contact us."
2.3. Verification.,2.3. ధ్రువీకరణ.,( b) What questions will we consider in the next article?
"We use the information we have, to help verify accounts. The records may be used for verification of health status for the purposes of Poshan Tracker control and response.",ఖాతాలను ధృవీకరించడంలో సహాయపడటానికి మా వద్ద ఉన్న సమాచారాన్ని మేము ఉపయోగిస్తాము. పోషణ్ ట్రాకర్ కంట్రోల్ మరియు ప్రతిస్పందన యొక్క ఉద్దేశ్యాల కొరకు ఆరోగ్య స్థితిని ధృవీకరించడం కొరకు రికార్డ్ లను ఉపయోగించవచ్చు.,We use the information we have to help verify the accounts. The records can be used to confirm the health status for the purposes of post-tracker control and response.
2.4. Security and Audit.,2.4. సెక్యూరిటీ మరియు ఆడిట్.,2.4. Security and audit.
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.","భద్రతా ప్రయోజనాల కోసం లేదా మా సేవా నిబంధనల యొక్క సంభావ్య మోసం లేదా ఇతర ఉల్లంఘనలు మరియు/లేదా మా సభ్యులు, సందర్శకులు లేదా ఇతరులకు హాని కలిగించే ప్రయత్నాలను నిరోధించడానికి లేదా పరిశోధించడానికి మేము మీ డేటాను (మీ కమ్యూనికేషన్ లతో సహా) ఉపయోగిస్తాము.","We use your data (including your communications) to prevent or investigate any significant fraud or other distortions of our service contracts and/or our members, visitors or others."
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system. The records may be used for such audits.",సిస్టమ్ యొక్క భద్రత మరియు స్కేలబిలిటీ కొరకు MWCD ద్వారా నియమించబడ్డ ఆడిటర్ ల ద్వారా పోషణ్ ట్రాకర్ సిస్టమ్ రెగ్యులర్ గా ఆడిట్ చేయబడుతుంది. అటువంటి ఆడిట్ ల కొరకు రికార్డులను ఉపయోగించవచ్చు.,The system security and scaled-up of MWCDs will be audited as the post-tracker system controller. The records can be used for such audits.
2.5. Research and operational activities.,2.5. పరిశోధన మరియు కార్యాచరణ కార్యకలాపాలు.,2.5. Research and operations.
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research. We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.","మా పనితీరును విశ్లేషించడం, మా చట్టపరమైన బాధ్యతలను తీర్చడం, మా శ్రామిక శక్తిని అభివృద్ధి చేయడం మరియు పరిశోధన చేయడం వంటి మా సేవలను ఆపరేట్ చేయడానికి కూడా మేము డేటాను ఉపయోగిస్తాము. సిస్టమ్ ని మెరుగుపరచడం కొరకు మరియు సిస్టమ్ యొక్క ప్రొవిజన్ కు యాదృచ్ఛికంగా లేదా అనుబంధంగా మరియు కొత్త టెక్నాలజీలు మరియు సర్వీస్ లను అభివృద్ధి చేయడం మరియు అందించడం కొరకు అన్ని చర్యల కొరకు నిర్ధిష్ట అవసరమైన ఆపరేషన్ చేయడం కొరకు కూడా మేం ఈ సమాచారాన్ని ఉపయోగించవచ్చు.","We also use data to explore our work, to carry out our legal responsibilities, to operate our services such as improving our physical strength and research. We can also use this information to improve the system and to develop new technologies and services and to perform the necessary operation for all actions."
2.6. Surveys and Feedbacks.,2.6. సర్వేలు మరియు ఫీడ్ బ్యాక్ లు.,2.6. Serwell and feed back.
"The System also takes feedback about system performance and experience. Information on name, mobile number, date of registration and health status may be used for these purposes","సిస్టమ్ పనితీరు మరియు అనుభవం గురించి కూడా సిస్టమ్ ఫీడ్ బ్యాక్ తీసుకుంటుంది. పేరు, మొబైల్ నెంబరు, రిజిస్ట్రేషన్ తేదీ మరియు ఆరోగ్య స్థితిపై సమాచారాన్ని ఈ ప్రయోజనాల కొరకు ఉపయోగించవచ్చు","System configuration and experience will also be back up. You can use the name, mobile phone number, registration date and health status information for this purpose."
3. SHARING OF INFORMATION,3. సమాచారాన్ని పంచుకోవడం,3. Sharing Information
3.1. Tracking health progress.,3.1. ఆరోగ్య పురోగతిని ట్రాక్ చేస్తుంది.,3.1. Tracks health progress.
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,. Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.","పైన క్లాజు 1 కింద రిజిస్ట్రేషన్ సమయంలో మీ నుంచి సేకరించబడ్డ వ్యక్తిగత సమాచారం సురక్షితంగా నిల్వ చేయబడుతుంది మరియు ఆరోగ్య పురోగతి మరియు స్థితిని ట్రాక్ చేయడం, దేశంలో పోషణ్ ట్రాకర్ యొక్క నిర్వహణ కొరకు రిపోర్టులు, హీట్ మ్యాప్ లు మరియు ఇతర స్టాటిస్టికల్ విజువలైజేషన్ లను జనరేట్ చేయడం కొరకు భారత ప్రభుత్వం లేదా రాష్ట్ర ప్రభుత్వాల ద్వారా మాత్రమే ఉపయోగించబడుతుంది. పైన క్లాజు 1 ప్రకారంగా SMS ద్వారా మీకు కమ్యూనికేట్ చేయడం కొరకు మీ రిఫరెన్స్ ఐడి (మొబైల్ నెంబరు) మీ వ్యక్తిగత సమాచారంతో మాత్రమే సహ-సంబంధం కలిగి ఉంటుంది.","Personal information collected from you during your registration under Class 1 will be stored safely and will be used only by the government or by state authorities to monitor your health and health progress and status, reports for the management of mailboxes in the country, hit maps and other statistical verifications. According to Class 1, you will be notified by SMS 1 by the Ministry of Refrensive Science and Technology."
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:","అటువంటి బహిర్గతం లేదా బదిలీ అయితే తప్ప, మీ సమ్మతి లేకుండా మేం మీ సమాచారాన్ని ఏదైనా ఇతర తృతీయపక్షాలకు వెల్లడించం లేదా బదిలీ చేయం:","In addition to such a statement or alternative, however, without your consent, we will reveal or change your information to any other source of information:"
1. Required in order to comply with any applicable law or court order or direction; or,1. ఏదైనా వర్తించే చట్టం లేదా కోర్టు ఆర్డర్ లేదా డైరెక్షన్ ని పాటించడం కొరకు అవసరం అవుతుంది; లేదా,1. A law or a court order or an address must be executed; or
"2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","2. గుర్తింపు యొక్క ధృవీకరణ, నివారణ, గుర్తింపు, గుర్తింపు, దర్యాప్తు, ప్రాసిక్యూషన్ లేదా ఏవైనా నేరాలు లేదా ఘటనల యొక్క శిక్షల యొక్క ఆవశ్యకత కొరకు వర్తించే చట్టం ప్రకారంగా ఏదైనా సముచితమైన ప్రభుత్వ ఏజెన్సీ ద్వారా అభ్యర్థించబడుతుంది.","2. Recognition, residence, recognition, recognition, arrest, prosecution or any crime or event is required by a law that deals with the necessity of punishment by an appropriate government agency."
3.2. Legal Disclosures.,3.2. లీగల్ డిస్ క్లోజర్స్.,3.2. Legal disks cloggers.
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","చట్టపరమైన అభ్యర్థన, సమన్లు లేదా ఇతర చట్టపరమైన ప్రక్రియకు ప్రతిస్పందనగా మేము మీ సమాచారాన్ని ప్రాప్యత చేయవచ్చు, సంరక్షించవచ్చు మరియు భాగస్వామ్యం చేయవచ్చు లేదా (1) మోసం లేదా చట్టవ్యతిరేక కార్యకలాపాలకు సంబంధించి పరిశోధించడానికి, నిరోధించడానికి లేదా చర్య తీసుకోవడానికి లేదా ప్రభుత్వ అమలు సంస్థలకు సహాయపడటానికి బహిర్గతం సహేతుకంగా అవసరమని మాకు మంచి నమ్మకం ఉంటే; (2) మీతో మా ఒప్పందాలను అమలు చేయడం; (3) ఏదైనా తృతీయపక్ష క్లెయింలు లేదా ఆరోపణలకు విరుద్ధంగా మనల్ని మనం పరిశోధించుకోవడం మరియు సమర్థించుకోవడం; (4) మా సేవల భద్రత లేదా సమగ్రతను సంరక్షించడం (ఇలాంటి బెదిరింపులను ఎదుర్కొంటున్న కంపెనీలతో భాగస్వామ్యం చేయడం వంటివి); లేదా (5) ఎవరైనా వ్యక్తి యొక్క హక్కులు మరియు భద్రతను ఉపయోగించడం లేదా సంరక్షించడం.","In response to legal appeals, appeals, or other legal proceedings, we may have access to, protect and participate in (1) false or illegal activities, as well as (1) our ability to investigate, reject, or act in a way that is contrary to the principles of the law or other legal process; (2) our conduct on the part of the opposite sex; and (3) our conduct on the part of the opposite sex; and (4) our attitude toward our services (such as our dress and grooming)."
4. RETENTION,4. నిలుపుదల,4. Standby
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.","రిజిస్ట్రేషన్ సమయంలో క్లాజ్ 1 కింద మీ నుంచి సేకరించబడ్డ మొత్తం వ్యక్తిగత సమాచారం మీ రికార్డు ఉనికిలో ఉన్నంత కాలం మరియు దిగువ క్లాజ్ 4(బి)కు లోబడి క్లాజ్ 2 కింద ఏవైనా వైద్య లేదా అడ్మినిస్ట్రేటివ్ జోక్యాలు ప్రారంభించబడినట్లయితే, అటువంటి జోక్యాలను పూర్తి చేయడం కొరకు అవసరమైన కాలవ్యవధి వరకు ఉంచబడుతుంది.",The amount of personal information collected from you under Class 1 during the registration period will be kept until the time your record is in and if any medical or administratev Jockeys are started under Class 2 if any medical or administrate Jockeys are required to complete such Jockeys.
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.","క్లాజులు 1 కింద సేకరించబడ్డ మొత్తం వ్యక్తిగత సమాచారం కూడా అప్లికేషన్ సర్వర్ లో ఉంచబడుతుంది, అటువంటి సమాచారం ఈవెంట్ కొరకు రిజిస్టర్ చేసుకున్న వ్యక్తులకు సంబంధించినంత వరకు.","All personal information collected under Class 1 will also be stored on the application server, up to the number of people registered for this event."
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","పోషణ్ ట్రాకర్ యొక్క రిజిస్టర్డ్ యూజర్ ల యొక్క వ్యక్తిగత డేటా ద్వారా జనరేట్ చేయబడ్డ అనామధేయ, అగ్రిగేటెడ్ డేటాసెట్ లకు లేదా అటువంటి డేటాసెట్ లను ఉపయోగించి సృష్టించబడ్డ ఏదైనా రిపోర్ట్ లు, హీట్ మ్యాప్ లు లేదా ఇతర విజువలైజేషన్ లకు ఇక్కడ సెట్ చేయబడ్డ ఏదీ వర్తించదు.","Nothing will be done here to create reports, hit maps or other victoryisations generated using anonymous, aggregated data or such data generated by personal data generated by registered users of the mailbox tracker."
5. RIGHTS,5. హక్కులు,5. Rights
"As a registered user, you have the right to access your profile at any time. Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","రిజిస్టర్డ్ యూజర్ గా, ఏ సమయంలోనైనా మీ ప్రొఫైల్ ని యాక్సెస్ చేసుకునే హక్కు మీకు ఉంటుంది. అయినప్పటికీ, పోషణ్ ట్రాకర్ సిస్టమ్ ద్వారా నియతానుసారంగా సూచించిన విధంగా మాత్రమే మార్పులు చేయవచ్చు.","As a registered user, you will have the right to access your profile at any time. However, you can only change as specified by the postal tracker system."
You cannot manage the communications that you receive from us or how you receive them.,మీరు మా నుండి స్వీకరించే కమ్యూనికేషన్ లను లేదా వాటిని మీరు ఎలా స్వీకరిస్తారో మీరు నిర్వహించలేరు.,You can't handle the communications you receive from us or how you accept them.
6. DATA SECURITY,6. డేటా భద్రత,6. Data Security
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws. Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server. It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.","పోషణ్ ట్రాకర్ ప్లాట్ ఫారమ్ లో మీ గోప్యత మరియు వ్యక్తిగత సమాచారాన్ని నష్టం, దుర్వినియోగం, అనధీకృత ప్రాప్యత, వెల్లడించడం, నాశనం చేయడం మరియు అనువర్తించే చట్టాలకు అనుగుణంగా సమాచారాన్ని మార్చడం నుంచి సంరక్షించడం కొరకు సహేతుకమైన భద్రతా చర్యలు మరియు రక్షణలు ఉన్నాయి. ఇంకా, మీరు సిస్టమ్ లో మీ ఖాతాను లేదా దానికి సంబంధించిన ఏదైనా సమాచారాన్ని మార్చినప్పుడు లేదా యాక్సెస్ చేసుకున్నప్పుడు, మేము ఒక సురక్షిత సర్వర్ యొక్క ఉపయోగాన్ని అందిస్తాము. మీరు సిస్టమ్ ని యాక్సెస్ చేసుకునేంత వరకు మరియు/లేదా (ప్రత్యక్షంగా లేదా పరోక్షంగా) ఉపయోగించినంత కాలం, మీ వ్యక్తిగత సమాచారంతో సహా మరియు పరిమితం కాకుండా ఉండే మీ డేటా యొక్క సమగ్రత మరియు భద్రతను సంరక్షించడం కొరకు, మీరు అన్నివేళలా తగిన భౌతిక, నిర్వహణ మరియు సాంకేతిక సంరక్షణలను తీసుకునే బాధ్యతను కలిగి ఉంటారని మరింత స్పష్టం చేయబడింది.","There are reasonable security measures and precautions to protect from changing your privacy and personal information in the postal tracker platform from changing your privacy, abuse, unsubstantiation, disclosure, destruction and application rules. Also, when you change your account or your personal information in the system, or when you do something about it, we provide you with a secure server's use. You can access the system's privacy and/or privacy."
7. CHANGES TO PRIVACY POLICY,7. గోప్యతా విధానానికి మార్పులు,7. Changes in Privacy
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes. Any changes or updates will be effective immediately. You should review this Privacy Policy regularly for changes.","అటువంటి మార్పుల గురించి మీకు ప్రత్యేకంగా తెలియజేయకుండానే, ఏ సమయంలోనైనా ఈ గోప్యతా విధానంలోని ఏదైనా భాగాన్ని మార్చడానికి, సవరించడానికి, జోడించడానికి లేదా తొలగించడానికి పోషణ్ ట్రాకర్ కు బేషరతుగా హక్కు ఉంటుంది. ఏవైనా మార్పులు లేదా నవీకరణలు వెంటనే అమల్లోకి వస్తాయి. మార్పుల కోసం మీరు ఈ గోప్యతా విధానాన్ని క్రమం తప్పకుండా సమీక్షించాలి.","Before you are specifically aware of such changes, you are entitled to change, modify, connect, or remove any part of this encryption system at any time. Any changes or updates will take effect immediately. You need to check this Privacy Policy regularly for changes to take effect."
