en,gu
X. ACCESS FROM OUTSIDE INDIA,એક્સ. ભારત બહારથી એક્સેસ
"The Site is directed to the people residing in India. We do not represent that Content available on or through the Site is appropriate or available in other locations. We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time. If you choose to access the Site from outside India, you do so at your own risk.","આ સાઇટ ભારતમાં રહેતા લોકો માટે નિર્દેશિત છે. અમે એવું પ્રતિનિધિત્વ કરતા નથી કે સાઇટ પર અથવા તેના દ્વારા ઉપલબ્ધ સામગ્રી યોગ્ય છે અથવા અન્ય સ્થળોએ ઉપલબ્ધ છે. અમે કોઈપણ સમયે કોઈપણ વ્યક્તિ અથવા ભૌગોલિક વિસ્તાર માટે સાઇટ અથવા સાઇટ પર વર્ણવેલ કોઈપણ સેવા અથવા ઉત્પાદનની ઉપલબ્ધતાને મર્યાદિત કરી શકીએ છીએ. જો તમે ભારતની બહારથી સાઇટને એક્સેસ કરવાનું પસંદ કરો છો, તો તમે તમારા પોતાના જોખમે આમ કરો છો."
XI. VIOLATION OF THESE TERMS,XI. આ શરતોનું ઉલ્લંઘન
"We may investigate any violation of these Terms, including unauthorized use of the Site. We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you. We may take legal action that we feel is appropriate. If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","અમે સાઇટના અનધિકૃત ઉપયોગ સહિત આ શરતોના કોઈપણ ઉલ્લંઘનની તપાસ કરી શકીએ છીએ. અમે કાયદાના અમલીકરણને તમારી કોઈપણ તપાસ અથવા કાર્યવાહીમાં મદદ કરવા માટે તમારા વ્યવહારોથી સંબંધિત તમે અમને પ્રદાન કરેલી માહિતી પ્રદાન કરી શકીએ છીએ. અમને યોગ્ય લાગે તે અમે કાનૂની પગલાં લઈ શકીએ છીએ. જો અમે નિર્ધારિત કરીએ કે તમે આ શરતો અથવા કાયદાનું ઉલ્લંઘન કર્યું છે, અથવા અન્ય કોઈ કારણસર અથવા કોઈ કારણસર, અમે તમારા એકાઉન્ટને અવરોધિત કરી શકીએ છીએ અને તમને સૂચના આપ્યા વિના કોઈપણ સમયે સાઇટને ઍક્સેસ કરવાથી અટકાવીશું."
XII. RE-DISTRIBUTION,XII. ફરી-વિતરણ
"Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker. Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.","અધિકૃત સંસ્થાઓ એપીઆઈ/નો-કોડ વેબપેજ એકીકરણ દ્વારા ઍક્સેસ કરવામાં સક્ષમ હોય તેવા કોઈપણ ડેટાને ફરીથી વિતરિત કરશે નહીં અને ખાતરી કરશે કે આવા તમામ ડેટાનું એકીકરણ પોશન ટ્રેકર દ્વારા પ્રદાન કરવામાં આવતી ચોક્કસ સેવાઓ સુધી ફરજિયાતપણે મર્યાદિત હોવું જોઈએ. કોઈ પણ સંજોગોમાં, સંસ્થાએ સરકારના પોષણ અભિયાનના ભાગ રૂપે એકત્ર કરાયેલ ડેટાનો ઉપયોગ કોઈપણ હેતુ માટે કરવો જોઈએ નહીં."
"XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE","XIII. કાયદાનું પાલન, તૃતીય પક્ષના અધિકારો અને સેવાની અન્ય શરતો"
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India. These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.","અધિકૃત સંસ્થાઓ ભારત સરકાર દ્વારા સ્થાપિત તમામ લાગુ કાયદાઓ, નિયમન, નીતિઓ અને તૃતીય-પક્ષ અધિકારો (જેમાં અને મર્યાદા વિના, ડેટા અથવા સૉફ્ટવેરની આયાત અથવા નિકાસ સંબંધિત કોઈપણ કાયદાઓ, પ્રાઇવસી અને સ્થાનિક કાયદાઓ સહિત) નું પાલન કરશે. આ સંસ્થાઓ પોશન ટ્રેકર સાથેની આ શરતો સહિતની ગેરકાયદેસર પ્રવૃત્તિ અથવા તૃતીય-પક્ષ અધિકારોના ઉલ્લંઘનને પ્રોત્સાહિત કરવા અથવા પ્રોત્સાહન આપવા APIs/ નો-કોડ વેબપેજ એકીકરણનો ઉપયોગ કરશે નહીં."
XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS,XIV. તૃતીય પક્ષ સિસ્ટમો દ્વારા પ્રદાન કરવામાં આવેલ ડેટાની ચોકસાઈ
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party. Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.","પોશન ટ્રેકર પાસેથી ડેટા એકત્ર કરતા અને વપરાશકર્તાઓને પ્રદર્શિત કરતા ASP આવા ડેટાની શુદ્ધતા માટે અને આ રીતે પ્રદાન કરવામાં આવેલ કોઈપણ ડેટામાંથી ઉદ્ભવતી કોઈપણ જવાબદારી માટે સંપૂર્ણપણે જવાબદાર રહેશે, તે સંપૂર્ણપણે આવા તૃતીય પક્ષની સાથે રહેશે. કોઈપણ ખોટા ડેટાને કારણે ઉદ્ભવતી કોઈપણ જવાબદારીઓ સિવિલ અથવા ફોજદારી, ફક્ત સંબંધિત ASP પાસે જ રહેશે."
XV. INDEMNITY AND LIMITATION OF LIABILITY,XV. ક્ષતિપૂર્તિ અને જવાબદારીની મર્યાદા
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:","તમે હાનિકારક પોશન ટ્રેકર અને તેના આનુષંગિકો, તેના અધિકારીઓ, નિર્દેશકો, કર્મચારીઓ અને એજન્ટો, કોઈપણ અને તમામ દાવાઓ, નુકસાની, જવાબદારીઓ, નુકસાન, જવાબદારીઓ, ખર્ચ અથવા દેવું સહિત અને ખર્ચ સહિતની સામે અને તેની વિરુદ્ધમાં બચાવ, નુકસાન ભરપાઈ કરવા અને પકડી રાખવા માટે સંમત થાઓ છો, પરંતુ મર્યાદિત નથી. કોઈપણ આરોપ અથવા તૃતીય-પક્ષ કાનૂની કાર્યવાહીથી સંબંધિત એટર્ની ફી આનાથી ઉદ્ભવતા હદ સુધી:"
Your use of and access to the Site and Service;,સાઇટ અને સેવાનો તમારો ઉપયોગ અને ઍક્સેસ;
Your violation of any term of this Agreement;,આ કરારની કોઈપણ મુદતનું તમારું ઉલ્લંઘન;
"Your violation of any third party right, including without limitation, any copyright, property, or privacy right; or","કોઈપણ તૃતીય પક્ષના અધિકારનું તમારું ઉલ્લંઘન, જેમાં મર્યાદા વિના, કોઈપણ કોપીરાઈટ, મિલકત અથવા પ્રાઇવસી અધિકારનો સમાવેશ થાય છે; અથવા"
Any claim that your User Content caused damage to a third party. This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,કોઈપણ દાવો કે તમારી વપરાશકર્તા સામગ્રીએ તૃતીય પક્ષને નુકસાન પહોંચાડ્યું છે. આ સંરક્ષણ અને વળતરની જવાબદારી આ કરાર અને સેવા અને વેબસાઇટ/એપના તમારા ઉપયોગથી બચી જશે.
XVI. JURISDICTION,XVI. અધિકારક્ષેત્ર
Your use of the Site and any dispute arising out of such use of the Site is subject to the laws of India and place of jurisdiction shall be New Delhi.,સાઇટનો તમારો ઉપયોગ અને સાઇટના આવા ઉપયોગથી ઉદ્ભવતા કોઈપણ વિવાદ ભારતના કાયદાને આધીન છે અને અધિકારક્ષેત્રનું સ્થાન નવી દિલ્હી હશે.
Support,મદદ
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,મોબાઈલ એપ ડાઉનલોડ કરો
Powered By,Powered By
About,વિશે
Resources,સંસાધનો
Dashboard,ડેશબોર્ડ
Helpdesk,હેલ્પડેસ્ક
FAQ,વારંવાર પૂછાતા પ્રશ્નો
Poshan Calculator,પોષણ કેલ્ક્યુલેટર
Terms of Service,સેવાની શરતો
Privacy Policy,પ્રાઇવસી પોલિસી
Careers,કારકિર્દ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (હેલ્થ ID)
Language,ભાષા
About,વિશે
Resources,સંસાધનો
Resources,સંસાધનો
Vaccination Schedule,રસીકરણ શેડ્યૂલ
Dashboard,ડેશબોર્ડ
Dashboard,ડેશબોર્ડ
Mission Utkarsh,Mission Utkarsh
Helpdesk,હેલ્પડેસ્ક
Beneficiary Redressal,લાભાર્થી અસંતોષ નિવારણ
State Helpdesk,રાજ્ય હેલ્પડેસ્ક
FAQ,વારંવાર પૂછાતા પ્રશ્નો
Poshan Calculator,લાભાર્થી અસંતોષ નિવારણ
Login,પ્રવેશ
Privacy Policy,પ્રાઇવસી પોલિસી
20 December 2021,20 ડિસેમ્બર 2021
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","પોષણ અભિયાન એ બાળકો, કિશોરો, સગર્ભા સ્ત્રીઓ અને સ્તનપાન કરાવતી માતાઓ માટે ટેક્નોલૉજી, લક્ષિત અભિગમ અને કન્વર્જન્સનો ઉપયોગ કરીને પોષણના પરિણામોને સુધારવા માટેનો ભારતનો મુખ્ય કાર્યક્રમ છે."
"Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign. References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”","પોશન ટ્રેકર પોર્ટલ અથવા એપ ભારત સરકારના મહિલા અને બાળ વિકાસ મંત્રાલય દ્વારા સંચાલિત થાય છે, જેને પછીથી ""MWCD"", ""અમારા"", ""અમે"", ""અમે"" તરીકે ઓળખવામાં આવે છે જેમાં અન્ય વિભાગો અને વિભાગોનો સંદર્ભ શામેલ હશે કાર્યક્રમ/ ઝુંબેશ. આ પોલિસીમાં પોશન ટ્રેકર પોર્ટલ અથવા એપના સંદર્ભોમાં પોશન ટ્રેકર અથવા અન્ય કોઈપણ એપ્સ અથવા પોર્ટલનો સમાવેશ થાય છે કે જે APIs/સંબંધિત સાઇટ્સ, એપ્સ, કોમ્યુનિકેશન્સ અને સેવાઓ (""સેવાઓ"") દ્વારા પોશાન ટ્રેકર સાથે સંકલિત કરવામાં આવે છે, જે પછીથી સામૂહિક રીતે ""પોશન ટ્રેકર અથવા સિસ્ટમ"" તરીકે ઓળખવામાં આવે છે.”"
"Our Privacy Policy applies when you use our Services (described below). This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared. The collecting and retaining agency in respect of your information is MWCD.","જ્યારે તમે અમારી સેવાઓનો ઉપયોગ કરો છો ત્યારે અમારી પ્રાઇવસી પોલિસી લાગુ થાય છે (નીચે વર્ણવેલ). આ પ્રાઇવસી પોલિસી અમે કઈ માહિતી એકત્રિત કરીએ છીએ, અમે તેને શા માટે એકત્રિત કરીએ છીએ અને તેનો ઉપયોગ અને શેર કેવી રીતે કરવામાં આવે છે તે સમજવામાં તમને મદદ કરવા માટે છે. તમારી માહિતીના સંદર્ભમાં એકત્ર કરતી અને જાળવી રાખતી એજન્સી MWCD છે."
"We are committed to protecting the security of your personal information and safeguarding your privacy. Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.","અમે તમારી અંગત માહિતીની સુરક્ષા અને તમારી પ્રાઇવસીની સુરક્ષા માટે પ્રતિબદ્ધ છીએ. સિસ્ટમ પર કોઈપણ માહિતી અથવા ડેટા એકત્રિત અને પ્રક્રિયા કરવામાં આવે છે તે માહિતી ટેકનોલોજી અધિનિયમ, 2000 ની જોગવાઈઓ અનુસાર તેના નિયમો અને વ્યક્તિગત ડેટાના સંગ્રહ અને પ્રક્રિયાને લગતા અન્ય રાષ્ટ્રીય અને રાજ્ય કાયદાઓ અનુસાર કરવામાં આવે છે."
This Privacy Policy is required to be read in conjunction with the Terms of Service available at ,આ પ્રાઇવસી પોલિસી 
https://poshantracker.in,https://poshantracker.in
". Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service. By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy."," પર ઉપલબ્ધ સેવાની શરતો સાથે વાંચવી જરૂરી છે. સિસ્ટમની તમારી ઍક્સેસ અને ઉપયોગ આ પ્રાઇવસી પોલિસી અને સેવાની શરતોની તમારી સ્વીકૃતિ પર શરતી છે. સિસ્ટમને ઍક્સેસ કરીને અને/અથવા તેનો ઉપયોગ કરીને, તમે પ્રતિનિધિત્વ કરો છો કે તમે સેવાની શરતો અને આ પ્રાઇવસી પોલિસી વાંચી, સમજ્યા અને તેના દ્વારા બંધાયેલા છો, અને તમે તમારી માહિતી અને ડેટાને એકત્રિત, સંગ્રહિત અને નિર્ધારિત રીતે ઉપયોગમાં લેવા માટે સંમતિ આપો છો. આ પ્રાઇવસી પોલિસીમાં."
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,તમે આથી સ્વીકારો છો કે આ પ્રાઇવસી પોલિસી ના ક્લોઝ 1 માં વર્ણવ્યા મુજબ તમારી માહિતીનો સંગ્રહ આ પ્રાઇવસી પોલિસી ના ક્લોઝ 2 અને 3 માં ઉલ્લેખિત હેતુઓને પૂર્ણ કરવા માટે જરૂરી છે.
1. INFORMATION WE COLLECT,1. અમે એકત્રિત કરીએ છીએ તે માહિતી
1.1. Information you provide to us.,1.1. તમે અમને પ્રદાન કરો છો તે માહિતી.
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account. This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) Address","જ્યારે તમે અમારી સેવાઓનો ઉપયોગ કરો છો ત્યારે અમે સામગ્રી અને અન્ય માહિતી એકત્રિત કરીએ છીએ, જેમાં તમે એકાઉન્ટ માટે સાઇન અપ કરો ત્યારે પણ સમાવેશ થાય છે. આમાં શામેલ હોઈ શકે છે- (i) નામ (ii) મોબાઈલ નંબર (iii) જન્મ તારીખ (iv) લિંગ (v) બાળકનું નામ (vi) આધાર નંબર (vii) સરનામું"
"If you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature. You may, however, choose not to share personal data where providing the data is optional.","જો તમે ઉત્પાદન અથવા સુવિધા પ્રદાન કરવા માટે જરૂરી ડેટા પ્રદાન ન કરવાનું પસંદ કરો છો, તો તમે તે ઉત્પાદન અથવા સુવિધાનો ઉપયોગ કરી શકતા નથી. જો કે, તમે વ્યક્તિગત ડેટા શેર ન કરવાનું પસંદ કરી શકો છો જ્યાં ડેટા આપવો વૈકલ્પિક હોય."
1.2. Information from use of services.,1.2. સેવાઓના ઉપયોગની માહિતી.
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","જ્યારે તમે અમારી સાઇટ્સ, એપ્લિકેશન અને પ્લેટફોર્મ ટેકનોલોજી સહિત અમારી સેવાઓની મુલાકાત લો છો અથવા અન્યથા ઉપયોગ કરો છો ત્યારે અમે વપરાશ ડેટાને લૉગ કરીએ છીએ."
"We may use various technologies to collect and store information, including cookies, local storage, such as browser web storage or application data caches, databases, and server logs to collect and use your information in certain cases.","અમે માહિતી એકત્રિત કરવા અને સંગ્રહિત કરવા માટે વિવિધ તકનીકોનો ઉપયોગ કરી શકીએ છીએ, જેમાં કૂકીઝ, સ્થાનિક સ્ટોરેજ, જેમ કે બ્રાઉઝર વેબ સ્ટોરેજ અથવા એપ્લિકેશન ડેટા કેશ, ડેટાબેસેસ અને અમુક કિસ્સાઓમાં તમારી માહિતીનો ઉપયોગ કરવા માટે સર્વર લોગનો સમાવેશ થાય છે."
1.3. Information from third parties.,1.3. તૃતીય પક્ષો પાસેથી માહિતી.
"Our System provides API to Third – Party Sites that may collect your personal information. Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites. Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites. These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to. This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites. We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information. You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.","અમારી સિસ્ટમ ત્રીજા પક્ષની સાઇટ્સને API પ્રદાન કરે છે જે તમારી વ્યક્તિગત માહિતી એકત્રિત કરી શકે છે. પોશન ટ્રેકર કોઈપણ રીતે આવી માહિતી અથવા તેમની પ્રાઇવસી પ્રથાઓ અથવા તે તૃતીય-પક્ષ સાઇટ્સની સામગ્રીની સુરક્ષા માટે જવાબદાર નથી. વધુમાં, તમે તૃતીય-પક્ષ સાઇટ્સના અમુક પૃષ્ઠો પર ""કૂકીઝ"" અથવા અન્ય સમાન ઉપકરણોનો સામનો પણ કરી શકો છો અને તે આથી પોશન ટ્રેકર દ્વારા સ્પષ્ટ કરવામાં આવે છે કે સિસ્ટમ આ તૃતીય-પક્ષ સાઇટ્સ દ્વારા કૂકીઝના ઉપયોગને નિયંત્રિત કરતી નથી. આ તૃતીય-પક્ષ સેવા પ્રદાતાઓ અને તૃતીય-પક્ષ સાઇટ્સની તમારી માહિતીના સંગ્રહ અને જાળવણીને સંચાલિત કરતી તેમની પોતાની પ્રાઇવસી પોલિસીઓ હોઈ શકે છે જેને તમે આધીન હોઈ શકો છો. આ પ્રાઇવસી પોલિસી આ તૃતીય-પક્ષ પ્રદાતાઓ અને તૃતીય-પક્ષ સાઇટ્સને પ્રદાન કરેલી, સંગ્રહિત અથવા ઉપયોગમાં લેવાતી કોઈપણ માહિતીને સંચાલિત કરતી નથી. અમે ભલામણ કરીએ છીએ કે જ્યારે તમે તૃતીય-પક્ષ સાઇટ દાખલ કરો, ત્યારે તમે થર્ડ પાર્ટી સાઇટની પ્રાઇવસી પોલિસી ની સમીક્ષા કરો કારણ કે તે તમારી માહિતીની સુરક્ષા સાથે સંબંધિત છે. તમે સંમત થાઓ છો અને સ્વીકારો છો કે શોધ પરિણામોમાં અથવા કોઈપણ તૃતીય-પક્ષ સાઇટ્સ દ્વારા પ્રકાશિત માહિતી માટે પોશન ટ્રેકર જવાબદાર રહેશે નહીં."
2. HOW WE USE PERSONAL INFORMATION,2. અમે વ્યક્તિગત માહિતીનો ઉપયોગ કેવી રીતે કરીએ છીએ
We use the information we collect from all our services for the following purposes:,અમે અમારી બધી સેવાઓમાંથી અમે જે માહિતી એકત્રિત કરીએ છીએ તેનો ઉપયોગ અમે નીચેના હેતુઓ માટે કરીએ છીએ:
2.1. Deliver our services.,2.1. અમારી સેવાઓ પહોંચાડો.
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",કલમ 1 હેઠળ એકત્રિત કરવામાં આવેલી માહિતીનો ઉપયોગ લાભાર્થીઓના સ્વાસ્થ્યની સુવિધાના હેતુ માટે કરવામાં આવશે.
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","અમે અમારા ઉત્પાદનો પ્રદાન કરીએ છીએ, જેમાં સિસ્ટમની માહિતી/ડેટા/ સામગ્રીઓ અને સામગ્રીઓને અપડેટ કરવા, સુરક્ષિત કરવા અને મુશ્કેલીનિવારણ તેમજ સપોર્ટ પ્રદાન કરવાનો સમાવેશ થાય છે."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database. These can also be used to assess the health status as recorded in the Poshan Tracker system.","જ્યારે તમે પોશન ટ્રેકર પર નોંધણી કરાવો છો, ત્યારે તમે જે મોબાઈલ નંબર સાથે નોંધણી કરી હતી તેનો ઉપયોગ ડેટાબેઝમાંથી તમારો રેકોર્ડ શોધવા માટે કરવામાં આવશે. આનો ઉપયોગ પોશન ટ્રેકર સિસ્ટમમાં નોંધાયેલા સ્વાસ્થ્યની સ્થિતિનું મૂલ્યાંકન કરવા માટે પણ થઈ શકે છે."
2.2. Communicate with you.,2.2. તમારી સાથે વાતચીત.
"We also send SMSs on your registered mobile number to alert you about registration, we also use your information to respond to you when you contact us and to investigate, respond to and resolve complaints and for Service issues (e.g. bugs).","અમે તમને નોંધણી વિશે ચેતવણી આપવા માટે તમારા રજિસ્ટર્ડ મોબાઇલ નંબર પર SMS પણ મોકલીએ છીએ, જ્યારે તમે અમારો સંપર્ક કરો છો ત્યારે અમે તમારી માહિતીનો ઉપયોગ તમને પ્રતિસાદ આપવા અને ફરિયાદોની તપાસ કરવા, જવાબ આપવા અને ઉકેલવા માટે અને સેવા સમસ્યાઓ (દા.ત. ભૂલો) માટે પણ કરીએ છીએ."
2.3. Verification.,2.3. ચકાસણી.
"We use the information we have, to help verify accounts. The records may be used for verification of health status for the purposes of Poshan Tracker control and response.",અમે અમારી પાસેની માહિતીનો ઉપયોગ એકાઉન્ટ ચકાસવામાં મદદ કરવા માટે કરીએ છીએ. પોશન ટ્રેકર નિયંત્રણ અને પ્રતિભાવના હેતુઓ માટે આરોગ્યની સ્થિતિની ચકાસણી માટે રેકોર્ડનો ઉપયોગ કરી શકાય છે.
2.4. Security and Audit.,2.4. સુરક્ષા અને ઓડિટ.
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.","અમે તમારા ડેટાનો ઉપયોગ (તમારા સંદેશાવ્યવહાર સહિત) સુરક્ષા હેતુઓ માટે અથવા સંભવિત છેતરપિંડી અથવા અમારી સેવાની શરતોના અન્ય ઉલ્લંઘનો અને/અથવા અમારા સભ્યો, મુલાકાતીઓ અથવા અન્ય લોકોને નુકસાન પહોંચાડવાના પ્રયાસોને રોકવા અથવા તપાસ કરવા માટે કરીએ છીએ."
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system. The records may be used for such audits.",સિસ્ટમની સુરક્ષા અને માપનીયતા માટે MWCD દ્વારા રોકાયેલા ઓડિટર્સ દ્વારા પોશન ટ્રેકર સિસ્ટમનું નિયમિતપણે ઓડિટ કરવામાં આવે છે. આવા ઓડિટ માટે રેકોર્ડનો ઉપયોગ થઈ શકે છે.
2.5. Research and operational activities.,2.5. સંશોધન અને ઓપરેશનલ પ્રવૃત્તિઓ.
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research. We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.","અમે અમારી સેવાઓનું સંચાલન કરવા માટે પણ ડેટાનો ઉપયોગ કરીએ છીએ, જેમાં અમારી કામગીરીનું પૃથ્થકરણ, અમારી કાનૂની જવાબદારીઓ પૂરી કરવી, અમારા કાર્યબળને વિકસાવવા અને સંશોધન કરવાનો સમાવેશ થાય છે. અમે માહિતીનો ઉપયોગ સિસ્ટમની સુધારણા માટે અને સિસ્ટમની જોગવાઈને લગતા આનુષંગિક અથવા આનુષંગિક કાર્યો માટે અને નવી તકનીકો અને સેવાઓ વિકસાવવા અને પ્રદાન કરવા માટે ચોક્કસ જરૂરી કામગીરી કરવા માટે પણ કરી શકીએ છીએ."
2.6. Surveys and Feedbacks.,2.6. સર્વેક્ષણો અને પ્રતિભાવો.
"The System also takes feedback about system performance and experience. Information on name, mobile number, date of registration and health status may be used for these purposes","સિસ્ટમ સિસ્ટમની કામગીરી અને અનુભવ વિશે પ્રતિસાદ પણ લે છે. આ હેતુઓ માટે નામ, મોબાઇલ નંબર, નોંધણીની તારીખ અને આરોગ્યની સ્થિતિ વિશેની માહિતીનો ઉપયોગ કરી શકાય છે"
3. SHARING OF INFORMATION,3. માહિતીની વહેંચણી
3.1. Tracking health progress.,3.1. આરોગ્ય પ્રગતિ ટ્રેકિંગ.
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,. Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.","ઉપરોક્ત કલમ 1 હેઠળ નોંધણી સમયે તમારી પાસેથી એકત્રિત કરવામાં આવેલી વ્યક્તિગત માહિતી, સુરક્ષિત રીતે સંગ્રહિત કરવામાં આવશે અને તેનો ઉપયોગ માત્ર ભારત સરકાર અથવા રાજ્ય સરકારો દ્વારા આરોગ્યની પ્રગતિ અને સ્થિતિને ટ્રેક કરવા, અહેવાલો બનાવવા, ગરમીના નકશા અને અન્ય આંકડાકીય હેતુઓ માટે કરવામાં આવશે. દેશમાં પોશન ટ્રેકરના સંચાલનના હેતુ માટે વિઝ્યુલાઇઝેશન. ઉપરની કલમ 1 મુજબ SMS દ્વારા તમારી સાથે વાતચીત કરવા માટે તમારો સંદર્ભ ID (મોબાઇલ નંબર) ફક્ત તમારી વ્યક્તિગત માહિતી સાથે સહ-સંબંધિત રહેશે."
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:","અમે તમારી સંમતિ વિના કોઈપણ અન્ય તૃતીય પક્ષોને તમારી માહિતી જાહેર અથવા સ્થાનાંતરિત કરતા નથી, સિવાય કે આવી જાહેરાત અથવા સ્થાનાંતરણ:"
1. Required in order to comply with any applicable law or court order or direction; or,1. કોઈપણ લાગુ કાયદા અથવા કોર્ટના આદેશ અથવા નિર્દેશનું પાલન કરવા માટે જરૂરી; અથવા
"2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","2. અન્ય બાબતોની સાથે, ઓળખની ચકાસણી, નિવારણ, શોધ, તપાસ, કાર્યવાહી અથવા કોઈપણ ગુના અથવા ઘટનાઓની સજાના હેતુ માટે લાગુ કાયદા અનુસાર કોઈપણ યોગ્ય સરકારી એજન્સી દ્વારા વિનંતી કરવામાં આવી છે."
3.2. Legal Disclosures.,3.2. કાનૂની જાહેરાતો.
