en,hi
XV. INDEMNITY AND LIMITATION OF LIABILITY,गोपनियता नीति
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:",अवसर
Your use of and access to the Site and Service;,Copyright@2023  Poshan Tracker. All rights reserved
Your violation of any term of this Agreement;, You need to enable JavaScript to run this app.
"Your violation of any third party right, including without limitation, any copyright, property, or privacy right; or",Poshan Helpline:
Any claim that your User Content caused damage to a third party. This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,JanAndolan
XVI. JURISDICTION,ABHA (स्वास्थ्य पहचान पत्र)
Your use of the Site and any dispute arising out of such use of the Site is subject to the laws of India and place of jurisdiction shall be New Delhi.,भाषा
Support,English
 14408,हिंदी
 support-poshantrackr@gov.in,ગુજરાતી
Download Mobile App,મરાઠી
Powered By,ಕನ್ನಡ
About,മലയാളം
Resources,தமிழ்
Dashboard,తెలుగు
Helpdesk,বাংলা
FAQ,অসমীয়া
Poshan Calculator,ਪੰਜਾਬੀ
Terms of Service,ଓଡ଼ିଆ
Privacy Policy,नेपाली
Careers,डोगरी
Copyright@2023  Poshan Tracker. All rights reserved,कोंकणी
 You need to enable JavaScript to run this app.,सिंधी
Poshan Helpline:,बोडो
JanAndolan,मैथिली
ABHA (Health ID),মণিপুরী
Language,संथाली
English,اردو
हिंदी,کٲشُر
ગુજરાતી,के बारे में
મરાઠી,स्रोत
ಕನ್ನಡ,स्रोत
മലയാളം,टीकाकरण सूची
தமிழ்,डैशबोर्ड
తెలుగు,डैशबोर्ड
বাংলা,Mission Utkarsh
অসমীয়া,हेल्पडेस्क
ਪੰਜਾਬੀ,लाभार्थी निवारण/उपाय
ଓଡ଼ିଆ,राज्य सहायता केंद्र
नेपाली,अक्सर पूछे जाने वाले प्रश्न
डोगरी,पोषण कैल्कुलेटर/ मापक
कोंकणी,लॉगिन
सिंधी,गोपनियता नीति
बोडो,20 दिसंबर 2021
मैथिली,"भारत का पोषण अभियान बच्चों, गर्भवती महिलाओं और स्तनपान कराने वाली माताओं के लिए एक लक्षित दृष्टिकोण और अभिसरण प्रौद्योगिकी का लाभ उठाकर पोषण संबंधी परिणामों में सुधार करने वाला एक प्रमुख कार्यक्रम है।"
মণিপুরী,"पोशन ट्रैकर पोर्टल या ऐप महिला और बाल विकास मंत्रालय, भारत सरकार द्वारा शासित है, जिसे इसके बाद ""एमडब्ल्यूसीडी"", ""हमारा"", ""हमें"", ""हम"" के रूप में संदर्भित किया जाता है जिसमें अन्य विभागों और प्रभागों के कार्यक्रमों*/अभियानों का संदर्भ शामिल रहता है। इस नीति में पोशन ट्रैकर पोर्टल या ऐप के संदर्भ में पोशन ट्रैकर या कोई अन्य ऐप या पोर्टल शामिल हैं जो API / संबंधित साइट ऐप संचार और सेवाओं (""सेवाएं"") के माध्यम से पोशन ट्रैकर के साथ एकीकृतरऊप में है जिसे इसके बाद सामूहिक रूप से ""पोशन ट्रैकर या सिस्टम"" के नाम से पहचाना जाना लगा।"
संथाली,"हमारी गोपनीयता नीति आपके द्वारा उपयोग की जाने वाली सेवाओं पर आधारित होती है ( नीचे वर्णित है)। यह गोपनीयता नीति आपके सूचना एकत्र करने, इसके कारणों और उपयोग को साझा करने में सहायता प्रदान करने के लिए है। आपकी सूचना के संग्रहण को व्यवस्थित रखने वाली एजेंसी MWCD है।"
اردو,"हम आपकी व्यक्तिगत सूचना की सुरक्षा और आपकी गोपनीयता की सुरक्षा के लिए प्रतिबद्ध हैं। इस सिस्टम पर आँकड़ों के संग्रहण और प्रसंस्करण से संबंधित एकत्रित और संसाधित कोई भी व्यक्तिगत सूचना या आँकड़ा, सूचना प्रौद्योगिकी अधिनियम 2000 के प्रावधानों के साथ-साथ राष्ट्रीय और राज्य कानूनों के नियमों पर आधारित होता है।"
کٲشُر,इस गोपनीयता नीति को 
About,https://poshantracker.in
Resources," पर उपलब्ध सेवा की शर्तों के आलोक में पठन करना आवश्यक है। आपकी सिस्टम तक पहुँच और उपयोग इस गोपनीयता नीति और सेवा की शर्तों की स्वीकृति के अधीन है। आपके द्वारा सिस्टम तक पहुँच प्राप्त और/या उपयोग करना इस बात की सुनिश्चिता करता है कि आप सेवा की शर्तों और इस गोपनीयता नीति के अधीन हैं, तथा इस गोपनीयता नीति में निर्धारित तरीके से संग्रहीत और उपयोग की जाने वाली सूचनाओं और आँकड़ों के लिए आप सहमति प्रदान करते हैं।"
Resources,आप एतद्द्वारा स्वीकार करते हैं कि इस गोपनीयता नीति के खंड 1 में वर्णित आपकी सूचना का संग्रहण इस गोपनीयता नीति के खंड 2 और 3 में निर्दिष्ट उद्देश्यों को पूरा करने के लिए आवश्यक है।
Vaccination Schedule,1. हमारे द्वारा प्राप्त की जाने वाली सूचनाएँ
Dashboard,1.1. आपके द्वारा प्रदत सूचना।
Dashboard,"जब आप किसी खाते के लिए साइन अप करते हैं, तो हम उस सामग्री और अन्य सूचना को भी एकत्र करते हैं, जो आप हमारी सेवाओं का उपयोग करते समय हमें प्रदान करते हैं। इनमें शामिल हो सकते हैं- (i) नाम (ii) मोबाइल नंबर (iii) जन्म तिथि (iv) लिंग (v) बच्चे का नाम (vi) आधार संख्या (vii) पता"
Mission Utkarsh,"यदि आप किसी उत्पाद या सुविधा को प्राप्त करने के लिए आवश्यक आँकड़ा प्रदान करना नहीं पसंद करते हैं, तो आप उस उत्पाद या सुविधा का उपयोग भी नहीं कर सकते हैं। हालाँकि, आप जहाँ डेटा प्रदान करना वैकल्पिक है वहाँ व्यक्तिगत आँकड़ों को साझा नहीं करने वाले विकल्प का चयन कर सकते हैं।"
Helpdesk,1.2. सेवाओं के उपयोग से प्राप्त सूचनाएँ।
Beneficiary Redressal,"जब आप हमारी साइट, ऐप और प्लेटफ़ॉर्म तकनीक सहित हमारी सेवाओं पर जाते हैं, या अन्यथा उपयोग करते हैं, तो हम उस उपयोग किए जाने वाले आँकड़ों को लॉग करते हैं।"
State Helpdesk,"हम कुछ मामलों में आपकी सूचना को एकत्र करने और उपयोग करने के लिए कुकीज़, स्थानीय संग्रहण, जैसे ब्राउज़र वेब स्टोरेज या एप्लिकेशन डेटा कैश, डेटाबेस और सर्वर लॉग सहित सूचना एकत्र करने और संग्रहीत करने के लिए विभिन्न तकनीकों का उपयोग कर सकते हैं।"
FAQ,1.3. तीसरे पक्ष से प्राप्त सूचनाएँ।
Poshan Calculator,"हमारी प्रणाली तृतीय-पक्ष की साइटों को API प्रदान करती है, जो आपकी व्यक्तिगत सूचना को एकत्र कर सकती है। पोषण ट्रैकर, ऐसी सूचना या उनकी गोपनीयता अभ्यासों या उन तृतीय-पक्ष के साइटों की सामग्री की सुरक्षा के लिए किसी भी प्रकार से उत्तरदायी नहीं है। इसके अतिरिक्त, आप तीसरे-पक्ष की साइटों के कुछ पृष्ठों पर ""कुकीज़"" या अन्य समान उपकरणों का भी सामना कर सकते हैं और यहाँ पोशन ट्रैकर द्वारा यह स्पष्ट किया जाता है कि सिस्टम इन तीसरे-पक्ष की साइटों की कुकीज़ के उपयोग को नियंत्रित नहीं करता है। इस तीसरे-पक्ष की सेवा प्रदाताओं और तृतीय-पक्ष की साइटों की अपनी गोपनीयता नीतियाँ हो सकती हैं, जो आपकी सूचना के संग्रहण और प्रतिधारण को नियंत्रित करती हैं, जिसके आप अधीन हो सकते हैं। यह गोपनीयता नीति इन तीसरे-पक्ष के प्रदाताओं और तीसरे-पक्ष की साइटों द्वारा प्रदत, संग्रहीत या उपयोग की जाने वाली किसी भी सूचना को नियंत्रित नहीं करती है। हम अनुशंसा करते हैं कि किसी तीसरे-पक्ष की साइट में प्रवेश करने से पहले आप उस तीसरे पक्ष के साइट की गोपनीयता नीति की समीक्षा कर लें, क्योंकि यह आपकी सूचना की सुरक्षा से संबंधित है। आप पोशन ट्रैकर खोज परिणामों में या किसी तीसरे पक्ष की साइट द्वारा प्रकाशित सूचना के लिए उत्तरदायी नहीं होने वाले मामलें में अपनी सहमति और स्वीकृति दोनों प्रदान करते हैं।"
Login,2. हम व्यक्तिगत सूचनाओं का उपयोग कैसे करते हैं
Privacy Policy,हम अपनी सेवाओं द्वारा प्राप्त सूचनाओं के संग्रहण का उपयोग निम्नलिखित उद्देश्यों के लिए करते हैं:
20 December 2021,2.1. हमारे द्वारा प्रदत वितरण सेवाएँ।
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.",लाभार्थियों के स्वास्थ्य को सुविधाजनक बनाने के उद्देश्य से खंड 1 के तहत एकत्र की गई सूचना का उपयोग किया जाता है।
"Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign. References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”","हम अपने उत्पाद में सिस्टम की सूचना/आँकड़ा/सामग्री और सामग्री को अपडेट करना, सुरक्षित करना और समस्या के निवारण आदि के साथ-साथ सहायता प्रदान करना भी शामिल है।"
"Our Privacy Policy applies when you use our Services (described below). This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared. The collecting and retaining agency in respect of your information is MWCD.","जब आप पोशन ट्रैकर पर पंजीकरण करते हैं, तो जिस मोबाइल नंबर से आपने पंजीकरण किया है, उसका उपयोग डेटाबेस से आपके रिकॉर्ड का पता लगाने के लिए किया जाता है। इनका उपयोग पोशन ट्रैकर प्रणाली में दर्ज स्वास्थ्य स्थिति का आकलन करने के लिए भी किया जा सकता है।"
"We are committed to protecting the security of your personal information and safeguarding your privacy. Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.",2.2. आपके साथ संचार।
This Privacy Policy is required to be read in conjunction with the Terms of Service available at ,"हम आपको पंजीकरण के बारे में सचेत करने के लिए आपके पंजीकृत मोबाइल नंबर पर SMS भी भेजते हैं, जब आप हमसे संपर्क करते हैं, तो हम आपकी सूचना का उपयोग आपकी शिकायतों का समाधान और उत्तर प्रदान करने जैसी सेवा संबंधी मामलों के लिए भी करते हैं।"
https://poshantracker.in,2.3. सत्यापन।
". Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service. By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.",खातों को सत्यापित करने में सहायता के लिए हम अपने पास मौजूद सूचना का उपयोग करते हैं। पोषण ट्रैकर नियंत्रण और प्रतिक्रिया के प्रयोजनों के लिए रिकॉर्ड का उपयोग स्वास्थ्य स्थिति के सत्यापन के लिए किया जा सकता है।
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,2.4. सुरक्षा और लेखा-परीक्षा।
1. INFORMATION WE COLLECT,"हम आपके आँकड़ों (आपके संचार सहित) का उपयोग सुरक्षा उद्देश्यों के लिए या संभावित धोखाधड़ी या हमारी सेवा की शर्तों या अन्य उल्लंघनों को रोकने या जाँच करने और/या हमारे सदस्यों, आगंतुकों या अन्य को नुकसान से बचाने के प्रयासों के लिए करते हैं।"
1.1. Information you provide to us.,इस प्रणाली की सुरक्षा और मापनीयता के लिए MWCD द्वारा नियुक्त लेखापरीक्षकों द्वारा पोषण ट्रैकर प्रणाली का नियमित रूप से लेखा-परीक्षण किया जाता है। ऐसे लेखा-परीक्षण के लिए अभिलेखों का उपयोग किया जा सकता है।
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account. This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) Address",2.5. अनुसंधान और प्रचालानात्म्क गतिविधियाँ।
"If you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature. You may, however, choose not to share personal data where providing the data is optional.","हम अपनी सेवाओं को संचालित करने के लिए भी आँकड़ों का उपयोग करते हैं, जिसमें हमारे प्रदर्शन का विश्लेषण करना, हमारे कानूनी दायित्वों को पूरा करना, हमारे कार्यबल का विकास करना और शोध करना शामिल है। हम सिस्टम में सुधार के लिए और सिस्टम के प्रावधान के लिए प्रासंगिक या सहायक सभी कार्यों के लिए और नई तकनीकों और सेवाओं को विकसित करने और संचालन के लिए कुछ आवश्यक सूचना का उपयोग कर सकते हैं।"
1.2. Information from use of services.,2.6. सर्वेक्षण और प्रतिक्रियाएँ।
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","सिस्टम, सिस्टम प्रदर्शन और अनुभव के बारे में भी प्रतिक्रिया प्राप्त करता है। इन उद्देश्यों के लिए नाम, मोबाइल नंबर, पंजीकरण की तारीख और स्वास्थ्य की स्थिति की सूचना का उपयोग किया जा सकता है।"
"We may use various technologies to collect and store information, including cookies, local storage, such as browser web storage or application data caches, databases, and server logs to collect and use your information in certain cases.",3. सूचनाओं का साझाकरण
1.3. Information from third parties.,3.1. स्वास्थ्य की प्रगति को ट्रैक करना।
"Our System provides API to Third – Party Sites that may collect your personal information. Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites. Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites. These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to. This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites. We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information. You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.","उपरोक्त खंड 1 के तहत देश में पोषण ट्रैकर के प्रबंधन का उद्देश्य पंजीकरण के समय आपसे एकत्र की गई व्यक्तिगत सूचना को सुरक्षित रूप से संग्रहीत किया जाता है, और इसका उपयोग केवल भारत सरकार या राज्य सरकारों द्वारा स्वास्थ्य प्रगति पर नज़र रखने वाली रिपोर्ट हीट मैप्स और अन्य सांख्यिकीय विज़ुअलाइज़ेशन के उद्देश्य से किया जाता है। उपरोक्त खंड 1 के अनुसार SMS के माध्यम से आपसे संवाद करने के लिए आपकी संदर्भित आईडी (मोबाइल नंबर) केवल आपकी व्यक्तिगत सूचना के साथ सह-संबंधित होगी।"
2. HOW WE USE PERSONAL INFORMATION,हम आपकी सहमति के बिना किसी अन्य तीसरे पक्ष को आपकी सूचना का प्रकटीकरण या हस्तांतरण नहीं करते हैं जब तक कि ऐसा प्रकटीकरण या हस्तांतरण अनिवार्य नहीं होता है:
We use the information we collect from all our services for the following purposes:,1. किसी भी लागू कानून या अदालत के आदेश या निर्देश का पालन करने के लिए आवश्यक; या
2.1. Deliver our services.,"2. किसी भी उपयुक्त सरकारी एजेंसी द्वारा लागू कानून के अनुसार, अन्य बातों के साथ, पहचान के सत्यापन, रोकथाम, पता लगाने, जाँच, अभियोजन या किसी भी अपराध या घटनाओं की सजा के उद्देश्य से अनुरोध किया गया हो।"
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",3.2. कानूनी प्रकटीकरण।
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","हम किसी भी कानूनी अनुरोध के उत्तर में आपकी सूचना तक पहुँच प्राप्त कर सकते हैं, संरक्षित कर सकते हैं या फिर इसे साझा भी कर सकते हैं इस विश्वास के साथ कि कानूनी प्रक्रिया में ऐसा प्रकटीकरण करना निम्नलिखित कारणों से अनिवार्य है (1) किसी धोखाधड़ी या गैर-कानूनी गतिविधियों के संबंध में सरकारी एजेंसियों द्वारा किया जा रहे अन्वेषण, बचाव या कानूनी कारवाई के संदर्भ में सहायता प्रदान करके; (2) अपने अनुबंधों को अपने द्वारा लागू करने में; (3) किसी भी तीसरे पक्ष के द्वारा किए गए दावे या दोषारोपण के संदर्भ में जाँच और स्वयं का बचाव करने में; (4) हमारी सेवा की सुरक्षा और एकीकृता को बनाए रखने में (जैसेकि- कंपनी के साझा अपने खतरों को साझा करके) या (5) किसी भी व्यक्ति की सुरक्षा और अधिकारों के अभ्यास के बचाव में।"
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database. These can also be used to assess the health status as recorded in the Poshan Tracker system.",4. प्रतिधारण
2.2. Communicate with you.,"पंजीकरण के समय खंड 1 के तहत आपसे एकत्र की गई सभी व्यक्तिगत जानकारी तब तक रखी जाएगी जब तक आपका रिकॉर्ड अस्तित्व में रहेगा और यदि कोई चिकित्सा या प्रशासनिक हस्तक्षेप खंड 2 के तहत शुरू किया गया है, तो नीचे दिए गए खंड 4 (b) के अधीन, बाद की ऐसी अवधि के रूप में ऐसे हस्तक्षेप को पूरा करने के लिए आवश्यक है।"
"We also send SMSs on your registered mobile number to alert you about registration, we also use your information to respond to you when you contact us and to investigate, respond to and resolve complaints and for Service issues (e.g. bugs).","खंड 1 के तहत एकत्र की गई सभी व्यक्तिगत सूचना को एप्लिकेशन सर्वर पर इस सीमा तक रखा जाएगा कि ऐसी सूचना उन लोगों से संबंधित हो, जिन्हें इवेंट के लिए पंजीकृत किया गया है।"
2.3. Verification.,"पोशन ट्रैकर के पंजीकृत उपयोगकर्ताओं के व्यक्तिगत डेटा या किसी भी रिपोर्ट, हीट मैप्स या ऐसे डेटासेट का उपयोग करके बनाए गए अन्य विज़ुअलाइज़ेशन द्वारा उत्पन्न अज्ञात, समेकित डेटासेट पर यहाँ निर्धारित कुछ भी लागू नहीं होगा।"
"We use the information we have, to help verify accounts. The records may be used for verification of health status for the purposes of Poshan Tracker control and response.",5. अधिकार
2.4. Security and Audit.,"एक पंजीकृत उपयोगकर्ता होने के नाते आपको अपने प्रोफाइल को किसी भी सामय देखने की स्वतंत्रता होगी। हालाँकि, पोषण ट्रैकर सिस्टम दारा सामयिक आधार पर निर्धारित मानकों के आधार पर ही परिवर्तन स्वीकार्य माने जाएंगे।"
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.",आप हमारे द्वारा भेजे गए या प्राप्त किए गए भी संचार का प्रबंध नहीं कर सकते हैं।
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system. The records may be used for such audits.",6. आँकड़ों की सुरक्षा
2.5. Research and operational activities.,"पोषण ट्रैकर में कम कीमत पर बहुत सारे सुरक्षात्मक उपाय हैं जो आपकी निजी सूचना के गलत तरीके से उपयोग, अनाधिकार पहुँच, प्रकटीकरण, परिवर्तन को लागू क़ानूनों के आधार पर बचाव करेगी। इसके अलावा, जब कभी भी आप सिस्टम पर अपने खातों या इससे संबंधित सूचनाओं को तक पहुँच प्राप्त करने या परिवर्तित करने की कोशिश करेंगे तो हम आपको एक सुरक्षित सर्वर का उपयोग करने का अवसर प्रदान करेंगे। इसमें आगे यह स्पष्ट किया गया है कि जब कभी भी आप सिस्टम तक (प्रत्यक्ष या अप्रत्यक्ष रूप से) पहुँच प्राप्त करेंगे तो आपको अपनी ओर से अपने आँकड़ों की एकीकरण और संरक्षण करने के लिए पर्याप्त भौतिकीय, प्रबंधकीय, तकनीकी सुरक्षा आदि की सामयिक आधार पर सुनिश्चितता करनी होगी जो आपकी निजी सूचना तक सीमित नहीं रहेगी।"
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research. We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.",7. गोपनियता नीति में परिवर्तन
2.6. Surveys and Feedbacks.,इस गोपनियता नीति के अनुसार पोषण ट्रैकर बिना किसी विशिष्ट शर्त और अधिसूचना के किसी भी भाग को संलग्न करने या हटाने या उसमें परिवर्तन या संशोधन करने से संबंधित अधिकार को सुरक्षित रखता है। किसी भी प्रकार के परिवर्तन और अद्यतन को त्वरित रूप से प्रभावशाली माना जाएगा। आपको इस गोपनियता नीति में परिवर्तन करने हेतु नियमित अंतराल पर पुनरीक्षित करना चाहिए।
"The System also takes feedback about system performance and experience. Information on name, mobile number, date of registration and health status may be used for these purposes","इस गोपनियता नीति में किसी भी महत्वपूर्ण परिवर्तन को हम सामान्यतः सभी उपयोगकर्ताओं को कम व्यवसायिक कीमतों पर सूचना प्रणाली के माध्यम से पहुँचाने का प्रयास करते हैं। हालाँकि, एक सिस्टम का उपयोगकर्ता होने के नाते, आपको गोपनियता नीति में किए गए परिवर्तनों को नियमित रूप से देखते रहना चाहिए। हम "" लास्ट उपडेटेड"" शब्द के माध्यम से इस गोपनियता नीति में किए गए परिवर्तनों को उसके प्रभावी तिथि से इसके शीर्ष पर प्रदर्शित भी करेंगे। नई गोपनियता नीति में परिवर्तन के बाद की तिथि से सिस्टम तक आपकी पहुँच या उपयोग आपके इस नई गोपनियता नीति को स्वीकार करने की सुनिश्चिता करेगी। यदि आप नई गोपनियता नीति से सहमत नहीं हैं तो आपको अपने सिस्टम और/या का उपयोग त्वरित रूप से बंद कर देना चाहिए। इसके साथ ही आप इस बात की स्वीकृति प्रदान करते हैं कि किसी भी प्रकार का संग्रहण, भंडारण, प्रोसेससिंग या आपकी अन्य सूचना का उपयोग इस गोपनियता नीति द्वारा ऐसे संग्रहण, भंडारण और प्रोसेसिंग और अन्य उपयोग के समय से लागू और शासित की जाएगी।"
3. SHARING OF INFORMATION,सहायता
3.1. Tracking health progress., 14408
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,. Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.", support-poshantrackr@gov.in
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:",मोबाइल एप्प डाउनलोड करें
1. Required in order to comply with any applicable law or court order or direction; or,Powered By
"2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.",के बारे में
3.2. Legal Disclosures.,स्रोत
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.",डैशबोर्ड
4. RETENTION,हेल्पडेस्क
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.",अक्सर पूछे जाने वाले प्रश्न
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.",पोषण कैल्कुलेटर/ मापक
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.",सेवा की शर्तें
5. RIGHTS,गोपनियता नीति
"As a registered user, you have the right to access your profile at any time. Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.",अवसर
You cannot manage the communications that you receive from us or how you receive them.,Copyright@2023  Poshan Tracker. All rights reserved
6. DATA SECURITY, You need to enable JavaScript to run this app.
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws. Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server. It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.",Poshan Helpline:
7. CHANGES TO PRIVACY POLICY,JanAndolan
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes. Any changes or updates will be effective immediately. You should review this Privacy Policy regularly for changes.",ABHA (स्वास्थ्य पहचान पत्र)
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System. However, as a user of the System, you should regularly check the Privacy Policy for any changes. We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy. Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy. If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System. You hereby acknowledge that any collection, storage, processing or other use of your information shall be governed by the Privacy Policy as applicable at the time of such collection, storage, processing or other use.",भाषा
Support,English
 14408,हिंदी
 support-poshantrackr@gov.in,ગુજરાતી
Download Mobile App,મરાઠી
Powered By,ಕನ್ನಡ
About,മലയാളം
Resources,தமிழ்
Dashboard,తెలుగు
Helpdesk,বাংলা
FAQ,অসমীয়া
Poshan Calculator,ਪੰਜਾਬੀ
Terms of Service,ଓଡ଼ିଆ
Privacy Policy,नेपाली
Careers,डोगरी
Copyright@2023  Poshan Tracker. All rights reserved,कोंकणी
 You need to enable JavaScript to run this app.,सिंधी
Poshan Helpline:,बोडो
JanAndolan,मैथिली
ABHA (Health ID),মণিপুরী
Language,संथाली
English,اردو
हिंदी,کٲشُر
ગુજરાતી,के बारे में
મરાઠી,स्रोत
ಕನ್ನಡ,स्रोत
മലയാളം,टीकाकरण सूची
தமிழ்,डैशबोर्ड
తెలుగు,डैशबोर्ड
বাংলা,Mission Utkarsh
অসমীয়া,हेल्पडेस्क
ਪੰਜਾਬੀ,लाभार्थी निवारण/उपाय
ଓଡ଼ିଆ,राज्य सहायता केंद्र
नेपाली,अक्सर पूछे जाने वाले प्रश्न
डोगरी,पोषण कैल्कुलेटर/ मापक
कोंकणी,लॉगिन
