en,mr
1. Required in order to comply with any applicable law or court order or direction; or,1. कोणत्याही लागू कायद्याचे किंवा न्यायालयाच्या आदेशाचे किंवा निर्देशांचे पालन करण्यासाठी आवश्यक; किंवा
"2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","2. इतर गोष्टींबरोबरच, ओळखीची पडताळणी, प्रतिबंध, शोध, तपास, खटला चालवणे किंवा कोणताही गुन्हा किंवा घटनांची शिक्षा या उद्देशाने लागू कायद्यानुसार कोणत्याही योग्य सरकारी एजन्सीने विनंती केली आहे."
3.2. Legal Disclosures.,3.2. कायदेशीर खुलासे.
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","कायदेशीर विनंती, सबपोना किंवा इतर कायदेशीर प्रक्रियेला प्रतिसाद म्हणून आम्ही तुमची माहिती ऍक्सेस करू शकतो, जतन करू शकतो आणि शेअर करू शकतो किंवा (1) फसवणूक किंवा बेकायदेशीर क्रियाकलापांबद्दल चौकशी, प्रतिबंध किंवा कारवाई करण्यासाठी खुलासा करणे वाजवीपणे आवश्यक आहे असा सद्भावनापूर्ण विश्वास असल्यास किंवा सरकारी अंमलबजावणी संस्थांना मदत करण्यासाठी; (2) तुमच्यासोबतचे आमचे करार लागू करा; (3) कोणत्याही तृतीय-पक्षाच्या दाव्यांविरुद्ध किंवा आरोपांविरुद्ध तपास करा आणि स्वतःचा बचाव करा; (4) आमच्या सेवांच्या सुरक्षिततेचे किंवा अखंडतेचे रक्षण करा (जसे की अशाच प्रकारच्या धोक्यांचा सामना करणाऱ्या कंपन्यांशी शेअर करून); किंवा (5) कोणत्याही व्यक्तीचे अधिकार आणि सुरक्षितता वापरणे किंवा त्यांचे संरक्षण करणे."
4. RETENTION,4. धारणा
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.","नोंदणीच्या वेळी कलम 1 अंतर्गत तुमच्याकडून गोळा केलेली सर्व वैयक्तिक माहिती जोपर्यंत तुमचा रेकॉर्ड अस्तित्वात आहे तोपर्यंत राखून ठेवली जाईल आणि कलम 2 अंतर्गत, खालील कलम 4(b) च्या अधीन राहून कोणतेही वैद्यकीय किंवा प्रशासकीय हस्तक्षेप सुरू केले गेले असतील तर त्यानंतरचा कालावधी अशा हस्तक्षेप पूर्ण करण्यासाठी आवश्यक आहे."
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.","कलम 1 अंतर्गत गोळा केलेली सर्व वैयक्तिक माहिती ऍप्लिकेशन सर्व्हरवर ठेवली जाईल, ज्या प्रमाणात अशी माहिती कार्यक्रमासाठी नोंदणीकृत लोकांशी संबंधित असेल."
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","येथे नमूद केलेली कोणतीही गोष्ट पोषण ट्रॅकरच्या नोंदणीकृत वापरकर्त्यांच्या वैयक्तिक डेटाद्वारे व्युत्पन्न केलेल्या अनामित, एकत्रित डेटासेटवर किंवा अशा डेटासेटचा वापर करून तयार केलेले कोणतेही अहवाल, उष्णता नकाशे किंवा इतर व्हिज्युअलायझेशनवर लागू होणार नाही."
5. RIGHTS,5. अधिकार
"As a registered user, you have the right to access your profile at any time. Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","नोंदणीकृत वापरकर्ता म्हणून, तुम्हाला तुमच्या प्रोफाइलमध्ये प्रवेश करण्याचा अधिकार आहे. तथापि, बदल केवळ पोषण ट्रॅकर प्रणालीद्वारे वेळोवेळी निर्धारित केल्यानुसारच केले जाऊ शकतात."
You cannot manage the communications that you receive from us or how you receive them.,तुम्ही आमच्याकडून प्राप्त झालेले संप्रेषण किंवा ते कसे प्राप्त करता ते तुम्ही व्यवस्थापित करू शकत नाही.
6. DATA SECURITY,6. डेटा सुरक्षा
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws. Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server. It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.","पोषण ट्रॅकर प्लॅटफॉर्ममध्ये तुमची गोपनीयता आणि वैयक्तिक माहितीचे नुकसान, गैरवापर, अनधिकृत प्रवेश, प्रकटीकरण, नाश आणि लागू कायद्यांचे पालन करून माहितीमध्ये फेरफार यापासून संरक्षण करण्यासाठी वाजवी सुरक्षा उपाय आणि सुरक्षा उपाय आहेत. पुढे, जेव्हाही तुम्ही सिस्टीमवरील तुमचे खाते किंवा त्यासंबंधी कोणतीही माहिती बदलता किंवा ऍक्सेस करता तेव्हा आम्ही सुरक्षित सर्व्हर वापरण्याची ऑफर देतो. हे पुढे स्पष्ट करण्यात आले आहे की, जोपर्यंत तुम्ही प्रणालीमध्ये प्रवेश करता आणि/किंवा वापरता (प्रत्यक्ष किंवा अप्रत्यक्षपणे), तुम्ही हे सुनिश्चित करण्याचे बंधन तुमच्याकडे आहे की, तुम्ही, तुमच्या शेवटी, पुरेशा भौतिक, व्यवस्थापकीय आणि तांत्रिक सुरक्षेचे पालन कराल., तुमच्या डेटाची अखंडता आणि सुरक्षितता जपण्यासाठी ज्यामध्ये तुमची वैयक्तिक माहिती समाविष्ट असेल आणि ती मर्यादित नसेल."
7. CHANGES TO PRIVACY POLICY,7. गोपनीयता धोरणातील बदल
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes. Any changes or updates will be effective immediately. You should review this Privacy Policy regularly for changes.","पोषण ट्रॅकर या गोपनीयता धोरणाचा कोणताही भाग कोणत्याही वेळी बदलण्याचा, सुधारण्याचा, जोडण्याचा किंवा काढून टाकण्याचा बिनशर्त अधिकार राखून ठेवतो, विशेषत: अशा बदलांबद्दल तुम्हाला सूचित न करता. कोणतेही बदल किंवा अद्यतने त्वरित प्रभावी होतील. बदलांसाठी तुम्ही या गोपनीयता धोरणाचे नियमितपणे पुनरावलोकन करावे."
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System. However, as a user of the System, you should regularly check the Privacy Policy for any changes. We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy. Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy. If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System. You hereby acknowledge that any collection, storage, processing or other use of your information shall be governed by the Privacy Policy as applicable at the time of such collection, storage, processing or other use.","आम्ही या गोपनीयता धोरणातील कोणत्याही भौतिक बदलांबद्दल सर्व वापरकर्त्यांना सूचित करण्यासाठी व्यावसायिकदृष्ट्या वाजवी प्रयत्न करू, जसे की सिस्टमवरील सूचना. तथापि, सिस्टमचा वापरकर्ता म्हणून, कोणत्याही बदलांसाठी तुम्ही नियमितपणे गोपनीयता धोरण तपासले पाहिजे. आम्ही या गोपनीयता धोरणाच्या शीर्षस्थानी \""अंतिम अद्यतनित\"" तारीख देखील अद्यतनित करू, जी या गोपनीयता धोरणाची प्रभावी तारीख दर्शवते. नवीन गोपनीयता धोरणाच्या तारखेनंतर तुमचा सतत प्रवेश किंवा सिस्टमचा वापर नवीन गोपनीयता धोरणाची तुमची स्वीकृती बनवते. तुम्ही नवीन गोपनीयता धोरणाशी सहमत नसल्यास, तुम्ही सिस्टममध्ये प्रवेश करणे आणि/किंवा वापरणे थांबवणे आवश्यक आहे. तुम्ही याद्वारे कबूल करता की तुमच्या माहितीचे कोणतेही संकलन, स्टोरेज, प्रक्रिया किंवा इतर वापर हे अशा संकलन, स्टोरेज, प्रक्रिया किंवा इतर वापराच्या वेळी लागू असलेल्या गोपनीयता धोरणाद्वारे नियंत्रित केले जातील."
Careers At Poshan Tracker,पोषण ट्रॅकरमध्ये करिअर
We believe in building doers. Poshan Tracker is a project of Ministry of Women and Child Development. Digital India Corporation is the technical partner of MoWCD. Poshan Tracker focuses on eradication of malnutrition from India. It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan.,दरवाजे बांधण्यावर आमचा विश्वास आहे. पोषण ट्रॅकर हा महिला आणि बाल विकास मंत्रालयाचा प्रकल्प आहे. डिजिटल इंडिया कॉर्पोरेशन हे मोडब्ल्यूसीडी  चे तांत्रिक भागीदार आहे. पोषण ट्रॅकर भारतातून कुपोषण निर्मूलनावर लक्ष केंद्रित करते. पोषण अभियानांतर्गत सेवा वितरणावर देखरेख आणि सुधारणा करण्यासाठी हे एक यंत्रणा म्हणून काम करते.
Job openings,नोकरीची संधी
Video Conference,दूरचित्रवाणी द्वारे परिषद
Monday to Friday,सोमवार ते शुक्रवार
Book VC,पुस्तक कुलगुरू
Get In Touch,संपर्कात रहाण्यासाठी
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","महिला व बाल विकास मंत्रालय, भारत सरकार, शास्त्री भवन, नवी दिल्ली"
