en,pa
XVI. JURISDICTION,XVI. ਅਧਿਕਾਰ ਖੇਤਰ
Your use of the Site and any dispute arising out of such use of the Site is subject to the laws of India and place of jurisdiction shall be New Delhi.,ਸਾਈਟ ਦੀ ਤੁਹਾਡੀ ਵਰਤੋਂ ਅਤੇ ਸਾਈਟ ਦੀ ਅਜਿਹੀ ਵਰਤੋਂ ਤੋਂ ਪੈਦਾ ਹੋਣ ਵਾਲਾ ਕੋਈ ਵੀ ਵਿਵਾਦ ਭਾਰਤ ਦੇ ਕਾਨੂੰਨਾਂ ਦੇ ਅਧੀਨ ਹੈ ਅਤੇ ਅਧਿਕਾਰ ਖੇਤਰ ਨਵੀਂ ਦਿੱਲੀ ਹੋਵੇਗਾ।
Support,ਸਹਿਯੋਗ
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,ਮੋਬਾਈਲ ਐਪ ਡਾਊਨਲੋਡ ਕਰੋ
Powered By,Powered By
About,ਦੇ ਬਾਰੇ
Resources,ਸਰੋਤ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Helpdesk,ਹੈਲਪਡੈਸਕ
FAQ,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸ਼ਨ
Poshan Calculator,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ (ਗਣਨ ਯੰਤਰ)
Terms of Service,ਸੇਵਾ ਦੀਆਂ ਸ਼ਰਤਾਂ
Privacy Policy,ਗੋਪਨੀਅਤਾ ਨੀਤੀ
Careers,ਕਰੀਅਰ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA ( ਸਵਾਸਥ ਆਈ ਡੀ)
Language,ਭਾਸ਼ਾ
About,ਦੇ ਬਾਰੇ
Resources,ਸਰੋਤ
Resources,ਸਰੋਤ
Vaccination Schedule,ਟੀਕਾਕਰਨ ਅਨੁਸੂਚੀ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Mission Utkarsh,Mission Utkarsh
Helpdesk,ਹੈਲਪਡੈਸਕ
Beneficiary Redressal,ਲਾਭਪਾਤਰੀ ਨਿਵਾਰਣ
State Helpdesk,ਸਟੇਟ ਹੈਲਪਡੈਸਕ
FAQ,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸ਼ਨ
Poshan Calculator,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ (ਗਣਨ ਯੰਤਰ)
Login,ਲਾਗਇਨ
Privacy Policy,ਗੋਪਨੀਅਤਾ ਨੀਤੀ
20 December 2021,20 ਦਸੰਬਰ 2021
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","ਪੋਸ਼ਣ ਅਭਿਆਨ ਭਾਰਤ ਦਾ ਪ੍ਰਮੁੱਖ ਪ੍ਰੋਗਰਾਮ ਹੈ ਜੋ ਬੱਚਿਆਂ, ਕਿਸ਼ੋਰਾਂ, ਗਰਭਵਤੀ ਔਰਤਾਂ ਅਤੇ ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਲਈ ਤਕਨਾਲੋਜੀ, ਇੱਕ ਟੀਚਾ ਪਹੁੰਚ ਅਤੇ ਕਨਵਰਜੈਂਸ ਦੁਆਰਾ ਪੋਸ਼ਣ ਸੰਬੰਧੀ ਨਤੀਜਿਆਂ ਨੂੰ ਬਿਹਤਰ ਬਣਾਉਣ ਲਈ ਹੈ।"
"Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign. References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”","ਪੋਸ਼ਣ ਟਰੈਕਰ ਪੋਰਟਲ ਜਾਂ ਐਪ ਭਾਰਤ ਸਰਕਾਰ ਦੇ ਮਹਿਲਾ ਅਤੇ ਬਾਲ ਵਿਕਾਸ ਮੰਤਰਾਲੇ ਦੁਆਰਾ ਨਿਯੰਤਰਿਤ ਕੀਤਾ ਜਾਂਦਾ ਹੈ, ਜਿਸਨੂੰ ਬਾਅਦ ਵਿੱਚ ""MWCD"", ""ਸਾਡੇ"", ""ਆਪਾਂ"", ""ਅਸੀਂ"" ਕਿਹਾ ਗਿਆ, ਜਿਸ ਵਿੱਚ ਪ੍ਰੋਗਰਾਮ/ਮੁਹਿੰਮ ਦੇ ਹੋਰ ਵਿਭਾਗਾਂ ਅਤੇ ਖੰਡਾ ਦਾ ਹਵਾਲਾ ਸ਼ਾਮਲ ਹੋਵੇਗਾ। ਇਸ ਨੀਤੀ ਵਿੱਚ ਪੋਸ਼ਣ ਟਰੈਕਰ ਪੋਰਟਲ ਜਾਂ ਐਪ ਦੇ ਸੰਦਰਭਾਂ ਵਿੱਚ ਪੋਸ਼ਣ ਟਰੈਕਰ ਜਾਂ ਕੋਈ ਹੋਰ ਐਪਸ ਜਾਂ ਪੋਰਟਲ ਸ਼ਾਮਲ ਹਨ ਜੋ ਪੋਸ਼ਣ ਟਰੈਕਰ ਨਾਲ ਏਪੀਆਈਜ਼/ਸਬੰਧਤ ਸਾਈਟਾਂ, ਐਪਸ, ਸੰਚਾਰ ਅਤੇ ਸੇਵਾਵਾਂ (""ਸੇਵਾਵਾਂ"") ਦੁਆਰਾ ਏਕੀਕ੍ਰਿਤ ਹਨ, ਜਿਸਨੂੰ ਬਾਅਦ ਵਿੱਚ ਸਮੂਹਿਕ ਤੌਰ 'ਤੇ ""ਪੋਸ਼ਣ ਟਰੈਕਰ ਜਾਂ ਸਿਸਟਮ"" ਕਿਹਾ ਜਾਂਦਾ ਹੈ।"
"Our Privacy Policy applies when you use our Services (described below). This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared. The collecting and retaining agency in respect of your information is MWCD.","ਸਾਡੀ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਉਦੋਂ ਲਾਗੂ ਹੁੰਦੀ ਹੈ ਜਦੋਂ ਤੁਸੀਂ ਸਾਡੀਆਂ ਸੇਵਾਵਾਂ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹੋ (ਹੇਠਾਂ ਵਰਣਨ ਕੀਤਾ ਗਿਆ ਹੈ)। ਇਹ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਤੁਹਾਨੂੰ ਇਹ ਸਮਝਣ ਵਿੱਚ ਮਦਦ ਕਰਨ ਲਈ ਹੈ ਕਿ ਅਸੀਂ ਕਿਹੜੀ ਜਾਣਕਾਰੀ ਇਕੱਠੀ ਕਰਦੇ ਹਾਂ, ਅਸੀਂ ਇਸਨੂੰ ਕਿਉਂ ਇਕੱਠਾ ਕਰਦੇ ਹਾਂ, ਅਤੇ ਇਸਨੂੰ ਕਿਵੇਂ ਵਰਤਿਆ ਅਤੇ ਸਾਂਝਾ ਕੀਤਾ ਜਾਂਦਾ ਹੈ। ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਨੂੰ ਇਕੱਠਾ ਕਰਨ ਅਤੇ ਰੱਖਣ ਵਾਲੀ ਏਜੰਸੀ ਐਮਡਬਲਿਊਸੀਡੀ(MWCD) ਹੈ।"
"We are committed to protecting the security of your personal information and safeguarding your privacy. Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.","ਅਸੀਂ ਤੁਹਾਡੀ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਦੀ ਸੁਰੱਖਿਆ ਅਤੇ ਤੁਹਾਡੀ ਗੋਪਨੀਅਤਾ ਦੀ ਸੁਰੱਖਿਆ ਲਈ ਵਚਨਬੱਧ ਹਾਂ। ਸਿਸਟਮ 'ਤੇ ਇਕੱਠੀ ਕੀਤੀ ਗਈ ਕੋਈ ਵੀ ਜਾਣਕਾਰੀ ਜਾਂ ਅੰਕੜੇ, ਸੂਚਨਾ ਤਕਨਾਲੋਜੀ ਐਕਟ, 2000 ਦੇ ਨਿਯਮਾਂ ਅਤੇ ਨਿੱਜੀ ਅੰਕੜਿਆਂ ਦੇ ਸੰਗ੍ਰਹਿ ਅਤੇ ਪ੍ਰੋਸੈਸਿੰਗ ਨਾਲ ਸਬੰਧਤ ਹੋਰ ਰਾਸ਼ਟਰੀ ਅਤੇ ਰਾਜ ਕਾਨੂੰਨਾਂ ਦੇ ਨਾਲ ਪੜ੍ਹੇ ਗਏ ਉਪਬੰਧਾਂ ਦੇ ਅਨੁਸਾਰ ਹੁੰਦੀ ਹੈ।"
This Privacy Policy is required to be read in conjunction with the Terms of Service available at ,ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਨੂੰ 
https://poshantracker.in,https://poshantracker.in
". Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service. By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy."," 'ਤੇ ਉਪਲਬਧ ਸੇਵਾ ਦੀਆਂ ਸ਼ਰਤਾਂ ਦੇ ਨਾਲ ਜੋੜ ਕੇ ਪੜ੍ਹਨ ਦੀ ਲੋੜ ਹੈ। ਸਿਸਟਮ ਤੱਕ ਤੁਹਾਡੀ ਪਹੁੰਚ ਅਤੇ ਵਰਤੋਂ ਤੁਹਾਡੀ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਅਤੇ ਸੇਵਾ ਦੀਆਂ ਸ਼ਰਤਾਂ ਨੂੰ ਸਵੀਕਾਰ ਕਰਨ 'ਤੇ ਸ਼ਰਤ ਹੈ। ਸਿਸਟਮ ਨੂੰ ਐਕਸੈਸ ਕਰਨ ਅਤੇ/ਜਾਂ ਵਰਤ ਕੇ, ਤੁਸੀਂ ਇਹ ਦਰਸਾਉਂਦੇ ਹੋ ਕਿ ਤੁਸੀਂ ਸੇਵਾ ਦੀਆਂ ਸ਼ਰਤਾਂ ਅਤੇ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਨੂੰ ਪੜ੍ਹਿਆ, ਸਮਝਿਆ ਅਤੇ ਉਸ ਨਾਲ ਸਹਿਮਤ ਹੋ, ਅਤੇ ਇਹ ਕਿ ਤੁਸੀਂ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਵਿੱਚ ਆਪਣੀ ਜਾਣਕਾਰੀ ਅਤੇ ਅੰਕੜਿਆਂ ਨੂੰ ਇਕੱਤਰ ਕਰਨ, ਸਟੋਰ ਕਰਨ ਅਤੇ ਦੱਸੇ ਗਏ ਤਰੀਕੇ ਨਾਲ ਵਰਤਣ ਲਈ ਸਹਿਮਤੀ ਦਿੰਦੇ ਹੋ।"
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,ਤੁਸੀਂ ਇਥੇ ਸਵੀਕਾਰ ਕਰਦੇ ਹੋ ਕਿ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਡੀ ਦਫ਼ਾ 1 ਵਿੱਚ ਵਰਣਨ ਕੀਤੇ ਅਨੁਸਾਰ ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਦਾ ਸੰਗ੍ਰਹਿ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਡੀ ਦਫ਼ਾ 2 ਅਤੇ 3 ਵਿੱਚ ਦਰਸਾਏ ਉਦੇਸ਼ਾਂ ਨੂੰ ਪੂਰਾ ਕਰਨ ਲਈ ਜ਼ਰੂਰੀ ਹੈ।
1. INFORMATION WE COLLECT,1. ਜਾਣਕਾਰੀ ਜੋ ਅਸੀਂ ਇਕੱਠੀ ਕਰਦੇ ਹਾਂ
1.1. Information you provide to us.,1.1. ਜਾਣਕਾਰੀ ਜੋ ਤੁਸੀਂ ਸਾਨੂੰ ਪ੍ਰਦਾਨ ਕਰਦੇ ਹੋ।
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account. This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) Address",ਅਸੀਂ ਉਹ ਸਮੱਗਰੀ ਅਤੇ ਹੋਰ ਜਾਣਕਾਰੀ ਇਕੱਠੀ ਕਰਦੇ ਹਾਂ ਜੋ ਤੁਸੀਂ ਸਾਡੀਆਂ ਸੇਵਾਵਾਂ ਦੀ ਵਰਤੋਂ ਕਰਨ ਲਈ ਪ੍ਰਦਾਨ ਕਰਦੇ ਹੋ ਇਸ ਵਿੱਚ ਤੁਹਾਡੇ ਦੁਆਰਾ ਖਾਤੇ ਲਈ ਸਾਈਨ ਅੱਪ ਕਰਨਾ ਵੀ ਸ਼ਾਮਲ ਹੈ। ਇਸ ਵਿੱਚ ਸ਼ਾਮਲ ਹੋ ਸਕਦੇ ਹਨ- (i) ਨਾਮ (ii) ਮੋਬਾਈਲ ਨੰਬਰ (iii) ਜਨਮ ਮਿਤੀ (iv) ਲਿੰਗ (v) ਬੱਚੇ ਦਾ ਨਾਮ (vi) ਆਧਾਰ ਨੰਬਰ (vii) ਪਤਾ
"If you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature. You may, however, choose not to share personal data where providing the data is optional.","ਜੇਕਰ ਤੁਸੀਂ ਕੋਈ ਉਤਪਾਦ ਜਾਂ ਵਿਸ਼ੇਸ਼ਤਾ ਪ੍ਰਦਾਨ ਕਰਨ ਲਈ ਲੋੜੀਂਦੇ ਅੰਕੜੇ ਪ੍ਰਦਾਨਾ ਕਰਨਾ ਚੁਣਦੇ ਹੋ, ਤਾਂ ਤੁਸੀਂ ਉਸ ਉਤਪਾਦ ਜਾਂ ਵਿਸ਼ੇਸ਼ਤਾ ਦੀ ਵਰਤੋਂ ਨਹੀਂ ਕਰ ਸਕਦੇ ਹੋ। ਹਾਲਾਂਕਿ, ਜਿੱਥੇ ਅੰਕੜੇ ਪ੍ਰਦਾਨ ਕਰਨਾ ਵਿਕਲਪਿਕ ਹੈ ਤੁਸੀਂ ਨਿੱਜੀ ਅੰਕੜਿਆਂ ਨੂੰ ਸਾਂਝਾ ਨਾ ਕਰਨ ਦੀ ਚੋਣ ਕਰ ਸਕਦੇ ਹੋ।"
1.2. Information from use of services.,1.2. ਸੇਵਾਵਾਂ ਦੀ ਵਰਤੋਂ ਤੋਂ ਜਾਣਕਾਰੀ।
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","ਜਦੋਂ ਤੁਸੀਂ ਸਾਡੀਆਂ ਸਾਈਟਾਂ, ਐਪ ਅਤੇ ਪਲੇਟਫਾਰਮ ਤਕਨਾਲੋਜੀ ਸਮੇਤ ਸਾਡੀਆਂ ਸੇਵਾਵਾਂ 'ਤੇ ਜਾਂਦੇ ਹੋ ਜਾਂ ਸਾਡੀਆਂ ਸੇਵਾਵਾਂ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹੋ ਤਾਂ ਅਸੀਂ ਵਰਤੇ ਗਏ ਅੰਕੜਿਆਂ ਨੂੰ ਲੌਗ ਕਰਦੇ ਹਾਂ।"
"We may use various technologies to collect and store information, including cookies, local storage, such as browser web storage or application data caches, databases, and server logs to collect and use your information in certain cases.","ਅਸੀਂ ਜਾਣਕਾਰੀ ਇਕੱਠੀ ਕਰਨ ਅਤੇ ਸਟੋਰ ਕਰਨ ਲਈ ਵੱਖ-ਵੱਖ ਤਕਨੀਕਾਂ ਦੀ ਵਰਤੋਂ ਕਰ ਸਕਦੇ ਹਾਂ, ਜਿਸ ਵਿੱਚ ਕੂਕੀਜ਼, ਸਥਾਨਕ ਸਟੋਰੇਜ, ਜਿਵੇਂ ਕਿ ਬ੍ਰਾਊਜ਼ਰ ਵੈੱਬ ਸਟੋਰੇਜ ਜਾਂ ਐਪਲੀਕੇਸ਼ਨ ਡਾਟਾ ਕੈਚ, ਡਾਟਾਬੇਸ, ਅਤੇ ਕੁਝ ਮਾਮਲਿਆਂ ਵਿੱਚ ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਨੂੰ ਇਕੱਠਾ ਕਰਨ ਅਤੇ ਵਰਤਣ ਲਈ ਸਰਵਰ ਲੌਗ ਸ਼ਾਮਲ ਹਨ।"
1.3. Information from third parties.,1.3. ਤੀਜੀ ਧਿਰ ਤੋਂ ਜਾਣਕਾਰੀ।
"Our System provides API to Third – Party Sites that may collect your personal information. Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites. Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites. These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to. This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites. We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information. You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.","ਸਾਡਾ ਸਿਸਟਮ ਤੀਜੀ-ਪਾਰਟੀ ਸਾਈਟਾਂ ਨੂੰ API ਪ੍ਰਦਾਨ ਕਰਦਾ ਹੈ ਜੋ ਤੁਹਾਡੀ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਇਕੱਠੀ ਕਰ ਸਕਦੀ ਹੈ। ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਅਜਿਹੀ ਜਾਣਕਾਰੀ ਜਾਂ ਉਹਨਾਂ ਦੇ ਗੋਪਨੀਅਤਾ ਸ਼ਰਤਾਂ ਜਾਂ ਉਹਨਾਂ ਤੀਜੀ-ਧਿਰ ਸਾਈਟਾਂ ਦੀ ਸਮੱਗਰੀ ਦੀ ਸੁਰੱਖਿਆ ਲਈ ਕਿਸੇ ਵੀ ਤਰੀਕੇ ਨਾਲ ਜ਼ਿੰਮੇਵਾਰ ਨਹੀਂ ਹੈ। ਇਸ ਤੋਂ ਇਲਾਵਾ, ਤੁਸੀਂ ਤੀਜੀ-ਧਿਰ ਸਾਈਟਾਂ ਦੇ ਕੁਝ ਪੰਨਿਆਂ 'ਤੇ ""ਕੂਕੀਜ਼"" ਜਾਂ ਹੋਰ ਅਜਿਹੀਆਂ ਡਿਵਾਈਸਾਂ ਦਾ ਸਾਹਮਣਾ ਕਰ ਸਕਦੇ ਹੋ ਅਤੇ ਪੋਸ਼ਣ ਟਰੈਕਰ ਦੁਆਰਾ ਇਹ ਸਪੱਸ਼ਟ ਕੀਤਾ ਗਿਆ ਹੈ ਕਿ ਸਿਸਟਮ ਇਹਨਾਂ ਤੀਜੀ-ਪਾਰਟੀ ਸਾਈਟਾਂ ਦੁਆਰਾ ਕੂਕੀਜ਼ ਦੀ ਵਰਤੋਂ ਨੂੰ ਨਿਯੰਤਰਿਤ ਨਹੀਂ ਕਰਦਾ ਹੈ। ਇਹ ਤੀਜੀ-ਧਿਰ ਸੇਵਾ ਪ੍ਰਦਾਤਾਵਾਂ ਅਤੇ ਤੀਜੀ-ਧਿਰ ਦੀਆਂ ਸਾਈਟਾਂ ਕੋਲ ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਦੇ ਸਟੋਰੇਜ ਅਤੇ ਧਾਰਨ ਨੂੰ ਨਿਯੰਤਰਿਤ ਕਰਨ ਵਾਲੀਆਂ ਆਪਣੀਆਂ ਗੋਪਨੀਅਤਾ ਨੀਤੀਆਂ ਹੋ ਸਕਦੀਆਂ ਹਨ ਜਿਨ੍ਹਾਂ ਦੇ ਤੁਸੀਂ ਅਧੀਨ ਹੋ ਸਕਦੇ ਹੋ। ਇਹ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਇਹਨਾਂ ਤੀਜੀ-ਧਿਰ ਪ੍ਰਦਾਤਾਵਾਂ ਅਤੇ ਤੀਜੀ-ਧਿਰ ਸਾਈਟਾਂ ਦੁਆਰਾ ਪ੍ਰਦਾਨ ਕੀਤੀ ਗਈ, ਸਟੋਰ ਕੀਤੀ ਜਾਂ ਵਰਤੀ ਗਈ ਕਿਸੇ ਵੀ ਜਾਣਕਾਰੀ ਨੂੰ ਨਿਯੰਤਰਿਤ ਨਹੀਂ ਕਰਦੀ ਹੈ। ਅਸੀਂ ਸਿਫ਼ਾਰਿਸ਼ ਕਰਦੇ ਹਾਂ ਕਿ ਜਦੋਂ ਤੁਸੀਂ ਕਿਸੇ ਤੀਜੀ-ਧਿਰ ਦੀ ਸਾਈਟ ਵਿੱਚ ਦਾਖਲ ਹੁੰਦੇ ਹੋ, ਤਾਂ ਤੁਸੀਂ ਤੀਜੀ ਧਿਰ ਦੀ ਸਾਈਟ ਦੀ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਦੀ ਸਮੀਖਿਆ ਕਰੋ ਕਿਉਂਕਿ ਇਹ ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਦੀ ਸੁਰੱਖਿਆ ਨਾਲ ਸਬੰਧਤ ਹੈ। ਤੁਸੀਂ ਸਹਿਮਤੀ ਦਿੰਦੇ ਹੋ ਅਤੇ ਸਵੀਕਾਰ ਕਰਦੇ ਹੋ ਕਿ ਪੋਸ਼ਣ ਟਰੈਕਰ ਖੋਜ ਨਤੀਜਿਆਂ ਜਾਂ ਕਿਸੇ ਵੀ ਤੀਜੀ-ਧਿਰ ਸਾਈਟ ਦੁਆਰਾ ਪ੍ਰਕਾਸ਼ਿਤ ਜਾਣਕਾਰੀ ਲਈ ਜਵਾਬਦੇਹ ਨਹੀਂ ਹੋਵੇਗਾ।"
2. HOW WE USE PERSONAL INFORMATION,2. ਅਸੀਂ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਕਿਵੇਂ ਕਰਦੇ ਹਾਂ
We use the information we collect from all our services for the following purposes:,ਅਸੀਂ ਆਪਣੀਆਂ ਸਾਰੀਆਂ ਸੇਵਾਵਾਂ ਤੋਂ ਇਕੱਤਰ ਕੀਤੀ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਹੇਠਾਂ ਦਿੱਤੇ ਉਦੇਸ਼ਾਂ ਲਈ ਕਰਦੇ ਹਾਂ:
2.1. Deliver our services.,2.1. ਸਾਡੀਆਂ ਸੇਵਾਵਾਂ ਪ੍ਰਦਾਨ ਕਰਨ ਲਈ।
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",ਧਾਰਾ 1 ਦੇ ਤਹਿਤ ਇਕੱਤਰ ਕੀਤੀ ਗਈ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਲਾਭਪਾਤਰੀਆਂ ਦੀ ਸਿਹਤ ਦੀ ਸਹੂਲਤ ਦੇ ਉਦੇਸ਼ ਲਈ ਕੀਤੀ ਜਾਵੇਗੀ।
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","ਅਸੀਂ ਆਪਣੇ ਉਤਪਾਦ ਪ੍ਰਦਾਨ ਕਰਦੇ ਹਾਂ, ਜਿਸ ਵਿੱਚ ਸਿਸਟਮ ਦੀ ਜਾਣਕਾਰੀ/ਅੰਕੜੇ/ ਸਮੱਗਰੀ ਅਤੇ ਸਮੱਗਰੀ ਨੂੰ ਅੱਪਡੇਟ ਕਰਨਾ, ਸੁਰੱਖਿਅਤ ਕਰਨਾ ਅਤੇ ਸਮੱਸਿਆ ਦਾ ਨਿਪਟਾਰਾ ਕਰਨਾ ਸ਼ਾਮਲ ਹੈ, ਨਾਲ ਹੀ ਸਹਾਇਤਾ ਪ੍ਰਦਾਨ ਕਰਨਾ ਵੀ ਸ਼ਾਮਲ ਹੈ।"
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database. These can also be used to assess the health status as recorded in the Poshan Tracker system.","ਜਦੋਂ ਤੁਸੀਂ ਪੋਸ਼ਣ ਟਰੈਕਰ 'ਤੇ ਰਜਿਸਟਰ ਕਰਦੇ ਹੋ, ਤਾਂ ਉਹ ਮੋਬਾਈਲ ਨੰਬਰ ਜਿਸ ਨਾਲ ਤੁਸੀਂ ਰਜਿਸਟਰ ਕੀਤਾ ਸੀ, ਡੇਟਾਬੇਸ ਤੋਂ ਤੁਹਾਡੇ ਰਿਕਾਰਡ ਨੂੰ ਲੱਭਣ ਲਈ ਵਰਤਿਆ ਜਾਵੇਗਾ। ਇਹਨਾਂ ਦੀ ਵਰਤੋਂ ਸਿਹਤ ਸਥਿਤੀ ਦਾ ਮੁਲਾਂਕਣ ਕਰਨ ਲਈ ਵੀ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ ਜਿਵੇਂ ਕਿ ਪੋਸ਼ਣ ਟਰੈਕਰ ਪ੍ਰਣਾਲੀ ਵਿੱਚ ਦਰਜ ਕੀਤਾ ਗਿਆ ਹੈ।"
2.2. Communicate with you.,2.2. ਤੁਹਾਡੇ ਨਾਲ ਸੰਚਾਰ ਕਰਣ ਲਈ।
"We also send SMSs on your registered mobile number to alert you about registration, we also use your information to respond to you when you contact us and to investigate, respond to and resolve complaints and for Service issues (e.g. bugs).","ਅਸੀਂ ਤੁਹਾਨੂੰ ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਬਾਰੇ ਸੁਚੇਤ ਕਰਨ ਲਈ ਤੁਹਾਡੇ ਰਜਿਸਟਰਡ ਮੋਬਾਈਲ ਨੰਬਰ 'ਤੇ SMS ਵੀ ਭੇਜਦੇ ਹਾਂ, ਜਦੋਂ ਤੁਸੀਂ ਸਾਡੇ ਨਾਲ ਸੰਪਰਕ ਕਰਦੇ ਹੋ ਤਾਂ ਅਸੀਂ ਤੁਹਾਨੂੰ ਜਵਾਬ ਦੇਣ ਲਈ ਅਤੇ ਸ਼ਿਕਾਇਤਾਂ ਦੀ ਜਾਂਚ ਕਰਨ, ਜਵਾਬ ਦੇਣ ਅਤੇ ਹੱਲ ਕਰਨ ਅਤੇ ਸੇਵਾ ਸਮੱਸਿਆਵਾਂ (ਜਿਵੇਂ ਬੱਗਜ) ਲਈ ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹਾਂ।"
2.3. Verification.,2.3. ਪੁਸ਼ਟੀਕਰਨ।
"We use the information we have, to help verify accounts. The records may be used for verification of health status for the purposes of Poshan Tracker control and response.",ਅਸੀਂ ਖਾਤੇ ਦੀ ਪੁਸ਼ਟੀ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰਨ ਲਈ ਸਾਡੇ ਕੋਲ ਮੌਜੂਦ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹਾਂ। ਰਿਕਾਰਡਾਂ ਦੀ ਵਰਤੋਂ ਪੋਸ਼ਨ ਟਰੈਕਰ ਨਿਯੰਤਰਣ ਅਤੇ ਜਵਾਬ ਦੇ ਉਦੇਸ਼ਾਂ ਲਈ ਸਿਹਤ ਸਥਿਤੀ ਦੀ ਪੁਸ਼ਟੀ ਲਈ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ।
2.4. Security and Audit.,2.4. ਸੁਰੱਖਿਆ ਅਤੇ ਆਡਿਟ(ਪ੍ਰਤੀ ਪੁਸ਼ਟੀ)।
