en,ml
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure. Your registration or mobile number shall be kept confidential,നിങ്ങളുടെ സ്വകാര്യ വിവരങ്ങളുടെയും രജിസ്ട്രേഷന്റെയും രഹസ്യസ്വഭാവം കാത്തുസൂക്ഷിക്കുന്നതിനും ഈ വിവരങ്ങൾ സുരക്ഷിതമായി സൂക്ഷിക്കുന്നതിൽ നിങ്ങൾ പരാജയപ്പെടുന്നതിന്റെ ഫലമായുണ്ടാകുന്ന എല്ലാ പ്രവർത്തനങ്ങളുടെയും ഉത്തരവാദിത്തം നിങ്ങൾക്കാണ്. നിങ്ങളുടെ രജിസ്ട്രേഷനോ മൊബൈൽ നമ്പറോ രഹസ്യമായി സൂക്ഷിക്കും
You undertake that:,നിങ്ങൾ അത് ഏറ്റെടുക്കുക:
You have obtained consent from the concerned individuals for creating their records through your account.,നിങ്ങളുടെ അക്കൗണ്ട് വഴി അവരുടെ രേഖകൾ സൃഷ്ടിക്കുന്നതിന് ബന്ധപ്പെട്ട വ്യക്തികളിൽ നിന്ന് നിങ്ങൾ സമ്മതം നേടിയിട്ടുണ്ട്.
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,നിങ്ങളുടെ അക്കൗണ്ടിലോ മൊബൈൽ നമ്പറിലോ ആ വ്യക്തിയായി ആൾമാറാട്ടം നടത്തുക എന്ന ഉദ്ദേശ്യത്തോടെ മറ്റൊരു വ്യക്തിയുടെ പേര് ഉൾപ്പെടുത്തരുത്.
You shall not use another user's account without their permission.,മറ്റൊരു ഉപയോക്താവിന്റെ അനുമതി കൂടാതെ അവരുടെ അക്കൗണ്ട് നിങ്ങൾ ഉപയോഗിക്കരുത്.
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach. If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.","നിങ്ങളുടെ അക്കൗണ്ടിന്റെ ഏതെങ്കിലും അനധികൃത ഉപയോഗമോ അക്കൗണ്ടുമായി ബന്ധപ്പെട്ട മറ്റ് സുരക്ഷാ ലംഘനമോ കണ്ടെത്തിയാൽ, നിങ്ങൾ ഉടൻ ഞങ്ങളെ രേഖാമൂലം അറിയിക്കും. നിങ്ങളുടെ അക്കൗണ്ട് മറ്റൊരാളുടെ അവകാശങ്ങൾ ലംഘിക്കുകയോ ഞങ്ങളുടെ നയങ്ങൾ ലംഘിക്കുകയോ ചെയ്യുന്നതായി ഞങ്ങൾക്ക് പരാതി ലഭിച്ചാൽ ഞങ്ങൾ നിങ്ങളുടെ അക്കൗണ്ട് റദ്ദാക്കുകയോ ബ്ലോക്ക് ചെയ്യുകയോ ചെയ്യാം."
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site",സൈറ്റിൽ പങ്കെടുക്കുന്നവരെ രജിസ്റ്റർ ചെയ്യുന്നതിന് ഒന്നിലധികം ഇന്റർനെറ്റ് പ്രോട്ടോക്കോൾ വിലാസങ്ങളോ മൊബൈൽ നമ്പറോ മറ്റേതെങ്കിലും മാർഗമോ ഉപയോഗിച്ച് നിങ്ങളുടെ ഐഡന്റിറ്റി മറയ്ക്കാൻ നിങ്ങൾ ശ്രമിക്കരുത്
V. ACCESS PERMISSIONS,V. ആക്സസ് പെർമിഷനുകൾ
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,ഡോക്യുമെന്റേഷനിൽ വിവരിച്ചിരിക്കുന്ന മാർഗ്ഗങ്ങളിലൂടെ മാത്രമേ നിങ്ങൾ സൈറ്റ് ആക്സസ് ചെയ്യുകയുള്ളൂ (അല്ലെങ്കിൽ ആക്സസ് ചെയ്യാൻ ശ്രമിക്കുകയും) ഈ കരാറിന്റെ നിബന്ധനകളും വ്യവസ്ഥകളും പാലിക്കുകയും ചെയ്യും.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","നിങ്ങൾക്കും നിങ്ങളുടെ സൈറ്റിന്റെ ഉപയോഗത്തിനും ബാധകമായതും ഏതെങ്കിലും മൂന്നാം കക്ഷി അവകാശങ്ങളെ ബാധിക്കുന്നതുമായ എല്ലാ കേന്ദ്ര, സംസ്ഥാന നിയമങ്ങളും നിയമങ്ങളും നിയന്ത്രണങ്ങളും നിങ്ങൾ പാലിക്കും."
VI. ACCESS RESTRICTIONS,VI. പ്രവേശന നിയന്ത്രണങ്ങൾ
"You shall not, either on your own or through any other person:",നിങ്ങൾ സ്വന്തമായോ മറ്റേതെങ്കിലും വ്യക്തി മുഖേനയോ ചെയ്യരുത്:
Restrict or inhibit any other person from using the Site,സൈറ്റ് ഉപയോഗിക്കുന്നതിൽ നിന്ന് മറ്റേതെങ്കിലും വ്യക്തിയെ നിയന്ത്രിക്കുക അല്ലെങ്കിൽ തടയുക
Use the Site for any unlawful purpose,ഏതെങ്കിലും നിയമവിരുദ്ധമായ ആവശ്യങ്ങൾക്കായി സൈറ്റ് ഉപയോഗിക്കുക
"Express or imply that any statements you make are endorsed by us, without our prior written consent",ഞങ്ങളുടെ മുൻകൂർ രേഖാമൂലമുള്ള സമ്മതമില്ലാതെ നിങ്ങൾ നടത്തുന്ന ഏതെങ്കിലും പ്രസ്താവനകൾ ഞങ്ങൾ അംഗീകരിച്ചിട്ടുണ്ടെന്ന് പ്രകടിപ്പിക്കുക അല്ലെങ്കിൽ സൂചിപ്പിക്കുക
"Impersonate any person or entity, whether actual or fictitious","യഥാർത്ഥമോ സാങ്കൽപ്പികമോ ആകട്ടെ, ഏതെങ്കിലും വ്യക്തിയെയോ സ്ഥാപനത്തെയോ ആൾമാറാട്ടം നടത്തുക"
Engage in spamming or flooding,സ്പാമിംഗിലോ വെള്ളപ്പൊക്കത്തിലോ ഏർപ്പെടുക
Harvest or collect information about Site users,സൈറ്റ് ഉപയോക്താക്കളെക്കുറിച്ചുള്ള വിവരങ്ങൾ ശേഖരിക്കുക അല്ലെങ്കിൽ ശേഖരിക്കുക
Open multiple accounts for yourself or any other individual using multiple mobile numbers,ഒന്നിലധികം മൊബൈൽ നമ്പറുകൾ ഉപയോഗിച്ച് നിങ്ങൾക്കോ ​​മറ്റേതെങ്കിലും വ്യക്തിക്കോ വേണ്ടി ഒന്നിലധികം അക്കൗണ്ടുകൾ തുറക്കുക
"Submit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive nature","ഏതെങ്കിലും വൈറസുകൾ, വിരകൾ, ട്രോജൻ കുതിരകൾ, വൈകല്യങ്ങൾ, തീയതി ബോംബുകൾ, ടൈം ബോംബുകൾ അല്ലെങ്കിൽ വിനാശകരമായ സ്വഭാവമുള്ള മറ്റ് വസ്തുക്കൾ എന്നിവ അടങ്ങിയിരിക്കുന്ന ഏതെങ്കിലും സോഫ്റ്റ്വെയറോ മറ്റ് വസ്തുക്കളോ സമർപ്പിക്കുക"
"Manipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submit","നിങ്ങൾ സമർപ്പിക്കുന്ന ഏതൊരു പോസ്‌റ്റിംഗിന്റെയും ഉത്ഭവം മറയ്‌ക്കുന്നതിന്, വ്യാജ തലക്കെട്ടുകൾ ഉൾപ്പെടെയുള്ള ഐഡന്റിഫയറുകൾ കൈകാര്യം ചെയ്യുക"
Link to any portion of the Site other than the URL assigned to the home page of the Site,സൈറ്റിന്റെ ഹോം പേജിലേക്ക് അസൈൻ ചെയ്‌തിരിക്കുന്ന URL ഒഴികെയുള്ള സൈറ്റിന്റെ ഏതെങ്കിലും ഭാഗത്തേക്ക് ലിങ്ക് ചെയ്യുക
“Frame” or “Mirror” any part of the Site,"സൈറ്റിന്റെ ഏതെങ്കിലും ഭാഗം ""ഫ്രെയിം"" അല്ലെങ്കിൽ ""മിറർ"""
"Modify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the Content","സൈറ്റിന്റെ ഏതെങ്കിലും ഭാഗം പരിഷ്‌ക്കരിക്കുക, വിൽക്കുക, റിവേഴ്‌സ് എഞ്ചിനീയർ ചെയ്യുക, ഡീകംപൈൽ ചെയ്യുക അല്ലെങ്കിൽ ഡിസ്അസംബ്ലിംഗ് ചെയ്യുക, അല്ലെങ്കിൽ ഉള്ളടക്കത്തിന്റെ ഏതെങ്കിലും ഭാഗത്തിന്റെ ഏതെങ്കിലും സോഴ്‌സ് കോഡോ അടിസ്ഥാന ആശയങ്ങളോ അൽഗോരിതമോ ഉണ്ടാക്കാൻ ശ്രമിക്കുക"
"Remove any copyright, trademark or other proprietary rights notices contained on the Site","സൈറ്റിൽ അടങ്ങിയിരിക്കുന്ന ഏതെങ്കിലും പകർപ്പവകാശം, വ്യാപാരമുദ്ര അല്ലെങ്കിൽ മറ്റ് ഉടമസ്ഥാവകാശ അറിയിപ്പുകൾ നീക്കം ചെയ്യുക"
"Use any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.","ഏതെങ്കിലും കമ്പ്യൂട്ടർ പ്രോഗ്രാം, ബോട്ട്, റോബോട്ട്, സ്പൈഡർ, ഓഫ്‌ലൈൻ റീഡർ, സൈറ്റ് തിരയൽ/വീണ്ടെടുക്കൽ ആപ്ലിക്കേഷൻ അല്ലെങ്കിൽ മറ്റ് മാനുവൽ അല്ലെങ്കിൽ സ്വയമേവയുള്ള ഉപകരണം, ഉപകരണം അല്ലെങ്കിൽ പ്രോസസ്സ്, സൂചിക, ഡാറ്റ മൈൻ, അല്ലെങ്കിൽ ഏതെങ്കിലും വിധത്തിൽ സുരക്ഷാ ഘടന, നാവിഗേഷൻ പുനർനിർമ്മിക്കുക അല്ലെങ്കിൽ മറികടക്കുക സൈറ്റിൽ പ്രദർശിപ്പിച്ചിരിക്കുന്ന ഏതെങ്കിലും CAPTCHA യുമായി ബന്ധപ്പെട്ട് ഉൾപ്പെടെ ഉള്ളടക്കത്തിന്റെയോ സൈറ്റിന്റെയോ ഘടന, അല്ലെങ്കിൽ അവതരണം."
Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is active,നിങ്ങളുടെ കമ്പ്യൂട്ടറിൽ നിന്ന് അത്തരം സോഫ്‌റ്റ്‌വെയറോ സിസ്റ്റമോ സജീവമായ മറ്റൊരു കമ്പ്യൂട്ടറിലേക്ക് വിവരങ്ങൾ അയയ്‌ക്കുന്നത് ഉൾപ്പെടെയുള്ള അപ്പോയിന്റ്‌മെന്റ് തിരയുന്നതിനോ ബുക്ക് ചെയ്യുന്നതിനോ ഏതെങ്കിലും ഓട്ടോമേറ്റഡ് സോഫ്‌റ്റ്‌വെയർ അല്ലെങ്കിൽ കമ്പ്യൂട്ടർ സിസ്റ്റം ഉപയോഗിക്കുക
Take any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.,ഞങ്ങളുടെ ഇൻഫ്രാസ്ട്രക്ചറിൽ യുക്തിരഹിതമോ ആനുപാതികമല്ലാത്തതോ ആയ വലിയ ഭാരം ചുമത്തുന്നതോ (ഞങ്ങളുടെ സ്വന്തം വിവേചനാധികാരത്തിൽ) അടിച്ചേൽപ്പിക്കുന്നതോ ആയ ഏതെങ്കിലും നടപടി സ്വീകരിക്കുക.
"Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the Content","സൈറ്റ് ഉപയോഗിക്കുക അല്ലെങ്കിൽ പുനർനിർമ്മിക്കുക, പരിഷ്ക്കരിക്കുക, പ്രദർശിപ്പിക്കുക, പൊതുവായി അവതരിപ്പിക്കുക, വിതരണം ചെയ്യുക അല്ലെങ്കിൽ സൈറ്റിന്റെ അല്ലെങ്കിൽ ഉള്ളടക്കത്തിന്റെ ഡെറിവേറ്റീവ് വർക്കുകൾ സൃഷ്ടിക്കുക"
"The Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purpose","സൈറ്റിലേക്കും/അല്ലെങ്കിൽ ഉള്ളടക്കത്തിലേക്കുള്ള ആക്‌സസ് അല്ലെങ്കിൽ അവകാശങ്ങളെ ഫലപ്രദമായി നിയന്ത്രിക്കുന്ന ഏതെങ്കിലും സാങ്കേതിക നടപടികളെ മറികടക്കാൻ രൂപകൽപ്പന ചെയ്‌തിരിക്കുന്ന ഏതെങ്കിലും ഉപകരണം, പ്രോഗ്രാം അല്ലെങ്കിൽ സേവനം എന്നിവയ്‌ക്കൊപ്പം ഏതെങ്കിലും വിധത്തിൽ പരിമിതികളില്ലാതെ ഉള്ളടക്കം, മാനുവൽ ഡീകോഡ്, ഡീക്രിപ്റ്റ്, പരിഷ്ക്കരിക്കുക, അല്ലെങ്കിൽ റിവേഴ്സ് എഞ്ചിനീയർ സർട്ടിഫിക്കറ്റ് അല്ലെങ്കിൽ അടിസ്ഥാന അൽഗോരിതങ്ങൾ അല്ലെങ്കിൽ ഓട്ടോമാറ്റിക് ഉപകരണം അല്ലെങ്കിൽ പ്രോസസ്സ്, ഏതെങ്കിലും ആവശ്യത്തിനായി"
"You will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number","സൈറ്റിലൂടെ രജിസ്റ്റർ ചെയ്യുന്ന പങ്കാളികൾക്കായി തിരയാൻ നിങ്ങൾ ബോട്ട് സാങ്കേതികവിദ്യ ഉപയോഗിക്കില്ല; സംശയം ഒഴിവാക്കുന്നതിനായി, സൈറ്റിൽ സ്വയമേവയുള്ള സ്ക്രിപ്റ്റ് അധിഷ്‌ഠിതമോ ഓട്ടോമേറ്റഡ് സോഫ്‌റ്റ്‌വെയറോ ഉപയോഗിക്കുന്നതിൽ നിന്ന് ഇത് നിങ്ങളെ പ്രത്യേകം വിലക്കുന്നു, ഒപ്പം പങ്കാളിത്തം നടപ്പിലാക്കാൻ ഉപയോഗിക്കുന്ന സൈറ്റിലെ ഏതെങ്കിലും സുരക്ഷാ നടപടി, ആക്‌സസ് കൺട്രോൾ സിസ്റ്റം, അല്ലെങ്കിൽ മറ്റ് സാങ്കേതിക നിയന്ത്രണം അല്ലെങ്കിൽ അളവുകൾ എന്നിവ ഒഴിവാക്കുന്നതിൽ നിന്ന് നിങ്ങളെ തടയുന്നു, പരിമിതികൾ അല്ലെങ്കിൽ ഒരു മൊബൈൽ നമ്പറുമായി ബന്ധപ്പെട്ട പങ്കാളികളുടെ രജിസ്ട്രേഷൻ നിയമങ്ങളുടെ സമഗ്രത നിലനിർത്താൻ"
VII. INTELLECTUAL PROPERTY RIGHTS,VII. ബൗദ്ധിക സ്വത്തവകാശങ്ങൾ
We own the intellectual property rights in the Site and Content. We may change the Content and features of the Site at any time.,സൈറ്റിലെയും ഉള്ളടക്കത്തിലെയും ബൗദ്ധിക സ്വത്തവകാശം ഞങ്ങൾക്ക് സ്വന്തമാണ്. ഞങ്ങൾ എപ്പോൾ വേണമെങ്കിലും സൈറ്റിന്റെ ഉള്ളടക്കവും സവിശേഷതകളും മാറ്റിയേക്കാം.
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors. You may not use our trademarks, logos, and service marks in any way without our prior written permission.","സൈറ്റിൽ പ്രദർശിപ്പിച്ചിരിക്കുന്ന രജിസ്റ്റർ ചെയ്തതും രജിസ്റ്റർ ചെയ്യാത്തതുമായ വ്യാപാരമുദ്രകൾ, ലോഗോകൾ, സേവന മാർക്കുകൾ എന്നിവ ഞങ്ങളുടെ അല്ലെങ്കിൽ ഞങ്ങളുടെ ലൈസൻസർമാരുടെ ഉടമസ്ഥതയിലുള്ളതാണ്. ഞങ്ങളുടെ മുൻകൂർ രേഖാമൂലമുള്ള അനുമതിയില്ലാതെ നിങ്ങളുടെ വ്യാപാരമുദ്രയും ലോഗോയും സേവന അടയാളങ്ങളും ഒരു തരത്തിലും ഉപയോഗിക്കരുത്."
"Material featured on this website may be reproduced free of charge. However, no part of the Site and no Content may be copied, republished, reproduced, uploaded, posted, displayed publicly, encoded, translated, transmitted or distributed in any way to any other computer, server, Web site or other medium for publication in a derogatory manner or in a misleading context.","ഈ വെബ്‌സൈറ്റിൽ ഫീച്ചർ ചെയ്‌തിരിക്കുന്ന മെറ്റീരിയൽ സൗജന്യമായി പുനർനിർമ്മിച്ചേക്കാം. എന്നിരുന്നാലും, സൈറ്റിന്റെ ഒരു ഭാഗവും ഉള്ളടക്കവും പകർത്താനോ പുനഃപ്രസിദ്ധീകരിക്കാനോ പുനർനിർമ്മിക്കാനോ അപ്‌ലോഡ് ചെയ്യാനോ പോസ്റ്റുചെയ്യാനോ പൊതുവായി പ്രദർശിപ്പിക്കാനോ എൻകോഡ് ചെയ്യാനോ വിവർത്തനം ചെയ്യാനോ പ്രക്ഷേപണം ചെയ്യാനോ മറ്റേതെങ്കിലും വിധത്തിൽ മറ്റേതെങ്കിലും കമ്പ്യൂട്ടറിലേക്കോ സെർവറിലേക്കോ വെബ്‌സൈറ്റിലേക്കോ മറ്റ് മാധ്യമങ്ങളിലേക്കോ പ്രസിദ്ധീകരണത്തിനായി വിതരണം ചെയ്യാനോ പാടില്ല. അപകീർത്തികരമായ രീതിയിൽ അല്ലെങ്കിൽ തെറ്റിദ്ധരിപ്പിക്കുന്ന സന്ദർഭത്തിൽ."
"You may use information available on the Site, provided that you will (1) use such information only for your personal, non-commercial informational purpose and do not copy or post such information on any networked computer or broadcast it in any media, (2) not make any modifications to any such information and any additional representations or warranties relating to such documents and Content.","നിങ്ങൾ (1) അത്തരം വിവരങ്ങൾ നിങ്ങളുടെ സ്വകാര്യ, വാണിജ്യേതര വിവര ആവശ്യങ്ങൾക്കായി മാത്രം ഉപയോഗിക്കുകയാണെങ്കിൽ, അത്തരം വിവരങ്ങൾ ഏതെങ്കിലും നെറ്റ്‌വർക്കുചെയ്‌ത കമ്പ്യൂട്ടറിൽ പകർത്തുകയോ പോസ്റ്റ് ചെയ്യുകയോ ഏതെങ്കിലും മീഡിയയിൽ പ്രക്ഷേപണം ചെയ്യുകയോ ചെയ്യുകയാണെങ്കിൽ, നിങ്ങൾക്ക് സൈറ്റിൽ ലഭ്യമായ വിവരങ്ങൾ ഉപയോഗിക്കാം, (2 ) അത്തരം വിവരങ്ങളിൽ എന്തെങ്കിലും മാറ്റങ്ങൾ വരുത്തരുത്, അത്തരം രേഖകളും ഉള്ളടക്കവുമായി ബന്ധപ്പെട്ട ഏതെങ്കിലും അധിക പ്രാതിനിധ്യങ്ങളോ വാറന്റികളോ ഉണ്ടാകരുത്."
"Wherever the material is being published or issued to others, the source must be prominently acknowledged. However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.","മെറ്റീരിയൽ പ്രസിദ്ധീകരിക്കുകയോ മറ്റുള്ളവർക്ക് നൽകുകയോ ചെയ്യുന്നിടത്തെല്ലാം, ഉറവിടം പ്രാധാന്യത്തോടെ അംഗീകരിച്ചിരിക്കണം. എന്നിരുന്നാലും, ഈ മെറ്റീരിയൽ പുനർനിർമ്മിക്കാനുള്ള അനുമതി ഒരു മൂന്നാം കക്ഷിയുടെ പകർപ്പവകാശമായി തിരിച്ചറിയപ്പെടുന്ന ഒരു മെറ്റീരിയലിലേക്കും വ്യാപിക്കുന്നില്ല."
VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE,VIII. ബഹുഭാഷാ ഇന്റർഫേസിന്റെ പരിമിതികൾ
"Translations on the Poshan Tracker Portal & App Chabot are done by third party translators. While the translations are done on a best effort basis, some of the parts may be incorrect. Certain files and other items on the website cannot be translated. In addition, on translation, some applications and/or services may not function as expected, due to language barriers. We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","പോഷൻ ട്രാക്കർ പോർട്ടലിലെയും ആപ്പ് ചാബോട്ടിലെയും വിവർത്തനങ്ങൾ മൂന്നാം കക്ഷി വിവർത്തകരാണ് ചെയ്യുന്നത്. വിവർത്തനങ്ങൾ മികച്ച പ്രയത്നത്തിന്റെ അടിസ്ഥാനത്തിലാണെങ്കിലും, ചില ഭാഗങ്ങൾ തെറ്റായിരിക്കാം. വെബ്‌സൈറ്റിലെ ചില ഫയലുകളും മറ്റ് ഇനങ്ങളും വിവർത്തനം ചെയ്യാൻ കഴിയില്ല. കൂടാതെ, പരിഭാഷയിൽ, ഭാഷാ തടസ്സങ്ങൾ കാരണം ചില ആപ്ലിക്കേഷനുകളും കൂടാതെ/അല്ലെങ്കിൽ സേവനങ്ങളും പ്രതീക്ഷിച്ച പോലെ പ്രവർത്തിച്ചേക്കില്ല. ഈ പോർട്ടലിൽ നൽകിയിരിക്കുന്ന വിവർത്തനങ്ങളിലെ തെറ്റുകളോ ഒഴിവാക്കലുകളോ അവ്യക്തതകളോ തിരുത്താൻ ഞങ്ങൾ നിരന്തരം പ്രവർത്തിക്കുന്നു."
IX. LINKS,IX. ലിങ്കുകൾ
"The Site may contain links to other websites that may not be owned, maintained, or operated by us. The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites. We are not responsible for these websites including any content or the privacy practices of these websites. We strongly encourage you to familiarize yourself with the terms of use of these websites. Your use of these websites is at your own risk and peril. It is solely up to you to take necessary precautions to ensure that the links you select or any software you may download is free of viruses, worms, Trojan horses, defects, date bombs, time bombs, and other or other computer programming routines which are of destructive nature","ഞങ്ങളുടെ ഉടമസ്ഥതയിലുള്ളതോ പരിപാലിക്കുന്നതോ പ്രവർത്തിപ്പിക്കാത്തതോ ആയ മറ്റ് വെബ്‌സൈറ്റുകളിലേക്കുള്ള ലിങ്കുകൾ സൈറ്റിൽ അടങ്ങിയിരിക്കാം. ഈ വെബ്‌സൈറ്റുകൾ ലിങ്ക് ചെയ്‌തിരിക്കുന്നു എന്ന വസ്തുത ഞങ്ങളിൽ നിന്നുള്ള ഈ വെബ്‌സൈറ്റുകളുടെ ഏതെങ്കിലും അംഗീകാരത്തെ സൂചിപ്പിക്കുന്നില്ല, കാരണം ഈ വെബ്‌സൈറ്റുകളിൽ ഞങ്ങൾക്ക് എന്തെങ്കിലും നിയന്ത്രണമുണ്ട്. ഈ വെബ്‌സൈറ്റുകളുടെ ഏതെങ്കിലും ഉള്ളടക്കമോ സ്വകാര്യതാ രീതികളോ ഉൾപ്പെടെയുള്ള ഈ വെബ്‌സൈറ്റുകൾക്ക് ഞങ്ങൾ ഉത്തരവാദികളല്ല. ഈ വെബ്‌സൈറ്റുകളുടെ ഉപയോഗ നിബന്ധനകൾ സ്വയം പരിചയപ്പെടാൻ ഞങ്ങൾ നിങ്ങളെ ശക്തമായി പ്രോത്സാഹിപ്പിക്കുന്നു. ഈ വെബ്‌സൈറ്റുകളുടെ നിങ്ങളുടെ ഉപയോഗം നിങ്ങളുടെ സ്വന്തം ഉത്തരവാദിത്തത്തിലും അപകടത്തിലുമാണ്. നിങ്ങൾ തിരഞ്ഞെടുക്കുന്ന ലിങ്കുകളോ നിങ്ങൾ ഡൗൺലോഡ് ചെയ്യുന്ന ഏതെങ്കിലും സോഫ്‌റ്റ്‌വെയറോ വൈറസുകൾ, പുഴുക്കൾ, ട്രോജൻ ഹോഴ്‌സുകൾ, തകരാറുകൾ, ഡേറ്റ് ബോംബുകൾ, ടൈം ബോംബുകൾ, മറ്റ് അല്ലെങ്കിൽ മറ്റ് കമ്പ്യൂട്ടർ പ്രോഗ്രാമിംഗ് ദിനചര്യകൾ എന്നിവയിൽ നിന്ന് മുക്തമാണെന്ന് ഉറപ്പാക്കാൻ ആവശ്യമായ മുൻകരുതലുകൾ എടുക്കേണ്ടത് നിങ്ങളാണ് വിനാശകരമായ സ്വഭാവം"
X. ACCESS FROM OUTSIDE INDIA,X. ഇന്ത്യക്ക് പുറത്ത് നിന്നുള്ള പ്രവേശനം
"The Site is directed to the people residing in India. We do not represent that Content available on or through the Site is appropriate or available in other locations. We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time. If you choose to access the Site from outside India, you do so at your own risk.","ഈ സൈറ്റ് ഇന്ത്യയിൽ താമസിക്കുന്ന ആളുകൾക്ക് വേണ്ടിയുള്ളതാണ്. സൈറ്റിലോ സൈറ്റിലൂടെയോ ലഭ്യമായ ഉള്ളടക്കം ഉചിതമോ മറ്റ് സ്ഥലങ്ങളിൽ ലഭ്യമോ ആണെന്ന് ഞങ്ങൾ പ്രതിനിധീകരിക്കുന്നില്ല. സൈറ്റിന്റെ ലഭ്യത അല്ലെങ്കിൽ സൈറ്റിൽ വിവരിച്ചിരിക്കുന്ന ഏതെങ്കിലും സേവനത്തിന്റെ അല്ലെങ്കിൽ ഉൽപ്പന്നത്തിന്റെ ലഭ്യത ഞങ്ങൾ എപ്പോൾ വേണമെങ്കിലും ഏതെങ്കിലും വ്യക്തിക്കോ ഭൂമിശാസ്ത്രപരമായ പ്രദേശത്തിനോ പരിമിതപ്പെടുത്തിയേക്കാം. ഇന്ത്യയ്ക്ക് പുറത്ത് നിന്ന് സൈറ്റ് ആക്സസ് ചെയ്യാൻ നിങ്ങൾ തിരഞ്ഞെടുക്കുകയാണെങ്കിൽ, നിങ്ങളുടെ സ്വന്തം ഉത്തരവാദിത്തത്തിലാണ് നിങ്ങൾ അത് ചെയ്യുന്നത്."
XI. VIOLATION OF THESE TERMS,XI. ഈ നിബന്ധനകളുടെ ലംഘനം
"We may investigate any violation of these Terms, including unauthorized use of the Site. We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you. We may take legal action that we feel is appropriate. If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","സൈറ്റിന്റെ അനധികൃത ഉപയോഗം ഉൾപ്പെടെ, ഈ നിബന്ധനകളുടെ ഏതെങ്കിലും ലംഘനം ഞങ്ങൾ അന്വേഷിക്കാം. നിങ്ങളുടെ ഇടപാടുകളുമായി ബന്ധപ്പെട്ട് നിങ്ങൾ ഞങ്ങൾക്ക് നൽകുന്ന വിവരങ്ങൾ നിയമപാലകർക്ക് ഞങ്ങൾ നൽകിയേക്കാം. ഞങ്ങൾക്ക് ഉചിതമെന്ന് തോന്നുന്ന നിയമനടപടി സ്വീകരിക്കാം. നിങ്ങൾ ഈ നിബന്ധനകളോ നിയമങ്ങളോ ലംഘിച്ചുവെന്നോ മറ്റെന്തെങ്കിലും കാരണത്താലോ കാരണമില്ലാതെയോ ഞങ്ങൾ നിർണ്ണയിക്കുകയാണെങ്കിൽ, ഞങ്ങൾ നിങ്ങളുടെ അക്കൗണ്ട് ബ്ലോക്ക് ചെയ്‌തേക്കാം കൂടാതെ നിങ്ങൾക്ക് അറിയിപ്പ് കൂടാതെ ഏത് സമയത്തും സൈറ്റ് ആക്‌സസ് ചെയ്യുന്നതിൽ നിന്ന് നിങ്ങളെ തടയുകയും ചെയ്യും."
XII. RE-DISTRIBUTION,XII. പുനർവിതരണം
