en,as
X. ACCESS FROM OUTSIDE INDIA,"য’তেই মেটেৰিয়েলটো আন কৰবাত প্ৰকাশ হৈছে বা জাৰি হৈছে, উৎসটোক গুৰুত্ব সহকাৰে স্বীকৃতি প্ৰদান কৰিব লাগিব৷ অৱশ্যে এই মেটেৰিয়েল পুনৰ্গঠন কৰাৰ অনুমতি আন কোনো মেটেৰিয়েললৈ প্ৰসাৰিত নহয় যি এটা তৃতীয় পক্ষৰ কপিৰাইট থকা হিচাপে চিনাক্ত হয়৷"
"The Site is directed to the people residing in India. We do not represent that Content available on or through the Site is appropriate or available in other locations. We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time. If you choose to access the Site from outside India, you do so at your own risk.",VIII. বহু-ভাষিক ইন্টাৰফেচৰ সীমাৱদ্ধতা
XI. VIOLATION OF THESE TERMS,"পোষণ ট্ৰেকাৰ পৰ্টেল আৰু এপ চাটব’টৰ অনুবাদ তৃতীয় পক্ষ অনুবাদকৰ দ্বাৰা সম্পন্ন হয়৷ যদিও অনুবাদ সমূহ সৰ্বোত্তম প্ৰয়াসেৰে সম্পন্ন কৰা হয়, কিছু অংশ অশুদ্ধও হৈ ৰব পাৰে৷ ৱেবচাইটটোৰ কিছুমান ফাইল বা আন সামগ্ৰী অনুবাদ কৰিব পৰা নাযায়৷ ইয়াৰ উপৰি, অনুবাদত, কিছুমান এপ্লিকেচন আৰু/বা সেৱাই ভাষাৰ অন্তৰায়ৰ ফলত, আশানুৰূপ ভাৱে কাম নকৰিব পাৰে৷ আমি এই পৰ্টেলত আগবঢ়োৱা অনুবাদ সমূহত যিকোনো ত্ৰুটি, বাদ পৰা তথ্য, বা অন্য সম্ভাৱনা সংশোধন কৰিবলৈ অবিৰত কাম কৰি আছো৷"
"We may investigate any violation of these Terms, including unauthorized use of the Site. We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you. We may take legal action that we feel is appropriate. If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.",IX. লিংক সমূহ
XII. RE-DISTRIBUTION,"চাইটটোত হয়তো আন ৱেবচাইটৰ লিংক সন্নিৱিষ্ট থাকিব পাৰে যাক হয়তো আমাৰ দ্বাৰাা ক্ৰয় কৰা, চোৱা চিতা কৰা বা পৰিচালনা কৰা নহ’ব পাৰে৷ তথ্য যে এই ৱেবচাইটসমূূহ লিং হৈ আছে, ই আমাৰ পৰা এই ৱেবচাইট সমূহৰ কোনো অনুমোদনক নুসূচায়, যিহেতু আমাৰ এই ৱেবচাইট সমূহৰ ওপৰত কোনো নিয়ন্ত্ৰণ নাথাকে৷ আমি এই ৱেবচাইট সমূহৰ কোনো কন্টেন্ট বা গোপনীয়তাৰ অনুশীলনকে ধৰি এই ৱেবচাইট সমূহৰ বাবে দায়বদ্ধ নহয়৷ আমি এই ৱেবচাইট সমূহৰ ব্যৱহাৰৰ চৰ্তাৱলীৰ সৈতে আপোনাক নিজকে সুপৰিচিত কৰি তুলিবলৈ উৎসাহিত কৰো৷ এই ৱেবচাইট সমূহ আপুনি আপোনাৰ নিজৰ ৰিস্ক আৰু বিপদত পৰা শংকাৰ ওপৰত ব্যৱহাৰ কৰিব৷ এয়া সুনিশ্চিত কৰিবলৈ প্ৰয়োজনীয় সাৱধানতা গ্ৰহণ কৰাটো সম্পূৰ্ণৰূপে আপোনাৰ ওপৰত যে আপুনি বাচি লোৱা লিংক বা কোনো চফ্টৱেৰ যাক আপুনি ডাউনলোড কৰে সি ভাইৰাছ, ৱৰ্ম, ট্ৰ’জান হৰ্ছ, ত্ৰুটি, ডেট বম্ব, টাইম বম্ব আৰু আন বা অন্যান্য কম্পিউটাৰ প্ৰগ্ৰামিং ৰুটিনৰ পৰা মুক্ত যি ধ্বংসাত্মক প্ৰকৃতিৰ৷"
"Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker. Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.",X. ভাৰতৰ বাহিৰৰ পৰা প্ৰৱেশাধিকাৰ
"XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE","চাইটটো ভাৰতত বাস কৰা লোকসকলৰ বাবে পৰিচালিত৷ আমি প্ৰতিনিধিত্ব নকৰো যে চাইটটোৰ জৰিয়তে বা চাইটটোত উপলব্ধ কন্টেন্ট সমূহ উপযুক্ত আৰু আন স্থানত উপলব্ধ৷ আমি যিকোনো সময়ত কোনো লোক বা ভৌগলিক অঞ্চললৈ চাইটটো বা চাইটটোত বিৱৰিত কোনো সেৱা বা প্ৰডাক্টৰ উপলব্ধতা সীমাৱদ্ধ কৰি তুলিব পাৰো৷ যদি আপুনি ভাৰতৰ বাহিৰৰ পৰা চাইটটোত প্ৰৱেশ কৰিবলৈ বিচাৰে, আপুনি নিজৰ ৰিস্কত এনে কৰিব পাৰে৷"
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India. These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.",XI. এই চৰ্তাৱলী সমূহৰ উলংঘন
XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS,"আমি চাইটটোৰ অ-অনুমোদিত ব্যৱহাৰকে ধৰি, এই চৰ্তাৱলী সমূহৰ যিকোনো উলংঘনৰ তদন্ত কৰিব পাৰো৷ আমি আপোনাৰ যিকোনো অনুসন্ধান বা অভিযোগ উত্থাপনত সহযোগ কৰিবলৈ আপোনাৰ লেনদেনৰে সম্পৰ্কিত আপুনি আমাক যোগান ধৰা তথ্যৰ সৈতে আইনী বলৱৎকৰণ আগবঢ়াব পাৰো৷ আমি আইনী ব্যৱস্থা গ্ৰহণ কৰিব পাৰো যাক আমি উপযুক্ত বুলি অনুভৱ কৰো৷ যদি আমি নিৰ্ধাৰণ কৰো যে আপুনি কোনো আন কাৰণৰ বাবে বা কোনো কাৰণ অবিহনে এই আইনগত চৰ্তাৱলী সমূহ উলংঘন কৰিছে, আমি আপোনাৰ একাউন্ট ব্ললক কৰিব পাৰো আৰু যিকোনো সময়য়ত আপোনাক জাননী নিদিয়াকৈ চাইটটোত প্ৰৱেশ কৰাৰ পৰা আপোনাক বিৰত কৰিব পাৰো৷"
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party. Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",XII. পুনৰ বিতৰণ
XV. INDEMNITY AND LIMITATION OF LIABILITY,"কৰ্তৃত্বপ্ৰাপ্ত সংস্থা সমূহে কোনো তথ্য পুনৰ বিতৰণ কৰিব নোৱাৰে যাক তেওঁলোকে API/ কোড-বিহীন ৱেবপেজ ইন্টিগ্ৰেচনৰ জৰিয়তে লাভ কৰিবলৈ সক্ষম হয় আৰু নিশ্চিত কৰিব যে এনে সকলোবোৰ তথ্যৰ চামিলকৰণ পোষণ ট্ৰেকাৰৰ দ্বাৰা আগবঢ়োৱা নিৰ্দিষ্ট সেৱা সমূহৰ প্ৰতি বাধ্যতামূলকভাৱে সীমাৱদ্ধ৷ কোনো পৰিস্থিতিতে, এটা সংস্থাই ইয়াত উল্লেখিত কাৰণ আৰু চৰকাৰৰ অনুমোদনৰ বাহিৰে চৰকাৰৰ পোষণ অভিযানৰ এটা অংশ হিচাপপে সংগ্ৰহ কৰা তথ্য সমূহ ব্যৱহাৰ কৰিব নোৱাৰে৷"
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:","XIII. আইন, তৃতীয় পক্ষৰ অধিকাৰ, আৰু সেৱাৰ আন চৰ্তাৱলী সমূহৰ সৈতে সন্মতি"
Your use of and access to the Site and Service;,"কৰ্তৃত্বপ্ৰাপ্ত সংস্থা সমূহে ভাৰত চৰকাৰৰ দ্বাৰা প্ৰতিষ্ঠিত সকলো প্ৰযোজ্য আইন, বিধি, নীতি আৰু তৃতীয়য় পক্ষৰ অধিকাৰৰ (ডাটা বা চফ্টৱেৰৰ আমদানি বা ৰপ্তানি, গোপনীয়তা, আৰু স্থানীয় আইনৰ সন্দৰ্ভত কোনো আইন, অন্তৰ্ভুক্ত কৰি আৰু সীমাৱদ্ধতা অবিিহনে) সৈতে সন্মতি প্ৰকাশ কৰে৷ এই সংস্থা সমূহে পোষণ ট্ৰেকাৰৰ সৈতে এই চৰ্তাৱলী সমূহক অন্তৰ্ভুক্ত কৰি বেআইনী কাৰ্যকলাপৰ প্ৰচাৰ বা তৃতীয় পক্ষৰ অধিকাৰৰ উলংঘনক উৎসাহিত কৰিবলৈ বা পৃষ্ঠপোষকতা কৰিবলৈ API/ কোড-বিহীন ৱেবপেজ ইন্টিগ্ৰেচনৰ ব্যৱহাৰ নকৰে৷"
Your violation of any term of this Agreement;,XIV. তৃতীয় পক্ষৰ চিষ্টেমৰ দ্বাৰা যোগান ধৰা ডাটাৰ শুদ্ধতা
"Your violation of any third party right, including without limitation, any copyright, property, or privacy right; or","ASP সমূহে পোষণ ট্ৰেকাৰৰ পৰা সংগ্ৰহ কৰা আৰু ব্যৱহাৰকসৰীসকলক প্ৰদৰ্শন কৰা ডাটা সমূহ সম্পূৰ্ণৰূপে এনে ডাটাৰ শুদ্ধতাৰ বাবে দায়বদ্ধ আৰু কোনো ডাটাৰ পৰা উদ্ভৱ হোৱা কোনো দায়বদ্ধতা, সম্পূৰ্ণ ৰূপে এনে তৃতীয় পক্ষৰ ওপৰত ন্যস্ত থাকে৷ কোনো অশুদ্ধ ডাটাৰ পৰা উদ্ভৱ হোৱা সামাজিক বা অপৰাধমূলক যিকোনো দায়বদ্ধতা, সম্পূৰ্ণৰূপে সংশ্লিষ্ট ASP ৰ সৈতে ন্যস্ত হ’ব৷"
Any claim that your User Content caused damage to a third party. This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,XV. ক্ষতিপূৰণ আৰু দায়বদ্ধতাৰ সীমাবদ্ধতা
XVI. JURISDICTION,"আপুনি পোষণ ট্ৰেকাৰ আৰু ইয়াৰ শাখা সমূহ, ইয়াৰ বিষয়া সকল, সঞ্চালক, কৰ্মচাৰী আৰু এজেন্টক, যিকোনো আৰু সকলো ধৰণৰ অধিকাৰ দাবী, ক্ষতি, আইনগত বাধ্যবাধকতা, লোকচান, দায়বদ্ধতা, ব্যয় বা ঋণ, আৰু খৰছৰ ৰক্ষা, ক্ষতি পূৰণ আৰু ক্ষতি নোহোৱাকৈ ধাৰণ কৰিবলৈ সন্মত হৈছে খি তলত দিয়া সমূহৰ পৰা উদ্ভৱ হোৱা কোনো অভিযোগ বা তৃতীয় পক্ষৰ আইনী কাৰ্যব্যৱস্তাৰে সম্পৰ্কিত এটৰ্ণী ফীজ অন্তৰ্ভুক্ত কিন্তু তাতেই সীমাৱদ্ধ নহয়:"
Your use of the Site and any dispute arising out of such use of the Site is subject to the laws of India and place of jurisdiction shall be New Delhi.,চাইটটো আৰু সেৱা সমূহৰ আপোনাৰ ব্যৱহাৰ আৰু প্ৰৱেশাধিকাৰ;
Support,এই চুক্তিৰ কোনো চৰ্তৰ আপুনি কৰা উলংঘন;
 14408,"কোনো সীমাৱদ্ধতা, কোনো কপিৰাইট, সম্পত্তি, বা গোপনীয়তাৰ অধিকাৰ নথকাক অন্তৰ্ভুক্ত কৰি আপুনি কৰা যিকোনো তৃতীয় পক্ষৰ অধিকাৰৰ উলংঘন; বা"
 support-poshantrackr@gov.in,কোনো দাৱী যে আপোনাৰ ব্যৱহাৰকাৰীৰ কন্টেন্টে এটা তৃতীয় পক্ষৰ ক্ষতি কৰিছে৷ এই প্ৰতিৰক্ষা আৰু ক্ষতিপূৰণৰ বাধ্যবাধকতাই এই চুক্তি আৰু সেৱা আৰু ৱেবচাইট/ এপৰ আপোনাৰ ব্যৱহাৰ অক্ষুন্ন ৰাখিব৷
Download Mobile App,XVI. আইনপ্ৰদত্ত ক্ষমতা
Powered By,আপুনি কৰা চাইটটোৰ ব্যৱহাৰ আৰু চাইটটোৰ এনে বয়ৱহাৰৰ পৰা উদ্ভৱ হোৱা কোনো বিবাদ ভাৰতীয় আইনৰ অনুমোদন সাপেক্ষ আৰু এক্তিয়াৰৰ স্থান নতুন দিল্লী হ’ব৷
About,পৃষ্ঠপোষকতা
Resources, 14408
Dashboard, support-poshantrackr@gov.in
Helpdesk,মোবাইল এপ ডাউনলোড কৰক
FAQ,Powered By
Poshan Calculator,ইয়াৰ বিষয়ে
Terms of Service,সমল
Privacy Policy,ডেশ্ববৰ্ড
Careers,হেল্পডেস্ক
Copyright@2023  Poshan Tracker. All rights reserved,সঘনাই সোধা প্ৰশ্ন সমূহ
 You need to enable JavaScript to run this app.,পোষণ কেলকুলেটৰ
Poshan Helpline:,Terms of Service
14408,Privacy Policy
JanAndolan,কেৰিয়াৰ
ABHA (Health ID),Copyright@2023  Poshan Tracker. All rights reserved
Language, You need to enable JavaScript to run this app.
English,Poshan Helpline:
हिंदी,14408
ગુજરાતી,JanAndolan
મરાઠી,ABHA (হেল্থ আইডি)
ಕನ್ನಡ,ল্যাঙ্গুয়েজে
മലയാളം,English
தமிழ்,हिंदी
తెలుగు,ગુજરાતી
বাংলা,મરાઠી
অসমীয়া,ಕನ್ನಡ
ਪੰਜਾਬੀ,മലയാളം
ଓଡ଼ିଆ,தமிழ்
नेपाली,తెలుగు
डोगरी,বাংলা
कोंकणी,অসমীয়া
सिंधी,ਪੰਜਾਬੀ
बोडो,ଓଡ଼ିଆ
मैथिली,नेपाली
মণিপুরী,डोगरी
संथाली,कोंकणी
اردو,सिंधी
کٲشُر,बोडो
About,मैथिली
Resources,মণিপুরী
Resources,संथाली
Vaccination Schedule,اردو
Dashboard,کٲشُر
Dashboard,ইয়াৰ বিষয়ে
Mission Utkarsh,সমল
Helpdesk,সমল
Beneficiary Redressal,টিকাকৰণৰ সূচী
State Helpdesk,ডেশ্ববৰ্ড
FAQ,ডেশ্ববৰ্ড
Poshan Calculator,Mission Utkarsh
Login,হেল্পডেস্ক
Privacy Policy,হিতাধিকাৰীৰ প্ৰতিবিধান
20 December 2021,ৰাজ্যিক হেল্পডেস্ক
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.",সঘনাই সোধা প্ৰশ্ন সমূহ
"Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign. References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”",পোষণ কেলকুলেটৰ
"Our Privacy Policy applies when you use our Services (described below). This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared. The collecting and retaining agency in respect of your information is MWCD.",লগইন কৰক
"We are committed to protecting the security of your personal information and safeguarding your privacy. Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.",গোপনীয়তাৰ নীতি
This Privacy Policy is required to be read in conjunction with the Terms of Service available at ,20 ডিচেম্বৰ 2021
https://poshantracker.in,"পোষণ অভিযান হৈছে উত্তৰণ ঘটা প্ৰযুক্তি, এটা লক্ষ্য কৰি লোৱা প্ৰয়াস আৰু ওচৰ চপাৰ প্ৰচেষ্টাৰ দ্বাৰা শিশু, কিশোৰ-কিশোৰী, গৰ্ভৱতী মহিলা আৰু দুগ্ধপান কৰোৱা মহিলা সকলৰ বাবে পুষ্টিগত পৰিণাম উন্নত কৰিবলৈ ভাৰতৰ প্ৰধান কাৰ্যসূচী৷"
". Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service. By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.","পোষণ ট্ৰেকাৰ পৰ্টেল বা এপ মহিলা আৰু শিশু বিকাশ মন্ত্ৰালয়, ভাৰত চৰকাৰৰ দ্বাৰা পৰিচালিত হয়, অতঃপৰ যাক “MWCD”, “আমাৰ”, “আমাক”, “আমি” হিচাপে উল্লেখ কৰা হৈছে য’ত প্ৰগ্ৰাম/কেম্পেইনটোৰ আন বিভাগ আৰু খণ্ড সমূহৰ এটা উল্লেখ অন্তৰ্ভুক্ত থাকিব৷ এই আঁচনিত পোষণ ট্ৰেকাৰ পৰ্টেল বা এপৰ উল্লেখত পোষণ ট্ৰেকাৰ বা আন কোনো এপ বা পৰ্টেল অন্তৰ্ভুক্ত থাকিব যি API/ সম্পৰ্কিত চাইট, এপ, যোগাযোগ আৰু সেৱা সমূহৰ (“সেৱা সমূহ“) জৰিয়তে একত্ৰীকৃত হয় অতঃপৰ সামগ্ৰিকভাৱে “পোষণ ট্ৰেকাৰ বা চিষ্টেম“ হিচাপে উল্লেখ কৰা হৈছে৷"
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,"যেতিয়া আপুনি আমাৰ সেৱা সমূহ ব্যৱহাৰ কৰে আমাৰ গোপনীয়তাৰ নীতি প্ৰয়োগ হয় (তলত ব্যাখ্যা কৰা হৈছে)। এই গোপনীয়তাৰ নীতি আমি কি তথ্য সংগ্ৰহ কৰো, ইয়াক কিয় সংগ্ৰহ কৰো, আৰু ইয়াক কেনেদৰে ব্যৱহাৰ কৰা হয় আৰু ভাগ-বতৰা কৰা হয় সেই বিষয়ে আপুনি বুজাত সহায় কৰাৰ উদ্দেশ্যে ৰচিত হৈছে৷ আপোনাৰ তথ্যৰ বিষয়ে সংগ্ৰহকাৰী আৰু ধাৰণকাৰী এজেঞ্চী হৈছে MWCD৷"
1. INFORMATION WE COLLECT,"আমি আপোনাৰ ব্যক্তিগত তথ্যৰ নিৰাপত্তাক সুৰক্ষিত কৰাৰ আৰু আপোনাৰ গোপনীয়তাক সুৰক্ষিত কৰি ৰাখিবলৈ দায়বদ্ধ৷ চিষ্টেমটোত সংগৃহীত আৰু প্ৰক্ৰিয়াৰত যিকোনো তথ্য বা ডাটা তথ্য প্ৰযুক্তি আইন, 2000 ৰ সুবিধা অনুযায়ী ব্যক্তিগত তথ্যৰ সংগ্ৰহ আৰু প্ৰক্ৰিয়াকৰণেৰে সম্পৰ্কিত ইয়াৰ নীতি আৰু আন ৰাষ্ট্ৰীয় আৰু ৰাজ্যিক আইনেৰে পঢ়া হয়৷"
1.1. Information you provide to us.,গোপনীয়তাৰ নীতি সমূহ 
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account. This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) Address",https://poshantracker.in
"If you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature. You may, however, choose not to share personal data where providing the data is optional."," ত উপলব্ধ সেৱাৰ চৰ্তাৱলী সমূহৰ সৈতে সংযোগ কৰি পঢ়িব লাগে৷ এই গোপনীয়তাৰ নীতি আৰু সেৱাৰ চৰ্তাৱলী সমূহ আপুনি গ্ৰহণ কৰাৰ ওপৰত চিষ্টেমটোত আপোনাৰ প্ৰৱেশাধিকাৰ আৰু ব্যৱহাৰ চৰ্তসাপেক্ষ৷ চিষ্টেমটোৰ প্ৰৱেশাধিকাৰ লাভ আৰু/ বা ব্যৱহাৰৰ দ্বাৰা, আপুনি উপস্থাপন কৰিছে যে আপুনি সেৱাৰ চৰ্তাৱলী সমূহ আৰু এই গোপনীয়তাৰ নীতি সমূহ পঢ়িছে, বুজিছে আৰু চুক্তিবদ্ধ হৈছে, আৰু এই গোপনীয়তাৰ নীতিত থকা অনুসৰি সংগ্ৰহ, জমা আৰু ব্যৱহাৰ কৰা আপোনাৰ তথ্য আৰু ডাটাৰ প্ৰতি আপুনি সন্মত৷"
1.2. Information from use of services.,আপুনি এনেদৰে মানি লৈছে যে এই গোপনীয়তাৰ নীতিৰ দফা 1 ত ব্যাখ্যা কৰা হিচাপে আপোনাৰ তথ্য সমূহৰ সংগ্ৰহ এই গোপনীয়তাৰ নীতিৰ দফা 2 আৰু 3 ত উল্লেখ কৰা উদ্দেশ্য সমূহ পূৰ কৰাৰ বাবে প্ৰয়োজনীয়৷
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.",1. আমি সংগ্ৰহ কৰা তথ্য
"We may use various technologies to collect and store information, including cookies, local storage, such as browser web storage or application data caches, databases, and server logs to collect and use your information in certain cases.",1.1. আপুনি আমাক যোগান ধৰা তথ্য৷
1.3. Information from third parties.,"যেতিয়া আপুনি এটা একাউন্টৰ বাবে চাইন আপ কৰে তাক ধৰি লৈ, আপুনি আমাৰ সেৱা সমূহ ব্যৱহাৰ কৰোতে যোগান ধৰা কন্টেন্ট আৰু আন তথ্য সমূহ আমি সংগ্ৰহ কৰো৷ ইয়াত অন্তৰ্ভুক্ত থাকিব পাৰে - (i) নাম (ii) মোবাইল নম্বৰ (iii) জন্মৰ তাৰিখ (iv)লিংগ (v) শিশুৰ নাম (vi) আধাৰ নম্বৰ (vii) ঠিকনা"
"Our System provides API to Third – Party Sites that may collect your personal information. Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites. Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites. These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to. This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites. We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information. You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.","যদি আপুনি তথ্য প্ৰদান কৰিবলৈ বাচি নলয় যিটো আপোানক এটা প্ৰডাক্ট বা বৈশিষ্ট্য আগবঢ়াবলৈ প্ৰয়োজনীয়, আপুনি সেই প্ৰডাক্ট বা বৈশিষ্ট্যটো ব্যৱহাৰ কৰিব নোৱাৰে৷ আপুনি হয়তো, যেনেকৈয়ে নহওক, বয়ক্তিগত তথ্য শ্বেয়াৰ নকৰিবলৈ বাচি ললব পাৰে য’ত তথ্য প্ৰদান কৰা বৈকল্পিক হয়৷"
2. HOW WE USE PERSONAL INFORMATION,1.2. সেৱা সমূহৰ ব্যৱহাৰৰ পৰা তথ্য।
We use the information we collect from all our services for the following purposes:,"আমি ব্যৱহাৰ কৰা ডাটা লগ কৰো যেতিয়া আপুনি আমাৰ চাইট, এপ আৰু প্লেটফৰ্ম প্ৰযুক্তিকে আমাৰ সেৱা সমূহ ভিজিট কৰে বা ব্যৱহাৰ কৰে৷"
2.1. Deliver our services.,"আমি হয়তো কুকিজ, ব্ৰাউজাৰ ৱেব ষ্ট’ৰেজ আৰু এপ্লিকেচন ডাটা কেছে, ডাটাবেছ আৰু কিছুমান নিৰ্দিষ্ট ক্ষেত্ৰত আপোনাৰ তথ্য সংগ্ৰহ আৰু ব্যৱহাৰ কৰিবলৈ চাৰভাৰ ল’গৰ দৰে লকেল ষ্ট’ৰেজকে ধৰি তথ্য সংগ্ৰহ আৰু জমা ৰাখিবলৈ বিভিন্ন প্ৰযুক্তি ব্যৱহাৰ কৰিব পাৰো৷"
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",1.3. তৃতীয় পক্ষৰ পৰা তথ্য।
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","আমাৰ চিষ্টেমে তৃতীয় পক্ষৰ চাইট সমূহলৈ API আগবঢ়ায় যি আপোনাৰ ব্যক্তিগত তথ্য সংগ্ৰহ কৰিব পাৰে৷ পোষণ ট্ৰেকাৰ ককোনো পধ্যেই সেই তৃতীয় - পক্ষৰ চাইট সমূহৰ এনে তথ্য বা সেইবোৰৰ গোপনীয়তাৰ অনুশীলন বা কন্টেন্টৰ সুৰক্ষাৰ বাবে দায়বদ্ধ নহয়৷ ইয়াৰ উপৰিও, আপুনি হয়তো কিছুমান নিৰ্দিষ্‌ট তৃতীয় - পক্ষৰ চাইটৰ পেজত “কুকিজ“ বা আন একেধৰণৰ ডিভাইচৰ সন্মুখীন হ’ব পাৰে আৰু ই সেয়েহে পোষণ ট্ৰেকাৰৰ দ্বাৰা স্পষ্ট কৰি দিয়া হৈছে যে চিষ্টেমটোৱে এই তৃতীয় - পক্ষৰ চাইট সমূহৰ দ্বাৰা হোৱা কুকিজৰ ব্যৱহাৰ নিয়ন্ত্ৰণ নকৰে৷ এই তৃতীয় পক্ষ সেচা প্ৰদানকাৰী আৰু তৃতীয় পক্ষৰ চাইট সমূহে হয়তো ষ্ট’ৰেজৰ পৰিচালনা আৰু আপোনাৰ তথ্য সমূহ ধাৰণ কৰিবলৈ সেইবোৰৰ নিজা গোপনীয়তাৰ নীতি থাকে যাৰ আপুনি অধীন হ’ব পাৰে৷ এই তৃতীয়-পক্ষ প্ৰদানকাৰী আৰু তৃতীয় পক্ষ চাইট সমূহৰ দ্বাৰা যোগান ধৰা, জমা কৰা, বা ব্যৱহাৰ কৰা যিকোনো তথ্য এই গোপনীয়তাৰ নীতিয়ে পৰিচালিত নকৰে৷ আমি পৰামৰ্শ দিও যে যেতিয়া আপুনি এটা তৃতীয় পক্ষৰ চাইটত প্ৰৱেশ কৰে, আপুনি তৰতীীয় পক্ষৰ চাইটৰ পুনৰীক্ষণ কৰক জিহেতু ই আপোনাৰ তথ্যৰ সুৰক্ষাৰে সম্পৰ্কিত৷ আপুনি সন্মত আৰু স্বীকৃতি প্ৰদান কৰিছে যে চাৰ্ছ ৰিজাল্ট বা কোনো তৃতীয়-পক্ষৰ চাইটৰ দ্বাৰা প্ৰকাশ কৰা তথ্যৰ বাবে পোষণ ট্ৰেকাৰ দায়বদ্ধ নহয়৷"
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database. These can also be used to assess the health status as recorded in the Poshan Tracker system.",2. আমি কেনেদৰেব্যক্তিগত তথ্য ব্যৱহাৰ কৰো
2.2. Communicate with you.,আমি তলত দিয়া উদ্দেশ্য সমূহৰ বাবে আমাৰ সকলোবোৰ সেৱাৰ পৰা আমি সংগ্ৰহ কৰা তত্য ব্যৱহাৰ কৰো:
"We also send SMSs on your registered mobile number to alert you about registration, we also use your information to respond to you when you contact us and to investigate, respond to and resolve complaints and for Service issues (e.g. bugs).",2.1. আমাৰ সেৱাসমূহ আগবঢ়োৱা।
2.3. Verification.,"দফা 1 ৰ অধীনত সংগ্ৰহ কৰা তথ্য সমূহ, হিতাধিকাৰী সকলৰ স্বাস্থ্য সুচল কৰি তোলাৰ উদ্দেশ্যে ব্যৱহাৰ কৰা হ’ব৷"
"We use the information we have, to help verify accounts. The records may be used for verification of health status for the purposes of Poshan Tracker control and response.","আমি আমাৰ প্ৰডাক্ট সমূহ যোগান ধৰো, য’ত চিষ্টেমটোৰ তথ্য/ডাটা/মেটেৰিয়েল আৰু কন্টেন্ট সমূহ আপডেট, সুৰক্ষিত, আৰু ট্ৰাবুলশ্বুট কৰাৰ লগতে সহযোগিতা আগবঢ়োৱাও অন্তৰ্ভুক্ত থাকে৷"
