en,kok
हिंदी,भास
ગુજરાતી,English
મરાઠી,हिंदी
ಕನ್ನಡ,ગુજરાતી
മലയാളം,મરાઠી
தமிழ்,ಕನ್ನಡ
తెలుగు,മലയാളം
বাংলা,தமிழ்
অসমীয়া,తెలుగు
ਪੰਜਾਬੀ,বাংলা
ଓଡ଼ିଆ,অসমীয়া
नेपाली,ਪੰਜਾਬੀ
डोगरी,ଓଡ଼ିଆ
कोंकणी,नेपाली
सिंधी,डोगरी
बोडो,कोंकणी
मैथिली,सिंधी
মণিপুরী,बोडो
संथाली,मैथिली
اردو,মণিপুরী
کٲشُر,संथाली
About,اردو
Resources,کٲشُر
Resources,ताचे विशीं
Vaccination Schedule,संसाधन
Dashboard,संसाधन
Dashboard,लसीकरण वेळापत्रक
Mission Utkarsh,डॅशबोर्ड
Helpdesk,डॅशबोर्ड
Beneficiary Redressal,Mission Utkarsh
State Helpdesk,मदत डेस्क
FAQ,लाभार्थी निवारण
Poshan Calculator,राज्या आदारकक्ष
Login,परतून परतून विचारिल्ले प्रस्न
Privacy Policy,पोशण कॅल्क्यूटर
20 December 2021,लॉग ईन
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.",गुप्तताय धोरण
"Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign. References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”",20 डिसेंबर 2021
"Our Privacy Policy applies when you use our Services (described below). This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared. The collecting and retaining agency in respect of your information is MWCD.","तंत्रगिन्यानाचो फायदो घेवन भुरगीं, किशोरवयीन, गुरवार बायलां आनी दुदाक धरपी आवयो खातीर पोशण परिणाम सुदारपा खातीर भारताचो मुखेल कार्यक्रम म्हळ्यार पोशण अभियान."
"We are committed to protecting the security of your personal information and safeguarding your privacy. Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.","पोशान ट्रॅकर पोर्टल वा अॅप बायल आनी भुरगीं उदरगत मंत्रालय, भारत सरकार, हाचे फुडें “MWCD”, “आमचो”, “आमकां”, “आमी” अशें म्हण्टात, तातूंत कार्यावळ/मोहिमेची हेर खात्यांचो आनी विभागांचो संदर्भ आसपावीत आसतलो . ह्या धोरणांतल्या पोशण ट्रॅकर पोर्टल वा ऍप्लिकेशनाच्या संदर्भांत पोशण ट्रॅकर वा हेर खंयचेय ऍप्लिकेशनां वा पोर्टल आसपावीत आसात जे APIs / संबंदीत सायट, ऍप्लिकेशनां, संचारण आनी सेवा (“सेवा”) वरवीं पोशण ट्रॅकरा कडेन एकत्रीत केल्ले आसा जें फुडें सामुहीकपणान “पोशण ट्रॅकर वा प्रणाली"" म्हूण वळखतले."
This Privacy Policy is required to be read in conjunction with the Terms of Service available at ,"तुमी आमच्यो सेवा वापरतात तेन्ना आमचें गुप्तताय धोरण लागू जाता (सकयल वर्णीत केलां). आमी खंयची म्हायती एकठांय करतात, ती कित्याक एकठांय करतात, आनी ती कशी वापरतात आनी वांटतात तें समजून घेवपाक तुमकां मदत करपाक हें गुप्तताय धोरण आसा. MWCD ही तुमच्या म्हायती संबंदी एकठांय करपी आनी सांबाळपी एजन्सी."
https://poshantracker.in,"तुमची वैयक्तीक म्हायतीचे सुरक्षेची राखण करपाक आनी तुमची गुप्तताय राखपाक आमी वचनबद्ध आसात. प्रणालीचेर एकठांय केल्ली आनी प्रक्रिया केल्ली खंयचीय म्हायती वा डेटा म्हायती तंत्रज्ञान कायदो, 2000 च्या तरतुदीं प्रमाण केल्या आनी ताचे नेम आनी वैयक्तीक डेटा एकठांय करप आनी प्रक्रिया करपा संबंदीत हेर राष्ट्रीय आनी राज्य कायद्यां वांगडा आसा."
". Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service. By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.",हें गुप्तताय धोरण 
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,https://poshantracker.in
1. INFORMATION WE COLLECT," हांगा उपलब्ध आशिल्ल्या सेवा अटीं वांगडा वाचपाची गरज आसा. तुमचो प्रणालींत प्रवेश आनी वापर तुमी हें गुप्तताय धोरण आनी सेवा अटी मान्य केल्ल्याचे अटीचेर अवलंबून आसा. प्रणाली ऍक्सॅस करून आनी/वा वापरून, तुमी सेवा अटी आनी हें गुप्तताय धोरण वाचलां, समजलां आनी ताचे विशीं बंधनकारक आसात, आनी तुमची म्हायती आनी डेटा एकठांय करपाक, सांठोवन दवरपाक आनी गुप्तताय धोरणांत मांडिल्ल्या पद्दतीन वापरपाक तुमी संमती दितात अशें तुमी प्रतिनिधीत्व करतात."
1.1. Information you provide to us.,ह्या गुप्तताय धोरणाच्या अट 1 त वर्णीत केल्ल्या प्रमाण तुमची म्हायती एकठांय करप ह्या गुप्तताय धोरणाच्या अट 2 आनी 3 त स्पश्ट केल्ले उद्देश पुराय करपाक गरजेचें आसा हें तुमी मान्य करतात.
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account. This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) Address",1. आमी एकठांय करतात ती म्हायती
"If you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature. You may, however, choose not to share personal data where providing the data is optional.",1.1. तुमी आमकां दितात ती म्हायती.
1.2. Information from use of services.,तुमी सायन अप करतना तशेंच तुमी आमची सेवा वापरतात तेन्ना तुमी दिल्ली सामुग्री आनी हेर म्हायती आमी एकठांय करतात. हातूंत आस्पाव जावं येता- (i) नांव (ii) मोबायल क्रमांक (iii) जल्म तारीख (iv)लिंग (v) भुरग्याचें नांव (vi) आधार क्रमांक (vii) पत्तो
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","तुमकां उत्पादन वा वैशिश्ट्य पुरवण करपाक जाय आशिल्लो डेटा पुरवण करूंक ना अशें तुमी निवडल्यार, तुमी तें उत्पादन वा वैशिश्ट्य वापरूंक शकना. पूण, जंय डेटा पुरवण करप पर्याय आसा थंय तुमी वैयक्तीक डेटा वांटचो न्हय अशें निवडूंक शकतात."
"We may use various technologies to collect and store information, including cookies, local storage, such as browser web storage or application data caches, databases, and server logs to collect and use your information in certain cases.",1.2. सेवांच्या वापरा वयल्यान म्हायती.
1.3. Information from third parties.,"तुमी आमच्या सेवांक भेट दितना वा हेर तरेन वापरतात तेन्ना आमी वापर डेटा लॉग करतात, तातूंत आमचीं सायटी, ऍप्लिकेशन आनी प्लॅटफॉर्म तंत्रज्ञान आसपावीत आसा."
"Our System provides API to Third – Party Sites that may collect your personal information. Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites. Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites. These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to. This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites. We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information. You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.","आमी म्हायती एकठांय करपाक आनी सांठोवंक वेगवेगळीं तंत्रज्ञानां वापरूं येतात, तातूंत कुकीज, थळावो साठवण, जशे की ब्रावजर वॅब सांठवण वा ऍप्लिकेशन डेटा कॅशे, डेटाबेस, आनी सर्वर लॉग कांय प्रकरणांनी तुमची म्हायती एकठांय करपाक आनी वापरपाक."
2. HOW WE USE PERSONAL INFORMATION,1.3. तिसऱ्या पक्षांची म्हायती.
We use the information we collect from all our services for the following purposes:,"आमची प्रणाली तिसऱ्या – पक्षाच्या सायटींक API पुरवण करता जी तुमची वैयक्तीक म्हायती एकठांय करूंक शकता. अशे म्हायतीची वा तांच्या गुप्तताय पद्दतींक वा त्या तिसऱ्या – पक्षाच्या सायटींच्या आशयाक सुरक्षे खातीर पोशण ट्रॅकर खंयच्याच प्रकारान जापसालदार ना. ते भायर, तुमकां तिसऱ्या – पक्षाच्या सायटींच्या कांय पानांचेर “कुकीज” वा हेर तत्सम साधनांय मेळूं येतात आनी पोशण ट्रॅकर कडल्यान हाचे वरवीं स्पश्ट केलां की प्रणाली ह्या तिसऱ्या – पक्ष सायटींच्या कुकीज वापराचेर नियंत्रण दवरना. ह्या तिसऱ्या पक्षाच्या सेवा पुरवणदारांक आनी तिसऱ्या पक्षाच्या सायटींक तुमची म्हायती सांठोवप आनी तिगोवन दवरपाचेर नियंत्रण दवरपी तांचीं स्वताचीं गुप्तताय धोरणां आसूं येतात जीं तुमकां अधीन आसूं येतात. ह्या गुप्तताय धोरण ह्या तिसऱ्या-पा कडेन पुरवण केल्ली, सांठयल्ली वा वापरिल्ली खंयचीय म्हायती नियंत्रीत करिना आमी शिफारस करतात की जेन्ना तुमी तिसऱ्या पक्षाच्या सायटींत प्रवेश करतात, तेन्ना तुमी तिसऱ्या पक्षाच्या सायटीच्या गुप्तताय धोरणाचें पुनरावलोकन करचें कारण तें तुमची म्हायती सुरक्षीत दवरपा कडेन संबंदीत आसा. सोद परिणामांत वा खंयच्याय तिसऱ्या पक्षाच्या सायटींतल्यान प्रकाशीत केल्ल्या म्हायती खातीर पोशण ट्रॅकर जापसालदार आसचो ना हें तुमी मान्य करतात आनी मान्य करतात."
2.1. Deliver our services.,2. आमी वैयक्तीक म्हायती कशी वापरतात
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",आमी आमच्या सगळ्या सेवां कडल्यान एकठांय केल्ली म्हायती आमी सकयल दिल्ल्या उद्देशां खातीर वापरतात:
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.",2.1. आमची सेवा दिवची.
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database. These can also be used to assess the health status as recorded in the Poshan Tracker system.","अट 1 खाला एकठांय केल्ली म्हायती, लावार्थ्यांची भलायकी सुलभ करपाच्या उद्देशान वापरतले."
2.2. Communicate with you.,"आमी आमचीं उत्पादां पुरवण करतात, जातूंत प्रणालीची म्हायती/डेटा/ साहित्य आनी आशय अद्ययावत करप, सुरक्षीत करप, आनी समस्या निवारण करप, तशेंच आदार दिवप हांचो आस्पाव जाता."
"We also send SMSs on your registered mobile number to alert you about registration, we also use your information to respond to you when you contact us and to investigate, respond to and resolve complaints and for Service issues (e.g. bugs).","जेन्ना तुमी पोशान ट्रॅकराचेर नोंदणी करतात, तेन्ना तुमी नोंदणी केल्लो मोबायल क्रमांक, डेटाबेसा वयल्यान तुमचो रेकॉर्ड सोदून काडपाक वापरतले. तशेंच पोशान ट्रॅकर प्रणालींत नोंद केल्ल्या प्रमाण भलायकेची स्थिती मोलावपा खातीर हांचो वापर करूं येता."
2.3. Verification.,2.2. तुमचे कडेन संवाद सादचो.
"We use the information we have, to help verify accounts. The records may be used for verification of health status for the purposes of Poshan Tracker control and response.","तशेंच आमी तुमकां नोंदणी विशीं सावधान करपाक तुमच्या नोंदणीकृत मोबायल क्रमांकाचेर SMS धाडटात, तुमी आमकां संपर्क करतना तुमकां प्रतिसाद दिवपाक आनी कागाळींची चवकशी करपाक, प्रतिसाद दिवपाक आनी सोडोवपाक आनी सेवा समस्यां खातीर (देखीक. बग) आमी तुमची म्हायती वापरतात."
2.4. Security and Audit.,2.3. सत्यापन करप.
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.","आमी आमचे कडेन आशिल्ली म्हायती वापरतात, खातीं सत्यापीत करपाक मदत करूंक. पोशान ट्रॅकर नियंत्रण आनी प्रतिसादाच्या उद्देशां खातीर भलायकी स्थिती सत्यापना खातीर नोंदी वापरूं येतात."
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system. The records may be used for such audits.",2.4. सुरक्षा आनी लेखापरीक्षण.
2.5. Research and operational activities.,"आमी तुमचो डेटा (तुमच्या संपर्क सयत) सुरक्षेच्या उद्देशां खातीर वा आमच्या सेवा अटींचें संभाव्य फटवणूक वा हेर उल्लंघन आनी/वा आमच्या वांगड्यांक, भेटीदारांक वा हेरांक हानी करपाचे यत्न आडावपाक वा चवकशी करपाक वापरतात."
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research. We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.","पोशण ट्रॅकर प्रणालीचें नेमान MWCD कडल्यान काम करपी लेखापरीक्षकांनी लेखापरीक्षण केल्लें आसता, प्रणालीची सुरक्षा आनी मापनक्षमताय खातीर. अशा लेखापरीक्षणां खातीर नोंदी वापरूं येतात."
2.6. Surveys and Feedbacks.,2.5. संशोधन आनी कार्यकारी कार्यावळी.
"The System also takes feedback about system performance and experience. Information on name, mobile number, date of registration and health status may be used for these purposes","आमी आमच्यो सेवा चलोवंकय डेटा वापरतात, जातूंत आमच्या कामगिरीचें विश्लेशण करप, आमचीं कायदेशीर बंधनां पुराय करप, आमच्या कामगारांची उदरगत करप, आनी संशोधन करप हांचो आस्पाव जाता. तशेंच प्रणालींत सुदारणा करपा खातीर आनी प्रणालीच्या पुरवणेक आकस्मीक वा सहाय्यक आशिल्ल्या सगळ्या कृत्यां खातीर आनी नवे तंत्रज्ञान आनी सेवा विकसीत करपा खातीर आनी पुरवण करपा खातीर आमी म्हायतीचो वापर करूंक शकतात."
3. SHARING OF INFORMATION,2.6. सर्वेक्षण आनी प्रतिसाद.
3.1. Tracking health progress.,"तशेंच प्रणाली प्रणाली कार्यक्षमताय आनी अणभव हांचे विशीं प्रतिसाद घेता. ह्या उद्देशां खातीर नांव, मोबायल क्रमांक, नोंदणीची तारीक आनी भलायकी स्थिती विशीं म्हायती वापरूं येता"
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,. Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.",3. म्हायती वांटप
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:",3.1. भलायकेची प्रगती पळोवप.
1. Required in order to comply with any applicable law or court order or direction; or,"वयर दिल्ल्या अट 1 खाला नोंदणी करतना तुमचे कडल्यान एकठांय केल्ली वैयक्तीक म्हायती, सुरक्षीतपणान सांठयतले आनी फकत भलायकी प्रगती आनी स्थिती पळोवपाच्या उद्देशान, अहवाल, उश्णताय नकाशे आनी हेर सांख्यिकी तयार करपाच्या उद्देशान भारत सरकार वा राज्य सरकार वापरतले देशांत पोशान ट्रॅकर वेवस्थापनाच्या उद्देशान व्हिज्युअलायझेशनां,. वयर दिल्ल्या अट 1 प्रमाणें तुमकां एसएमएस वरवीं संवाद सादपा खातीर तुमचो संदर्भ आयडी (मोबायल क्रमांक) फकत तुमच्या वैयक्तीक म्हायती कडेन सह-संबंदीत आसतलो."
"2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","तुमच्या संमती बगर आमी तुमची म्हायती हेर खंयच्याय तिसऱ्या पक्षाक उक्ती करिनात वा हस्तांतरीत करिनात, जो मेरेन अशें उक्तावण वा हस्तांतरण ना:"
3.2. Legal Disclosures.,1. खंयच्याय लागू आशिल्ल्या कायद्याक वा न्यायालयाच्या आदेशाक वा निर्देशांक पाळो दिवपा खातीर गरजेचें; वा
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","2. खंयच्याय गुन्यांव वा घडणुकांचेर वळख सत्यापन, आडावप, सोदून काडप, चवकशी, खटलो वा ख्यास्त दिवप ह्या हेर गजालीं सयत लागू आशिल्ल्या कायद्या प्रमाण खंयच्याय योग्य सरकारी एजन्सी कडल्यान विनंती केल्ली."
4. RETENTION,3.2. कायदेशीर उक्तावण.
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.","कायदेशीर विनंती, सबपोना, वा हेर कायदेशीर प्रक्रियाक जाप दितना वा (1) फटींगपण वा बेकायदेशीर कार्यावळी संबंदी चवकशी करपाक, आडावपाक वा कारवाय करपाक उक्तावण वाजवीपणान गरजेचें आसा असो आमकां बऱ्या विस्वासाचो समज आसल्यार आमी तुमची म्हायती ऍक्सॅस करूंक, सांबाळूंक आनी वांटूंक शकतात वा सरकारी अंमलबजावणी एजन्सींक मजत करप; (2) तुमचे कडेन आशिल्ले आमचे करार लागू करप; (3) खंयच्याय तिसऱ्या पक्षाच्या दाव्यांचो वा आरोपांची चवकशी करप आनी स्वताची राखण करप; (4) आमच्या सेवांची सुरक्षीतताय वा प्रामाणीकपणाची राखण करप (देखीक अशाच धोक्यांक तोंड दिवपी कंपनीं कडेन वांटून); वा (5) खंयच्याय व्यक्तीच्या हक्कांचो आनी सुरक्षेचो वापर करप वा संरक्षण करप."
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.",4. धारणशक्त
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","नोंदणी वेळार तुमचे कडल्यान अट 1 खाला एकठांय केल्ली सगळी वैयक्तीक म्हायती तुमचो रेकॉर्ड अस्तित्वांत उरता तो मेरेन आनी अट 2 खाला खंयचेय वैजकी वा प्रशासकीय हस्तक्षेप सुरू केल्यात जाल्यार, सकयल दिल्ल्या अट 4(b) प्रमाण, अशा खातीर तिगोवन दवरतले अशे हस्तक्षेप पुराय करपा खातीर गरजेचो आसता."
5. RIGHTS,"अट 1 खाला एकठांय केल्ली सगळी वैयक्तीक म्हायती ऍप्लिकेशन सर्वराचेर दवरतले, अशी म्हायती कार्यावळी खातीर नोंदणी केल्ल्या लोकां कडेन संबंदीत आशिल्ल्या मर्यादे मेरेन."
"As a registered user, you have the right to access your profile at any time. Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","पोशण ट्रॅकर च्या नोंदणीकृत वापरप्यांच्या वैयक्तीक डेटा वरवीं तयार केल्ल्या अनामिक, एकत्रीत डेटासेटांक वा अशा डेटासेट वापरून तयार केल्ल्या खंयच्याय अहवालांक, उश्णताय नकाशांक वा हेर व्हिज्युअलायजेशनाक हांगा दिल्लें कांयच लागू जावचें ना."
You cannot manage the communications that you receive from us or how you receive them.,5. हक्क
6. DATA SECURITY,"नोंदणीकृत वापरपी म्हूण, तुमकां खंयच्याय वेळार तुमच्या प्रोफायलांत प्रवेश करपाचो अधिकार आसा. जरी, बदल फकत पोशण ट्रॅकर प्रणालीन वेळावेळार सांगिल्ले प्रमाण करूं येतात."
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws. Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server. It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.",तुमकां आमचे कडल्यान मेळपी संपर्क वा तुमकां ते कशे मेळटात तें तुमी वेवस्थापन करूंक शकनात.
7. CHANGES TO PRIVACY POLICY,6. डेटा सुरक्षा
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes. Any changes or updates will be effective immediately. You should review this Privacy Policy regularly for changes.","लागू आशिल्ल्या कायद्यांक पाळो दिवन तुमची गुप्तताय आनी वैयक्तीक म्हायती लुकसाण, गैरवापर, अनधिकृत प्रवेश, उक्तावण, नश्ट, आनी म्हायती बदलपा पासून राखण करपा खातीर पोशण ट्रॅकर प्लॅटफॉर्मांत वाजवी सुरक्षा उपाय आनी सुरक्षा उपाय जाग्यार आसात. फुडें, जेन्ना तुमी तुमचें खातें प्रणालीचेर वा ताचे संबंदीत खंयचीय म्हायती बदलतात वा ऍक्सॅस करतात, तेन्ना आमी सुरक्षीत सर्वराचो वापर दितात. फुडें स्पश्ट केलां की तुमकां, जो मेरेन तुमी प्रणालींत प्रवेश करतात आनी/वा वापरतात (प्रत्यक्ष वा अप्रत्यक्षपणान), तुमी, सगळ्या वेळार, तुमच्या निमाणें, फावो ती भौतीक, वेवस्थापन, आनी तंत्रीक सुरक्षा उपाय घेवची हाची खात्री करपाचें बंधन आसा , तुमच्या डेटाची प्रामाणीकता आनी सुरक्षीतताय राखपाक जी तुमची वैयक्तीक म्हायती आसपावीत आसतली आनी ताचे पुरतेंच मर्यादीत ना."
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System. However, as a user of the System, you should regularly check the Privacy Policy for any changes. We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy. Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy. If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System. You hereby acknowledge that any collection, storage, processing or other use of your information shall be governed by the Privacy Policy as applicable at the time of such collection, storage, processing or other use.",7. गुप्तताय धोरणांत बदल
Support,"पोशण ट्रॅकर खंयच्याय वेळार ह्या गुप्तताय धोरणांतलो खंयचोय भाग बदलपाचो, बदलपाचो, जोडपाचो वा काडून उडोवपाचो बिनशर्त अधिकार राखून दवरता, अशे बदल तुमकां खासा कळयले बगर. खंयचेय बदल वा अद्ययावत रोखडेच प्रभावी जातले. बदलां खातीर तुमी ह्या गुप्तताय धोरणाचें नेमान नियाळ घेवचें."
 14408,"ह्या गुप्तताय धोरणांत खंयच्याय भौतिक बदलांची सादारणपणान सगळ्या वापरप्यांक कळोवपा खातीर आमी वेवसायीक वाजवी यत्न वापरतले, जशें प्रणालीचेर सुचोवणे वरवीं. पूण, प्रणालीचो वापरपी म्हूण, खंयच्याय बदला खातीर तुमी नेमान गुप्तताय धोरण तपासूंक जाय. आमी ह्या गुप्तताय धोरणाच्या वयल्या भागांतली “निमाणी अद्यावत” तारीकय अद्यावत करतले, जी ह्या गुप्तताय धोरणाची प्रभावी तारीक दाखयता. नव्या गुप्तताय धोरणाच्या तारखे उपरांत तुमचो प्रणालींत प्रवेश वा वापर चालू दवरप म्हणल्यार तुमी नव्या गुप्तताय धोरणाक मान्यताय दिल्या. तुमी नव्या गुप्तताय धोरणाक मान्यताय दिना जाल्यार, तुमी प्रणालींत प्रवेश करप आनी/वा वापरप बंद करूंक जाय. तुमी हाचे वरवीं मान्य करतात की तुमची म्हायती खंयचीय संग्रहण, सांठोवप, प्रक्रिया वा हेर वापर अशा संग्रहण, सांठवण, प्रक्रिया वा हेर वापराच्या वेळार लागू आशिल्ल्या गुप्तताय धोरणान नियंत्रीत करतले."
 support-poshantrackr@gov.in,तेंको
Download Mobile App, 14408
Powered By, support-poshantrackr@gov.in
About,मोबायल ऍप्लिकेशन डावनलोड करचें
Resources,Powered By
Dashboard,ताचे विशीं
Helpdesk,संसाधन
FAQ,डॅशबोर्ड
Poshan Calculator,मदत डेस्क
Terms of Service,परतून परतून विचारिल्ले प्रस्न
Privacy Policy,पोशण कॅल्क्यूटर
Careers,सेवा अटी
Copyright@2023  Poshan Tracker. All rights reserved,गुप्तताय धोरण
 You need to enable JavaScript to run this app.,करियर
Poshan Helpline:,Copyright@2023  Poshan Tracker. All rights reserved
14408, You need to enable JavaScript to run this app.
JanAndolan,Poshan Helpline:
ABHA (Health ID),14408
Language,JanAndolan
English,एभीएचए (हॅल्थ आय डी)
हिंदी,भास
ગુજરાતી,English
મરાઠી,हिंदी
ಕನ್ನಡ,ગુજરાતી
മലയാളം,મરાઠી
தமிழ்,ಕನ್ನಡ
తెలుగు,മലയാളം
বাংলা,தமிழ்
অসমীয়া,తెలుగు
ਪੰਜਾਬੀ,বাংলা
ଓଡ଼ିଆ,অসমীয়া
नेपाली,ਪੰਜਾਬੀ
डोगरी,ଓଡ଼ିଆ
कोंकणी,नेपाली
सिंधी,डोगरी
बोडो,कोंकणी
मैथिली,सिंधी
মণিপুরী,बोडो
संथाली,मैथिली
اردو,মণিপুরী
کٲشُر,संथाली
About,اردو
Resources,کٲشُر
Resources,ताचे विशीं
Vaccination Schedule,संसाधन
Dashboard,संसाधन
Dashboard,लसीकरण वेळापत्रक
Mission Utkarsh,डॅशबोर्ड
Helpdesk,डॅशबोर्ड
Beneficiary Redressal,Mission Utkarsh
State Helpdesk,मदत डेस्क
FAQ,लाभार्थी निवारण
Poshan Calculator,राज्या आदारकक्ष
Login,परतून परतून विचारिल्ले प्रस्न
Careers At Poshan Tracker,पोशण कॅल्क्यूटर
We believe in building doers. Poshan Tracker is a project of Ministry of Women and Child Development. Digital India Corporation is the technical partner of MoWCD. Poshan Tracker focuses on eradication of malnutrition from India. It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan.,लॉग ईन
Job openings,पोशण ट्रॅकराचेर करिअर
Support,आमी करून दाखोवपाचेर विस्वास दवरतात. पोशण ट्रॅकर हो बायलां आनी भुरग्यां उदरगत मंत्रालयाचो प्रकल्प आसा. डिजिटल इंडिया कॉर्पोरेशन हो MoWCD चो तांत्रिक भागीदार आसा. पोशण ट्रॅकर भारतांतल्यान कुपोशण निर्मूलन करूंक लक्ष केंद्रित करता. ते पोशण अभियानाखाला दितात त्या सेवेची देखरेख आनी सुदारणा करूंक वावुरता.
 14408,नोकरेची संद
 support-poshantrackr@gov.in,तेंको
Download Mobile App, 14408
Powered By, support-poshantrackr@gov.in
About,मोबायल ऍप्लिकेशन डावनलोड करचें
Resources,Powered By
Dashboard,ताचे विशीं
Helpdesk,संसाधन
FAQ,डॅशबोर्ड
Poshan Calculator,मदत डेस्क
Terms of Service,परतून परतून विचारिल्ले प्रस्न
Privacy Policy,पोशण कॅल्क्यूटर
Careers,सेवा अटी
Copyright@2023  Poshan Tracker. All rights reserved,गुप्तताय धोरण
 You need to enable JavaScript to run this app.,करियर
Poshan Helpline:,Copyright@2023  Poshan Tracker. All rights reserved
14408, You need to enable JavaScript to run this app.
JanAndolan,Poshan Helpline:
ABHA (Health ID),14408
