en,mni
ABHA (Health ID),XVI. জুরিসদিক্সন
Language,অদোম্না সাইৎ শীজিন্নবা অমসুং সাইৎ শীজিন্নবনা থোকহল্লকপা দিস্প্যুৎ মখল অমা হেক্তা অসি ভারতকী আইনগী মখা পোনগনি অঞসুং জুরিসদিক্সনফগী মফম অসি নই দিল্লী ওইগনি।
English,তেংবাং
हिंदी, 14408
ગુજરાતી, support-poshantrackr@gov.in
મરાઠી,মোবাইল এপ দাউনলোদ তৌ
ಕನ್ನಡ,Powered By
മലയാളം,মরমদা
தமிழ்,রিসোর্সশিং
తెలుగు,ড্যাশবোর্ড
বাংলা,হেল্পডেস্ক
অসমীয়া,এফ.এ.ক্যু.
ਪੰਜਾਬੀ,পোশন কেলক্যুলেতর
ଓଡ଼ିଆ,সর্ভিসকী কাংলোনশিং
नेपाली,প্রাইবেসী পোলিসী
डोगरी,কেরিয়রশিং
कोंकणी,Copyright@2023  Poshan Tracker. All rights reserved
सिंधी, You need to enable JavaScript to run this app.
बोडो,Poshan Helpline:
मैथिली,14408
মণিপুরী,JanAndolan
संथाली,এ.বি.ঐচ.এ. (হেল্থ আই.দি.)
اردو,লোন
کٲشُر,English
About,हिंदी
Resources,ગુજરાતી
Resources,મરાઠી
Vaccination Schedule,ಕನ್ನಡ
Dashboard,മലയാളം
Dashboard,தமிழ்
Mission Utkarsh,తెలుగు
Helpdesk,বাংলা
Beneficiary Redressal,অসমীয়া
State Helpdesk,ਪੰਜਾਬੀ
FAQ,ଓଡ଼ିଆ
Poshan Calculator,नेपाली
Login,डोगरी
Terms of Service,कोंकणी
Welcome! The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at ,सिंधी
https://poshantracker.in,बोडो
", and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).",मैथिली
I. OWNERSHIP,মণিপুরী
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.",संथाली
II. CONSENT,اردو
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms. By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.",کٲشُر
"If you do not agree with any part of these terms, do not use the site. You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.",মরমদা
III. NOTICE REGARDING FUTURE CHANGES TO TERMS:,রিসোর্সশিং
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes. Any changes or updates will be effective immediately. You take the responsibility to check these Terms of Use periodically for changes. Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.",রিসোর্সশিং
IV. ACCOUNT REGISTRATION,তিকা থাদোকপগী মতম
"You may browse the Site without registering for an account. You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.",ড্যাশবোর্ড
"By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.",ড্যাশবোর্ড
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure. Your registration or mobile number shall be kept confidential,Mission Utkarsh
You undertake that:,হেল্পডেস্ক
You have obtained consent from the concerned individuals for creating their records through your account.,বেনিফিসরী রিদ্রেসেল
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,রাজ্যগী হেল্পদেস্ক
You shall not use another user's account without their permission.,এফ.এ.ক্যু.
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach. If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.",পোশন কেলক্যুলেতর
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site",লগইন
V. ACCESS PERMISSIONS,প্রাইবেসী পোলিসী
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,"দিসেম্বর 20, 2021"
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","পোশন অভিয়ান অসি তেক্নোলোজী, তার্গেৎ তৌবা এপ্রোচ অমদি কনভর্জেন্স শীজিন্নদুনা অঙাংশিং, এদোলেস্সেন্তশিং, মীরোনবী নুপীশিং অমসুং খোমজিংলিবী মমাশিংগীদমক ন্যুত্রিস্নেল আউতকমশিং ফগৎহন্নবা ভারতকী ফ্লেগশিপ প্রোগ্রামনি।"
VI. ACCESS RESTRICTIONS,"পোশন ত্রেকর পোর্তেল নত্ত্রগা এপ অসি ভারত সরকারগী নুপী অমসুং অঙাংগী চাউখৎ-থৌরাং মন্ত্রালয়না ভর্ন তৌই, মসিগী মতুংদদি মসিবু “এম.দবল্যু.সি.দি.”, “ঐখোয়” হায়না শীজিন্নগনি মসিদা প্রোগ্রাম/কেম্পেন অসিগী অতোপ্পা বিভাগ অমদি দিবিজনশিংসু য়াওনা খঙনগনি। পোলিসী অসিদা পোশন ত্রেকর পোর্তেল নত্ত্রগা এপকী রিফরেন্সশিং অসিদা এ.পি.আই.শিং/মরী লৈনবা সাইৎশিং, এপশিং, কম্ম্যুনিকেসনশিং অমসুং সর্ভিসশিং (“সর্ভিসেস”) মসিগী মতুংদা পুন্না “পোশন ত্রেকর নত্ত্রগা সিস্তেম” হায়না খঙনবা অসিগী খুত্থাংদা পোশন ত্রেকরগা লোয়ননা ইন্তিগ্রেৎ তৌবা পোশন ত্রেকর নত্ত্রগা অতোপ্পা এপ নত্ত্রগা পোর্তেল অমা হেক্তা য়াওগনি।"
"You shall not, either on your own or through any other person:","অদোম্না ঐখোয়গী সর্ভিসশিং শীজিন্নরবা মতমদা ঐখোয়গী প্রাইবেসী পোলিসী চৎনগনি (মখাদা শন্দোক্না তাক্লি)। মসিগী প্রাইবেসী পোলিসী অসিগী ৱাহন্থোক অসি ঐখোয়না করি ই-পাউ খোমজিনবগে, মদু করিগীদমক ঐখোয়না খোমজিল্লি, অমসুং মদু করম্না শীজিন্নৈ অমসুং শিয়র তৌবগে হায়বা অদোমদা খঙহনবদা মতেং পাংনবনি। অদোমগী ই-পাউগী মতাংদা খোমজিল্লিবা অমসুং থমজিল্লিবা এজেন্সী অসি এম.দবল্যু.সি.দি.নি।"
Restrict or inhibit any other person from using the Site,"ঐখোয়না অদোমগী লনাইগী ই-পাউগী সেক্যুরিতী ঙাকশেম্নবা অমসুং অদোমগী প্রাইবেসী ঙাকশেন্নবা ঐখোয়না হোৎনরি। সিস্তেমদা খোমগৎপা অমসুং প্রোসেস তৌবা ই-পাউ নত্ত্রগা দেতা অমা হেক্তা অসি ইনফোর্মেসন তেক্নোলোজী এক্ত, 2000গী মাগী কাংলোনশিং অমসুং পর্সনেল দেতা খোমগৎপা অমসুং প্রোসেস তৌবগা মরী লৈনবা অতোপ্পা জাতি অমসুং রাজ্যগী আইনশিংগী প্রোবিজনশিংগী মতুং ইন্না পাঙথোকই।"
Use the Site for any unlawful purpose,https://poshantracker.in
"Express or imply that any statements you make are endorsed by us, without our prior written consent"," দা লৈরিবা সর্ভিসকী তর্মগা লোয়ননা প্রাইবেসী পোলিসী অসি পাবা মথৌ তাই। অদোম্না সিস্তেম অসি এক্সেস তৌবা অমসুং শীজিন্নবা অসি মসিগী প্রাইবেসী পোলিসী অমসুং সর্ভিসকী তর্মশিংগী অয়াবগী মখা পোল্লি। সিস্তেম অসি এক্সেস তৌবা অমসুং/নত্ত্রগা শীজিন্নবনা অদোম্না সর্ভিসকী তর্মশিং অমসুং প্রাইবেসী পোলিসী অসি পারে, খঙলে অমসুং ঙাক্না চৎলি, অমসুং অদোমগী ই-পাউ অমসুং দেতা খোমগৎপদা, থম্বা অমসুং প্রাইবেসী পোলিসী অসিদা পীরিবা মওং অসিদা শীজিন্নবদা অদোম্না অয়াবা পীরে হায়না তাক্লি।"
"Impersonate any person or entity, whether actual or fictitious",প্রাইবেসী পোলিসীগী ক্লোজ 1দা পীরিবা অসিগী মতুং ইন্না অদোমগী ই-পাউ খোমজিনবা অসি প্রাইবেসী পোলিসী অসিগী ক্লোজ 2 অমসুং 3 গী অখন্ননা পীরিবা হীরমশিং অসি থুংহনবদা মথৌ তাই হায়বা অদোম্না খঙলে হায়না ফোঙদোক্লি।
Engage in spamming or flooding,1. ঐখোয়না খোম্বা ঈ পাউ
Harvest or collect information about Site users,1.1. অদোম্না ঐখোয়দা পীবা ঈ পাউ।
Open multiple accounts for yourself or any other individual using multiple mobile numbers,অদোম্না একাউন্ত অমগী সাইন অপ তৌবা য়াওনা ঐখোয়গী সর্ভিসশিং অসি শীজিন্নবা মতমদা অদোম্না ঐখোয়দা পীখিবা কন্তেন্ত অমসুং অতোপ্পা ঈ পাউশিং ঐখোয়না খোম্মি। হায়রিবা অসিদা য়াওরিবশিংদি – (i) মিং (ii) মোবাইল নম্বর (iii) পোকপগী তারিখ (iv) নুপা নুপী (v) অঙাংগী মিং (vi) আধার নম্বর (vii) লৈফম
"Submit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive nature",করিগুম্বা অদোম্না পোত্থোক নৎত্রগা ফিচর অমগী মতাংদা পীগদবা দেতা অদু পীরোই হায়না লেপ্লবদি অদোম্না পোত্থোক নৎত্রগা ফিচর অদু শীজিন্নবা য়াররোই। অদুমওইনমক অদোম্না পীরিবা দেতা অদু ওপ্সনেল ওইবা পার্সনেল দেতা্দি পীদবা য়াই।
"Manipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submit",1.2. সর্ভিসশিং অসি শীজিন্নবদগী ফংবা ঈ পাউ।
Link to any portion of the Site other than the URL assigned to the home page of the Site,"অদোম্না ঐখোয়গী সাইৎ, এপ অমসুং প্লেৎফোর্ম তেক্নোলোজী য়াওনা ঐখোয়গী সর্ভিসশিং অসিদা চঙবা নৎত্রগা শীজিন্নবা মতমদা ঐখোয়না শীজিন্নরিবা দেতা অদু লোগ তৌই।"
“Frame” or “Mirror” any part of the Site,"ঐখোয়না কুকিস, লোকেল স্তোরেজ হায়বদি ব্রাউজর ৱেব স্তোরেজ নৎত্রগা এপ্লিকেসন দেতা কেচি, দেতাবেজ, অমসুং সর্ভর লোগশিং য়াওনা ঈ পাউ খোমজিন্নবা অমসুং তুংশিন্দুনা অদোমগী ঈ পাউশিং অদু করিগুম্বা হীরমশিংদা শীজিন্ননবা তোঙান-তোঙানবা তেক্নোলোজীশিং শীজিন্নবা য়াই।"
"Modify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the Content",1.3. থার্দ পার্তীশিংদগী লাকপা ঈ পাউ।
"Remove any copyright, trademark or other proprietary rights notices contained on the Site","ঐখোয়গী সিস্তেম্না অদোমগী পার্সনেল ইনফোর্মেসনবু খোমজিনবা য়াবা থার্দ-পার্তীদা এ.পি.আই. পীরি। পোশন ত্রেকর অসি করিগুম্বা হীরম অমত্তদা হায়রিবা থার্দ-পার্তী সাইৎশিং অসিগী ঈ পাউ নৎত্রগা মখোয়গী প্রাইভেসী প্রেক্তিস নৎত্রগা কন্তেন্তকী দাইত্য পুরোই। মসিগী মতক্তা, থার্দ পার্তী সাইৎশিং অসিগী লমাই খরদা অদোম্না ""কুকীস"" নৎত্রগা মান্নবা দিভাইসশিং থেংনবা য়াই অমসুং মসিদা পোশন ত্রেকরনা শেংদোকচরি মদুদি হায়রিবা থার্দ-পার্তী সাইৎশিং অসিনা কুকীশিং শীজিন্নবদা সিস্তেম অসিদা কন্ত্রোল তৌদে। হায়রিবা থার্দ পার্তী সর্ভিস প্রোভাইদরশিং অমসুং থার্দ পার্তী সাইৎশিং অসিদা মশাগী ওইবা অদোমগা মরী লৈনবা অদোমগী ইনফোর্মেসন তুংশিনবা অমসুং থাদোকপগা মরী লৈনবা প্রাইভেসী পোলিসী লৈজরম্বা য়াই। হায়রিবা প্রাইভেসী পোলিসী অসিনা হায়রিবা থার্দ-পার্তী প্রোভাইদরশিং অমসুং থার্দ-পার্তী সাইৎশিং অসিদা পীরিবা, তুংশিল্লিবা নৎত্রগা মখোয়না শীজিন্নবা ঈ পাউশিং অদু কোনশিন্দে। ঐখোয়না হায়জরি মদুদি অদোম্না থার্দ-পার্তী সাইৎশিং অসিদা চঙবা মতমদা, অদোম্না থার্দ-পার্তী সাইৎ দউগী প্রাইভেসী পোলিসী য়েংবীহৌ, মসি অদোমগী ঈ পাউশিং সেফগার্দ তৌবগা মরী লৈনৈ। অদোম্না য়ারে অমসুং খঙলে মদুদি পোশন ত্রেকর অসিনা সর্চ রিজল্ততা নৎত্রগা থার্দ-পার্তী সাইৎশিংদা ফোংলিবা ঈ পাউগী দাইত্য লৌদে।"
"Use any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.",2. ঐখোয়না মতৌ করম্না পার্সনেল ইনফোর্মেসন শীজিন্নবগে
Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is active,ঐখোয়না ঐখোয়গী সর্ভিসশিং পুম্নমকসিদগী খোমগৎলকপা ঈ পাউশিং অসি মখাগী মরমশিং অসিগীদমক শীজিন্নৈঃ
Take any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.,2.1. ঐখোয়গী সর্ভিসশিং পীবা।
"Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the Content",ক্লোজ 1গী মখাদা খোমগৎলিবা ঈ পাউ অসি বেনিফিসরীশিংগী হকশেল পীনবগীদমক শীজিন্নগনি।
"The Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purpose","ঐখোয়না ঈ পাউ/দেতা/ মতিরিএলশিং অমসুং সিস্তেমগী কন্তেন্তশিং অপদেতিং, সেক্যুরিং, অমসুং ত্রোবলশুতিং তৌবা ইয়াওনা ঐখোয়গী প্রদক্তশিং পী।"
"You will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number","অদোম্না পোশন ত্রেকরদা মিং চনবা মতমদা, ওদোম্না রেজিস্তর তৌবদা শীজিন্নরিবা মোবাইল নম্বর অদু দেতাবেজ অসিদগী অদোমগী রেকোর্দ খঙনবা শীজিন্নগনি। মসি পোশন ত্রেকর সিস্তেমদা রেকোর্দ তৌখিবা হকশেলগী চাং অদু লৌনবগীদমকসু শীজিন্নগনি।"
VII. INTELLECTUAL PROPERTY RIGHTS,2.2. অদোমগা পাউ ফাওনবা।
We own the intellectual property rights in the Site and Content. We may change the Content and features of the Site at any time.,"ঐখোয়না অদোমগী রেজিস্তর তৌরবা মোবাইল নম্বর দউদা রেজিস্ত্রেসনগী মতাংদা খঙহন্নবা এস.এম.এস. থাগনি, ঐখোয়না অদোমগী ঈ পাউ অদু অদোম্না ঐখোয়দা পাউ ফাওরকপা মতমদা পাউখুম পীনবা অমসুং থিজিল হুমজিন্নবা, ৱাকৎশিং লোইশিন্নবা অমসুং সর্ভিস ইস্যু (খুদম ওইনা য়াদবা য়াওরকপদা) পাউখুম পীনবসু শীজিন্নগনি।"
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors. You may not use our trademarks, logos, and service marks in any way without our prior written permission.",2.3. ভেরিফিকেসন।
"Material featured on this website may be reproduced free of charge. However, no part of the Site and no Content may be copied, republished, reproduced, uploaded, posted, displayed publicly, encoded, translated, transmitted or distributed in any way to any other computer, server, Web site or other medium for publication in a derogatory manner or in a misleading context.",ঐখোয়না ঐখোয়দা লৈবা ঈ পাউশিং অসি একাউন্তশিং ভেরিফাই তৌবদা মতেং ওইনবা শীজিন্নগনি। রেকোর্দশিং অসি পোশন ত্রেকর কন্ত্রোল অমসুং রেস্পোন্সকীদমক হকশেলগী ফিভম য়েংশিন্নবা শীজিন্নবা য়াই।
"You may use information available on the Site, provided that you will (1) use such information only for your personal, non-commercial informational purpose and do not copy or post such information on any networked computer or broadcast it in any media, (2) not make any modifications to any such information and any additional representations or warranties relating to such documents and Content.",2.4. সেক্যুরিতী অমসুং ওদিৎ।
"Wherever the material is being published or issued to others, the source must be prominently acknowledged. However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.","ঐখোয়না অদোমগী দেতা (কম্ম্যুনিকেসন য়াওনা) অসি সেক্যুরিতীগী ওইবা মরমদসু শীজিন্নগনি নৎত্রগা ঙাকথোক্নবা নৎত্রগা শাশিন্নবা থিগৎনবা নৎত্রগা অতোপ্পা ঐখোয়গী সর্ভিসকী তার্ম অমসুং/নৎত্রগা ঐখোয়গী মেম্বরশিং, ভিজিতরশিং নৎত্ত্রগা অতোপ্পশিংদা মাঙহন তাকহনলকপা মতমদা ঙাকথোক্নবা শীজিন্নগনি।"
VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE,পোশন ত্রেকর সিস্তেম অসি এম.দব্ল্যু.সি.দি.না নেকপা ওদিতরশিংনা সেক্যুরিতী অমসুং সিস্তেমগী স্কেলেবিলিতীগীদমক চাং নাইনা ওদিৎ তৌরি। রেকোর্দশিং অসি হায়রিবা ওদিৎশিং অসিগীদমক শীজিন্নবা য়াই।
"Translations on the Poshan Tracker Portal & App Chabot are done by third party translators. While the translations are done on a best effort basis, some of the parts may be incorrect. Certain files and other items on the website cannot be translated. In addition, on translation, some applications and/or services may not function as expected, due to language barriers. We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.",2.5. রিসর্চ অমসুং ওপরেসনেল এক্তিভিতিশিং।
IX. LINKS,"ঐখোয়না ঐখোয়গী সর্ভিসশিং থবক তৌহন্নবা দেতা শীজিন্নৈ, মসিদা ঐখোয়গী পার্ফোর্মেন্স য়েংশিনবা, ঐখোয়গী লিগেল ওব্লিগেসন পায়খৎপা, ঐখোয়গী ৱার্কফোর্স শাগৎপা, অমসুং রিসর্চ তৌবা য়াওরি। ঐখোয়না অখন্নবা তঙাইফদনা সিস্তেম ফগৎহন্নবা তৌগদবা থবক অমসুং সিস্তেম অসিদা মতেং ওইগদবা থবকশিং পুম্নমক্কী অমসুং অনৌবা তেক্নোলোজী অমসুং সর্ভিসশিং পীনবা ঈ পাউ শীজিন্নৈ।"
"The Site may contain links to other websites that may not be owned, maintained, or operated by us. The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites. We are not responsible for these websites including any content or the privacy practices of these websites. We strongly encourage you to familiarize yourself with the terms of use of these websites. Your use of these websites is at your own risk and peril. It is solely up to you to take necessary precautions to ensure that the links you select or any software you may download is free of viruses, worms, Trojan horses, defects, date bombs, time bombs, and other or other computer programming routines which are of destructive nature",2.6. সর্ভে অমসুং ফীদবেকশিং।
X. ACCESS FROM OUTSIDE INDIA,"সিস্তেম অসিনা সিস্তেম পার্ফোরমেন্সকী অমসুং এক্সপরিএন্সকী মতাংদা ফীদবেক লৌই। মিং, মোবাইল নম্বর, রেজিস্ত্রেসনগী তাং অমসুং হকশেলগী ফিভমগী ঈ পাউসু হায়রিবা মরমশিং অসিগীদমক শীজিন্নবা য়াই।"
"The Site is directed to the people residing in India. We do not represent that Content available on or through the Site is appropriate or available in other locations. We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time. If you choose to access the Site from outside India, you do so at your own risk.",3. ঈ পাউ লান্থোকপা
XI. VIOLATION OF THESE TERMS,3.1. হকশেলগী খোংজেল ত্রেক তৌবা।
"We may investigate any violation of these Terms, including unauthorized use of the Site. We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you. We may take legal action that we feel is appropriate. If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","ক্লোজ 1গী মখাদা রেজিস্তর তৌবা মতমদা অদোমদগী লৌখিবা পার্সনেল ওইবা ঈ পাউশিং অসি চেকশিন্না তুংশিনগনি অমসুং হায়রিবা অসি ভারত সরকার নৎত্রগা রাজ্য সরকার খক্তনা হকশেলগী খোঞ্জেল অমসুং ফিভম ত্রেক তৌনবা, রিপোর্ত শেম্নবা, হীৎ মেপ অমসুং অতোপ্পা লৈবাক অসিদা পোশন ত্রেকর য়েংশিন্নবা স্তেতিস্তিকেল ভিজুএলাইজেসনশিংগী মরমগীদমক শীজিন্নগনি। অদোমগী রিফরেন্স আই.দি. (মোবাইল নম্বর) অসি অদোমগী পার্সনেল ওইবা ঈ পাউগা মথক্কী ক্লোজ 1গী মতুং ইন্না অদোমদা এস.এম.এস. থাদুনা পাউ ফাওননবগীদমক মরী লৈনহনগনি।"
XII. RE-DISTRIBUTION,"ঐখোয়না অদোমগী ঈ পাউ অদু অতোপ্পা থার্দ পার্তীশিংদা অদোমগী অয়াবা য়াওদনা থাদোক্লোই, করিগুম্বা হায়দোক্লিবা নৎত্রগা থাদোক্লিবা অদু মখাগী মরমশিং অসি নৎত্রবদিঃ"
"Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker. Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.","1. পানবা য়াবা আইন, নৎত্রগা কোর্তকী য়াথং নৎত্রগা দিরেক্সন ইন্নবগীদমক; নৎত্রগা"
"XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE","2. লৈঙাক্কী ওইবা মরী লৈনবা এজেন্সীনা মতীক চাবা আইনগী ওইবা মরমগীদমক নৎত্রগা অরানবা তৌরুবা অমদা চেন্নবগীদমক শক তাক্নবা, ঙাকথোক্নবা, খঙদোক্নবা, থিগৎনবা, ফানবা নৎত্রগা দন্দি পীনবা মরমগীদমক হায়রকপা।"
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India. These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.",3.2. লিগেল দিস্ক্লোজরশিং।
XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS,"ঐখোয়না অদোমগী ইনফোর্মেসনশিং অদু আইনগী মরম, সবপোইনা, নৎত্রগা অতোপ্পা লিগেল প্রোসেস নৎত্রগা ঐখোয়না থাদোক্লিবা মরম অদু তঙাইফদনা (1) থিগৎনবা, ঙাকথোক্নবা নৎত্রগা শাশিন্নবা নৎত্রগা আইন্না য়াদবা থবক্কী নৎত্রগা লৈঙাক্কী এনফোর্স্মেন্ত এজেন্সীশিং, (2) অদোমগা ঐখোয়গা লৈনবা মরী চেৎশিলহন্নবা, (3) থার্দ পার্তী ক্লেম নৎত্রগা এলিগেসনশিংদগী ঐখোয় ইশাবু থিগৎনবা নৎত্রগা ঙাকথোক্নবা, (4) ঐখোয়গী সর্ভিসশিংগী সেক্যুরিতী নৎত্রগা ইন্তিগ্রিতী ঙাক্নবা (হায়বদি মান্নবা অকি অখং নংবা কম্পেনীশিংগা লান্নদুনা); নৎত্রগা (5) মীওই অমহেক্তগী হক ঙাক্নবা অমসুং শোইদ ঙামদনবা থবক পাঙথোকপগা মরী লৈনবশিংগীদমক লৌবা, তুংশিনবা অমসুং লান্থোকপা য়াই।"
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party. Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",4. রিতেন্সন
XV. INDEMNITY AND LIMITATION OF LIABILITY,"ক্লোজ 1গী মখাদা রেজিস্ত্রেসন তৌবা মতমদা অদোমদগী লৌখিবা পার্সনেল ওইবা ঈ পাউ খুদিংমক অদু অদোমগী রেকোর্দ অদুনা হেক লৈরিবা মখৈ থমগনি অমসুং করিগুম্বা অনা অয়েক নৎত্রগা এদমিনিস্ত্রেতিব ইন্তর্ভেন্সননা ক্লোজ 2গী মখাদা লাকপা মতমদা, ক্লোজ 4 (b)গা মরী লৈননা হায়রিবা মতমদু ফাওবগী মতুংদগীদি হায়রিবা ইন্তর্ভেন্সনশিং অদুনা মপুং ফাদ্রিবা ফাওবা।"
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:",ক্লোজ 1গী মখাদা লৌখিবা পার্সনেল ওইবা ঈ পাউ খুদিংমক এপ্লিকেসন সর্ভরদা ইভেন্ত অদুগীদমক মিং চনখিবা হায়রিবা ঈ পাউ অদুগা মরী লৈনবা মীওই অদুগা মরী লৈনরিবা মখৈ লৈগনি।
Your use of and access to the Site and Service;,মসিগা মরী লৈনদবা খুদিংমক পোশন ত্রেকর শীজিন্নরিবা রেজিস্তর তৌরবা মীওইদুগী পার্সনেল দেতানা জেনরেৎ তৌবা দেতাসেৎশিং অদুদা নৎত্রগা হীৎ মেপ নৎত্রগা অদুগুম্বা দেতাসেৎশিং অদু শীজিন্নদুনা শেমখ্রবা অতোপ্পা ভিজুএলাইজেসনদা পানলোই।
Your violation of any term of this Agreement;,5. হকশিং
"Your violation of any third party right, including without limitation, any copyright, property, or privacy right; or","রেজিস্তর তৌরবা য়ুজর অমা ওইনা, অদোমনা অদোমগী প্রোফাইল অদু মতম অমহেক্তদা শীজিন্নবা য়াগনি। অদুমওইনমক, অহোংবশিংদি পোশন ত্রেকরনা মতম মতমগী মতুং ইন্না পীবগী মতুং ইন্না পাঙথোকপা য়াই।"
Any claim that your User Content caused damage to a third party. This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,অদোম্না ঐখোয়দগী পীখিবা পাউ অদু নৎত্রগা অদোম্না মতৌ করম্না ফংগদগে অদু মেনেজ তৌবদি য়ারোই।
XVI. JURISDICTION,6. দেতা সেক্যুরিতী
Your use of the Site and any dispute arising out of such use of the Site is subject to the laws of India and place of jurisdiction shall be New Delhi.,"পোশন ত্রেকর প্লেৎফোর্মদা অদোমগী প্রাইভেসী অমসুং পার্সনেল ইনফোর্মেসন মাঙখিবা, লান্না শীজিন্নবা, লান্না পায়বা, তাকথোকপা, থুগাইবা, অমসুং মতীক চাবা আইনগী মতুং ইন্না ঈ পাউ শেমদোকপদগী ঙাকথোক্নবা সেক্যুরিতীগী থৌরাং অমসুং মতীক চানা লৈ। মসিগী মথক্তা, অদোম্না সিস্তেম অসিদা নৎত্রগা মসিগা মরী লৈনবা ঈ পাউ অমহেক্তদা হোংবা নৎত্রগা চঙবা মতমদা ঐখোয়না সেক্যুর সর্ভর অমা শীজিন্নবা য়াবগী অয়াবা পীরি। মসিমসু মখা তানা শেংদোক্লি মদুদি অদোমদা অদোম্না সিস্তেম অসিবু হেক শীজিন্নরিবা মখৈ (হকথেংননা নৎত্রগা নাকোইননা), অদোম্না মতম চুপ্পদা মতীক চাবা হকচাংগী, মেনেজরিএল অমসুং তেক্নিকেলগী ওইবা ঙাকশেল অমা অদোমগী পার্সনেল ওইবা ঈ পাউ খক্তা নত্তনা অদোমগী দেতা ঙাক্নবা শীজিন্নগদবনি।"
Support,7. প্রাইবেসী পোলিসীদা অহোংবশিং
