en,ur
डोगरी,X. ہندوستان کے باہر سے رسائی
कोंकणी,اس سائٹ کو ہندوستان میں رہنے والے لوگوں کے لیے ہدایت کی گئی ہے۔ ہم اس بات کی نمائندگی نہیں کرتے کہ سائٹ پر یا اس کے ذریعے دستیاب مواد مناسب ہے یا دیگر مقامات پر دستیاب ہے۔ ہم کسی بھی وقت کسی بھی شخص یا جغرافیائی علاقے تک سائٹ یا سائٹ پر بیان کردہ کسی بھی سروس یا پروڈکٹ کی دستیابی کو محدود کر سکتے ہیں۔ اگر آپ ہندوستان کے باہر سے سائٹ تک رسائی کا انتخاب کرتے ہیں، تو آپ اپنی ذمہ داری پر ایسا کرتے ہیں۔
सिंधी,XI. ان شرائط کی خلاف ورزی
बोडो,ہم سائٹ کے غیر مجاز استعمال سمیت ان شرائط کی کسی بھی خلاف ورزی کی تحقیقات کر سکتے ہیں۔ ہم قانون نافذ کرنے والے اداروں کو وہ معلومات فراہم کر سکتے ہیں جو آپ ہمیں آپ کے لین دین سے متعلق فراہم کرتے ہیں تاکہ آپ کی کسی بھی تفتیش یا مقدمہ میں مدد کی جا سکے۔ ہم قانونی کارروائی کر سکتے ہیں جو ہمیں مناسب لگے۔ اگر ہم اس بات کا تعین کرتے ہیں کہ آپ نے ان شرائط یا قانون کی خلاف ورزی کی ہے، یا کسی اور وجہ سے یا بغیر کسی وجہ کے، ہم آپ کے اکاؤنٹ کو بلاک کر سکتے ہیں اور آپ کو بغیر اطلاع کے کسی بھی وقت سائٹ تک رسائی سے روکیں گے۔
मैथिली,XII. دوبارہ تقسیم
মণিপুরী,مجاز ادارے کسی بھی ڈیٹا کو دوبارہ تقسیم نہیں کریں گے جس تک وہ API کے ذریعے کوڈ ویب پیج انٹیگریشن کے بغیر رسائی حاصل کرنے کے قابل ہوں اور اس بات کو یقینی بنائیں گے کہ اس طرح کے تمام ڈیٹا کا انضمام لازمی طور پر پوشن ٹریکر کے ذریعے فراہم کردہ مخصوص خدمات تک محدود رہے گا۔ کسی بھی حالت میں، کیا کوئی تنظیم حکومت کے پوشن ابھیان کے حصے کے طور پر جمع کیے گئے ڈیٹا کو یہاں بیان کردہ مقاصد کے علاوہ کسی اور مقصد کے لیے استعمال نہیں کرے گی، اور جیسا کہ حکومت کی طرف سے اجازت دی گئی ہے۔
संथाली,XIII. قانون، فریق ثالث کے حقوق، اور سروس کی دیگر شرائط کے ساتھ تعمیل
اردو,مجاز تنظیمیں حکومت ہند کے قائم کردہ تمام قابل اطلاق قوانین، ضابطوں، پالیسیوں اور فریق ثالث کے حقوق (بشمول اور بغیر کسی حد کے، ڈیٹا یا سافٹ ویئر کی درآمد یا برآمد سے متعلق کوئی بھی قوانین، رازداری، اور مقامی قوانین) کی تعمیل کریں گی۔ یہ تنظیمیں APIs / بغیر کوڈ ویب پیج انضمام کو غیر قانونی سرگرمی یا تیسرے فریق کے حقوق کی خلاف ورزی کی حوصلہ افزائی یا فروغ دینے کے لیے استعمال نہیں کریں گی جن میں پوشن ٹریکر کے ساتھ یہ شرائط شامل ہیں۔
کٲشُر,XIV. فریق ثالث کے نظام کے ذریعے فراہم کردہ ڈیٹا کی درستگی
About,پوشن ٹریکر سے ڈیٹا اکٹھا کرنے اور صارفین کو ڈسپلے کرنے والے ASPs اس طرح کے ڈیٹا کی درستگی کے لیے مکمل طور پر ذمہ دار ہوں گے اور اس طرح فراہم کردہ کسی بھی ڈیٹا سے پیدا ہونے والی ذمہ داری مکمل طور پر ایسے تیسرے فریق کے ساتھ رہے گی۔ کسی بھی غلط اعداد و شمار سے پیدا ہونے والی سول یا مجرمانہ ذمہ داریاں صرف متعلقہ ASP کے پاس ہوں گی۔
Resources,XV. معاوضہ اور ذمہ داری کی حد
Resources,آپ کسی بھی اور تمام دعووں، نقصانات، ذمہ داریوں، نقصانات، واجبات، اخراجات یا قرض، اور اخراجات بشمول لیکن محدود نہیں۔ کسی بھی الزام یا فریق ثالث کی قانونی کارروائی سے متعلق اٹارنی کی فیس جس حد سے پیدا ہوتی ہے:
Vaccination Schedule,آپ کا استعمال اور سائٹ اور سروس تک رسائی؛
Dashboard,اس معاہدے کی کسی بھی مدت کی آپ کی خلاف ورزی؛
Dashboard,کسی بھی فریق ثالث کے حق کی آپ کی خلاف ورزی، بشمول بغیر کسی حد کے، کوئی کاپی رائٹ، جائیداد، یا رازداری کا حق؛ یا
Mission Utkarsh,کوئی بھی دعویٰ کہ آپ کے صارف کے مواد نے فریق ثالث کو نقصان پہنچایا ہے۔ یہ دفاع اور معاوضہ کی ذمہ داری اس معاہدے اور سروس اور ویب سائٹ/ایپلی کیشن کے آپ کے استعمال سے محفوظ رہے گی۔
Helpdesk,XVI. اختیار
Beneficiary Redressal,سائٹ کا آپ کا استعمال اور سائٹ کے اس طرح کے استعمال سے پیدا ہونے والا کوئی تنازعہ ہندوستان کے قوانین کے تابع ہے اور دائرہ اختیار کی جگہ نئی دہلی ہوگی۔
State Helpdesk,حمایت
FAQ, 14408
Poshan Calculator, support-poshantrackr@gov.in
Login,موبائل ایپ ڈاؤن لوڈ کریں۔
Privacy Policy,Powered By
20 December 2021,کے بارے میں
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.",ذرائع وسائل
"Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign. References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”",ڈیش بورڈ
"Our Privacy Policy applies when you use our Services (described below). This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared. The collecting and retaining agency in respect of your information is MWCD.",ہیلپ ڈیسک
"We are committed to protecting the security of your personal information and safeguarding your privacy. Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.",عمومی سوالات
This Privacy Policy is required to be read in conjunction with the Terms of Service available at ,پوشن کیلکولیٹر
https://poshantracker.in,خدمت کی شرائط۔
". Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service. By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.",رازداری کی پالیسی
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,کیریئرز
1. INFORMATION WE COLLECT,کاپی رائٹ@2023  پوشن ٹریکر. جملہ حقوق محفوظ ہیں
1.1. Information you provide to us., You need to enable JavaScript to run this app.
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account. This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) Address",Poshan Helpline:
"If you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature. You may, however, choose not to share personal data where providing the data is optional.",14408
1.2. Information from use of services.,JanAndolan
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.",ABHA (صحت کا شناختی کارڈ)
"We may use various technologies to collect and store information, including cookies, local storage, such as browser web storage or application data caches, databases, and server logs to collect and use your information in certain cases.",زبان
1.3. Information from third parties.,English
"Our System provides API to Third – Party Sites that may collect your personal information. Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites. Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites. These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to. This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites. We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information. You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.",हिंदी
2. HOW WE USE PERSONAL INFORMATION,ગુજરાતી
We use the information we collect from all our services for the following purposes:,મરાઠી
2.1. Deliver our services.,ಕನ್ನಡ
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",മലയാളം
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.",தமிழ்
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database. These can also be used to assess the health status as recorded in the Poshan Tracker system.",తెలుగు
2.2. Communicate with you.,বাংলা
"We also send SMSs on your registered mobile number to alert you about registration, we also use your information to respond to you when you contact us and to investigate, respond to and resolve complaints and for Service issues (e.g. bugs).",অসমীয়া
2.3. Verification.,ਪੰਜਾਬੀ
"We use the information we have, to help verify accounts. The records may be used for verification of health status for the purposes of Poshan Tracker control and response.",ଓଡ଼ିଆ
2.4. Security and Audit.,नेपाली
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.",डोगरी
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system. The records may be used for such audits.",कोंकणी
2.5. Research and operational activities.,सिंधी
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research. We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.",बोडो
2.6. Surveys and Feedbacks.,मैथिली
"The System also takes feedback about system performance and experience. Information on name, mobile number, date of registration and health status may be used for these purposes",মণিপুরী
3. SHARING OF INFORMATION,संथाली
3.1. Tracking health progress.,اردو
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,. Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.",کٲشُر
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:",کے بارے میں
1. Required in order to comply with any applicable law or court order or direction; or,ذرائع وسائل
"2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.",ذرائع وسائل
3.2. Legal Disclosures.,ویکسینیشن شیڈول
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.",ڈیش بورڈ
4. RETENTION,ڈیش بورڈ
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.",Mission Utkarsh
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.",ہیلپ ڈیسک
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.",فائدہ اٹھانے والے کا ازالہ
5. RIGHTS,اسٹیٹ ہیلپ ڈیسک
"As a registered user, you have the right to access your profile at any time. Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.",عمومی سوالات
You cannot manage the communications that you receive from us or how you receive them.,پوشن کیلکولیٹر
6. DATA SECURITY,لاگ ان کریں
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws. Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server. It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.",رازداری کی پالیسی
7. CHANGES TO PRIVACY POLICY,٢٠ دسمبر ٢٠٢١
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes. Any changes or updates will be effective immediately. You should review this Privacy Policy regularly for changes.",پوشن ابھیان ہندوستان کا ایک اہم پروگرام ہے جس کے ذریعے بچوں، نوعمروں، حاملہ خواتین اور دودھ پلانے والی ماؤں کے لیے ٹکنالوجی، ایک ہدفی نقطہ نظر اور ہم آہنگی کے ذریعے غذائیت کے نتائج کو بہتر بنایا جا سکتا ہے۔.
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System. However, as a user of the System, you should regularly check the Privacy Policy for any changes. We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy. Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy. If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System. You hereby acknowledge that any collection, storage, processing or other use of your information shall be governed by the Privacy Policy as applicable at the time of such collection, storage, processing or other use.",پوشن ٹریکر پورٹل یا ایپ خواتین اور اطفال کی ترقی کی وزارت، حکومت ہند کے زیر انتظام ہے، اس کے بعد اسے MWCD کہا جاتا ہے، ہمارا ہم جس میں پروگرام/مہم کے دیگر محکموں اور ڈویژنوں کا حوالہ شامل ہوگا۔ اس پالیسی میں پوشن ٹریکر پورٹل یا ایپ کے حوالہ جات میں پوشن ٹریکر یا کوئی بھی دیگر ایپس یا پورٹل شامل ہیں جو APIs/ متعلقہ سائٹس، ایپس، کمیونیکیشنز اور سروسز (سروسز) کے ذریعے پوشن ٹریکر کے ساتھ مربوط ہیں۔
Support,ہماری رازداری کی پالیسی اس وقت لاگو ہوتی ہے جب آپ ہماری خدمات استعمال کرتے ہیں (ذیل میں بیان کیا گیا ہے)۔ اس رازداری کی پالیسی کا مقصد آپ کو یہ سمجھنے میں مدد کرنا ہے کہ ہم کون سی معلومات جمع کرتے ہیں، ہم اسے کیوں جمع کرتے ہیں، اور اس کا استعمال اور اشتراک کیسے کیا جاتا ہے۔ آپ کی معلومات کو جمع کرنے اور برقرار رکھنے والی ایجنسی MWCD ہے۔.
 14408,ہم آپ کی ذاتی معلومات کی حفاظت اور آپ کی رازداری کے تحفظ کے لیے پرعزم ہیں۔ سسٹم پر کوئی بھی معلومات یا ڈیٹا اکٹھا کیا جاتا ہے اور اس پر کارروائی کی جاتی ہے انفارمیشن ٹیکنالوجی ایکٹ 2000 کی دفعات کے مطابق اس کے قواعد اور دیگر قومی اور ریاستی قوانین کے ساتھ پڑھی جاتی ہے جو ذاتی ڈیٹا کی جمع اور پروسیسنگ سے متعلق ہے۔
 support-poshantrackr@gov.in,اس رازداری کی پالیسی کو 
Download Mobile App,https://poshantracker.in
Powered By, پر دستیاب سروس کی شرائط کے ساتھ پڑھنا ضروری ہے۔ سسٹم تک آپ کی رسائی اور استعمال اس پرائیویسی پالیسی اور سروس کی شرائط کو قبول کرنے پر مشروط ہے۔ سسٹم تک رسائی حاصل کرنے اور/یا استعمال کرکے، آپ اس بات کی نمائندگی کرتے ہیں کہ آپ نے سروس کی شرائط اور اس پرائیویسی پالیسی کو پڑھا، سمجھ لیا اور اس کے پابند ہیں، اور یہ کہ آپ اپنی معلومات اور ڈیٹا کو جمع کیے جانے، ذخیرہ کرنے اور استعمال کیے جانے والے طریقے سے قبول کرتے ہیں۔ اس رازداری کی پالیسی میں۔
About,آپ اس کے ذریعے تسلیم کرتے ہیں کہ اس رازداری کی پالیسی کی شق 1 میں بیان کردہ آپ کی معلومات کا مجموعہ اس رازداری کی پالیسی کی شق 2 اور 3 میں بیان کردہ مقاصد کو پورا کرنے کے لیے ضروری ہے۔
Resources,1. معلومات جو ہم جمع کرتے ہیں۔
Dashboard,1.1. وہ معلومات جو آپ ہمیں فراہم کرتے ہیں۔.
Helpdesk,ہم وہ مواد اور دیگر معلومات جمع کرتے ہیں جو آپ فراہم کرتے ہیں جب آپ ہماری سروسز استعمال کرتے ہیں، بشمول جب آپ کسی اکاؤنٹ کے لیے سائن اپ کرتے ہیں۔ اس میں شامل ہوسکتا ہے- (i) نام (ii) موبائل نمبر (iii) تاریخ پیدائش (iv) جنس (v) بچے کا نام (vi) آدھار نمبر (vii) پتہ
FAQ,اگر آپ ڈیٹا فراہم نہ کرنے کا انتخاب کرتے ہیں جو آپ کو پروڈکٹ یا فیچر فراہم کرنے کے لیے درکار ہے، تو آپ اس پروڈکٹ یا فیچر کو استعمال نہیں کر سکتے۔ تاہم، آپ ذاتی ڈیٹا کا اشتراک نہ کرنے کا انتخاب کر سکتے ہیں جہاں ڈیٹا فراہم کرنا اختیاری ہو۔
Poshan Calculator,1.2. خدمات کے استعمال سے متعلق معلومات.
Terms of Service,جب آپ ہماری سائٹس، ایپ اور پلیٹ فارم ٹیکنالوجی سمیت ہماری سروسز کا دورہ کرتے ہیں یا بصورت دیگر استعمال کرتے ہیں تو ہم استعمال کا ڈیٹا لاگ کرتے ہیں۔
Privacy Policy,ہم معلومات کو جمع کرنے اور ذخیرہ کرنے کے لیے مختلف ٹیکنالوجیز کا استعمال کر سکتے ہیں، بشمول کوکیز، مقامی اسٹوریج، جیسے براؤزر ویب اسٹوریج یا ایپلیکیشن ڈیٹا کیش، ڈیٹا بیس، اور سرور لاگز آپ کی معلومات کو جمع کرنے اور مخصوص صورتوں میں استعمال کرنے کے لیے۔
Careers,1.3. تیسرے فریق سے معلومات۔
Copyright@2023  Poshan Tracker. All rights reserved,ہمارا سسٹم تھرڈ پارٹی سائٹس کو API فراہم کرتا ہے جو آپ کی ذاتی معلومات اکٹھی کر سکتی ہے۔ پوشن ٹریکر کسی بھی طرح سے ایسی معلومات یا ان کے رازداری کے طریقوں یا ان تھرڈ پارٹی سائٹس کے مواد کی حفاظت کے لیے ذمہ دار نہیں ہے۔ مزید برآں، آپ کو تیسری پارٹی کی سائٹس کے مخصوص صفحات پر کوکیز یا اس سے ملتی جلتی دیگر ڈیوائسز کا سامنا بھی ہو سکتا ہے اور پوشن ٹریکر کے ذریعے یہ واضح کیا گیا ہے کہ سسٹم ان تھرڈ پارٹی سائٹس کے ذریعے کوکیز کے استعمال کو کنٹرول نہیں کرتا ہے۔ ان تھرڈ پارٹی سروس پرووائیڈرز اور تھرڈ پارٹی سائٹس کی اپنی پرائیویسی پالیسیاں ہو سکتی ہیں جو آپ کی معلومات کو ذخیرہ کرنے اور اسے برقرار رکھنے کو کنٹرول کرتی ہیں جن کے آپ تابع ہو سکتے ہیں۔ یہ رازداری کی پالیسی ان فریق ثالث فراہم کنندگان اور فریق ثالث کی سائٹس کو فراہم کردہ، ذخیرہ شدہ، یا استعمال کردہ کسی بھی معلومات پر حکومت نہیں کرتی ہے۔ ہم تجویز کرتے ہیں کہ جب آپ فریق ثالث کی سائٹ میں داخل ہوتے ہیں، تو آپ فریق ثالث کی رازداری کی پالیسی پر نظرثانی کریں کیونکہ یہ آپ کی معلومات کی حفاظت سے متعلق ہے۔ آپ اتفاق کرتے ہیں اور تسلیم کرتے ہیں کہ پوشن ٹریکر تلاش کے نتائج یا کسی بھی فریق ثالث کی سائٹس میں شائع ہونے والی معلومات کے لیے ذمہ دار نہیں ہوگا۔
 You need to enable JavaScript to run this app.,2. ہم ذاتی معلومات کو کس طرح استعمال کرتے ہیں۔
Poshan Helpline:,ہم اپنی تمام سروسز سے جمع کردہ معلومات کو درج ذیل مقاصد کے لیے استعمال کرتے ہیں:
14408,2.1. ہماری خدمات فراہم کریں۔
JanAndolan,شق 1 کے تحت جمع کی گئی معلومات کو فائدہ اٹھانے والوں کی صحت کی سہولت کے لیے استعمال کیا جائے گا۔
ABHA (Health ID),ہم اپنی مصنوعات فراہم کرتے ہیں، جس میں سسٹم کی معلومات/ڈیٹا/ مواد اور مواد کو اپ ڈیٹ کرنا، محفوظ کرنا، اور خرابیوں کا ازالہ کرنا شامل ہے، نیز معاونت فراہم کرنا۔
Language,جب آپ پوشن ٹریکر پر رجسٹر ہوں گے، تو وہ موبائل نمبر جس کے ساتھ آپ نے رجسٹر کیا ہے، ڈیٹا بیس سے آپ کے ریکارڈ کو تلاش کرنے کے لیے استعمال کیا جائے گا۔ یہ پوشن ٹریکر سسٹم میں درج صحت کی حالت کا جائزہ لینے کے لیے بھی استعمال کیے جا سکتے ہیں۔
English,2.2. آپ کے ساتھ بات چیت.
हिंदी,ہم آپ کو رجسٹریشن کے بارے میں آگاہ کرنے کے لیے آپ کے رجسٹرڈ موبائل نمبر پر ایس ایم ایس بھی بھیجتے ہیں، جب آپ ہم سے رابطہ کرتے ہیں تو ہم آپ کو جواب دینے اور شکایت کی چھان بین کرنے، جواب دینے اور حل کرنے اور سروس کے مسائل (مثلاً کیڑے) کے لیے آپ کی معلومات کا استعمال کرتے ہیں۔
ગુજરાતી,2.3. تصدیق.
મરાઠી,اکاؤنٹس کی تصدیق میں مدد کے لیے ہم اپنے پاس موجود معلومات کا استعمال کرتے ہیں۔ پوشن ٹریکر کنٹرول اور رسپانس کے مقاصد کے لیے صحت کی حالت کی تصدیق کے لیے ریکارڈ کا استعمال کیا جا سکتا ہے۔
ಕನ್ನಡ,2.4. سیکیورٹی اور آڈٹ۔
മലയാളം,ہم آپ کا ڈیٹا (بشمول آپ کے مواصلات) کو حفاظتی مقاصد کے لیے استعمال کرتے ہیں یا ممکنہ دھوکہ دہی یا ہماری سروس کی شرائط کی دیگر خلاف ورزیوں اور/یا ہمارے اراکین، مہمانوں یا دوسروں کو نقصان پہنچانے کی کوششوں کو روکنے یا تفتیش کرنے کے لیے استعمال کرتے ہیں۔
தமிழ்,پوشن ٹریکر سسٹم کا باقاعدگی سے نظام کی حفاظت اور اسکیل ایبلٹی کے لیے MWCD کے ذریعے مصروف آڈیٹرز کے ذریعے آڈٹ کیا جاتا ہے۔ ریکارڈ کو اس طرح کے آڈٹ کے لیے استعمال کیا جا سکتا ہے۔
తెలుగు,2.5. تحقیق اور آپریشنل سرگرمیاں۔
বাংলা,ہم اپنی خدمات کو چلانے کے لیے بھی ڈیٹا کا استعمال کرتے ہیں، جس میں ہماری کارکردگی کا تجزیہ، ہماری قانونی ذمہ داریوں کو پورا کرنا، اپنی افرادی قوت کو تیار کرنا، اور تحقیق کرنا شامل ہے۔ ہم معلومات کا استعمال سسٹم کی بہتری کے لیے کچھ ضروری آپریشن انجام دینے کے لیے بھی کر سکتے ہیں اور سسٹم کی فراہمی کے لیے متعلقہ یا ذیلی کارروائیوں کے لیے اور نئی ٹیکنالوجیز اور خدمات کی ترقی اور فراہم کرنے کے لیے بھی استعمال کر سکتے ہیں۔
অসমীয়া,2.6. سروے اور تاثرات۔
ਪੰਜਾਬੀ,سسٹم سسٹم کی کارکردگی اور تجربے کے بارے میں بھی رائے لیتا ہے۔ نام، موبائل نمبر، رجسٹریشن کی تاریخ اور صحت کی حیثیت سے متعلق معلومات ان مقاصد کے لیے استعمال کی جا سکتی ہیں۔
ଓଡ଼ିଆ,3. معلومات کا اشتراک
नेपाली,3.1. صحت کی پیشرفت کا سراغ لگانا۔
डोगरी,مندرجہ بالا شق 1 کے تحت رجسٹریشن کے وقت آپ سے جمع کی گئی ذاتی معلومات کو محفوظ طریقے سے ذخیرہ کیا جائے گا اور اسے صرف حکومت ہند یا ریاستی حکومتیں صحت کی پیشرفت اور حیثیت کا پتہ لگانے، رپورٹیں تیار کرنے، گرمی کے نقشے اور دیگر شماریاتی مقاصد کے لیے استعمال کریں گی۔ ملک میں پوشن ٹریکر کے انتظام کے مقصد کے لیے تصورات۔ اوپر دی گئی شق 1 کے مطابق آپ کا حوالہ ID (موبائل نمبر) صرف آپ کی ذاتی معلومات کے ساتھ منسلک کیا جائے گا تاکہ آپ کو SMS کے ذریعے رابطہ کیا جا سکے۔
कोंकणी,ہم آپ کی رضامندی کے بغیر آپ کی معلومات کو کسی دوسرے فریق ثالث کو ظاہر یا منتقل نہیں کرتے ہیں، جب تک کہ اس طرح کا انکشاف یا منتقلی:
सिंधी,1. کسی قابل اطلاق قانون یا عدالتی حکم یا ہدایت کی تعمیل کرنے کے لیے ضروری ہے۔ یا
बोडो,2. کسی بھی مناسب سرکاری ایجنسی کے ذریعہ قابل اطلاق قانون کے مطابق، دیگر چیزوں کے ساتھ، شناخت کی تصدیق، روک تھام، پتہ لگانے، تفتیش، کسی بھی جرم یا واقعات کی سزا یا سزا کے مقصد کے لئے درخواست کی گئی ہے۔
मैथिली,3.2. قانونی انکشافات۔
মণিপুরী,ہم کسی قانونی درخواست، عرضی، یا دیگر قانونی عمل کے جواب میں آپ کی معلومات تک رسائی، محفوظ اور اشتراک کر سکتے ہیں یا اگر ہمیں نیک نیتی کا یقین ہے کہ انکشاف (1) دھوکہ دہی یا غیر قانونی سرگرمیوں کی تحقیقات، روک تھام یا کارروائی کرنے کے لیے معقول حد تک ضروری ہے۔ یا حکومت نافذ کرنے والے اداروں کی مدد کرنا؛ (2) آپ کے ساتھ ہمارے معاہدوں کو نافذ کریں۔ (3) کسی بھی فریق ثالث کے دعووں یا الزامات کے خلاف تحقیقات اور اپنا دفاع کریں۔ (4) ہماری خدمات کی سلامتی یا سالمیت کی حفاظت کریں (جیسے کہ ایک جیسے خطرات کا سامنا کرنے والی کمپنیوں کے ساتھ اشتراک کرکے)؛ یا (5) کسی بھی شخص کے حقوق اور حفاظت کا استعمال یا تحفظ۔
संथाली,4. برقرار رکھنا
اردو,رجسٹریشن کے وقت شق 1 کے تحت آپ سے جمع کی گئی تمام ذاتی معلومات کو اس وقت تک برقرار رکھا جائے گا جب تک کہ آپ کا ریکارڈ موجود رہے گا اور اگر کوئی طبی یا انتظامی مداخلت کلاز 2 کے تحت شروع کی گئی ہو، ذیل میں شق 4(b) کے تحت، اس طرح کے لیے اس کے بعد کی مدت جیسا کہ اس طرح کی مداخلتوں کو مکمل کرنے کی ضرورت ہے۔
کٲشُر,شق 1 کے تحت جمع کی گئی تمام ذاتی معلومات کو ایپلیکیشن سرور پر اس حد تک رکھا جائے گا کہ اس طرح کی معلومات ان لوگوں سے متعلق ہوں جو ایونٹ کے لیے رجسٹرڈ ہیں۔
About,یہاں بیان کردہ کسی بھی چیز کا اطلاق پوشن ٹریکر کے رجسٹرڈ صارفین کے ذاتی ڈیٹا یا اس طرح کے ڈیٹا سیٹس کا استعمال کرتے ہوئے تخلیق کردہ کسی بھی رپورٹس، ہیٹ میپس یا دیگر ویژولائزیشن کے ذریعے پیدا کردہ گمنام، مجموعی ڈیٹاسیٹس پر نہیں ہوگا۔
Resources,5. حقوق
Resources,ایک رجسٹرڈ صارف کے طور پر، آپ کو کسی بھی وقت اپنے پروفائل تک رسائی کا حق حاصل ہے۔ اگرچہ، تبدیلیاں صرف اسی طرح کی جا سکتی ہیں جیسا کہ وقتاً فوقتاً پوشن ٹریکر سسٹم کے ذریعہ تجویز کیا گیا ہے۔
Vaccination Schedule,آپ ان مواصلات کا نظم نہیں کر سکتے جو آپ کو ہم سے موصول ہوتی ہیں یا آپ انہیں کیسے وصول کرتے ہیں۔
Dashboard,6. ڈیٹا کی حفاظت
