en,ne
About,तपाईंले पेस गर्नुभएको कुनै पनि पोस्टिङको उत्पत्ति लुकाउनको लागि हेडरहरू फोर्ज गरेर सहित पहिचानकर्ताहरूलाई हेरफेर गर्नुहोस्।
Resources,साइटको गृह पृष्ठमा तोकिएको यूआरएल बाहेक साइटको कुनै पनि भागमा लिङ्क गर्नुहोस्
Resources,"साइटको कुनै पनि भाग ""फ्रेम"" वा ""दर्पण"""
Vaccination Schedule,"परिमार्जन, अनुकूलन, उप-लाइसेन्स, अनुवाद, बिक्री, रिभर्स इन्जिनियर, डिकम्पाइल वा साइट को कुनै पनि भाग विच्छेदन, वा अन्यथा सामग्री को कुनै पनि भाग को कुनै पनि स्रोत कोड वा अन्तर्निहित विचार वा एल्गोरिदम प्राप्त गर्ने प्रयास गर्नुहोस्।"
Dashboard,"साइटमा समावेश कुनै पनि प्रतिलिपि अधिकार, ट्रेडमार्क वा अन्य स्वामित्व अधिकार सूचनाहरू हटाउनुहोस्"
Dashboard,"कुनै पनि कम्प्युटर प्रोग्राम, बोट, रोबोट, स्पाइडर, अफलाइन रिडर, साइट खोज/पुनप्राप्ति एप्लिकेसन वा अन्य म्यानुअल वा स्वचालित उपकरण, उपकरण, वा प्रक्रिया पुन: प्राप्त गर्न, अनुक्रमणिका, डाटा माइन, वा कुनै पनि तरिकाले सुरक्षा संरचना, नेभिगेसनलाई पुन: उत्पादन वा छल गर्न प्रयोग गर्नुहोस्। संरचना, वा सामग्री वा साइटको प्रस्तुतीकरण, साइटमा प्रदर्शित कुनै पनि क्याप्चाको सन्दर्भमा सहित।"
Mission Utkarsh,कुनै पनि स्वचालित सफ्टवेयर वा कम्प्युटर प्रणाली प्रयोग गर्नुहोस् खोजी गर्न वा नियुक्ति बुक गर्न तपाईंको कम्प्युटरबाट अर्को कम्प्युटरमा जानकारी पठाउन सहित जहाँ त्यस्ता सफ्टवेयर वा प्रणाली सक्रिय छ।
Helpdesk,हाम्रो पूर्वाधारमा अव्यावहारिक वा असमान रूपमा ठूलो भार (हाम्रो विवेकमा) लाद्ने वा थोपाउन सक्ने कुनै पनि कार्य लिनुहोस्।
Beneficiary Redressal,"साइट प्रयोग गर्नुहोस् वा पुन: उत्पादन गर्नुहोस्, परिमार्जन गर्नुहोस्, प्रदर्शन गर्नुहोस्, सार्वजनिक रूपमा प्रदर्शन गर्नुहोस्, वितरण गर्नुहोस् वा साइट वा सामग्रीको व्युत्पन्न कार्यहरू सिर्जना गर्नुहोस्।"
State Helpdesk,"कुनै पनि प्राविधिक उपायलाई रोक्नको लागि डिजाइन गरिएको कुनै पनि उपकरण, कार्यक्रम वा सेवाको प्रयासमा वा संयोजनमा सामग्री जसले म्यानुअल डिकोड, डिक्रिप्ट, परिमार्जन गरी कुनै पनि सीमा बिना कुनै पनि तरिकाले साइट र/वा सामग्रीमा पहुँच वा अधिकारहरूलाई प्रभावकारी रूपमा नियन्त्रण गर्दछ वा रिभर्स इन्जिनियर प्रमाणपत्र वा अन्तर्निहित एल्गोरिदम वा स्वचालित यन्त्र वा प्रक्रिया, कुनै पनि उद्देश्यका लागि"
FAQ,"तपाईंले साइट मार्फत सहभागीहरू दर्ता गर्न खोज्न बोट प्रविधि प्रयोग गर्नुहुने छैन; शंकाबाट बच्नको लागि, यसले तपाइँलाई साइटमा स्वचालित स्क्रिप्ट आधारित वा स्वचालित सफ्टवेयर प्रयोग गर्नबाट विशेष रूपमा निषेध गर्दछ, र तपाइँलाई कुनै पनि सुरक्षा उपाय, पहुँच नियन्त्रण प्रणाली, वा अन्य प्राविधिक नियन्त्रण वा साइटमा मापन गर्नबाट प्रतिबन्धित गर्दछ जुन सहभागिता सीमा लागू गर्न वा एक मोबाइल नम्बरसँग सम्बन्धित सहभागीहरू दर्ता गर्ने नियमहरूको अखण्डता कायम गर्न प्रयोग गरिन्छ"
Poshan Calculator,VII. बौद्धिक सम्पत्ति अधिकार
Login,हामी साइट र सामग्रीमा बौद्धिक सम्पत्ति अधिकारको स्वामित्व राख्छौं। हामी कुनै पनि समयमा साइटको सामग्री र सुविधाहरू परिवर्तन गर्न सक्छौं।
Careers At Poshan Tracker,"साइटमा प्रदर्शित दर्ता र दर्ता नगरिएका ट्रेडमार्कहरू, लोगोहरू, र सेवा चिन्हहरू हाम्रो वा हाम्रा इजाजतपत्रदाताहरूको स्वामित्वमा छन्। तपाईंले हाम्रो पूर्व लिखित अनुमति बिना कुनै पनि तरिकाले हाम्रो ट्रेडमार्क, लोगो र सेवा चिन्हहरू प्रयोग गर्न सक्नुहुन्न।"
We believe in building doers. Poshan Tracker is a project of Ministry of Women and Child Development. Digital India Corporation is the technical partner of MoWCD. Poshan Tracker focuses on eradication of malnutrition from India. It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan.,"यस वेबसाइटमा चित्रित सामग्री नि: शुल्क पुन: उत्पादन गर्न सकिन्छ। यद्यपि, साइटको कुनै पनि अंश र कुनै पनि सामग्री प्रतिलिपि, पुन: प्रकाशित, पुन: उत्पादन, अपलोड, पोस्ट, सार्वजनिक रूपमा प्रदर्शित, एन्कोड गरिएको, अनुवादित, प्रसारण वा प्रकाशनको लागि कुनै पनि अन्य कम्प्युटर, सर्भर, वेब साइट वा अन्य माध्यममा वितरण अपमानजनक तरिका वा भ्रामक सन्दर्भमा गर्न सकिँदैन।"
Job openings,"तपाईंले साइटमा उपलब्ध जानकारीहरू प्रयोग गर्न सक्नुहुन्छ, यदि तपाईंले (1) आफ्नो व्यक्तिगत, गैर-व्यावसायिक जानकारीमूलक उद्देश्यका लागि मात्र त्यस्ता जानकारीहरू प्रयोग गर्नुहुनेछ र कुनै पनि नेटवर्क भएको कम्प्युटरमा त्यस्तो जानकारी प्रतिलिपि वा पोस्ट नगर्नुहोस् वा कुनै मिडियामा प्रसारण नगर्नुहोस्, (2) त्यस्ता कागजातहरू र सामग्रीसँग सम्बन्धित कुनै पनि जानकारी र कुनै अतिरिक्त प्रतिनिधित्व वा वारेन्टीहरूमा कुनै परिमार्जन नगर्नुहोस्।"
Support,"जहाँ पनि सामग्री प्रकाशित वा अरूलाई जारी गरिएको छ, स्रोत प्रमुख रूपमा स्वीकार गर्नुपर्छ। यद्यपि, यो सामग्री पुन: उत्पादन गर्ने अनुमति तेस्रो पक्षको प्रतिलिपि अधिकारको रूपमा पहिचान गरिएको कुनै पनि सामग्रीमा विस्तार हुने छैन।"
 14408,VIII. बहु-भाषिक इन्टरफेसको सीमाहरू
 support-poshantrackr@gov.in,"पोशन ट्रयाकर पोर्टल र एप चाबोट मा अनुवाद तेस्रो पक्ष अनुवादकहरु द्वारा गरिन्छ। जबकि अनुवादहरू उत्कृष्ट प्रयासको आधारमा गरिन्छ, केही भागहरू गलत हुन सक्छन्। वेबसाइटमा रहेका निश्चित फाइलहरू र अन्य वस्तुहरू अनुवाद गर्न सकिँदैन। थप रूपमा, अनुवादमा, केही अनुप्रयोगहरू र/वा सेवाहरूले भाषा अवरोधहरूको कारणले अपेक्षित रूपमा काम नगर्न सक्छन्। हामी यस पोर्टलमा प्रदान गरिएका अनुवादहरूमा कुनै त्रुटि, भूल वा अस्पष्टताहरू सुधार गर्न निरन्तर काम गरिरहेका छौं।"
Download Mobile App,IX. लिङ्कहरू
Powered By,"साइटले अन्य वेबसाइटहरूको लिङ्कहरू समावेश गर्न सक्छ जुन हाम्रो स्वामित्व, मर्मत, वा सञ्चालन हुन सक्दैन। यी वेबसाइटहरू लिङ्क गरिएको तथ्यले यी वेबसाइटहरूको कुनै पनि समर्थनलाई हामीबाट संकेत गर्दैन, किनकि हामीसँग यी वेबसाइटहरूमा कुनै नियन्त्रण छ। हामी यी वेबसाइटहरूको लागि कुनै पनि सामग्री वा यी वेबसाइटहरूको गोपनीयता अभ्यासहरू सहित जिम्मेवार छैनौं। हामी तपाईंलाई यी वेबसाइटहरूको प्रयोगका सर्तहरूसँग परिचित हुन दृढताका साथ प्रोत्साहन दिन्छौं। यी वेबसाइटहरूको तपाईंको प्रयोग तपाईंको आफ्नै जोखिम र खतरामा छ। तपाईंले चयन गर्नुभएको लिङ्कहरू वा तपाईंले डाउनलोड गर्न सक्ने कुनै पनि सफ्टवेयर भाइरस, वर्म, ट्रोजन घोडा, दोष, मिति बम, टाइम बम, र अन्य वा अन्य कम्प्युटर प्रोग्रामिंग दिनचर्याहरू रहित जुन विनाशकारी प्रकृतिको हो भनी सुनिश्चित गर्नको लागि आवश्यक सावधानीहरू अपनाउनु मात्र तपाईंमा निर्भर छ।"
About,X. भारत बाहिरबाट पहुँच
Resources,"साइट भारतमा बस्ने मानिसहरूलाई निर्देशित गरिएको छ। हामी प्रतिनिधित्व गर्दैनौं कि साइटमा वा मार्फत उपलब्ध सामग्री उपयुक्त छ वा अन्य स्थानहरूमा उपलब्ध छ। हामी कुनै पनि समयमा कुनै पनि व्यक्ति वा भौगोलिक क्षेत्रमा साइटमा वर्णन गरिएको साइट वा कुनै सेवा वा उत्पादनको उपलब्धता सीमित गर्न सक्छौं। यदि तपाइँ भारत बाहिरबाट साइट पहुँच गर्न रोज्नुहुन्छ भने, तपाइँ आफ्नो जोखिममा यो गर्नुहुन्छ।"
Dashboard,XI. यी सर्तहरूको उल्लङ्घन
Helpdesk,"हामी साइटको अनाधिकृत प्रयोग सहित यी सर्तहरूको कुनै पनि उल्लङ्घनको अनुसन्धान गर्न सक्छौं। हामीले कानून प्रवर्तनलाई तपाइँको कुनै पनि अनुसन्धान वा अभियोजनमा सहयोग गर्न तपाइँको लेनदेनसँग सम्बन्धित जानकारी प्रदान गर्न सक्छौं। हामीले उचित ठानेका कानुनी कारबाही गर्न सक्छौं। यदि हामीले पत्ता लगायौं कि तपाईंले यी सर्तहरू वा कानून उल्लङ्घन गर्नुभएको छ, वा कुनै अन्य कारण वा कुनै कारण बिना, हामी तपाईंको खाता ब्लक गर्न सक्छौं र तपाईंलाई सूचना बिना कुनै पनि समयमा साइट पहुँच गर्नबाट रोक्न सक्छौं।"
FAQ,XII. पुन: वितरण
Poshan Calculator,"अधिकृत संस्थाहरूले एपीआई/नो-कोड वेबपेज एकीकरण मार्फत पहुँच गर्न सक्ने कुनै पनि डाटा पुन: वितरण गर्दैनन् र त्यस्ता सबै डाटाको एकीकरण अनिवार्य रूपमा पोशन ट्र्याकरद्वारा प्रदान गरिएका विशिष्ट सेवाहरूमा सीमित हुनुपर्छ भन्ने सुनिश्चित गर्नेछ। कुनै पनि हालतमा, कुनै पनि संस्थाले सरकारको पोशन अभियानको भागको रूपमा सङ्कलन गरिएको तथ्याङ्कलाई यहाँ तोकिएका उद्देश्यहरू बाहेक अन्य प्रयोजनका लागि र सरकारले अनुमति दिए अनुसार प्रयोग गर्न हुँदैन।"
Terms of Service,"XIII. कानूनको अनुपालन, तेस्रो पक्ष अधिकार, र सेवाका अन्य सर्तहरू"
Privacy Policy,"अधिकृत संस्थाहरूले भारत सरकारद्वारा स्थापित सबै लागू कानून, नियमन, नीतिहरू र तेस्रो-पक्ष अधिकारहरू (अवरोध बिना, डेटा वा सफ्टवेयरको आयात वा निर्यात, गोपनीयता, र स्थानीय कानूनहरू सम्बन्धी कुनै पनि कानूनहरू सहित) पालना गर्नेछन्। यी सङ्गठनहरूले एपीआई/ नो-कोड वेबपेज एकीकरण प्रयोग गर्दैनन् गैरकानूनी गतिविधि वा तेस्रो-पक्ष अधिकारहरूको उल्लङ्घनलाई प्रोत्साहित गर्न वा पोशन ट्र्याकरसँग यी सर्तहरू सहित।"
Careers,XIV. तेस्रो पक्ष प्रणालीद्वारा प्रदान गरिएको डाटाको शुद्धता
Copyright@2023  Poshan Tracker. All rights reserved,पोशन ट्रयाकरबाट डाटा सङ्कलन गर्ने र प्रयोगकर्ताहरूलाई प्रदर्शन गर्ने एएसपीहरू त्यस्ता डाटाको शुद्धताका लागि पूर्ण रूपमा जिम्मेवार हुनेछन् र यसरी उपलब्ध गराइएका कुनै पनि डाटाबाट उत्पन्न हुने दायित्व पूर्ण रूपमा त्यस्ता तेस्रो पक्षसँग रहनेछन्। कुनै पनि गलत डाटाबाट उत्पन्न हुने कुनै पनि दिवाणी वा फौजदारी दायित्वहरू सम्बन्धित एएसपीसँग मात्र हुनेछ।
 You need to enable JavaScript to run this app.,XV. क्षतिपूर्ति र सीमाको दायित्व
Poshan Helpline:,"तपाईं हानिरहित पोशन ट्र्याकर र यसका सम्बद्ध कम्पनीहरू, यसका अधिकारीहरू, निर्देशकहरू, कर्मचारीहरू र एजेन्टहरू, कुनै पनि र सबै दावीहरू, क्षतिहरू, दायित्वहरू, नोक्सानहरू, दायित्वहरू, लागतहरू वा ऋणहरू, र खर्चहरू समावेश छन् तर कुनै पनि आरोप वा तेस्रो-पक्ष कानुनी कार्यवाही सम्बन्धी अभियोक्ता शुल्कहरूमा सीमित छैन जसबाट उत्पन्न हुने हदसम्म:"
14408,तपाइँको प्रयोग र साइट र सेवामा पहुँच;
JanAndolan,यस सम्झौताको कुनै पनि सर्तको तपाईंको उल्लङ्घन;
ABHA (Health ID),"तपाइँको कुनै पनि तेस्रो पक्ष अधिकारको उल्लङ्घन, बिना सीमा, कुनै पनि प्रतिलिपि अधिकार, सम्पत्ति, वा गोपनीयता अधिकार सहित; वा"
Language,तपाइँको प्रयोगकर्ता सामग्रीले तेस्रो पक्षलाई क्षति पुर्याएको कुनै पनि दावी। यो प्रतिरक्षा र क्षतिपूर्ति दायित्व यो सम्झौता र सेवा र वेबसाइट/एप को तपाईंको प्रयोग जीवित रहनेछ।
English,XVI. अधिकार क्षेत्र
हिंदी,तपाईंको साइटको प्रयोग र साइटको त्यस्तो प्रयोगबाट उत्पन्न हुने कुनै विवाद भारतको कानूनको अधीनमा छ र क्षेत्राधिकारको स्थान नयाँ दिल्ली हुनेछ।
ગુજરાતી,समर्थन
મરાઠી, 14408
ಕನ್ನಡ, support-poshantrackr@gov.in
മലയാളം,मोबाइल एप डाउनलोड गर्नुहोस्
தமிழ்,Powered By
తెలుగు,को बारेमा
বাংলা,संसाधन
অসমীয়া,ड्यासबोर्ड
ਪੰਜਾਬੀ,सहायता केन्द्र
ଓଡ଼ିଆ,एफएक्यू
नेपाली,पोशन क्याल्कुलेटर
डोगरी,सेवाका सर्तहरु
कोंकणी,गोपनीयता नीति
सिंधी,पेशाहरु
बोडो,Copyright@2023  Poshan Tracker. All rights reserved
मैथिली, You need to enable JavaScript to run this app.
মণিপুরী,Poshan Helpline:
संथाली,14408
اردو,JanAndolan
کٲشُر,एबीएचए (स्वास्थ्य आईडी)
About,भाषा
Resources,English
Resources,हिंदी
Vaccination Schedule,ગુજરાતી
Dashboard,મરાઠી
Dashboard,ಕನ್ನಡ
Mission Utkarsh,മലയാളം
Helpdesk,தமிழ்
Beneficiary Redressal,తెలుగు
State Helpdesk,বাংলা
FAQ,অসমীয়া
Poshan Calculator,ਪੰਜਾਬੀ
Login,ଓଡ଼ିଆ
Video Conference,नेपाली
Monday to Friday,डोगरी
 | ,कोंकणी
4:15 PM to 5:15 PM,सिंधी
Book VC,बोडो
Get In Touch,मैथिली
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi",মণিপুরী
support-poshantrackr[at]gov[dot]in,संथाली
Support,اردو
 14408,کٲشُر
 support-poshantrackr@gov.in,को बारेमा
Download Mobile App,संसाधन
Powered By,संसाधन
About,खोप अनुसूची
Resources,ड्यासबोर्ड
Dashboard,ड्यासबोर्ड
Helpdesk,Mission Utkarsh
FAQ,सहायता केन्द्र
Poshan Calculator,हितग्राही निवारण
Terms of Service,राज्य सहायता डेस्क
Privacy Policy,एफएक्यू
Careers,पोशन क्याल्कुलेटर
Copyright@2023  Poshan Tracker. All rights reserved,लग-इन
,गोपनीयता नीति
,20 डिसेम्बर 2021
,"पोशन अभियान बालबालिका, किशोरकिशोरी, गर्भवती महिला र स्तनपान गराउने आमाहरूका लागि प्रविधि, लक्षित दृष्टिकोण र अभिसरणको प्रयोग गरेर पोषणसम्बन्धी परिणामहरू सुधार गर्नको लागि भारतको प्रमुख कार्यक्रम हो।"
,"पोशन ट्र्याकर पोर्टल वा एप भारत सरकारको महिला तथा बाल विकास मन्त्रालयद्वारा शासित छ, जसलाई यसपछि ""एमडब्ल्यूसीडी"", ""हाम्रो"", ""हामीलाई"", ""हामी"" भनिन्छ जसमा कार्यक्रम/अभियानका अन्य विभाग र विभागहरूको सन्दर्भ समावेश हुनेछ। यस नीतिमा रहेको पोशन ट्र्याकर पोर्टल वा एपका सन्दर्भहरूमा पोशन ट्रयाकर वा अन्य कुनै एप वा पोर्टलहरू समावेश छन् जुन एपीआईहरू/सम्बन्धित साइटहरू, एपहरू, सञ्चार र सेवाहरू (""सेवाहरू"") मार्फत पोशन ट्रयाकरसँग एकीकृत छन् र यसपछि सामूहिक रूपमा ""पोशन ट्र्याकर वा प्रणाली"" भनिन्छ।"
,"तपाईंले हाम्रा सेवाहरू प्रयोग गर्दा हाम्रो गोपनीयता नीति लागू हुन्छ (तल वर्णन गरिएको)। यो गोपनीयता नीतिले तपाईलाई हामीले कुन जानकारी सङ्कलन गर्छौं, किन सङ्कलन गर्छौं, र यसलाई कसरी प्रयोग र साझेदारी गरिन्छ भनेर बुझ्न मद्दत गर्नको लागि हो। तपाईको जानकारीको सम्बन्धमा सङ्कलन गर्ने र राख्ने एजेन्सी एमडब्ल्यूसीडी हो।"
,"हामी तपाइँको व्यक्तिगत जानकारी को सुरक्षा को रक्षा गर्न र तपाइँको गोपनीयता को रक्षा गर्न प्रतिबद्ध छ। प्रणालीमा सङ्कलन र प्रशोधन गरिएको कुनै पनि जानकारी वा डाटा सूचना प्रविधि ऐन, 2000 को नियमहरू र व्यक्तिगत डाटाको सङ्कलन र प्रशोधन सम्बन्धी अन्य राष्ट्रिय र राज्य कानूनहरूका प्रावधानहरू बमोजिम गरिन्छ।"
,यो गोपनीयता नीति 
,https://poshantracker.in
," मा उपलब्ध सेवा सर्तहरूसँग संयोजनमा पढ्न आवश्यक छ। तपाइँको पहुँच र प्रणाली को उपयोग यो गोपनीयता नीति र सेवा सर्तहरु को तपाइँको स्वीकृति मा सशर्त छ। प्रणालीमा पहुँच र/वा प्रयोग गरेर, तपाईंले सेवाका सर्तहरू र यो गोपनीयता नीतिले पढ्नुभएको, बुझ्नुभएको र बन्धनमा बाँधिएको कुरा प्रतिनिधित्व गर्नुहुन्छ, र तपाईं आफ्नो जानकारी र डेटा सङ्कलन, यस गोपनीयता नीतिमा राखिएको तरिकामा भण्डारण र प्रयोग गरिन्छ।"
,यस गोपनीयता नीतिको खण्ड 1 मा वर्णन गरिए अनुसार तपाइँको जानकारीको संग्रह यस गोपनीयता नीतिको खण्ड 2 र 3 मा निर्दिष्ट उद्देश्यहरू पूरा गर्न आवश्यक छ भन्ने कुरा स्वीकार गर्नुहुन्छ।
,1. हामीले सङ्कलन गर्ने जानकारी
,1.1. तपाईंले हामीलाई प्रदान गर्नुभएको जानकारी।
,तपाईंले खाताको लागि साइन अप गर्दा लगायत तपाईंले हाम्रा सेवाहरू प्रयोग गर्दा तपाईंले उपलब्ध गराउनुहुने सामग्री र अन्य जानकारी हामी सङ्कलन गर्छौं। यसमा समावेश हुन सक्छ- (i) नाम (ii) मोबाइल नम्बर (iii) जन्म मिति (iv) लिङ्ग (v) बच्चाको नाम (vi) आधार नम्बर (vii) ठेगाना
,"यदि तपाइँ डेटा प्रदान नगर्ने छनौट गर्नुहुन्छ जुन तपाइँलाई उत्पादन वा सुविधा प्रदान गर्न आवश्यक छ, तपाइँ त्यो उत्पादन वा सुविधा प्रयोग गर्न सक्नुहुन्न। तथापि, तपाईले व्यक्तिगत डेटा साझेदारी नगर्ने छनौट गर्न सक्नुहुन्छ जहाँ डेटा उपलब्ध गराउने वैकल्पिक छ।"
,1.2. सेवाहरूको प्रयोगबाट जानकारी।
,"जब तपाइँ हाम्रो साइटहरू, एप र मंच प्रविधि सहित हाम्रो सेवाहरू भ्रमण गर्नुहुन्छ वा अन्यथा प्रयोग गर्नुहुन्छ हामी प्रयोग डेटा लग गर्छौं।"
,"हामीले कुकीहरू, स्थानीय भण्डारण, जस्तै ब्राउजर वेब भण्डारण वा एप्लिकेसन डाटा क्यासहरू, डाटाबेसहरू, र सर्भर लगहरू सङ्कलन गर्न र निश्चित अवस्थामा तपाईंको जानकारी प्रयोग गर्नका लागि जानकारी सङ्कलन र भण्डारण गर्न विभिन्न प्रविधिहरू प्रयोग गर्न सक्छौं।"
,1.3. तेस्रो पक्षबाट जानकारी।
,"हाम्रो प्रणालीले तेस्रो-पक्ष साइटहरूलाई एपीआई प्रदान गर्दछ जसले तपाईंको व्यक्तिगत जानकारी सङ्कलन गर्न सक्छ। पोशन ट्रयाकर कुनै पनि हिसाबले त्यस्तो जानकारी वा तिनीहरूको गोपनीयता अभ्यास वा ती तेस्रो-पक्ष साइटहरूको सामग्रीको सुरक्षाको लागि जिम्मेवार हुँदैन। थप रूपमा, तपाईंले तेस्रो-पक्ष साइटहरूको निश्चित पृष्ठहरूमा ""कुकीहरू"" वा अन्य समान यन्त्रहरू पनि भेट्न सक्नुहुन्छ र यसलाई पोशन ट्र्याकरद्वारा स्पष्ट गरिएको छ कि प्रणालीले यी तेस्रो-पक्ष साइटहरूद्वारा कुकीहरूको प्रयोगलाई नियन्त्रण गर्दैन। यी तेस्रो-पक्ष सेवा प्रदायकहरू र तेस्रो-पक्ष साइटहरूको आफ्नै गोपनीयता नीतिहरू हुन सक्छन् जुन तपाइँको अधीनमा हुन सक्ने तपाइँको जानकारीको भण्डारण र अवधारणलाई नियन्त्रित गर्दछ। यो गोपनीयता नीतिले यी तेस्रो-पक्ष प्रदायकहरू र तेस्रो-पक्ष साइटहरूलाई प्रदान गरिएको, भण्डारण गरिएको, वा प्रयोग गरेको कुनै पनि जानकारीलाई नियन्त्रण गर्दैन। हामी सुझाव दिन्छौं कि जब तपाइँ तेस्रो-पक्ष साइट प्रविष्ट गर्नुहुन्छ, तपाइँ तेस्रो पक्षको साइटको गोपनीयता नीति समीक्षा गर्नुहोस् किनकि यो तपाइँको जानकारीको सुरक्षासँग सम्बन्धित छ। तपाईं सहमत हुनुहुन्छ र स्वीकार गर्नुहुन्छ कि पोशन ट्र्याकर खोज परिणामहरूमा वा कुनै तेस्रो-पक्ष साइटहरूद्वारा प्रकाशित जानकारीको लागि उत्तरदायी हुनेछैन।"
,2. हामी कसरी व्यक्तिगत जानकारी प्रयोग गर्छौं
,हामीले हाम्रा सबै सेवाहरूबाट सङ्कलन गरेको जानकारी निम्न उद्देश्यका लागि प्रयोग गर्छौं:
,2.1. हाम्रा सेवाहरू पुर्याउनुहोस्।
,उपधारा 1 अन्तर्गत सङ्कलन गरिएका जानकारीहरू लाभार्थीहरूको स्वास्थ्यलाई सहजीकरण गर्ने उद्देश्यले प्रयोग गरिनेछ।
,"हामी हाम्रा उत्पादनहरू प्रदान गर्छौं, जसमा प्रणालीको सूचना/डेटा/सामग्री र सामग्रीहरू अद्यावधिक गर्ने, सुरक्षित गर्ने र समस्या निवारण गर्ने, साथै समर्थन प्रदान गर्ने समावेश छ।"
,"जब तपाइँ पोशान ट्र्याकर मा दर्ता गर्नुहुन्छ, तपाईले दर्ता गर्नुभएको मोबाइल नम्बर डाटाबेसबाट तपाइँको रेकर्ड पत्ता लगाउन प्रयोग गरिनेछ। पोशन ट्र्याकर प्रणालीमा रेकर्ड गरिएको स्वास्थ्य स्थितिको मूल्याङ्कन गर्न पनि यी प्रयोग गर्न सकिन्छ।"
,2.2. तपाईं संग संचार।
,"हामी तपाईंलाई दर्ताको बारेमा सचेत गराउनको लागि तपाईंको दर्ता गरिएको मोबाइल नम्बरमा एसएमएस पनि पठाउँछौं, तपाईंले हामीलाई सम्पर्क गर्दा र गुनासोहरूको छानबिन गर्न, प्रतिक्रिया दिन र समाधान गर्न र सेवा समस्याहरू (जस्तै बगहरू) को लागि हामी तपाईंको जानकारीको प्रयोग गर्छौं।"
,2.3. प्रमाणीकरण।
,"हामीसँग भएको जानकारी प्रयोग गर्छौं, खाताहरू प्रमाणित गर्न मद्दत गर्न। अभिलेखहरू पोशन ट्र्याकर नियन्त्रण र प्रतिक्रियाको उद्देश्यका लागि स्वास्थ्य स्थिति प्रमाणीकरणको लागि प्रयोग गर्न सकिन्छ।"
,2.4. सुरक्षा र लेखा परीक्षण।
,"हामी सुरक्षा उद्देश्यका लागि वा सम्भावित धोखाधडी वा हाम्रा सेवा सर्तहरू र/वा हाम्रा सदस्यहरू, आगन्तुकहरू वा अरूलाई हानि गर्ने प्रयासहरूको अन्य उल्लङ्घनहरू रोक्न वा अनुसन्धान गर्न तपाईंको डाटा (तपाईंको सञ्चार सहित) प्रयोग गर्छौं।"
,प्रणालीको सुरक्षा र स्केलेबिलिटीको लागि एमडब्ल्यूसीडी द्वारा संलग्न लेखा परीक्षकहरूद्वारा पोशन ट्र्याकर प्रणाली नियमित रूपमा लेखा परीक्षण गरिन्छ। त्यस्ता लेखापरीक्षणका लागि अभिलेखहरू प्रयोग गर्न सकिन्छ।
,2.5. अनुसन्धान र परिचालन गतिविधिहरू।
,"हामी हाम्रा सेवाहरू सञ्चालन गर्नका लागि पनि डाटा प्रयोग गर्छौं, जसमा हाम्रो कार्यसम्पादनको विश्लेषण, हाम्रा कानुनी दायित्वहरू पूरा गर्ने, हाम्रो कार्यबलको विकास गर्ने र अनुसन्धान गर्ने समावेश छ। हामीले प्रणालीको सुधारको लागि निश्चित आवश्यक कार्यहरू गर्न र प्रणालीको प्रावधानसँग सम्बन्धित सबै कार्यहरू र नयाँ प्रविधिहरू र सेवाहरूको विकास र उपलब्ध गराउनका लागि पनि जानकारी प्रयोग गर्न सक्छौं।"
,2.6. सर्वेक्षण र प्रतिक्रियाहरू।
,"प्रणालीले प्रणाली प्रदर्शन र अनुभवको बारेमा प्रतिक्रिया पनि लिन्छ। नाम, मोबाइल नम्बर, दर्ता मिति र स्वास्थ्य स्थिति जानकारी यी उद्देश्यका लागि प्रयोग गर्न सकिन्छ"
,3. जानकारीको साझेदारी
,3.1. स्वास्थ्य प्रगति ट्र्याक गर्दै।
,"माथिको खण्ड 1 अन्तर्गत दर्ताको समयमा तपाईबाट सङ्कलन गरिएको व्यक्तिगत जानकारी, सुरक्षित रूपमा भण्डारण गरिनेछ र स्वास्थ्य प्रगति र स्थिति ट्र्याक गर्ने उद्देश्यका लागि मात्र भारत सरकार वा राज्य सरकारहरू द्वारा प्रयोग गरिनेछ, देशमा पोशन ट्रयाकरको व्यवस्थापनको उद्देश्यका लागि प्रतिवेदनहरू, तातो नक्साहरू र अन्य तथ्याङ्कीय दृश्यहरू उत्पन्न गर्दै,। तपाईंको सन्दर्भ आईडी (मोबाइल नम्बर) माथिको खण्ड 1 बमोजिम एसएमएस मार्फत तपाईंलाई सञ्चार गर्न तपाईंको व्यक्तिगत जानकारीसँग मात्र सह-सम्बन्धित हुनेछ।"
,"हामीले तपाइँको सहमति बिना तपाइँको जानकारी कुनै अन्य तेस्रो पक्षलाई खुलासा वा स्थानान्तरण गर्दैनौं, जबसम्म यस्तो खुलासा वा स्थानान्तरण निम्न हो:"
,1. कुनै पनि लागू कानून वा अदालतको आदेश वा निर्देशनको पालना गर्न आवश्यक छ; वा
,"2. कुनै पनि अपराध वा घटनाको पहिचानको प्रमाणीकरण, रोकथाम, पत्ता लगाउन, अनुसन्धान, अभियोजन वा सजायको प्रयोजनका लागि लागू कानून बमोजिम कुनै उपयुक्त सरकारी निकायबाट अनुरोध गरिएको।"
,3.2. कानूनी खुलासा।
