en,mai
XII. RE-DISTRIBUTION,XII. पुन: वितरण
"Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker. Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.","अधिकृत संगठन कोइयो डेटाकेँ फेरसँ वितरित नहि करब, जकरा व्एह एपीआई / नो-कोड वेबपेज एकीकरणक माध्यमसँ एक्सेस करबामे सक्षम छथि आ ई सुनिश्चित करब जे एना समूचा डेटाक एकीकरण अनिवार्य रूपसँ पोषण ट्रैकर द्वारा देल जाए बला विशिष्ट सेवासभ धरि सीमित हएत। कोइयो परिस्थितिमे, कोनो संगठन सरकारक पोषण अभियानक हिस्साक रूपमे एकत्र कएल गेल डेटाक उपयोग एतह निर्दिष्ट उद्देश्योंक अलावा कोइयो उद्देश्यक ले नहि करब, आ जेना कि सरकार द्वारा अनुमति देल जा सकैत अछि।"
"XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE","XIII. कानूनक अनुपालन, टेसर पक्षक अधिकार आ सेवाक अन शर्त"
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India. These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.","अधिकृत संगठन भारत सरकार द्वारा स्थापित समूचा लागू कानूनसभ, विनियमसभ, नीतिसभ आ तेसर पक्षक अधिकारसभ (जाहिमे आ बगैर कोनो सीमाक, डेटा वा सॉफ़्टवेयर, गोपनीयता आ स्थानीय कानूनसभक आयात वा निर्यातसँ संबंधित कोइयो कानून)क पालन करब। ई संगठन पोषण ट्रैकरक संग ई शर्तसभ सहैत अवैध गतिविधि वा तेसर पक्षक अधिकारसभक उल्लंघनकेँ प्रोत्साहित करबा वा बढ़ावा देबाक लेल एपीआई/नो-कोड वेबपेज एकीकरणक उपयोग नहि करब।"
XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS,XIV. तृतीय पक्ष प्रणालीसभ द्वारा देल गेल डेटाक शुद्धता
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party. Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",पोषण ट्रैकरसँ डेटा एकत्र करबा आ उपयोगकर्तासभकेँ प्रदर्शित करनिहार एएसपी एना डेटाक शुद्धताक लेल पूरा तरहसँ जिम्मेदार हएत आ एहि प्रकार देल गेल कोइयो डेटासँ उत्पन्न होबय बा कोइयो देयता पूरा तरहसँ एना तेसर पक्षक संग हएत। कोनो गलत डेटासँ उत्पन्न होबय बला सिविल वा आपराधिक देनदारीसभ पूरा तरहसँ संबंधित एएसपीक लग हएत।
XV. INDEMNITY AND LIMITATION OF LIABILITY,XV. क्षतिपूर्ति आ देयता की सीमा
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:","अहाँ कोइयो आ समूचा दावा, क्षति, दायित्व, हानि, देनदारी, लागत वा ऋणों, वा खर्चा समेत, आ एकर खिलाफ हानिरहित पोषण ट्रैकर आ ओकर सहयोगीसभ, ओकर अधिकारीसभ, निदेशकसभ, कर्मचारीसभ आ एजेंटसभक रक्षा, क्षतिपूर्ति आ धारण करबाक लेल सहमत छथि मुदा कोइयो आरोप वा तेसर पक्षक कानूनी कार्यवाहीसँ संबंधित वकीलसभक फीस तक सीमित नहि अछि:"
Your use of and access to the Site and Service;,साइट आ सेवाक लेल अहाँ उपयोग आ एक्सेस;
Your violation of any term of this Agreement;,ई अनुबंधक कोनो सेहो शर्तक अहाँ उल्लंघन;
"Your violation of any third party right, including without limitation, any copyright, property, or privacy right; or","कोइयो तेसर पक्षक अधिकारक उल्लंघन, जाहिमे बगैर कोनो सीमाक, कोनो कॉपीराइट, संपत्ति वा गोपनीयता अधिकार शामिल अछि; वा"
Any claim that your User Content caused damage to a third party. This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,कोइयो दावा जे अहाँक उपयोगकर्ता सामग्री कोनो तेसर पक्षकेँ नुकसान पहुंचाएल अछि। ई रक्षा आ क्षतिपूर्ति दायित्व ई अनुबंध आ सेवा आ वेबसाइट/ऐपक अहाँक उपयोगसँ बाचल रहत।
XVI. JURISDICTION,XVI. क्षेत्राधिकार
Your use of the Site and any dispute arising out of such use of the Site is subject to the laws of India and place of jurisdiction shall be New Delhi.,साइटक अहाँक उपयोग आ साइटक ई तरह के उपयोगसँ उत्पन्न कोइयो विवाद भारतक कानूनसभक अधीन अछि आ अधिकार क्षेत्र नई दिल्ली हएत।
Support,मदति
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबाइल ऐप डाउनलोड करू
Powered By,Powered By
About,लगभग
Resources,साधन
Dashboard,डैशबोर्ड
Helpdesk,हेल्पडेस्क
FAQ,सदिखन पूछल जाय बला प्रश्न
Poshan Calculator,पोषण कैलकुलेटर
Terms of Service,सेवाक शर्तसभ
Privacy Policy,गोपनीयता नीति
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),आभा (स्वास्थ्य आईडी)
Language,भाषा
About,लगभग
Resources,साधन
Resources,साधन
Vaccination Schedule,टीकाकरण अनुसूची
Dashboard,डैशबोर्ड
Dashboard,डैशबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,लाभार्थी निवारण
State Helpdesk,राज्य मदतिकेंद्र
FAQ,सदिखन पूछल जाय बला प्रश्न
Poshan Calculator,पोषण कैलकुलेटर
Login,लॉगिन करू
Privacy Policy,गोपनीयता नीति
20 December 2021,20 दिसंबर 2021
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","पोषण अभियान प्रौद्योगिकी, एकटा लक्षित दृष्टिकोण आ अभिसरणक लाभ उठाकए बच्चासभ, किशोरसभ, गर्भवती महिलासभ आ स्तनपान कराबय बाली मायसभक लेल पोषण संबंधी परिणाममे सुधार करबाक लेल भारतक प्रमुख कार्यक्रम अछि।"
"Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign. References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”","पोशन ट्रैकर पोर्टल वा ऐप महिला आ बाल विकास मंत्रालय, भारत सरकार द्वारा शासित अछि, जकरा एकर बाद ""एमडब्ल्यूसीडी"", ""हमर"", ""हमरा"", ""हम""क रूपमे संदर्भित कएल जाइत अछि जाहिमे कार्यक्रम/अभियान अन विभागसभ आ प्रभागसभक संदर्भ शामिल हएत। ई नीतिमे पोषण ट्रैकर पोर्टल वा ऐपक संदर्भमे पोशन ट्रैकर वा कोनो अन ऐप वा पोर्टल शामिल अछि जे एपीआई / संबंधित साइटसभ, ऐप, संचार आ सेवा (""सेवासभ"") केर माध्यमे पोषण ट्रैकरक संग एकीकृत अछि, जकरा एकर बाद सामूहिक रूप सँ ""पोषण ट्रैकर वा सिस्टम"" बाजल जाइत अछि।"
"Our Privacy Policy applies when you use our Services (described below). This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared. The collecting and retaining agency in respect of your information is MWCD.","हमर गोपनीयता नीति तखन लागू होइत छी जखन अहाँ हमर सेवासभ (नीचा वर्णित) क उपयोग करइत छथि। ई गोपनीयता नीति अहाँक ई बुझयमे मदति करबाक लेल है जे हम कोन टा जानकारी एकत्र करइत छी, हम एकरा काहे एकत्र करइत छ्ही, आ एकर उपयोग आ साझा केना कएल जाइत छी। अहाँक जानकारीक संबंधमे संग्रहण आ बनाओल राखय बाली एजेंसी MWCD छैक।"
"We are committed to protecting the security of your personal information and safeguarding your privacy. Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.","हम अहाँक व्यक्तिगत जानकारीक सुरक्षा आ अहाँक गोपनीयताक सुरक्षाक लेल प्रतिबद्ध छी। सिस्टम पर एकत्रित आ संसाधित कोइयो जानकारी वा डेटा सूचना प्रौद्योगिकी अधिनियम, 2000 के प्रावधानसभक संगे-संग एकर नियमसभ आ व्यक्तिगत डेटाक संग्रह आ प्रसंस्करणसँ संबंधित अन राष्ट्रीय आ राज्य कानूनसभक अनुसार कएल जाइत छी।"
This Privacy Policy is required to be read in conjunction with the Terms of Service available at ,ई गोपनीयता नीतिकेँ 
https://poshantracker.in,https://poshantracker.in
". Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service. By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy."," पर उपलब्ध सेवाक शर्तसभक संयोजनमे पढ़ल जाय जरूरी अछि। ई गोपनीयता नीति आ सेवाक शर्तसभक अहाँक स्वीकृति पर सिस्टम धरि अहाँक एक्सेस आ उपयोग सशर्त अछि। सिस्टम धरि एक्सेस आ/वा उपयोग कएक, अहाँ प्रतिनिधित्व करइत छी जे अहाँ सेवाक शर्तसभ आ ई गोपनीयता नीतिकेँ पढ़, बुझ लेल छथि आ बाध्य छथि, आ अहाँ अपन जानकारी आ डेटाकेँ एकत्र, संग्रहीत आ निर्धारित तरीकासँ ई गोपनीयता नीतिमे उपयोग करबाक लेल सहमति देइत छथि।"
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,अहाँ ताहि द्वारे स्वीकार करइत छथि जे ई गोपनीयता नीतिक खंड 1 मे वर्णित अहाँक जानकारीक संग्रह ई गोपनीयता नीतिक खंड 2 आ 3 मे निर्दिष्ट उदेश्यकेँ पूरा करबाक लेल जरूरी अछि।
1. INFORMATION WE COLLECT,1. जानकारी हम एकत्र करइत छी
1.1. Information you provide to us.,1.1. जानकारी जे अहाँ हमरा प्रदान करइत छथि।
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account. This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) Address","जखन अहाँ कोनो खाताक लेल साइन अप करइत छथि, त' हम हमर सेवाक उपयोग करैत काल अहाँक द्वारा प्रदान कएल जाय बला सामग्री आ अन जानकारी एकत्र करइत छी। एहिमे शामिल भ सकैछ- (i) नाम (ii) मोबाइल नंबर (iii) जन्म तिथि (iv) लिंग (v) बच्चाक नाम (vi) आधार संख्या (vii) पता"
"If you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature. You may, however, choose not to share personal data where providing the data is optional.","यदि अहाँ डेटा प्रदान करबाक लेल नहि चुनइत छी जे अहाँक कोनो चीज वा सुविधाक संग प्रदान करबाक लेल जरूरी अछि, त' अहाँ ओ उत्पाद वा सुविधाक उपयोग नहि कर सकैत। मुदा, अहाँ व्यक्तिगत डेटा साझा नहि करनाइ चुन सकैत छी जतह डेटा देनाइ वैकल्पिक अछि।"
1.2. Information from use of services.,1.2. सेवासभक उपयोगसँ जानकारी।
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","जखन अहाँ हमर साइट, ऐप आ प्लेटफ़ॉर्म तकनीक समेत हमर सेवासब पर जाइत छी वा अन्यथा उपयोग करइत छी त' हम उपयोग डेटा लॉग करइत छी।"
"We may use various technologies to collect and store information, including cookies, local storage, such as browser web storage or application data caches, databases, and server logs to collect and use your information in certain cases.","हम किछु मामलामे अहाँक जानकारी एकत्र करबा आ उपयोग करबाक लेल कुकीज़, स्थानीय भंडारण, जेना ब्राउज़र वेब स्टोरेज वा एप्लिकेशन डेटा कैश, डेटाबेस आ सर्वर लॉग समेत जानकारी एकत्र करबा आ संग्रहीत करबाक लेल विभिन्न तकनीकसभक उपयोग कर सकैट छी।"
1.3. Information from third parties.,1.3. तेसर पक्षसँ जानकारी।
"Our System provides API to Third – Party Sites that may collect your personal information. Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites. Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites. These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to. This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites. We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information. You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.","हमर प्रणाली एपीआईकेँ तेसर - पार्टी साइटसभकेँ दे दैत छी जे अहाँक व्यक्तिगत जानकारी एकत्र कए सकैट छी। पोषण ट्रैकर एना जानकारी वा हुनकर गोपनीयता प्रथासब वा ओ तृतीय-पक्ष साइटक सामग्रीक सुरक्षाक लेल कोनो सेहो तरह सँ जिम्मेदार नहि अछि। एकर अतिरिक्त, अहाँ तृतीय-पक्ष साइटक किछु पन्ना पर ""कुकीज़"" वा अन समान उपकरणक सेहो सामना कए सकैट छी आ पोषण ट्रैकर द्वारा ई स्पष्ट कएल जाइत अछि जे सिस्टम ई तृतीय-पक्ष साइट द्वारा कुकीज़क उपयोगकेँ नियंत्रित नहि करइत अछि। ई तृतीय-पक्ष सेवा प्रदातासभ आ तृतीय-पक्ष साइटक अपन गोपनीयता नीतिसभ भ सकैट अछि जे अहाँक जानकारीक भंडारण आ प्रतिधारणकेँ नियंत्रित करैत छै, जकर अहाँ अधीन भ सकैट छथि। ई गोपनीयता नीति ई तृतीय-पक्ष प्रदातासभ आ तृतीय-पक्ष साइटसभ द्वारा प्रदान, संग्रहीत वा उपयोग कएल जाय बाली कोइयो जानकारीकेँ नियंत्रित नहि करैत अछि। हम अनुशंसा करैत छी जे जखन अहाँ कोनो तृतीय-पक्ष साइटमे प्रवेश करैत छी, त' अहाँ तृतीय पक्ष साइटक गोपनीयता नीतिक समीक्षा करू किएक ई अहाँक जानकारीक सुरक्षासँ संबंधित अछि। आप सहमत हैं और स्वीकार करते हैं कि पोसन ट्रैकर खोज परिणामों या किसी तृतीय-पक्ष साइटों द्वारा प्रकाशित जानकारी के लिए उत्तरदायी नहीं होगा।"
2. HOW WE USE PERSONAL INFORMATION,2. हम व्यक्तिगत जानकारीक उपयोग केना करैत छी
We use the information we collect from all our services for the following purposes:,हम अपन समूचा सेवासभसँ एकत्रित जानकारीक उपयोग निम्नलिखित उद्देश्यसभक लेल करैत छी:
2.1. Deliver our services.,2.1. हमर सेवासभ वितरित करू।
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",खंड 1 के तहत एकत्र कएल गेल जानकारीक उपयोग लाभार्थिगनक स्वास्थ्यकेँ सुविधाजनक बनबाक उद्देश्यसँ कएल जाएत।
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","हम अपन उत्पाद देत छी, जाहिमे सिस्टमक जानकारी/डेटा/सामग्री आ सामग्रीकेँ अपडेट करनाइ, सुरक्षित करनाइ आ समस्या निवारण करनाइ शामिल अछि, साथे-साथ मदति देनाइ सेहो शामिल अछि।"
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database. These can also be used to assess the health status as recorded in the Poshan Tracker system.","जखन अहाँ पोषण ट्रैकर पर पंजीकरण करैत छी, त' जे मोबाइल नंबरसँ अहाँ पंजीकरण केल छी, ओकर उपयोग डेटाबेससँ अहाँक रिकॉर्डक पता लगबाक लेल कएल जाएत। एकर उपयोग पोषण ट्रैकर सिस्टममे दर्ज स्वास्थ्य स्थितिक आकलन करबाक लेल सेहो कएल जा सकैत छी।"
2.2. Communicate with you.,2.2. अहाँक संग संवाद।
"We also send SMSs on your registered mobile number to alert you about registration, we also use your information to respond to you when you contact us and to investigate, respond to and resolve complaints and for Service issues (e.g. bugs).","हम अहाँक पंजीकरणक बारेमे सचेत करबाक लेल अहाँक पंजीकृत मोबाइल नंबर पर एसएमएस सेहो पठाबैत छी, हम अहाँक जानकारीक उपयोग अहाँक जवाब देबाक लेल सेहोकरैत छी जखन अहाँ हमरासँ संपर्क करैत छथि आ जांच करबा, शिकायतक जवाब देबाक आ समाधान करबाक लेल आ सेवा मुद्दा (जेना बग) क लेल।"
2.3. Verification.,2.3. सत्यापन।
"We use the information we have, to help verify accounts. The records may be used for verification of health status for the purposes of Poshan Tracker control and response.","हम अपन लग मौजूद जानकारीक उपयोग करैत छी, खातासभकेँ सत्यापित करबामे मदति करबाक लेल। पोषण ट्रैकर नियंत्रण आ प्रतिक्रियाक प्रयोजनक लेल रिकॉर्डक उपयोग स्वास्थ्य स्थितिक सत्यापनल लेल कएल जा सकैट अछि।"
2.4. Security and Audit.,2.4. सुरक्षा आ ऑडिट।
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.","हम अहाँक डेटा (अहाँक संचार सहित) क उपयोग सुरक्षा उद्देश्यक लेल वा संभावित धोखाधड़ी वा हमर सेवाक शर्तसबक अन उल्लंघनसभकेँ रोकबा वा जांच करबा आ/वा हमर सदस्यसभ, आगंतुकसभ वा अनकेँ नुकसान पहुंचबाक प्रयाससभक लेल करैत छी।"
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system. The records may be used for such audits.",प्रणालीक सुरक्षा आ मापनीयताक लेल MWCD द्वारा नियुक्त ऑडिटरसभ द्वारा पोषण ट्रैकर प्रणालीक नियमित रूपसँ ऑडिट कएल जैत अछि। रिकॉर्डक उपयोग एना ऑडिटक लेल कएल जा सकैत अछि।
2.5. Research and operational activities.,2.5. अनुसंधान आ परिचालन गतिविधिसभ।
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research. We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.","हम अपन सेवासभकेँ संचालित करबाक लेल सेहो डेटाक उपयोग करैत छी, जाहिमे हमर प्रदर्शनक विश्लेषण करनाइ, हमर कानूनी दायित्वसभकेँ पूरा करनाइ, हमर कार्यबलक विकास करनाइ आ शोध करनाइ शामिल अछि। हम सिस्टममे सुधारक लेल आ सिस्टमक प्रावधानक लेल प्रासंगिक वा मदति समूचा काजसभक लेल आ नव् तकनीकसभ आ सेवासभकेँ विकसित करबा आ प्रदान करबाक लेल किछु जरूरी संचालन करबाक लेल जानकारीक उपयोग कए सकैत छी।"
2.6. Surveys and Feedbacks.,2.6. सर्वेक्षण आ प्रतिक्रियासभ।
"The System also takes feedback about system performance and experience. Information on name, mobile number, date of registration and health status may be used for these purposes","सिस्टम सिस्टम प्रदर्शन आ अनुभवक बारेमे सेहो प्रतिक्रिया लेत अछि। ई उद्देश्यसभक लेल नाम, मोबाइल नंबर, पंजीकरणक तारीख आ स्वास्थ्य स्थितिक जानकारीक उपयोग कएल जा सकैत अछि"
3. SHARING OF INFORMATION,3. सूचना साझा करनाइ
3.1. Tracking health progress.,3.1. स्वास्थ्य प्रगति पर नज़र रखनाइ।
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,. Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.","उपरोक्त खंड 1 क तहत पंजीकरणक काल अहाँसँ एकत्र कएल गेल व्यक्तिगत जानकारीकेँ सुरक्षित रूपसँ संग्रहीत कएल जाएत आ एकर उपयोग केवल भारत सरकार वा राज्य सरकार द्वारा स्वास्थ्य प्रगति आ स्थिति पर नज़र रखबा, रिपोर्ट तैयार करबा, हीट मैप आ अन सांख्यिकीय उद्देश्यसभक लेल कएल जाएत। देशमे पोषण ट्रैकरक प्रबंधनक उद्देश्यक लेल विज़ुअलाइज़ेशन। उपरोक्त खंड 1 क अनुसार एसएमएसक माध्यमे अहाँसँ संवाद करबाक लेल अहाँक संदर्भ आईडी (मोबाइल नंबर) केवल अहाँक व्यक्तिगत जानकारीक संग सह-संबंधित हएत।"
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:","हम अहाँक सहमतिक बगैर कोनो अन तेसर पक्षकेँ अहाँक जानकारीक खुलासा वा ट्रान्सफर नहि करैत छी, जखन धरि कि एना प्रकटीकरण वा स्थानांतरण ने होइ:"
1. Required in order to comply with any applicable law or court order or direction; or,1. कोइयो लागू कानून वा अदालतक आदेश वा निर्देशक पालन करबाक लेल जरूरी; वा
"2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","2. कोइयो उपयुक्त सरकारी एजेंसी द्वारा लागू कानूनक अनुसार, अन बातसभक साथ, पहिचानक सत्यापन, रोकथाम, पता लगबा, जांच, अभियोजन वा कोइयो अपराध वा घटनासभक सजाक उद्देश्यसँ अनुरोध कएल गेल।"
3.2. Legal Disclosures.,3.2. कानूनी डिसक्लोसर।
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","हम कानूनी अनुरोध, सम्मन, वा अन कानूनी प्रक्रियाक जवाबमे अहाँक जानकारीकेँ एक्सेस, संरक्षित आ साझा कर सकैत छी वा यदि हमरा एकटा नीक विश्वास छै जे डिसक्लोसर उचित रूपसँ जरूरी अछि (1) धोखाधड़ी वा अवैध गतिविधिसभक संबंधमे जांच, रोकथाम वा कार्रवाई करनाइ वा सरकारी प्रवर्तन एजेंसीसभक मदति करबाक लेल; (2) अहाँक साथ हमर समझौताकेँ लागू करनाइ; (3) कोनो तेसर पक्षक दावासभ वा आरोपसभक जांच करनाइ आ हुनकाक बचाव करनाइ; (4) हमर सेवासभक सुरक्षा वा अखंडताक रक्षा करनाइ (जेना समान खतराक सामना कएर बला कंपनीसभक संग साझा करनाइ); वा (5) कोनो लोकक अधिकारसभ आ सुरक्षाक प्रयोग वा रक्षा करनाइ।"
4. RETENTION,4. प्रतिधारण
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.","पंजीकरणक काल खंड 1 क तहत अहाँसँ एकत्र कएल गेल समूचा व्यक्तिगत जानकारी तखन धरि राखल जाएत जखन धरि अहाँक रिकॉर्ड अस्तित्वमे रहत आ यदि कोनो चिकित्सा वा प्रशासनिक हस्तक्षेप खंड 2 क तहत चालु कएल गेल अछि, त’ नीचा देल देल खंड 4 (बी)क अधीन, एनाक लेल ओकर बादक अवधिक रूपमे ई तरहक हस्तक्षेपकेँ पूरा करबाक लेल जरूरी अछि।"
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.","क्लॉज 1 क तहत एकत्र कएल गेल सभ व्यक्तिगत जानकारीकेँ एप्लिकेशन सर्वर पर ई हद तक राखल जाएत जे एना जानकारी ओ लोकनिसँ संबंधित होइ, जकरा इवेंटक लेल पंजीकृत कएल गेल अछि।"
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","पोषण ट्रैकरक पंजीकृत उपयोगकर्तासभक व्यक्तिगत डेटा वा कोइयो रिपोर्ट, हीट मैप्स वा ऐसे डेटासेटक उपयोग क’ क बनाओल गेल अन विज़ुअलाइज़ेशन द्वारा उत्पन्न अज्ञात, समेकित डेटासेट पर एतह निर्धारित किछु सेहो लागू नहि हएत।"
5. RIGHTS,5. अधिकार
"As a registered user, you have the right to access your profile at any time. Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","एकटा पंजीकृत उपयोगकर्ताक रूपमे, अहाँक कोइयो काल अपन प्रोफ़ाइल धरि पहुँबाक अधिकार अछि। मुदा, परिवर्तन केवल समय -समय पर पोसन ट्रैकर सिस्टम द्वारा निर्धारित किए जा सकते हैं।"
You cannot manage the communications that you receive from us or how you receive them.,अहाँ हमरासँ प्राप्त होबय बला संचारसभक बंधन नहि कए सकैत छी वा अहाँ ओकरा केना प्राप्त करैत अछि।
6. DATA SECURITY,6. डाटा सुरक्षा
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws. Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server. It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.","पोषण ट्रैकर प्लेटफॉर्ममे अहाँक गोपनीयता आ व्यक्तिगत जानकारी केँ नुकसान, दुरुपयोग, अनधिकृत पहुंच, प्रकटीकरण, विनाश आ लागू कानूनक अनुपालनमे जानकारीक बदलाव सँ बचबाक लेल उचित सुरक्षा उपाय आ सुरक्षा उपाय अछि। एकर अलावा, जखन सेहो अहाँ सिस्टम पर अपन खाता बदलैत छथि वा एक्सेस करैत छथि वा एकरा सँ संबंधित कोनो जानकारी, हम एकता सुरक्षित सर्वरक उपयोगक पेशकश करैत छी। ई आओर स्पष्ट कएत जैत अछि जे जखन धरि अहाँ सिस्टम (प्रत्यक्ष वा परोक्ष रूप सँ) क उपयोग आ/वा उपयोग करैत अछि, ई सुनिश्चित करबाक दायित्व अछि जे अहाँ अपन स्तर पर सदिखन पर्याप्त भौतिक, प्रबंधकीय आ तकनीकी सुरक्षा उपाय करब।, अहाँक डेटाक अखंडता आ सुरक्षा केँ बनाए रखबाक लेल जाहिमे अहाँक व्यक्तिगत जानकारी शामिल हएत आ सीमित नहि हएत।"
7. CHANGES TO PRIVACY POLICY,7. गोपनीयता नीति मे बदलाव
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes. Any changes or updates will be effective immediately. You should review this Privacy Policy regularly for changes.","पोषण ट्रैकर ई गोपनीयता नीतिक कोइयो हिस्सा केँ कोइयो काल बदलबा, संशोधित करबा, जोड़बा वा हटेबाक बगैर शर्त अधिकार सुरक्षित राखैत छी, बगैर अहाँक विशेष रूप सँ एना बदलावसभक बारेमे सूचित कएल। कोइयो परिवर्तन वा अपडेट तत्काल प्रभावी हएत। अहाँक परिवर्तनसभक केक नियमित रूपसँ ई गोपनीयता नीतिक समीक्षा करबाक चाहि।"
